City,TimeFrame,Type,Stars (MR),#Attractions,Mean Sentiment,Mean Rating,Mean Summarised Sentiment,,
Mumbai,Past 3 months,Family,0-1,0,3.52,4.53,3.96,,
Mumbai,Past 3 months,Family,1-2,43,,,,,
Mumbai,Past 3 months,Family,2-3,76,,,,,
Mumbai,Past 3 months,Family,3-4,238,,,,,
Mumbai,Past 3 months,Family,4-5,1573,,,,,
Mumbai,Past 3 months,Friends,0-1,0,3.35,4.30,3.77,,
Mumbai,Past 3 months,Friends,1-2,43,,,,,
Mumbai,Past 3 months,Friends,2-3,76,,,,,
Mumbai,Past 3 months,Friends,3-4,238,,,,,
Mumbai,Past 3 months,Friends,4-5,1573,,,,,
Mumbai,Past 3 months,Solo,0-1,0,3.58,4.61,4.10,,
Mumbai,Past 3 months,Solo,1-2,43,,,,,
Mumbai,Past 3 months,Solo,2-3,76,,,,,
Mumbai,Past 3 months,Solo,3-4,238,,,,,
Mumbai,Past 3 months,Solo,4-5,1573,,,,,
Mumbai,Past 3 months,Couple,0-1,0,3.38,4.54,3.79,,
Mumbai,Past 3 months,Couple,1-2,43,,,,,
Mumbai,Past 3 months,Couple,2-3,76,,,,,
Mumbai,Past 3 months,Couple,3-4,238,,,,,
Mumbai,Past 3 months,Couple,4-5,1573,,,,,
Mumbai,Past 3 months,Other,0-1,0,3.36,4.55,3.70,,
Mumbai,Past 3 months,Other,1-2,43,,,,,
Mumbai,Past 3 months,Other,2-3,76,,,,,
Mumbai,Past 3 months,Other,3-4,238,,,,,
Mumbai,Past 3 months,Other,4-5,1573,,,,,
Mumbai,Past 6 months,Family,0-1,0,3.50,4.48,4.01,,
Mumbai,Past 6 months,Family,1-2,43,,,,,
Mumbai,Past 6 months,Family,2-3,76,,,,,
Mumbai,Past 6 months,Family,3-4,238,,,,,
Mumbai,Past 6 months,Family,4-5,1573,,,,,
Mumbai,Past 6 months,Friends,0-1,0,3.39,4.31,3.83,,
Mumbai,Past 6 months,Friends,1-2,43,,,,,
Mumbai,Past 6 months,Friends,2-3,76,,,,,
Mumbai,Past 6 months,Friends,3-4,238,,,,,
Mumbai,Past 6 months,Friends,4-5,1573,,,,,
Mumbai,Past 6 months,Solo,0-1,0,3.61,4.64,4.07,,
Mumbai,Past 6 months,Solo,1-2,43,,,,,
Mumbai,Past 6 months,Solo,2-3,76,,,,,
Mumbai,Past 6 months,Solo,3-4,238,,,,,
Mumbai,Past 6 months,Solo,4-5,1573,,,,,
Mumbai,Past 6 months,Couple,0-1,0,3.29,4.65,3.77,,
Mumbai,Past 6 months,Couple,1-2,43,,,,,
Mumbai,Past 6 months,Couple,2-3,76,,,,,
Mumbai,Past 6 months,Couple,3-4,238,,,,,
Mumbai,Past 6 months,Couple,4-5,1573,,,,,
Mumbai,Past 6 months,Other,0-1,0,3.47,4.60,3.84,,
Mumbai,Past 6 months,Other,1-2,43,,,,,
Mumbai,Past 6 months,Other,2-3,76,,,,,
Mumbai,Past 6 months,Other,3-4,238,,,,,
Mumbai,Past 6 months,Other,4-5,1573,,,,,
Mumbai,Past 1 year,Family,0-1,0,3.60,4.66,3.92,,
Mumbai,Past 1 year,Family,1-2,43,,,,,
Mumbai,Past 1 year,Family,2-3,76,,,,,
Mumbai,Past 1 year,Family,3-4,238,,,,,
Mumbai,Past 1 year,Family,4-5,1573,,,,,
Mumbai,Past 1 year,Friends,0-1,0,3.46,4.29,3.89,,
Mumbai,Past 1 year,Friends,1-2,43,,,,,
Mumbai,Past 1 year,Friends,2-3,76,,,,,
Mumbai,Past 1 year,Friends,3-4,238,,,,,
Mumbai,Past 1 year,Friends,4-5,1573,,,,,
Mumbai,Past 1 year,Solo,0-1,0,3.60,4.65,4.03,,
Mumbai,Past 1 year,Solo,1-2,43,,,,,
Mumbai,Past 1 year,Solo,2-3,76,,,,,
Mumbai,Past 1 year,Solo,3-4,238,,,,,
Mumbai,Past 1 year,Solo,4-5,1573,,,,,
