Unnamed: 0,City,Attraction,Summarised Review,Compound Sentiment,Normalised Sentiment,Mean Rating
0,Madras,Kapaleeshwarar_Temple,"temple is in center of city ( Mylapore Chennai ) and having car parking with reasonable cost . even in the inside-most shrine for Lord Shiva, they implemented an A/C, something many temples in Kerala are lacking .",0.0,3,4.56
1,Madras,VGP_Snow_Kingdom,a must visit place for friends and family in chennai . enjoyed a lot with my family and hubby .,0.7506,5,4.96
2,Madras,Marina_Beach,the beach itself is really huge with a huge expanse of sand . if you will ride along the beach side road early morning then it will be a good experience .,0.7956,5,4.08
3,Madras,Besant_Nagar_Beach,"temple is very crowded on Tuesdays and Fridays . the beach is very clean and well maintained, it is very safe as well .",0.8724,5,4.25
4,Madras,San_Thome_Church,a very nice white church beautiful contrast in the decor of a city of chennai . you have to go behind the church to enter the tomb of Thomas .,0.7902,5,4.5
5,Madras,Express_Avenue_Mall,mall has a wide area for parking the cars and there is a digital board at the entrance of the car parking . Almost all types of shops are available here .,0.0,3,4.35
6,Madras,Shirdi_Sai_Baba_Temple,"sai baba temple in shirdi is a must visit after completing the darshan . there is also a place called dwarikamai, where he spent 60 years of life .",0.0,3,4.74
7,Madras,Mylapore,chennai is a very old locality with many temples and eateries open since many decades . the old Brahmin houses have given way to new shops and show rooms .,0.0,3,4.58
8,Madras,Parthasarathy_Temple,the temple dates back to the 8th century and is one of the oldest structures in the city . lord vishnu is situated inside the temple and mostly Vaisnayanthe followers will be seen .,0.0,3,4.6
9,Madras,VGP_Marine_Kingdom,the place is well kept and is worth every penny spent . some people vomited inside the tunnel and it was stinking .,-0.1027,3,4.42
10,Madras,Ramakrishna_Temple,"the temple has an ancient history associated with the famous saints paramahamsar,sarada devi, vivekanandar . the temple is well maintained,huge,clean,and peaceful apt for meditation at the center the noisy city .",0.5574,5,4.67
11,Madras,Chennai_Central_Railway_Station,"chennai central railway station is one of the best places to reach almost to other places and also there are trains available often . the facilities and the maintenance has gone down tremendously, especially with the stink (may be due to freight - seafood)",0.3262,4,4.19
12,Madras,T_Nagar_Ranganathan_Street,best place in Chennai for shopping good bargains all the needs you can get it here.,0.7964,5,4.01
13,Madras,Vadapalani_Murugan_Temple,lord anjaneyar temple in kodambakkam is one of the most popular temples in the world . the temple was built in 1890 by a strong devotee of Lord murugan called Annaswamy Nayakar,0.8399,5,4.41
14,Madras,Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.ht,"deity is a very tall hanumanji . there are smaller shrines , too ,for Sri.Rama , Sri Krishna and Sri.Ganapathi .",0.0,3,4.75
15,Madras,VGP_Universal_Kingdom,"show world is also good but we didn't get time to visit . we reached by 10:45,still lots were under maintenance or person was not available.Ladies and gents bathroom without door,no water supply for shower .",0.3716,4,4.27
16,Madras,Kamakshi_Amman_Temple,the temple is dedicated to goddess parvathi worshipped as kamakshi . it is famous among the locals due to the second power and kind blessings of the amman .,0.9274,5,4.54
17,Madras,ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,"the temple is situated away from the madding crowd and chaos of city life . it is a place that you should visit in Chennai, though there are so many other temples which are better than this .",-0.2023,3,4.54
18,Madras,Arignar_Anna_Zoological_Park,the zoo is spread over large area and has an entrance fee of 90rs per head and 25 rs for mobile camera . there are separate areas for each category and there proper sign boards everywhere .,0.0,3,3.99
19,Madras,The_Anna_Centenary_Library,the library was built as a memory of Anna's 100th birthday . there is a separate place for reading our books which we bring home . the maintenance of the place can be increased for its not as it used to be .,0.2732,4,4.47
20,Madras,Chennai_Rail_Museum,the history of railways is well illustrated and shows many interesting facts not known to many . cool drinks can be included given the hot weather during the day.,0.7269,5,4.33
21,Madras,Guindy_Snake_Park,"the park has been attracting 7 to 8 lakh visitors in a year mostly school children . it boasts of a huge collection of 23 different snakes including adders, pythons, vipers, cobras and other reptiles .",0.6597,5,4.14
22,Madras,Chennai_Metro_Rail,the Chennai Metro is a cheap alternative to taxis to n from the airport . it runs underground and has got orange lights to make it look good .,0.4404,4,4.51
23,Madras,St_Thomas_Mount_National_Shrine,"the view over chennai city is excellent . the site is not being given its due importance unlike a place like Velankanni, for instance .",0.8271,5,4.41
24,Madras,Kalikambal_Temple,the temple is dedicated to Hindu goddess Shri Kali Kambal (Lordess Sakthi) and Lord Kamateshwarar (Shiva) on the 1st May of every year since 1985 .,0.4588,4,4.64
25,Madras,Marundeeswarar_Temple,"Located in thiruvanmiyur, it has prime god - marundeeswarar and Goddess thiripura sundari . it has a vanni tree where its been written that Lord Shiva appeared twice .",0.2732,4,4.68
26,Madras,Elliot_s_Beach,"the area around the beach has been ""developed"" in the worst possible way . comparatively more people come to the beach in the evening because there were lots of shops for snack which were closed during the morning time .",-0.6249,1,4.01
27,Madras,Government_Museum,"the Chennai government museum was terrible, construction work going on all over the site, some excavated trenches that had clearly been open for years . the building is a red in colour which makes it unique and reminds the british era in india, chen",-0.1027,3,3.88
28,Madras,Ashtalakshmi_Temple,this temple is constructed in the year of 1976 . it is the place where you could see all the eight forms of Goddess Mahalakshmi.,0.0,3,4.47
29,Madras,Cholamandal_Artists_Village,"the ""art village"" is a collection of small to medium size art work in 2 buildings . it is not easy to visit some of the artists but it's a lovely experience . if you like modern art do not miss this .",0.856,5,4.23
30,Madras,Vivekananda_House,"colonial building once used as storage house of ice, it was the home for swami Vivekananda during his visit to Chennai . it is now undertaken and maintained by Ramakrishna missionary .",0.0,3,4.4
31,Madras,Indian_Institute_Of_Technology_Madras,the institute is maintain by and comes under the central government of india . it is located in the huge land of forest and you can easily locate several reindeer .,0.5719,5,4.53
32,Madras,Queens_Land,a lot of crowd in the pool during 2nd half of the amusement park day . a tick on the arm band after you enter the ride is placed on your wrist .,0.3612,4,3.78
33,Madras,Matsya_Narayana_Temple,"the temple without roof, but pillars around, along the Utthandi beach, has the Lord Matsya Narayana in the centre . Located right besides the beach, this temple is a must visit for everyone around Chennai .",0.0,3,4.85
34,Madras,Ananthaa_Padmanabha_Swaamy_Temple,the temple is well maintained and popular in the good locality of Adyar . the main deity is Sri.Anantha Padbanaswamy .,0.7783,5,4.61
35,Madras,Aarupadai_Veedu_Temple,ashta lakshmi temple is situated in a dead end with a quite serene place . the temple is located on the shores of besant nagar beach and it is a spectacular view of beach from the temple .,-0.2516,2,4.48
36,Madras,Mahalingapuram_Sree_Ayyappa_Temple,"over generations devotees undertake an annual pilgrimage to the main Ayyapa temple in Sabarimala . the temple is dedicated to the hindu celibate diety, Lord ayyappan also known as dharma sastha",0.5423,5,4.6
37,Madras,Pondy_Bazaar,many shops in this area offer beautiful traditional clothes but do not expect high quality stuff . it is one of the busiest places in Chennai with a lot of shopping centres and shops for almost anything .,0.3506,4,4.24
38,Madras,Little_Mount_Shrine,"if you are just looking for tourist, it will take you no more than 15 minutes to go in . St.Thomas cave is under ground and one has to enter through a tiny way .",-0.296,2,4.5
39,Madras,The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.ht,"despite being a resident of Chennai for nearly 12 years now, it took me a long while to visit the theosophical society gardens . the reason is simply due to inconvenient timings when visitors are allowed .",-0.34,2,4.27
40,Madras,Chetpet_EcoPark,ecopark is one of the best parks in Chennai . there is no water due to poor maintenance the plants in the park area has lost its bloom .,-0.34,2,4.34
41,Madras,Light_House,"tiny park for kids and a musiuam along with the light house . light house is on the marina beach, which is the longest beach of this world . if you are along with kids lift facilities available .",0.0,3,4.14
42,Madras,Fort_St_George,"the museum is chock full of memorials to those who lived, served and died here . a stroll around, you would see fascinating sights like old parade ground, basket ball court, national art gallery and other old buildings .",0.34,4,3.48
43,Madras,Kundrathur_Murugan_Temple,temple is located on top of a small hill in Kundrathur which is very close to Chennai city . people can travel by car to the hillock by a special road for travelling to the temple .,0.5423,5,4.47
44,Madras,Jagannath_Temple_Kanathur,suprrb temple of lord jagannath of puri is one of its kind in chennai . temple was constructed in 1994 after following all Hindu rules . a must visit temple for krishna fans .,0.5267,5,4.44
45,Madras,Muttukadu_Lake,the beach water is very clean and it takes around 15 mins to travel by boat to this place . the boat house is far cleaner than before .,0.5709,5,3.81
46,Madras,Kovalam_Beach,Kovalam beach is mostly clean and we always have a great time . there is a fish market nearby and you can get fresh catch every dau..,0.8442,5,3.7
47,Madras,Armenian_Church,"one of the oldest churches in Chennai and in bustling busy sector of Chennai Parrys . a very well maintained ,spick and span clean church spreading austerity all over.",0.624,5,4.27
48,Madras,Parry_s_Corner,the rattan bazaar is one of the busiest areas in chennai and has its own touch like no other . it is a very significant area since the bygone British era especially George Town and Parrys .,0.3384,4,3.99
49,Madras,Patalathri_Narasimhar_Temple,"the name of the place, ‘PatalAdri’ also gives a similar expression, as in Sanskrit . if one gets to worship the third eye of the Lord, all miseries get destroyed.",-0.6908,1,4.94
50,Madras,Gandhi_Statue,Gandhi statue is situated right on the marina beach and it is good place to spend the evenings .,0.4404,4,3.9
51,Madras,Kumaran_Kundram,the temple is located on the hill top.we have to climb nearly 90 steps to reach out . there is a small sivan temple inside the temple .,0.0258,3,4.61
52,Madras,Chennai_Citi_Center,it used to be one of the best mall in chennai a decade back inspite its small size . now bigger and better malls have come and overshadow this mall .,0.7964,5,3.69
