,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g304556-d325374-Reviews-Kapaleeshwarar_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
1,https://www.tripadvisor.in/Attraction_Review-g304556-d8544835-Reviews-VGP_Snow_Kingdom-Chennai_Madras_Chennai_District_Tamil_Nadu.html
2,https://www.tripadvisor.in/Attraction_Review-g304556-d321279-Reviews-Marina_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
3,https://www.tripadvisor.in/Attraction_Review-g304556-d1785664-Reviews-Besant_Nagar_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
4,https://www.tripadvisor.in/Attraction_Review-g304556-d325357-Reviews-San_Thome_Church-Chennai_Madras_Chennai_District_Tamil_Nadu.html
5,https://www.tripadvisor.in/Attraction_Review-g304556-d1793554-Reviews-Express_Avenue_Mall-Chennai_Madras_Chennai_District_Tamil_Nadu.html
6,https://www.tripadvisor.in/Attraction_Review-g304556-d3598442-Reviews-Shirdi_Sai_Baba_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
7,https://www.tripadvisor.in/Attraction_Review-g304556-d1205660-Reviews-Mylapore-Chennai_Madras_Chennai_District_Tamil_Nadu.html
8,https://www.tripadvisor.in/Attraction_Review-g304556-d2706089-Reviews-Parthasarathy_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
9,https://www.tripadvisor.in/Attraction_Review-g304556-d17396892-Reviews-VGP_Marine_Kingdom-Chennai_Madras_Chennai_District_Tamil_Nadu.html
10,https://www.tripadvisor.in/Attraction_Review-g304556-d325359-Reviews-Ramakrishna_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
11,https://www.tripadvisor.in/Attraction_Review-g304556-d8089762-Reviews-Chennai_Central_Railway_Station-Chennai_Madras_Chennai_District_Tamil_Nadu.html
12,https://www.tripadvisor.in/Attraction_Review-g304556-d1790425-Reviews-T_Nagar_Ranganathan_Street-Chennai_Madras_Chennai_District_Tamil_Nadu.html
13,https://www.tripadvisor.in/Attraction_Review-g304556-d2665157-Reviews-Vadapalani_Murugan_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
14,https://www.tripadvisor.in/Attraction_Review-g304556-d2668201-Reviews-Viswaroopa_Adhivyadhihara_Sri_Bhaktha_Anjaneyaswami_Temple-Chennai_Madras_Chennai.html
15,https://www.tripadvisor.in/Attraction_Review-g304556-d2216751-Reviews-VGP_Universal_Kingdom-Chennai_Madras_Chennai_District_Tamil_Nadu.html
16,https://www.tripadvisor.in/Attraction_Review-g304556-d500199-Reviews-Kamakshi_Amman_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
17,https://www.tripadvisor.in/Attraction_Review-g304556-d3186906-Reviews-ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.html
18,https://www.tripadvisor.in/Attraction_Review-g304556-d3613690-Reviews-Arignar_Anna_Zoological_Park-Chennai_Madras_Chennai_District_Tamil_Nadu.html
19,https://www.tripadvisor.in/Attraction_Review-g304556-d2706094-Reviews-The_Anna_Centenary_Library-Chennai_Madras_Chennai_District_Tamil_Nadu.html
20,https://www.tripadvisor.in/Attraction_Review-g304556-d3398452-Reviews-Chennai_Rail_Museum-Chennai_Madras_Chennai_District_Tamil_Nadu.html
21,https://www.tripadvisor.in/Attraction_Review-g304556-d325388-Reviews-Guindy_Snake_Park-Chennai_Madras_Chennai_District_Tamil_Nadu.html
22,https://www.tripadvisor.in/Attraction_Review-g304556-d8524339-Reviews-Chennai_Metro_Rail-Chennai_Madras_Chennai_District_Tamil_Nadu.html
23,https://www.tripadvisor.in/Attraction_Review-g304556-d3908158-Reviews-St_Thomas_Mount_National_Shrine-Chennai_Madras_Chennai_District_Tamil_Nadu.html
24,https://www.tripadvisor.in/Attraction_Review-g304556-d2489825-Reviews-Kalikambal_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
25,https://www.tripadvisor.in/Attraction_Review-g304556-d3727411-Reviews-Marundeeswarar_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
26,https://www.tripadvisor.in/Attraction_Review-g304556-d4152199-Reviews-Elliot_s_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
27,https://www.tripadvisor.in/Attraction_Review-g304556-d325410-Reviews-Government_Museum-Chennai_Madras_Chennai_District_Tamil_Nadu.html
28,https://www.tripadvisor.in/Attraction_Review-g304556-d2697598-Reviews-Ashtalakshmi_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
29,https://www.tripadvisor.in/Attraction_Review-g304556-d1901712-Reviews-Cholamandal_Artists_Village-Chennai_Madras_Chennai_District_Tamil_Nadu.html
30,https://www.tripadvisor.in/Attraction_Review-g304556-d3913403-Reviews-Vivekananda_House-Chennai_Madras_Chennai_District_Tamil_Nadu.html
31,https://www.tripadvisor.in/Attraction_Review-g304556-d5782186-Reviews-Indian_Institute_Of_Technology_Madras-Chennai_Madras_Chennai_District_Tamil_Nadu.html
32,https://www.tripadvisor.in/Attraction_Review-g304556-d1770507-Reviews-Queens_Land-Chennai_Madras_Chennai_District_Tamil_Nadu.html
33,https://www.tripadvisor.in/Attraction_Review-g304556-d7134418-Reviews-Shirdi_Sai_Baba_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
34,https://www.tripadvisor.in/Attraction_Review-g304556-d11886164-Reviews-Matsya_Narayana_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
35,https://www.tripadvisor.in/Attraction_Review-g304556-d2697594-Reviews-Ananthaa_Padmanabha_Swaamy_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
36,https://www.tripadvisor.in/Attraction_Review-g304556-d2697593-Reviews-Aarupadai_Veedu_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
37,https://www.tripadvisor.in/Attraction_Review-g304556-d7205194-Reviews-Mahalingapuram_Sree_Ayyappa_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
38,https://www.tripadvisor.in/Attraction_Review-g304556-d8431476-Reviews-Pondy_Bazaar-Chennai_Madras_Chennai_District_Tamil_Nadu.html
39,https://www.tripadvisor.in/Attraction_Review-g304556-d2025750-Reviews-Little_Mount_Shrine-Chennai_Madras_Chennai_District_Tamil_Nadu.html
40,https://www.tripadvisor.in/Attraction_Review-g304556-d2706069-Reviews-The_Huddleston_Gardens_of_Theosophical_Society-Chennai_Madras_Chennai_District_Ta.html
41,https://www.tripadvisor.in/Attraction_Review-g304556-d10110985-Reviews-Chetpet_EcoPark-Chennai_Madras_Chennai_District_Tamil_Nadu.html
42,https://www.tripadvisor.in/Attraction_Review-g304556-d6925635-Reviews-Light_House-Chennai_Madras_Chennai_District_Tamil_Nadu.html
43,https://www.tripadvisor.in/Attraction_Review-g304556-d325067-Reviews-Fort_St_George-Chennai_Madras_Chennai_District_Tamil_Nadu.html
44,https://www.tripadvisor.in/Attraction_Review-g304556-d7314271-Reviews-Kundrathur_Murugan_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
45,https://www.tripadvisor.in/Attraction_Review-g304556-d2414290-Reviews-Jagannath_Temple_Kanathur-Chennai_Madras_Chennai_District_Tamil_Nadu.html
46,https://www.tripadvisor.in/Attraction_Review-g304556-d2706087-Reviews-Muttukadu_Lake-Chennai_Madras_Chennai_District_Tamil_Nadu.html
47,https://www.tripadvisor.in/Attraction_Review-g304556-d3701668-Reviews-Kovalam_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
48,https://www.tripadvisor.in/Attraction_Review-g304556-d2697597-Reviews-Armenian_Church-Chennai_Madras_Chennai_District_Tamil_Nadu.html
49,https://www.tripadvisor.in/Attraction_Review-g304556-d8720387-Reviews-Parry_s_Corner-Chennai_Madras_Chennai_District_Tamil_Nadu.html
50,https://www.tripadvisor.in/Attraction_Review-g304556-d9716629-Reviews-Patalathri_Narasimhar_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
51,https://www.tripadvisor.in/Attraction_Review-g304556-d6925633-Reviews-Gandhi_Statue-Chennai_Madras_Chennai_District_Tamil_Nadu.html
52,https://www.tripadvisor.in/Attraction_Review-g304556-d2689497-Reviews-Kumaran_Kundram-Chennai_Madras_Chennai_District_Tamil_Nadu.html
53,https://www.tripadvisor.in/Attraction_Review-g304556-d1793636-Reviews-Chennai_Citi_Center-Chennai_Madras_Chennai_District_Tamil_Nadu.html
54,https://www.tripadvisor.in/Attraction_Review-g304556-d4359033-Reviews-M_A_Chidambaram_Stadium-Chennai_Madras_Chennai_District_Tamil_Nadu.html
55,https://www.tripadvisor.in/Attraction_Review-g304556-d10112090-Reviews-Anna_Nagar_Tower_Park-Chennai_Madras_Chennai_District_Tamil_Nadu.html
56,https://www.tripadvisor.in/Attraction_Review-g304556-d3705930-Reviews-Sringeri_Saradha_Peetam_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
57,https://www.tripadvisor.in/Attraction_Review-g304556-d6429168-Reviews-Thiruvidanthai_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
58,https://www.tripadvisor.in/Attraction_Review-g304556-d6496226-Reviews-Padi_Sivan_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
59,https://www.tripadvisor.in/Attraction_Review-g304556-d321278-Reviews-Spencer_Plaza-Chennai_Madras_Chennai_District_Tamil_Nadu.html
60,https://www.tripadvisor.in/Attraction_Review-g304556-d7776801-Reviews-Ranganatha_Temple-Chennai_Madras_Chennai_District_Tamil_Nadu.html
61,https://www.tripadvisor.in/Attraction_Review-g304556-d4219824-Reviews-Chokhi_Dhani-Chennai_Madras_Chennai_District_Tamil_Nadu.html
62,https://www.tripadvisor.in/Attraction_Review-g304556-d2697601-Reviews-Breezy_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
63,https://www.tripadvisor.in/Attraction_Review-g304556-d2651336-Reviews-Guindy_National_Park-Chennai_Madras_Chennai_District_Tamil_Nadu.html
64,https://www.tripadvisor.in/Attraction_Review-g304556-d325397-Reviews-B_M_Birla_Planaturium-Chennai_Madras_Chennai_District_Tamil_Nadu.html
65,https://www.tripadvisor.in/Attraction_Review-g304556-d8015909-Reviews-Semmozhi_Poonga-Chennai_Madras_Chennai_District_Tamil_Nadu.html
66,https://www.tripadvisor.in/Attraction_Review-g304556-d2475766-Reviews-Sowcarpet-Chennai_Madras_Chennai_District_Tamil_Nadu.html
67,https://www.tripadvisor.in/Attraction_Review-g304556-d2664875-Reviews-VGP_Golden_Beach-Chennai_Madras_Chennai_District_Tamil_Nadu.html
68,https://www.tripadvisor.in/Attraction_Review-g304556-d7738656-Reviews-MGR_Memorial-Chennai_Madras_Chennai_District_Tamil_Nadu.html
69,https://www.tripadvisor.in/Attraction_Review-g304556-d3202840-Reviews-Fort_Museum-Chennai_Madras_Chennai_District_Tamil_Nadu.html
70,https://www.tripadvisor.in/Attraction_Review-g304556-d2706098-Reviews-Chennai_Turtle_Walk-Chennai_Madras_Chennai_District_Tamil_Nadu.html
71,https://www.tripadvisor.in/Attraction_Review-g304556-d3705852-Reviews-The_Rajiv_Gandhi_Memorial-Chennai_Madras_Chennai_District_Tamil_Nadu.html
