,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g304551-d311626-Reviews-Qutub_Minar-New_Delhi_National_Capital_Territory_of_Delhi.html
1,https://www.tripadvisor.in/Attraction_Review-g304551-d626913-Reviews-Swaminarayan_Akshardham-New_Delhi_National_Capital_Territory_of_Delhi.html
2,https://www.tripadvisor.in/Attraction_Review-g304551-d311618-Reviews-Humayun_s_Tomb-New_Delhi_National_Capital_Territory_of_Delhi.html
3,https://www.tripadvisor.in/Attraction_Review-g304551-d3681196-Reviews-Gurudwara_Bangla_Sahib-New_Delhi_National_Capital_Territory_of_Delhi.html
4,https://www.tripadvisor.in/Attraction_Review-g304551-d321493-Reviews-India_Gate-New_Delhi_National_Capital_Territory_of_Delhi.html
5,https://www.tripadvisor.in/Attraction_Review-g304551-d324106-Reviews-Lodhi_Garden-New_Delhi_National_Capital_Territory_of_Delhi.html
6,https://www.tripadvisor.in/Attraction_Review-g304551-d311659-Reviews-Lotus_Temple-New_Delhi_National_Capital_Territory_of_Delhi.html
7,https://www.tripadvisor.in/Attraction_Review-g304551-d319701-Reviews-Red_Fort-New_Delhi_National_Capital_Territory_of_Delhi.html
8,https://www.tripadvisor.in/Attraction_Review-g304551-d311613-Reviews-Chandni_Chowk-New_Delhi_National_Capital_Territory_of_Delhi.html
9,https://www.tripadvisor.in/Attraction_Review-g304551-d554690-Reviews-Hauz_Khas_Village-New_Delhi_National_Capital_Territory_of_Delhi.html
10,https://www.tripadvisor.in/Attraction_Review-g304551-d321495-Reviews-Rashtrapati_Bhavan-New_Delhi_National_Capital_Territory_of_Delhi.html
11,https://www.tripadvisor.in/Attraction_Review-g304551-d8064356-Reviews-Delhi_Airport_Metro_Express-New_Delhi_National_Capital_Territory_of_Delhi.html
12,https://www.tripadvisor.in/Attraction_Review-g304551-d2154496-Reviews-Select_Citywalk-New_Delhi_National_Capital_Territory_of_Delhi.html
13,https://www.tripadvisor.in/Attraction_Review-g304551-d321498-Reviews-Rajpath-New_Delhi_National_Capital_Territory_of_Delhi.html
14,https://www.tripadvisor.in/Attraction_Review-g304551-d321494-Reviews-ISKCON_Temple_Delhi-New_Delhi_National_Capital_Territory_of_Delhi.html
15,https://www.tripadvisor.in/Attraction_Review-g304551-d641643-Reviews-Gandhi_Smriti-New_Delhi_National_Capital_Territory_of_Delhi.html
16,https://www.tripadvisor.in/Attraction_Review-g304551-d324103-Reviews-Connaught_Place-New_Delhi_National_Capital_Territory_of_Delhi.html
17,https://www.tripadvisor.in/Attraction_Review-g304551-d324101-Reviews-Birla_Mandir_Temple_Lakshmi_Narayan-New_Delhi_National_Capital_Territory_of_Delhi.html
18,https://www.tripadvisor.in/Attraction_Review-g304551-d324102-Reviews-Chhatarpur_Temple-New_Delhi_National_Capital_Territory_of_Delhi.html
19,https://www.tripadvisor.in/Attraction_Review-g304551-d320433-Reviews-Dilli_Haat-New_Delhi_National_Capital_Territory_of_Delhi.html
20,https://www.tripadvisor.in/Attraction_Review-g304551-d9719012-Reviews-Delhi_Metro-New_Delhi_National_Capital_Territory_of_Delhi.html
21,https://www.tripadvisor.in/Attraction_Review-g304551-d4152180-Reviews-Gurudwara_Sis_Ganj_Sahib-New_Delhi_National_Capital_Territory_of_Delhi.html
22,https://www.tripadvisor.in/Attraction_Review-g304551-d319682-Reviews-National_Museum-New_Delhi_National_Capital_Territory_of_Delhi.html
23,https://www.tripadvisor.in/Attraction_Review-g304551-d1820160-Reviews-Khan_Market-New_Delhi_National_Capital_Territory_of_Delhi.html
24,https://www.tripadvisor.in/Attraction_Review-g304551-d2462091-Reviews-Sarojini_Nagar_Market-New_Delhi_National_Capital_Territory_of_Delhi.html
25,https://www.tripadvisor.in/Attraction_Review-g304551-d579936-Reviews-National_Rail_Museum-New_Delhi_National_Capital_Territory_of_Delhi.html
26,https://www.tripadvisor.in/Attraction_Review-g304551-d1976642-Reviews-Raj_Ghat-New_Delhi_National_Capital_Territory_of_Delhi.html
27,https://www.tripadvisor.in/Attraction_Review-g304551-d325110-Reviews-Indira_Gandhi_Memorial_Museum-New_Delhi_National_Capital_Territory_of_Delhi.html
28,https://www.tripadvisor.in/Attraction_Review-g304551-d311615-Reviews-Crafts_Museum-New_Delhi_National_Capital_Territory_of_Delhi.html
29,https://www.tripadvisor.in/Attraction_Review-g304551-d6438182-Reviews-Mughal_Garden-New_Delhi_National_Capital_Territory_of_Delhi.html
30,https://www.tripadvisor.in/Attraction_Review-g304551-d311624-Reviews-National_Gandhi_Museum-New_Delhi_National_Capital_Territory_of_Delhi.html
31,https://www.tripadvisor.in/Attraction_Review-g304551-d10366125-Reviews-Agrasen_Ki_Baoli_Leamigo-New_Delhi_National_Capital_Territory_of_Delhi.html
