,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g306996-d482982-Reviews-Palolem_Beach-Canacona_South_Goa_District_Goa.html
1,https://www.tripadvisor.in/Attraction_Review-g635747-d2697362-Reviews-Baga_Beach-Baga_North_Goa_District_Goa.html
2,https://www.tripadvisor.in/Attraction_Review-g306994-d2523894-Reviews-Benaulim_Beach-Benaulim_Salcette_South_Goa_District_Goa.html
3,https://www.tripadvisor.in/Attraction_Review-g775971-d1751661-Reviews-Cavelossim_Beach-Cavelossim_South_Goa_District_Goa.html
4,https://www.tripadvisor.in/Attraction_Review-g816969-d1751637-Reviews-Agonda_Beach-Agonda_South_Goa_District_Goa.html
5,https://www.tripadvisor.in/Attraction_Review-g6109760-d320663-Reviews-Basilica_of_Bom_Jesus-Goa_Velha_Goa.html
6,https://www.tripadvisor.in/Attraction_Review-g1096236-d2665593-Reviews-Varca_Beach-Varca_Salcette_South_Goa_District_Goa.html
7,https://www.tripadvisor.in/Attraction_Review-g306993-d951184-Reviews-Candolim_Beach-Bardez_North_Goa_District_Goa.html
8,https://www.tripadvisor.in/Attraction_Review-g2307943-d482978-Reviews-Arambol_Beach-Arambol_North_Goa_District_Goa.html
9,https://www.tripadvisor.in/Attraction_Review-g306995-d1208998-Reviews-Calangute_Beach-Calangute_North_Goa_District_Goa.html
10,https://www.tripadvisor.in/Attraction_Review-g1936425-d1230998-Reviews-Morjim_Beach-Morjim_North_Goa_District_Goa.html
11,https://www.tripadvisor.in/Attraction_Review-g303877-d4742920-Reviews-Deltin_Royale-Panjim_North_Goa_District_Goa.html
12,https://www.tripadvisor.in/Attraction_Review-g1833171-d3187540-Reviews-Dudhsagar_Falls-Mollem_National_Park_South_Goa_District_Goa.html
13,https://www.tripadvisor.in/Attraction_Review-g1204863-d1063236-Reviews-Utorda_Beach-Utorda_South_Goa_District_Goa.html
14,https://www.tripadvisor.in/Attraction_Review-g303877-d15113610-Reviews-Big_Daddy_Casino-Panjim_North_Goa_District_Goa.html
15,https://www.tripadvisor.in/Attraction_Review-g297605-d2639551-Reviews-Sheek_Emporium_Armanii_Boutique_Since_1950-Candolim_Bardez_North_Goa_District_Goa.html
16,https://www.tripadvisor.in/Attraction_Review-g1438385-d1065278-Reviews-Vagator_Beach-Mapusa_North_Goa_District_Goa.html
17,https://www.tripadvisor.in/Attraction_Review-g6109760-d320659-Reviews-Old_Goa-Goa_Velha_Goa.html
18,https://www.tripadvisor.in/Attraction_Review-g1010240-d1723866-Reviews-Mandrem_Beach-Mandrem_North_Goa_District_Goa.html
19,https://www.tripadvisor.in/Attraction_Review-g1165042-d1471459-Reviews-Fort_Aguada-Sinquerim_North_Goa_District_Goa.html
20,https://www.tripadvisor.in/Attraction_Review-g306996-d1961535-Reviews-Cola_Beach-Canacona_South_Goa_District_Goa.html
21,https://www.tripadvisor.in/Attraction_Review-g1064392-d2306590-Reviews-Colva_Beach-Colva_South_Goa_District_Goa.html
22,https://www.tripadvisor.in/Attraction_Review-g303877-d320658-Reviews-Fontainhas-Panjim_North_Goa_District_Goa.html
23,https://www.tripadvisor.in/Attraction_Review-g1165042-d3879393-Reviews-Sinquerim_Beach-Sinquerim_North_Goa_District_Goa.html
24,https://www.tripadvisor.in/Attraction_Review-g306993-d605784-Reviews-Anjuna_Beach-Bardez_North_Goa_District_Goa.html
25,https://www.tripadvisor.in/Attraction_Review-g306992-d319879-Reviews-Anjuna_Market-Anjuna_Bardez_North_Goa_District_Goa.html
26,https://www.tripadvisor.in/Attraction_Review-g303877-d320660-Reviews-Se_Cathedral-Panjim_North_Goa_District_Goa.html
27,https://www.tripadvisor.in/Attraction_Review-g303877-d320654-Reviews-Church_of_Our_Lady_of_the_Immaculate_Conception-Panjim_North_Goa_District_Goa.html
28,https://www.tripadvisor.in/Attraction_Review-g1936425-d2721491-Reviews-Ashwem_Beach-Morjim_North_Goa_District_Goa.html
29,https://www.tripadvisor.in/Attraction_Review-g2531348-d2345653-Reviews-Chapora_Fort-Chapora_North_Goa_District_Goa.html
30,https://www.tripadvisor.in/Attraction_Review-g303877-d3608775-Reviews-Reis_Magos_Fort-Panjim_North_Goa_District_Goa.html
31,https://www.tripadvisor.in/Attraction_Review-g297604-d1380330-Reviews-Mangeshi_Temple-Goa.html
32,https://www.tripadvisor.in/Attraction_Review-g312680-d2556336-Reviews-The_Saturday_Night_Market-Arpora_North_Goa_District_Goa.html
33,https://www.tripadvisor.in/Attraction_Review-g15420940-d320664-Reviews-Tomb_of_St_Francis_Xavier-Old_Goa_North_Goa_District_Goa.html
34,https://www.tripadvisor.in/Attraction_Review-g303877-d3705417-Reviews-Shantadurga_Temple-Panjim_North_Goa_District_Goa.html
35,https://www.tripadvisor.in/Attraction_Review-g1199433-d2463201-Reviews-Majorda_Beach-Majorda_South_Goa_District_Goa.html
36,https://www.tripadvisor.in/Attraction_Review-g303877-d3187354-Reviews-Miramar_Beach-Panjim_North_Goa_District_Goa.html
37,https://www.tripadvisor.in/Attraction_Review-g1584785-d1818820-Reviews-Sahakari_Spice_Farm-Ponda_North_Goa_District_Goa.html
38,https://www.tripadvisor.in/Attraction_Review-g1087527-d3187085-Reviews-Dona_Paula_Beach-Dona_Paula_Panjim_North_Goa_District_Goa.html
39,https://www.tripadvisor.in/Attraction_Review-g306993-d325111-Reviews-Fort_Aguada_Lighthouse-Bardez_North_Goa_District_Goa.html
40,https://www.tripadvisor.in/Attraction_Review-g1925961-d2697308-Reviews-Betalbatim_Beach-Betalbatim_Salcette_South_Goa_District_Goa.html
41,https://www.tripadvisor.in/Attraction_Review-g2307943-d3735595-Reviews-Keri_Beach_Querim_Beach-Arambol_North_Goa_District_Goa.html
42,https://www.tripadvisor.in/Attraction_Review-g306996-d1755259-Reviews-Cabo_de_Rama_Fort-Canacona_South_Goa_District_Goa.html
43,https://www.tripadvisor.in/Attraction_Review-g306995-d4138933-Reviews-St_Alex_Church-Calangute_North_Goa_District_Goa.html
44,https://www.tripadvisor.in/Attraction_Review-g2334950-d2721507-Reviews-Butterfly_Beach-Palolem_Canacona_South_Goa_District_Goa.html
45,https://www.tripadvisor.in/Attraction_Review-g2037406-d2493135-Reviews-Tanshikar_s_Working_Organic_Spice_Farm-Sanguem_South_Goa_District_Goa.html
46,https://www.tripadvisor.in/Attraction_Review-g312681-d1751660-Reviews-Cansaulim_Beach-Cansaulim_South_Goa_District_Goa.html
47,https://www.tripadvisor.in/Attraction_Review-g2531484-d2209802-Reviews-Naval_Aviation_Museum-Mormugao_North_Goa_District_Goa.html
48,https://www.tripadvisor.in/Attraction_Review-g1204880-d3140391-Reviews-Bogmalo_Beach-Vasco_da_Gama_South_Goa_District_Goa.html
49,https://www.tripadvisor.in/Attraction_Review-g816969-d4138937-Reviews-Galgibaga_Beach-Agonda_South_Goa_District_Goa.html
50,https://www.tripadvisor.in/Attraction_Review-g297606-d3705855-Reviews-Mobor_Beach-Salcette_South_Goa_District_Goa.html
51,https://www.tripadvisor.in/Attraction_Review-g1584785-d3296725-Reviews-Tropical_Spice_Plantation-Ponda_North_Goa_District_Goa.html
52,https://www.tripadvisor.in/Attraction_Review-g775971-d15617495-Reviews-Din_Brothers_Jewellers_and_Gold_Smiths-Cavelossim_South_Goa_District_Goa.html
53,https://www.tripadvisor.in/Attraction_Review-g303877-d4435595-Reviews-Divar_Island-Panjim_North_Goa_District_Goa.html
54,https://www.tripadvisor.in/Attraction_Review-g312681-d13224623-Reviews-Arossim_Beach-Cansaulim_South_Goa_District_Goa.html
