City,Attraction,Summarised Review
Goa,Palolem_Beach-Canacona_South,i highly recommend you to visit this beach if you are in south goa . the only place that we found with beach side huts and amazing food .
Goa,Baga_Beach-Baga_North,the best is to stay in south goa for half the time and switch to baga for the end of the vacation . the beach is very overcrowded but nice place to spend time and relax.
Goa,Benaulim_Beach-Benaulim_Salcette_South,"the beach is beautiful, clean and very less crowded . we went for dolphin trip and we're lucky to sight 6 dolphins close by."
Goa,Cavelossim_Beach-Cavelossim_South,"the cavelossim beach is a delight to be in with family, clean waters and very good lifeguards too...the point where the sea meets the Sal River is breathtaking and a must see ."
Goa,Agonda_Beach-Agonda_South,beautiful beach with very less people around . one can enjoy the clear waters and sunbath all day long .
Goa,Basilica_of_Bom_Jesus,"Located in old goa, this Basilica has an amazing architecture and is spread on a large complex, also housing a museum ."
Goa,Varca_Beach-Varca_Salcette_South,"one of the best beaches in Goa, white Sand, clean, less crowded, few shacks available which provide the necessary food and drinks ."
Goa,Candolim_Beach-Bardez_North,calamari beach is a great place to spend a day . shacks and resorts are available along the beach .
Goa,Arambol_Beach-Arambol_North,the beach is getting a little crowded now unlike earlier but still it's a very nice clean beach with shacks and activities like water sports .
Goa,Calangute_Beach-Calangute_North,i saw a number of people standing on the edges of the beach waiting for their chance to get a water sports ride . instead go to Candolim beach which is nearby . there are several other beaches in north goa which you will love to visit .
Goa,Morjim_Beach-Morjim_North,i have been there many times and found this place is lovely and clean . high tide was more in night so much water logged in the way around sinq beach so coming & going is bit difficult .
Goa,Deltin_Royale-Panjim_North,"if you are a first timer, this place is fair . they have no control nor any rule on total number of people at one floor at given time."
Goa,Dudhsagar_Falls-Mollem_National_Park_South,"if you manage to reach there view is awsome local giude told us its running almost all year but there is no facilities at all not even a toilet . with the crowd and management by goa tourism, would recommend giving it a miss ."
Goa,Utorda_Beach-Utorda_South,"byke rentals are a boon for tourist in goa, it's the best mode of transport . one of the best beaches in india n never seen such a clean beach ."
Goa,Big_Daddy_Casino-Panjim_North,"the big daddy casino is the best casino in goaThe service is good Food is delicious The ambience is also great.Greeted by Mr. Stephio, he has managed our trip so well."
Goa,Sheek_Emporium_Armanii_Boutique_Since_1950-Candolim_Bardez_North,i have had clothes made here many times on my last trip to goa and they are always well made and made just the way I asked . thank you Sheek emporium for the service and quality of the tailoring supplied to us for our sons wedding .
Goa,Vagator_Beach-Mapusa_North,"goa is a beautiful, clean and little less crowded beach with good restaurants, pubs and water sports activities . the water seemed clean with small waves so probably safe bathing and paddling to be had ."
Goa,Old,"old goa is a beautiful place from the round about between Panaji and Margao place is all about beautiful churches and old architectures . ruins are OK, mostly damaged."
Goa,Mandrem_Beach-Mandrem_North,not sure why this beach is so popular unless it’s the budget tour Russians on a boozing holiday . the beach is wide with very little shade & extremely diligent beach sellers .
Goa,Fort_Aguada-Sinquerim_North,a small lighthouse is there which is closed to the public . the fort is well maintained and lot of restoration has happened and is still happening . if they do open that for visitors in the future it would be great to visit it .
