,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g297586-d636879-Reviews-Ramoji_Film_City-Hyderabad_Hyderabad_District_Telangana.html
1,https://www.tripadvisor.in/Attraction_Review-g297586-d320673-Reviews-Golconda_Fort-Hyderabad_Hyderabad_District_Telangana.html
2,https://www.tripadvisor.in/Attraction_Review-g297586-d1021934-Reviews-Birla_Mandir-Hyderabad_Hyderabad_District_Telangana.html
3,https://www.tripadvisor.in/Attraction_Review-g297586-d320681-Reviews-Salar_Jung_Museum-Hyderabad_Hyderabad_District_Telangana.html
4,https://www.tripadvisor.in/Attraction_Review-g297586-d320672-Reviews-Taj_Falaknuma_Palace-Hyderabad_Hyderabad_District_Telangana.html
5,https://www.tripadvisor.in/Attraction_Review-g297586-d320668-Reviews-Charminar-Hyderabad_Hyderabad_District_Telangana.html
6,https://www.tripadvisor.in/Attraction_Review-g297586-d1740848-Reviews-Chilkur_Balaji_Temple-Hyderabad_Hyderabad_District_Telangana.html
7,https://www.tripadvisor.in/Attraction_Review-g297586-d1020670-Reviews-Chowmahalla_Palace-Hyderabad_Hyderabad_District_Telangana.html
8,https://www.tripadvisor.in/Attraction_Review-g297586-d3598152-Reviews-Shri_Jagannath_Temple-Hyderabad_Hyderabad_District_Telangana.html
9,https://www.tripadvisor.in/Attraction_Review-g297586-d320680-Reviews-Nehru_Zoological_Park-Hyderabad_Hyderabad_District_Telangana.html
10,https://www.tripadvisor.in/Attraction_Review-g297586-d14064327-Reviews-Calvary_Temple-Hyderabad_Hyderabad_District_Telangana.html
11,https://www.tripadvisor.in/Attraction_Review-g297586-d2390652-Reviews-Shilparamam_Cultural_Society-Hyderabad_Hyderabad_District_Telangana.html
12,https://www.tripadvisor.in/Attraction_Review-g297586-d320676-Reviews-Hussain_Sagar_Lake-Hyderabad_Hyderabad_District_Telangana.html
13,https://www.tripadvisor.in/Attraction_Review-g297586-d10386023-Reviews-Plaza_Premium_Lounge_Domestic_Departures-Hyderabad_Hyderabad_District_Telangana.html
14,https://www.tripadvisor.in/Attraction_Review-g297586-d5773137-Reviews-Inorbit_Mall-Hyderabad_Hyderabad_District_Telangana.html
15,https://www.tripadvisor.in/Attraction_Review-g297586-d320670-Reviews-Tank_Bund-Hyderabad_Hyderabad_District_Telangana.html
16,https://www.tripadvisor.in/Attraction_Review-g297586-d3138645-Reviews-ISKCON_Hyderabad_Sri_Sri_Radha_Madanmohan_Mandir-Hyderabad_Hyderabad_District_Tel.html
17,https://www.tripadvisor.in/Attraction_Review-g297586-d6496303-Reviews-Buddha_Statue-Hyderabad_Hyderabad_District_Telangana.html
18,https://www.tripadvisor.in/Attraction_Review-g297586-d6496296-Reviews-Peddamma_Temple-Hyderabad_Hyderabad_District_Telangana.html
19,https://www.tripadvisor.in/Attraction_Review-g297586-d1419407-Reviews-Hyderabad_International_Convention_Center-Hyderabad_Hyderabad_District_Telangana.html
20,https://www.tripadvisor.in/Attraction_Review-g297586-d1221406-Reviews-NTR_Garden-Hyderabad_Hyderabad_District_Telangana.html
21,https://www.tripadvisor.in/Attraction_Review-g297586-d1200832-Reviews-Sudha_Cars_Museum-Hyderabad_Hyderabad_District_Telangana.html
22,https://www.tripadvisor.in/Attraction_Review-g297586-d4401161-Reviews-Sri_Ramakrishna_Math-Hyderabad_Hyderabad_District_Telangana.html
23,https://www.tripadvisor.in/Attraction_Review-g297586-d3346204-Reviews-KBR_National_Park-Hyderabad_Hyderabad_District_Telangana.html
24,https://www.tripadvisor.in/Attraction_Review-g297586-d10161732-Reviews-Wonderla_Amusement_Park-Hyderabad_Hyderabad_District_Telangana.html
25,https://www.tripadvisor.in/Attraction_Review-g297586-d3705854-Reviews-Qutb_Shahi_Tombs-Hyderabad_Hyderabad_District_Telangana.html
26,https://www.tripadvisor.in/Attraction_Review-g297586-d1228084-Reviews-Lumbini_Park-Hyderabad_Hyderabad_District_Telangana.html
27,https://www.tripadvisor.in/Attraction_Review-g297586-d17639618-Reviews-Hare_Krishna_Golden_Temple-Hyderabad_Hyderabad_District_Telangana.html
28,https://www.tripadvisor.in/Attraction_Review-g297586-d3705766-Reviews-Sanghi_Temple-Hyderabad_Hyderabad_District_Telangana.html
29,https://www.tripadvisor.in/Attraction_Review-g297586-d1220201-Reviews-Jalavihar_Water_Park-Hyderabad_Hyderabad_District_Telangana.html
30,https://www.tripadvisor.in/Attraction_Review-g297586-d10068330-Reviews-Necklace_Road-Hyderabad_Hyderabad_District_Telangana.html
31,https://www.tripadvisor.in/Attraction_Review-g297586-d3705173-Reviews-Mecca_Masjid-Hyderabad_Hyderabad_District_Telangana.html
32,https://www.tripadvisor.in/Attraction_Review-g297586-d8097770-Reviews-The_Forum_Sujana_Mall-Hyderabad_Hyderabad_District_Telangana.html
33,https://www.tripadvisor.in/Attraction_Review-g297586-d2165405-Reviews-Snow_World-Hyderabad_Hyderabad_District_Telangana.html
