,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g1096234-d319875-Reviews-Amber_Palace-Amer_Jaipur_Jaipur_District_Rajasthan.html
1,https://www.tripadvisor.in/Attraction_Review-g304555-d311635-Reviews-Jantar_Mantar_Jaipur-Jaipur_Jaipur_District_Rajasthan.html
2,https://www.tripadvisor.in/Attraction_Review-g304555-d317345-Reviews-Hawa_Mahal_Palace_of_Wind-Jaipur_Jaipur_District_Rajasthan.html
3,https://www.tripadvisor.in/Attraction_Review-g304555-d324468-Reviews-City_Palace_of_Jaipur-Jaipur_Jaipur_District_Rajasthan.html
4,https://www.tripadvisor.in/Attraction_Review-g1096234-d324676-Reviews-Sheesh_Mahal_Hall_of_Mirrors-Amer_Jaipur_Jaipur_District_Rajasthan.html
5,https://www.tripadvisor.in/Attraction_Review-g304555-d320081-Reviews-Birla_Mandir_Temple-Jaipur_Jaipur_District_Rajasthan.html
6,https://www.tripadvisor.in/Attraction_Review-g1096234-d10505202-Reviews-EleSafari-Amer_Jaipur_Jaipur_District_Rajasthan.html
7,https://www.tripadvisor.in/Attraction_Review-g1096234-d7268620-Reviews-Elefriend-Amer_Jaipur_Jaipur_District_Rajasthan.html
8,https://www.tripadvisor.in/Attraction_Review-g304555-d311641-Reviews-Nahargarh_Fort-Jaipur_Jaipur_District_Rajasthan.html
9,https://www.tripadvisor.in/Attraction_Review-g1096234-d4105837-Reviews-Elefun-Amer_Jaipur_Jaipur_District_Rajasthan.html
10,https://www.tripadvisor.in/Attraction_Review-g1096234-d12148462-Reviews-EleJungle-Amer_Jaipur_Jaipur_District_Rajasthan.html
11,https://www.tripadvisor.in/Attraction_Review-g304555-d9695316-Reviews-Mukesh_Art_Gallery-Jaipur_Jaipur_District_Rajasthan.html
12,https://www.tripadvisor.in/Attraction_Review-g304555-d311630-Reviews-Albert_Hall_Museum-Jaipur_Jaipur_District_Rajasthan.html
13,https://www.tripadvisor.in/Attraction_Review-g304555-d325116-Reviews-Jaigarh_Fort-Jaipur_Jaipur_District_Rajasthan.html
14,https://www.tripadvisor.in/Attraction_Review-g1096234-d7751599-Reviews-Rajasthan_Small_Scale_Cottage_Industry-Amer_Jaipur_Jaipur_District_Rajasthan.html
15,https://www.tripadvisor.in/Attraction_Review-g304555-d646498-Reviews-Anokhi_Museum_of_Hand_Printing-Jaipur_Jaipur_District_Rajasthan.html
16,https://www.tripadvisor.in/Attraction_Review-g304555-d324664-Reviews-Jal_Mahal-Jaipur_Jaipur_District_Rajasthan.html
17,https://www.tripadvisor.in/Attraction_Review-g304555-d311634-Reviews-Monkey_Temple-Jaipur_Jaipur_District_Rajasthan.html
18,https://www.tripadvisor.in/Attraction_Review-g304555-d2651204-Reviews-Govind_Devji_Temple-Jaipur_Jaipur_District_Rajasthan.html
19,https://www.tripadvisor.in/Attraction_Review-g1096234-d6350753-Reviews-Eleday-Amer_Jaipur_Jaipur_District_Rajasthan.html
20,https://www.tripadvisor.in/Attraction_Review-g304555-d3321015-Reviews-Panna_Meena_ka_Kund-Jaipur_Jaipur_District_Rajasthan.html
21,https://www.tripadvisor.in/Attraction_Review-g1096234-d659756-Reviews-Dera_Amer_Wilderness_Camp-Amer_Jaipur_Jaipur_District_Rajasthan.html
22,https://www.tripadvisor.in/Attraction_Review-g304555-d3190074-Reviews-Moti_Dungari_Temple-Jaipur_Jaipur_District_Rajasthan.html
23,https://www.tripadvisor.in/Attraction_Review-g304555-d3913346-Reviews-Akshardham_Temple-Jaipur_Jaipur_District_Rajasthan.html
24,https://www.tripadvisor.in/Attraction_Review-g304555-d16204868-Reviews-Ele_Experience_Farm-Jaipur_Jaipur_District_Rajasthan.html
25,https://www.tripadvisor.in/Attraction_Review-g304555-d6156733-Reviews-World_Trade_Park-Jaipur_Jaipur_District_Rajasthan.html
