,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g304558-d311680-Reviews-Victoria_Memorial_Hall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
1,https://www.tripadvisor.in/Attraction_Review-g304558-d3952876-Reviews-Dakshineswar_Kali_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
2,https://www.tripadvisor.in/Attraction_Review-g304558-d311655-Reviews-Howrah_Bridge-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
3,https://www.tripadvisor.in/Attraction_Review-g304558-d321215-Reviews-Mother_House-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
4,https://www.tripadvisor.in/Attraction_Review-g304558-d1746039-Reviews-Park_Street-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
5,https://www.tripadvisor.in/Attraction_Review-g304558-d3187616-Reviews-Eden_Gardens-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
6,https://www.tripadvisor.in/Attraction_Review-g304558-d3786041-Reviews-Eco_Tourism_Park-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
7,https://www.tripadvisor.in/Attraction_Review-g304558-d311670-Reviews-Indian_Museum_Jadu_Ghar-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
8,https://www.tripadvisor.in/Attraction_Review-g304558-d325053-Reviews-South_Park_Street_Cemetery-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
9,https://www.tripadvisor.in/Attraction_Review-g304558-d311654-Reviews-College_Street_Boi_Para-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
10,https://www.tripadvisor.in/Attraction_Review-g304558-d1405842-Reviews-Science_City-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
11,https://www.tripadvisor.in/Attraction_Review-g304558-d321217-Reviews-St_Paul_s_Cathedral-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
12,https://www.tripadvisor.in/Attraction_Review-g304558-d1475889-Reviews-Metro_Railway-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
13,https://www.tripadvisor.in/Attraction_Review-g304558-d320042-Reviews-New_Market-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
14,https://www.tripadvisor.in/Attraction_Review-g304558-d2709133-Reviews-Birla_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
15,https://www.tripadvisor.in/Attraction_Review-g304558-d2573276-Reviews-Prinsep_Ghat-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
16,https://www.tripadvisor.in/Attraction_Review-g304558-d3218644-Reviews-Jorasanko_Thakur_Bari-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
17,https://www.tripadvisor.in/Attraction_Review-g304558-d456333-Reviews-Jain_Swetamber_Dadajika_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
18,https://www.tripadvisor.in/Attraction_Review-g304558-d373475-Reviews-Birla_Planetarium-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
19,https://www.tripadvisor.in/Attraction_Review-g304558-d6412735-Reviews-Gariahat_Market-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
20,https://www.tripadvisor.in/Attraction_Review-g304558-d3705191-Reviews-Rabindra_Sarovar-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
21,https://www.tripadvisor.in/Attraction_Review-g304558-d5782275-Reviews-Quest_Mall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
22,https://www.tripadvisor.in/Attraction_Review-g304558-d311673-Reviews-Maidan-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
23,https://www.tripadvisor.in/Attraction_Review-g304558-d3860565-Reviews-Netaji_Bhawan-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
24,https://www.tripadvisor.in/Attraction_Review-g304558-d375376-Reviews-Tagore_House-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
25,https://www.tripadvisor.in/Attraction_Review-g304558-d1221401-Reviews-Kolkata_Zoo_Zoological_Garden-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
26,https://www.tripadvisor.in/Attraction_Review-g304558-d321220-Reviews-Parashnath_Jain_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
27,https://www.tripadvisor.in/Attraction_Review-g304558-d3613067-Reviews-Nicco_Parks_Resorts_Limited-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
28,https://www.tripadvisor.in/Attraction_Review-g304558-d1488078-Reviews-Birla_Industrial_Technological_Museum-Kolkata_Calcutta_Kolkata_District_West_Beng.html
29,https://www.tripadvisor.in/Attraction_Review-g304558-d3332335-Reviews-ISKCON_Kolkata_Sri_Sri_Radha_Govind_Temple-Kolkata_Calcutta_Kolkata_District_West.html
30,https://www.tripadvisor.in/Attraction_Review-g304558-d3749197-Reviews-Ramakrishna_Mission_Swami_Vivekananda_s_Ancestral_House_and_Cultural_Centre-Kolka.html
31,https://www.tripadvisor.in/Attraction_Review-g304558-d8372113-Reviews-Dakshineswar_Ramkrishna_Sangha_Adyapeath-Kolkata_Calcutta_Kolkata_District_West_B.html
32,https://www.tripadvisor.in/Attraction_Review-g304558-d617188-Reviews-Malik_Ghat_Flower_Market-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
33,https://www.tripadvisor.in/Attraction_Review-g304558-d5782274-Reviews-South_City_Mall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
34,https://www.tripadvisor.in/Attraction_Review-g304558-d325051-Reviews-Marble_Palace_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
35,https://www.tripadvisor.in/Attraction_Review-g304558-d4400972-Reviews-Salt_Lake_Stadium-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
36,https://www.tripadvisor.in/Attraction_Review-g304558-d325052-Reviews-St_John_s_Church-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
37,https://www.tripadvisor.in/Attraction_Review-g304558-d8600280-Reviews-Baps_Shri_Swaminarayan_Mandir_Kolkata-Kolkata_Calcutta_Kolkata_District_West_Beng.html
38,https://www.tripadvisor.in/Attraction_Review-g304558-d2461909-Reviews-National_Library-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
39,https://www.tripadvisor.in/Attraction_Review-g304558-d3202884-Reviews-Fort_William-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
40,https://www.tripadvisor.in/Attraction_Review-g304558-d3786053-Reviews-City_Centre_New_Town-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
41,https://www.tripadvisor.in/Attraction_Review-g304558-d311653-Reviews-Chowringhee-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
42,https://www.tripadvisor.in/Attraction_Review-g304558-d5782276-Reviews-City_Centre_Mall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
43,https://www.tripadvisor.in/Attraction_Review-g304558-d4138719-Reviews-Millenium_Park-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
44,https://www.tripadvisor.in/Attraction_Review-g304558-d7917434-Reviews-Mother_s_Wax_Museum-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
45,https://www.tripadvisor.in/Attraction_Review-g304558-d311671-Reviews-Kalighat_Kali_Temple-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
46,https://www.tripadvisor.in/Attraction_Review-g304558-d311676-Reviews-Nakhoda_Mosque-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
47,https://www.tripadvisor.in/Attraction_Review-g304558-d311657-Reviews-BBD_Bagh-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
48,https://www.tripadvisor.in/Attraction_Review-g304558-d3912888-Reviews-The_Agri_Horticultural_Society_of_India-Kolkata_Calcutta_Kolkata_District_West_Be.html
49,https://www.tripadvisor.in/Attraction_Review-g304558-d321224-Reviews-Academy_of_Fine_Arts-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
50,https://www.tripadvisor.in/Attraction_Review-g304558-d3857143-Reviews-Dakshinapan_Shopping_Complex-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
51,https://www.tripadvisor.in/Attraction_Review-g304558-d8115659-Reviews-Mani_Square_mall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
52,https://www.tripadvisor.in/Attraction_Review-g304558-d7350761-Reviews-Shaheed_Minar-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
53,https://www.tripadvisor.in/Attraction_Review-g304558-d9712713-Reviews-Acropolis_Mall-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
54,https://www.tripadvisor.in/Attraction_Review-g304558-d1821414-Reviews-Tangra_Chinatown-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
55,https://www.tripadvisor.in/Attraction_Review-g304558-d3801534-Reviews-Royal_Calcutta_Turf_Club-Kolkata_Calcutta_Kolkata_District_West_Bengal.html
