,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Basgo_Monastry,JJMcG,5.0 of 5 bubbles,Oct 2019 • Friends,Amazing views,I really enjoyed my visit to this monastery.  It is situated in a stunning location and the views alone are worth the trip to go there.  It’s small with limit viewing but spectacular nonetheless.
1,Basgo_Monastry,Martin B,5.0 of 5 bubbles,Aug 2019,Small decaying gompa on road to Srinagar,A pleasant monastery to wonder around at your own pace.  Great look outs of its crumbeling ruins. Close to the main road
2,Basgo_Monastry,Bernard M,5.0 of 5 bubbles,Aug 2019,Great views,"Great visit. Very little people around. Spectacular views on the gompa & fort, and on the valley around "
3,Basgo_Monastry,Prasanna N,5.0 of 5 bubbles,May 2019 • Couples,Serene historical monument,"The Basgo monastry is located at Nimu village about 32 KMs from Leh City towards Kargil. The place is situated on a hillock 2 Kms off the National Highway 1. Though a plethora of monastries exist in Leh the crowd which swarms them during peak tourist seasons kills the charm that exists in these historical sites. The Basgo monastry is an exception to the class commercialisation of Buddhist workshop places. The monastry encompasses Three Temple's one each for Lord Maitreya, Serzang and Cham Chung. They are believed to be various incarnations of Lord Buddha. The ruins of Cham Chung Temple and the serenity and cleanliness of the Basgo temple premises portrays the necessary evil that Tourism and publicity is for these ancient monuments. The temple is a must see for the shutter bugs as it presents a panoramic view of Nimu village. The NH 1 winding up the road is another image which can be clicked a million times.This temple is not on the popular tourist routes. To locate it one needs to start moving towards the road leading to Kargil.  An enquiry with any localite of Village Nimu is the right way to locate it. The route to the temple is narrow and winding up a hillock. So the driver needs to be extremely cautious. "
4,Basgo_Monastry,Anuradha,5.0 of 5 bubbles,May 2019,A small wonder which needs care ,A beautiful secluded monastery which needs care. The landscape surrounding this place is matchless. There were no visitors when my family visited to this place. 
5,Basgo_Monastry,rjpriyanka,4.0 of 5 bubbles,Apr 2018 • Friends,History,This monastery is a world heritage site and unfortunately in not so good conditiona and need care and maintenance.
6,Basgo_Monastry,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,Histroy,"This monastry is one of the oldest and listed in UN list as well. Located around 40 km from Leh, a nice visit to history.."
7,Basgo_Monastry,Sightsee737349,5.0 of 5 bubbles,Sep 2018 • Friends,Old historic monastery ,Basgo Gonpa is situated just a few kms outside Leh . It’s an old monastery and an old fort is also there which is in ruins which speaks about the glory of Ladakh 
8,Basgo_Monastry,Lovers_paradise,5.0 of 5 bubbles,Jun 2018 • Couples,A World Heritage Site,"Basgo Palace is enlisted among the world’s 100 most endangered heritage sites by the US World Monument Fund. It lies at a distance of 42 km west of Leh and is on the way towards Sham valley and Lamayuru on the Leh-Srinagar National Highway. Made of mud and rocks, the surreal castle ruins perched on a steep hill give an impression of huge anthills emerging from the ground. It makes one wonder about what the palace originally looked like."
9,Basgo_Monastry,Umang A,3.0 of 5 bubbles,Aug 2018 • Friends,Buddha,This Buddhist monastery is located about 40 km from Leh city and worth a visit. However not in great shape and ruins are left here.
0,Basgo_Monastry,royjay2018,4.0 of 5 bubbles,Jun 2018,An Endangered Heritage Site,Basgo Monastery and the Basgo Palace are enlisted among the world’s 100 most endangered heritage sites. The ruins of the Basgo Palace is perched atop a stone and clay hill at a distance 42 km west of Leh and is on the way towards the Sham valley and Lamayuru on the Leh-Srinagar Highway. Its a place worth visiting when in Leh.
1,Basgo_Monastry,RAJENDRA884 PRASAD,4.0 of 5 bubbles,Aug 2017 • Friends,Built on top of hillocks,"While going from Leh to Kargil, we crossed Village Basgo, which also boasts of an ancient monastery, built on top of mountain peaks.  The architecture is worth seeing.  The climb is steep and needs lot of efforts, therefore, we just took pictures from outside."
2,Basgo_Monastry,Arunverma,5.0 of 5 bubbles,Jul 2017 • Friends,Great Ladakh,"We seven couples visited Basgo Monastery, also known as Basgo or Bazgo Gompa last year in July. It is a Buddhist monastery located in Basgo or Bazgo in Leh District,Ladakh approximately 40 km from Leh.Although the monastery was built for the Namgyal rulers in 1680, Bazgo itself was embedded in the early days of Ladakh and is frequently mentioned in the Ladakhi Chronicles when it was a political and cultural center.In the 15th century, a palace was built in Basgo.The monastery is situated on top of the hill towering over the ruins of the ancient town and is noted for its Buddha statue and murals. If you are interested in Ladakhi history, don't miss it. "
3,Basgo_Monastry,Ankita G,3.0 of 5 bubbles,Aug 2017 • Couples,Ancient Monastery,The monastery is built on the hillock and looks like a castle and stands in the ruins. There is no entrance fee for this place and most of the doors were locked when we visited. The place is also famous for its breathtaking views. The scenic location attracts photographers
4,Basgo_Monastry,Kaushik G,4.0 of 5 bubbles,Aug 2017 • Couples,Ancient monastery on a hillock,"During our trip to Leh, we had visited this ancient monastery located on a hillock near the Leh Srinagar highway. There were only few more tourists other than us. From the parking lot, we first walked on a hilly road and then climbed a flight of steep steps to reach the top. Entrance tickets were priced at 30 rupees per person. We saw a beautiful giant idol of Maitreya Buddha and found that devotees had offered biscuits, juices, Coca-Cola to the Lord. The paintings on the inner walls were still clearly visible and beautiful. Also the view from this place of the surrounding mountain landscape was just mesmerizing."
5,Basgo_Monastry,Roundshadyd,5.0 of 5 bubbles,Oct 2017 • Friends,The Old Monastery located on the hills!,"I love Basgo Monastery ,It was built on the hill with giant rock surround them.It's look like a castle. No entrance fee for this place and you could see beautiful view from the Basgo. "
6,Basgo_Monastry,TapasyaKaulRajaram,3.0 of 5 bubbles,Jun 2017 • Friends,Confusion of a ruin palace or monastery,"The view is breath taking here no doubt and we all enjoyed the visit however some people said that is is a palace ruin, some said it is a monastery I was a wee bit confused about it. However what I realize is that palace and monasteries exist in unison. When we reached the inside of it was locked up. "
7,Basgo_Monastry,simeone2017,5.0 of 5 bubbles,Oct 2016 • Solo,Great place,The one storey high old clay image of Buddha Maitreya is a world class of its own. Mesmerised by the art and artists of that era.
8,Basgo_Monastry,Ratnesh M,4.0 of 5 bubbles,Apr 2017 • Solo,Recently Renovated,"Situated at a distance of around 40 km from Leh town the monastery is an amazing piece of architecture. Just looking down the surrounding, one can wonder the age of the monuments, some natural others carved out. The monastery is standing precariously on cliffs some 300 meters above the ground. When I reached there, no other tourist or believer was there. I and my driver, only two persons were there to admire the delicate ancient monument. Even for reaching there the driver of my taxi had to ask some villagers about the way leading to the monastery. "
9,Basgo_Monastry,infoaddict,5.0 of 5 bubbles,Aug 2016 • Couples,A Must See Place,"The gompa and associated mud ruins of the fort are pretty amazing. It's not easy to get to so you really need a tour or a private taxi, but it's worth it.Highly recommended."
0,Basgo_Monastry,huys25,5.0 of 5 bubbles,Sep 2016 • Couples,Bring a wide angle torch to see the amazing pictures in two of the temples,"At some moment we thought of skipping this one after having seen two dozen monastries, but we were happy we did not. Luckely , the three temples were opened for us by the guard, and we had a wide angle multi-led power torch to see and appreciate the many wall paintings. Interesting was that they had not tried to repair the paintings when damaged, but left them blank, instead of making a poor quality as seen in other temples.The old castle is in ruins, but as such the buildings are still very impressive, especially with the very large Bouddha inside."
1,Basgo_Monastry,Viv259,5.0 of 5 bubbles,Sep 2016,Totally amazing,"From the road it does not look much, but it really is a ""must see"" as you cannot appreciate the beauty and tranquility of the area until you get into the ruins of the monastery.Simply awesome!!"
2,Basgo_Monastry,Aditya R,4.0 of 5 bubbles,Sep 2016 • Friends,"Basgo Monastery - history, murals and scenerey",Visited on 17th Sept 2016. Approx 40 kms from Leh (Fort Road). Our schedule was: Leh Guest House - Gurudwara Pathar Sahib - Magnetic Hill - Sangam (Indus & Zanskar rivers) - Basgo - Likir Monastery - Alchi - Moonland view point - Lamayuru (overnight in Homestay).Basgo Monastery was built for the Namgyal rulers (approx 1680).  Its Buddha statue and murals are worth seeing. The setting and scenery is inspiring. The car reaches near the entrance. The stairs are steep but not too many! Well worth a visit.Happy travelling!
3,Basgo_Monastry,ramram28,5.0 of 5 bubbles,Dec 2015 • Family,Highlight a must to see and feel..great,"Dont miss this heaven on earth! Stay long time and feel the spirit of the elements!JULLEY!!!It is a place of total quietness and calm, i visit this spot many many times and there is a special atmosphere of belive in the spirit of nature."
4,Basgo_Monastry,rohit s,5.0 of 5 bubbles,Aug 2016,Out of the Blue,"Not a road well traveled, so you need to move away from the main road and climb (by car/SUV) up to the point of entrance. Quite different from the others and much older. The logic of monasteries being on hilltops comes from the fact that the rising sun hit them first!!"
5,Basgo_Monastry,kchain306,5.0 of 5 bubbles,Jul 2016 • Friends,Our fav,Absolutely great....amazing...out of this world.  Can't believe what a picturesque view it was standing by the side of the road and taking photos of this magnificent ruin.
6,Basgo_Monastry,pollyoppy,5.0 of 5 bubbles,Jul 2016 • Couples,Interesting,Worth a walk up to see the complex with ruined buildings and monastery. See it on the road from Alchi to Leh.
7,Basgo_Monastry,lotusdiamond,3.0 of 5 bubbles,Jun 2016 • Family,Skippable-not worth visit.,On the way to Alchi monastery from Leh just after crossing confluence/sangam of Indus-Zanskar river. Very small village full of greenery. In case you are in hurry you may just skipped this place. Else you may like to take quick stop and can take a break.
8,Basgo_Monastry,Himanshu S,4.0 of 5 bubbles,Jul 2015,Time Capsule !,"Basgo Holds a mysticism in the ruins,monastery and landscape good spots to check out the Indus Nearby ."
9,Basgo_Monastry,Kaneth25341,4.0 of 5 bubbles,Apr 2016 • Friends,Beautiful to stop by and take photos,"Basgo Monastery is located on the route towards Alchi monastery from Leh just after you pass the confluence of Indus and Zanskar river. The town is rather a small piece of land surrounded by mountains. You can take nice photos from the road going up the hill. This would be a nice place for a quick stop but otherwise skippable. The is a small fee (maybe 15rupees each) to enter the inner area, the praying/buddha rooms are small and dark then I don't even want to take photos."
0,Basgo_Monastry,Begaraaj S M,5.0 of 5 bubbles,Apr 2016 • Solo,Brilliant Basgo !!!,"I went to this Monastery on 25th April 2016, it's a very old monastery located around 40km from Leh, I planned in such a way that I cover all the sightseeing places in one single route in a day, my tour goes like this,7.30am Sangto green guest house Leh- Hall of fame- Spituk- Gurdwara Pathar sahib- Indus and Zanskar Sangam- Likir- Alchi- Magnetic hill- Moon land- Lamayuru- Rizong- Basgo and back to Leh at 7.30pm.Happy travelling ...Enjoy !!!"
1,Basgo_Monastry,CrisMartinelli,5.0 of 5 bubbles,Aug 2015 • Family,"Beautiful temples, exquisite Buddha statues, beautiful view","It is worth to take the time to visit the temples in Basgo. Here Here you will find a less-visited site where you can enjoy the beautiful rooms with Buddhist scriptures, wall paintings, and the big Maytreya Buddha Statues. Also, enjoy the view, and the peaceful atmosphere."
2,Basgo_Monastry,lucky132016,4.0 of 5 bubbles,Oct 2015 • Friends,Castle in verge of ruins,The colors of nature surrounding this magnificient castle is mesmerizing. Good to learn that it is a UNESCO world heritage monument. One should not miss an opportunity to visit this castle especially the big buddha images 
3,Basgo_Monastry,BenMasai,4.0 of 5 bubbles,Aug 2015,towering gompa,"fairly remote though accessible, nice village, not far from the (disappeared? enquire locally) meteorite site. Under renovation, offering great views, friendly monk willing to share his knowledge"
4,Basgo_Monastry,MugdhaY,5.0 of 5 bubbles,May 2015 • Friends,My fav place of all in Leh travels,"I am a SRK fan! Yes, make faces, love him or hate him, you cannot ignore him. I love him. And try to visit his movie locations. Basgo was spectacular for photography. It was deserted when we visited and my friend and me spent almost 3 hours exploring every nook and corner. It has texts written in gold to a 500 year old temple which had very powerful energy and wall paintings. For the traveler who likes a road less traveled, this is a must see destination"
5,Basgo_Monastry,Zwillingsseele,4.0 of 5 bubbles,Oct 2015 • Friends,Lonely ruins of an ancient time,Unfortunately this monastery is abandoned... only ruins... 3 years ago I could visit a huge Maitreya statue. BUT the view from there is amazing.
6,Basgo_Monastry,minre,5.0 of 5 bubbles,Oct 2015 • Friends,"Not to be missed attraction, which it seems most people just pass by.","Not just a monastery, but it was a former palace too. Its hard to judge what kind a of place it is from the main road. Its only when you cross the last curve just before the parking lot that the true extent of the whole campus on the hill top becomes apparent. Built on top of a mud hill, the mostly ruins are a breathtaking site."
7,Basgo_Monastry,jollywang69,4.0 of 5 bubbles,Aug 2015 • Friends,beautiful,"small village, very similar to what tibetan village look like. very long in length and narrowed looks."
8,Basgo_Monastry,RAJENDRA884 PRASAD,3.0 of 5 bubbles,Sep 2015 • Couples,"On top of the world - Basgo Monastery, Ladakh","Visited Basgo on our way back from Lamayuru Gompa. The structure looks just on ""Top of the World"" from a distance as it is located on top of  the mountain. Basgo Gompa is smaller than Lamayuru Gompa in its grandeur and popularity. This is primarily maintained by the local inhabitants. We could not go to the top of the monastery as it is too high and we did not want to exert too much on our day 2 in Ladakh!!!"
9,Basgo_Monastry,Cris-Eshana,4.0 of 5 bubbles,Sep 2015 • Friends,Beautiful view!!,It's a very nice place and you should visit all 3 temples! The view from there is also very beautiful!! 
0,Basgo_Monastry,RAMAKRISHNA SARIPALLI,5.0 of 5 bubbles,Sep 2015 • Solo,Basgo Monastery,"Basgo Monastery, also known as Basgo or Bazgo Gompa, is a Buddhist monastery located in Basgo or Bazgo in Leh District, Ladakh, northern India approximately 40 km from Leh"
1,Basgo_Monastry,Elvor,5.0 of 5 bubbles,Aug 2015,15th century monastary with frescos,"Basgo Monastary is a 15th century monastery in the midst of the rugged Himalayas. It is not for the faint of heart. We had to take several breaks all the way up to the monastery (and we are 40 years young!). At times we thought we can't go one step further without our heart popping out. But we made it and I am so glad that we did. The views all the way up are awesome. The huge Budhha statue is one of its kind. There is a sense of serenity and spiritualism in the monastery. The frescos inside the monastery tell a story. Be sure to ask the monk about it. There is a fee per person that you have to pay for your visit which shouldn't be a big deal. After all, seasonal tourists are the only livelihood of the monks.    "
2,Basgo_Monastry,MakCha,5.0 of 5 bubbles,Jul 2015 • Solo,Eerie,"Basgo monastery was chosen as one of the 100 most endangered sites by UNESCO in 2001 and its not a wonder why. The monastery is sited on crumbly mud mountains ravaged by rain; am sure much of the monastery has been washed down the Indus. Be that as it may, whatever remains is worth a visit. The couple of temples one can visit house Maitreya Buddhas (also known as Chamba in Ladakh). I remember two exquisite thankas in the temple with the massive Maitreya; sadly there wasn't enough light in the temple for photographs. The whole setting was pretty eerie in the fading evening light amidst a whistling dust storm."
3,Basgo_Monastry,vinodkhedkar,4.0 of 5 bubbles,Jul 2015 • Solo,Beautiful View,This is monastery located in Basgo village. Endangered heritage site declared by UNESCO is maintained by archaeological society of India and local villagers. Serene place located on the hills offers scenic view of a surrounding area. Buddha temple adds charm to this monastery.
4,Basgo_Monastry,SomnathSarkar,5.0 of 5 bubbles,Jul 2015 • Family,A Fragile History Capsule,"The monastery (once part of a fort complex), built of clay and stone, is 40 kms from Leh. Enlisted among World's 100 most endangered heritage sites by the US World Monument Fund, this is a must see. The complex was once part of the famous castle of Basgo Rabrtans Lharise Khar, but all that now remain are three diff Maitreya Buddha temples. The first temple on the right is the Chamba Maitreya temple (1450-90), housing a large Buddha idol of clay reinforced with discarded cotton shreds and paper. and of course delicate fresco paintings. This temple is maintained by the Hemis monastery. The 2nd temple in the middle is the Serzang temple (1600-22), consisting a copper-gold large Maitreya Buddha idol. This temple is owned by the Basgo village, its conservation being undertaken by the Basgo Welfare Committee, which was awarded the UNESCO Asia Pacific Heritage Award of Excellence in 2007. The 3rd temple to the right is the Cham Chum temple (1600-15), built by a Muslim Balti princess to offer her namaz, but later converted into a Buddhist temple when she converted to Buddhism. This small shrine is in a state of decay, with the inner walls containing wonderful frescoes showing cracks. Local volunteers are trying to preserve this structure under the aegis of the Tibetan Classics Translator Guild, New York, USA.The 1st and the 3rd temples offer beautiful views of the fort complex and the surrounding mountain and village. The temple complex is a bit of a maze, and one can lose his way and descend to the nearby village, if not mindful. Entry fees are charged at the 1st and the 2nd temple.Vehicles reach the gate of the complex, and it is not much of a climb around. Will take around an hour to visit. There is a basic waterless toilet arrangement for both the sexes at the parking lot."
5,Basgo_Monastry,sondol,5.0 of 5 bubbles,Jul 2015 • Friends,Unique Ruined Castle,"Landscape is amazing here, and bollywood have shooted many movies, the architecture of Basgo Castle is unique, a must visit place, in Ladakh"
6,Basgo_Monastry,ptrav9,5.0 of 5 bubbles,Jun 2015 • Friends,Surreal,"About an hour from Leh and 40 minutes from Alchi, Basgo is a couple of clicks from the Srinagar Leh highway. Basgo used to be the capital of Ladakh afew centuries back. There are three temples bunched together close to the castle/palace ruins. There was some work happening on the topmost temple and entry could be limited. It should not deter you from a visit. Basgo makes for a quick detour from the highway and can be done in less than an hours time. The highlight of the visit to little Basgo is the surreal castle ruins strategically perched on a steep hill. The temples do require some steep climbing and is not wheel chair friendly."
7,Basgo_Monastry,KaiT1972,5.0 of 5 bubbles,May 2015,great view,the beautiful trip uphill starts with the climbing- every few steps you'll enjoy a new view. the old ruin and the monastery aren't that impressive but more than adequate to watch. We were here short before sunset and the light was amazing. A young monk invited us for a tea and showed us the huge statue of maitreya buddha inside the temple. We were the only tourists at this time and the surruondings were full of atmosphere
8,Basgo_Monastry,Pablo A,3.0 of 5 bubbles,Jan 2015 • Couples,Take a photo,"The monastery itself is not worth visiting on the inside if you have already seen Thiksey and others. However, just stop to take a picture of how precariously the monastery is standing on top of the rocks"
9,Basgo_Monastry,karthik_akrishnan,3.0 of 5 bubbles,,An Average Monastery,This was the first monastery visited by me in my visit to Leh. They collect a entry fee of Rs.30 which they use to maintain the monastery. It had some paintings of 14 or 15th century when this monastery was build. You can see the palace ruins next to the monastery.
0,Basgo_Monastry,lesleysaxmundhamUK,4.0 of 5 bubbles,Sep 2014 • Friends,bleak and atmospheric,"This place is full of both awe and sadness. Awe because of its amazing and dramatic location, but sad because as a threatened world heritage site, there don't seem to be enough funds to save it from crumbling away."
1,Basgo_Monastry,itsindia,4.0 of 5 bubbles,Jul 2014 • Friends,Superb artworks and view,"Basgo, an essential visit for tourists in Leh. Well connected by road and 3 temples in this temple complex. Chamba Lakhang and Serzang temples have beautiful large Maitreya statues and 16th/17th cent wall paintings."
2,Basgo_Monastry,PrapassornNathonglor,5.0 of 5 bubbles,Aug 2014 • Friends,Beautiful monastery on a stunning location,"Arriving there by the sunset, the monastery looked very much sacred yet mysterious at the same time. Very old monastery but well maintained murals and statues inside the temples. Look for Maitraiya Buddha (Future Buddha) at the temple top which has made Basco a UNESCO world heritage site."
3,Basgo_Monastry,Indie-Brindie,5.0 of 5 bubbles,Jul 2014 • Couples,Unique clay-built ruined monastery.,"Looking like something from a film set, this place is well worth the £15 taxi ride out here. (Combine it with the confluence of the Zanskar / Indus rivers & the ridiculous 'magnetic hill' and it's cheap at half the price. ) it's extremely photogenic perched atop a rocky atoll overlooking the valley below. The ruins are not unlike those West African mud brick buildings in Timbuctou. It's very different to the other gompas out here in Ladakh. Don't miss it!"
