,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Chokhang_Vihara_Temple,SAM_SMARAT,5.0 of 5 bubbles,Jul 2018 • Friends,Peaceful place in leh market,I visited chokhang Vihar Temple with my brothers. It's a very beautiful and peaceful place. I visited this place in month of July. This temple is situated in main market. Lots of prayer wheels and and Bhagwan Buddha's statue. It's very beautiful temple. Must visit if you are in leh. 
1,Chokhang_Vihara_Temple,Samarth T,5.0 of 5 bubbles,Jul 2018 • Family,Peaceful and beautiful place,Chokhang vihara temple is situated at leh main market. This temple entrance gate is very small but inside of the temple very big area. It's a very amazing place and lots of prayer wheels is here. Inside of the temple Buddh bhagwan statue is very nice. This place is very beautiful and peaceful place. So must visit this temple. Thank you.😊😊
2,Chokhang_Vihara_Temple,Vaibhav_Tailor,3.0 of 5 bubbles,Jul 2018 • Family,Next to the shops in market,This temple is located in the market even i can't imagine that there is the temple but when i entered the temple i was just surprised it was very spacious temple located at the temple there are lot of local people coming for regular preyer.and its also a good temple having preyar wheels on the walls of the temple....
3,Chokhang_Vihara_Temple,Nithya123,4.0 of 5 bubbles,Jun 2018 • Friends,Chokhang Vihara Temple,This is a beautiful temple located in a beautiful location. The infrastructure is awesome and spending time at this place gives peace of mind.
4,Chokhang_Vihara_Temple,Kaushik G,4.0 of 5 bubbles,Aug 2017 • Couples,Peaceful ambience amidst noisy market,This Buddhist temple is located in the main market area in Leh. We had visited this temple during our trip to Leh. We liked the traditional Tibetan architecture of the temple and inside the ambience was very peaceful - we sat on the carpet and meditated in peace for sometime. We liked the beautifully decorated big idol of Lord Buddha and the thanga paintings hanging from the walls showcasing events from the Lord's life and his teachings. This can be visited for a quick stopover to escape from the hustle of Leh market.
5,Chokhang_Vihara_Temple,Gavin R,4.0 of 5 bubbles,May 2017 • Family,A  little gem in the market,This will not be on most people itineraries and I found this by accident while looking at for a loo in the local market. Chokhang Vihara Temple is located bang in the middle of the market opposite the SBI branch and I was pleasantly happy to have stumbled upon it. I think all travellers should visit it as it is so central and easy to include in ones itinerary.
6,Chokhang_Vihara_Temple,Peregrineri,5.0 of 5 bubbles,Sep 2016 • Solo,A peaceful oasis in the middle of Leh,"This is one of the newest gompas in the area, but it's a good one. It's beautiful and well-cared for, with a peaceful feeling. I have often stopped there to sit and meditate for a few minutes."
7,Chokhang_Vihara_Temple,shashindrak,4.0 of 5 bubbles,Aug 2016 • Solo,NICE & PEACEFUL,"A peaceful worship place situated in Leh market, Beautifully constructed neat , clean & calm , When I visited in August-2016 preparations were on to welcome His Excellency Dalai Lama.Must be visited while roaming in leh market during acclimatization to seek blessings."
8,Chokhang_Vihara_Temple,Ajay R,4.0 of 5 bubbles,May 2016 • Family,It is indeed a godly feeling,Visiting temples in the city of monasteries makes a vist to this place even more special. One can get a feeling of being in the grip of the almighty amidst nature.
9,Chokhang_Vihara_Temple,Nick B,4.0 of 5 bubbles,Sep 2015 • Solo,Peaceful,A really peaceful place to visit whilst you are in Leh - either to take in Buddhist culture or to pray yourself. If you are lucky your visit may coincide with a monk reciting a prayer in the main prayer room.There are numerous prayer wheels and a large courtyard too.Located close to the centre of Leh this temple is relatively easy to find.
0,Chokhang_Vihara_Temple,PROF.HARAGOPAL MATHSYARAJA,4.0 of 5 bubbles,Aug 2015 • Solo,Worth visiting,"Just near SINDHU GHAT this  Buddhist vihara temple is worth visiting ang congregation take place while Dalai lama visits this place, according to my guide cum driver."
1,Chokhang_Vihara_Temple,AkashRoonwal,4.0 of 5 bubbles,Aug 2015 • Friends,Buddhist temple!,Located centrally in the Leh Market! Do talk to the monks to get an in depth understanding of their culture & the rituals!
2,Chokhang_Vihara_Temple,Pathik_2404,4.0 of 5 bubbles,Jul 2015 • Friends,Beautiful Buddhist Temple in the heart of Leh,"Most people visit the monasteries around Leh which are generally some distance away from the main town. However, if you find yourself short of time or are just plain lazy to travel the distance but still want to see a glimpse of Buddhist culture, the Chokhang Vihara temple becomes a must visit.Located centrally in the main market of Leh, the temple offers all the solace and quiet of the monasteries and quite makes you forget that you are still in town. The temple itself has a large courtyard and makes a great place for meditation with Buddhist chants and drums transporting you to another world. The walls of the temple are decorated with paintings on scrolls depicting the life of Buddha and the art on the exterior is one of pleasing simplicity and aesthetics.You can also talk to the monks who patiently explain to you the significance of the prayer wheels surrounding the temple and any other questions you might have.Must visit place on account of its accessibility, tranquility and beauty."
