,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Confluence_of_the_Indus_and_Zanskar_Rivers,Apolonia70,5.0 of 5 bubbles,Sep 2022,Best views and landscape,Driving in towards Sangam Point was epic - scenery was sublime. The spot above where everyone stops to take photos is exactly why this place is special - it is a superb view. While we were there a Bollywood crew was filming the sequel to Gagar.  Colours and views are worth stopping for. 
1,Confluence_of_the_Indus_and_Zanskar_Rivers,Be U,5.0 of 5 bubbles,Oct 2022,Colorful junction,Luckily even not so much of water but still in vibrant turquoise color under the perfectly blue sky.
2,Confluence_of_the_Indus_and_Zanskar_Rivers,Rajesh Malhotra,5.0 of 5 bubbles,Sep 2022,2 river meeting point Sangam,"about 1 hr drive from Leh, Sangam point where 2 river streams meet to form Indus river which flows into Pakistan. "
3,Confluence_of_the_Indus_and_Zanskar_Rivers,Anubhav,5.0 of 5 bubbles,Sep 2022,One of the most places to visit especially for river rafting enthusiasts,"I would recommend this is a must go place on your day two of the trip. You can see the conference of the two rivers. There's a small cafe and you can enjoy tea and Maggie. For those who are river rafting enthusiast they can book their river rafting then and there itself. If not river rafting then I would recommend go further from here to chilling, it's an amazing bike ride till there. You'll also come across the points where they start river rafting.For Bungie jumping enthusiast couple of kilometres from the point you'll find your spot."
4,Confluence_of_the_Indus_and_Zanskar_Rivers,Ruchirz,4.0 of 5 bubbles,Aug 2022,Very good place of visit,"One can clearly see the two colors of water coming from Zanskar and Indus rivers. The place is well maintained. They also offer some water rafting services. If one wants to opt for rafting, then half a day would be required."
5,Confluence_of_the_Indus_and_Zanskar_Rivers,Hadi1004,4.0 of 5 bubbles,Aug 2022 • Friends,"Greyish brownish rivers, rocky and sandy mountains ","Pretty and scenic view though it's basically seeing the area where 2 rivers meet. Heard you can do river rafting here but it seems too cold even during august when it's summer time. The mountains here are mostly rocky and sandy. Not much greenery. Rivers are greyish brown, filled with sediments. "
6,Confluence_of_the_Indus_and_Zanskar_Rivers,Chrisagtk,3.0 of 5 bubbles,Aug 2022,I missed the clear blue clean waters .,The bike ride to the confluence was beautiful  but when i reached the confluence both the rivers was very muddy which made me feel sad but the ride was worth it.  
7,Confluence_of_the_Indus_and_Zanskar_Rivers,Ravsh,3.0 of 5 bubbles,Aug 2022 • Family,Ok Ok.,"Also called Sangam. Given the limited choice of places to visit in Leh, it a good place to spend some time. One can do rafting, boating or canoying, otherwise just sit there and enjoy the view. Given the footfall, facilities need to be improved. Just one average place to eat, dirty toilets, etc., put you off.  Take a cap and use sunscreen to avoid tanning."
8,Confluence_of_the_Indus_and_Zanskar_Rivers,NayantSavani,5.0 of 5 bubbles,Jul 2022,A beautiful sight at the base of mountains,Two rivers with different colours and varied flow force of water converge at the Sangam to become one and flow downstream. The rivers also have rafting.
9,Confluence_of_the_Indus_and_Zanskar_Rivers,puchka,5.0 of 5 bubbles,Jul 2022 • Couples,Grand view,Roads cut into the slopes of the barren mountains take you to the confluence of the Indus and the Zanskar rivers called the Sangam.  The distinct colour difference is visible from the hill top the muddy brown mixing with the blue and then tripping aling happily.  At the base there are river rafting activities.  The place is rather unkept with one cafe where nothing much is available.
0,Confluence_of_the_Indus_and_Zanskar_Rivers,Amit Singh S,3.0 of 5 bubbles,May 2022,Good view on the way to Leh,This is another confluence of The indus and Zanskar rivers. The view from top of the road is very good and we can take very nice pictures covering both the rivers. If you have spare time then may be you can plan  river rafting at the highest point. timings for rafting is before 17:00 during May.
1,Confluence_of_the_Indus_and_Zanskar_Rivers,Prashant,5.0 of 5 bubbles,May 2022 • Family,It's a nice place....will be amazed to see the two rivers meeting marked with clear demarcation with different colors...,Such a picturesque view to see the union of two rivers ...indus zanskar confluence is amazing to look....worth visiting place
2,Confluence_of_the_Indus_and_Zanskar_Rivers,Deepak_01,4.0 of 5 bubbles,Jun 2022,Picturesque merging of two rivers.,Picturesque sangam of Indus & Zanskar rivers.Different colours of the rivers merging into one.Nature at its best.The place is scenic & magical.Local stuff sold by the side may be avoided as they donot seem genuine.
3,Confluence_of_the_Indus_and_Zanskar_Rivers,PoojaNoida,5.0 of 5 bubbles,Jun 2022 • Family,Magical Sangam,The beauty of the blue Indus meeting the white Zanskar and combining into a single river is just magical. The backdrop of majestic rocks and clouds makes this point awesome. Views are best'seen from height. For rafting one has to go to the banks but it is advisable only in July August when river is full of current. Water level is too low in June.
4,Confluence_of_the_Indus_and_Zanskar_Rivers,Harshvardhan Sekhsaria,5.0 of 5 bubbles,May 2022,Best time to visit - April for colours - June for rafting,This is the place where rafting is done and the waters are blue in April however there are no currents so rafting is only done in the later months of June and July
