,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Din_Brothers_Jewellers,Aileen S,5.0 of 5 bubbles,Oct 2022 • Solo,"Beautiful shop, recommend to visit","It is a wonderful shop with very pleasant, good quality items to buy! The shop owner is very friendly and helpful.I can highly recommend this great shop at Leh Mainmarket! The location is perfectly in the centre of Leh. Best regards and have fun with shopping!"
1,Din_Brothers_Jewellers,Bungalowannie,5.0 of 5 bubbles,Aug 2022 • Couples,Din Brothers,"Din Brothers are wonderful. I have had several pieces of jewellery made, all of which are of high quality and aesthetically pleasing. Zubair is very knowledgeable and is always willing to give constructive advice. Nothing is too much trouble for him and I would unreservedly recommend this company if you want good service, good quality and an excellent shopping experience."
2,Din_Brothers_Jewellers,Beatrix C,5.0 of 5 bubbles,Aug 2022,High quality combined with great service and best prieces,"I met Masood Shah, one of the owners, last August through a dear old Kashmiri friend.What I saw at the shops in Leh (Ladakh) and Srinigar was actually beyond of what I had expected.Creative and precise artistical work in the family owned jewellery-workshops.High quality combined with best price possible.Many pieces are unique ones; you can order your own design or get beautiful ready made pieces. It is absolutly worthwhile to visit Din Brothers Jewellers in Leh, Srinagar or in Goa."
3,Din_Brothers_Jewellers,Jak,5.0 of 5 bubbles,Sep 2022 • Friends,Great shop on Leh main market!,"Great range of jewellery, bags, pashmina’s and singing bowls. Had friendly fun service from Mustafa who did us a great deal on two amazing singing bowls and went out of his way to find the right ‘stick’ for our bowls!"
4,Din_Brothers_Jewellers,Angel Morales Plasencia,5.0 of 5 bubbles,Aug 2022,Din Brothers Jewellers a  store  to visit,Din Brothers store is very good located and it was a pleasant experience to visit them. They have a good variety and good quality merchandise also they treated us very gently and kindly. Not to mention the prices for sure the best in town. Din Brothers it is a must to go
5,Din_Brothers_Jewellers,Michele C,5.0 of 5 bubbles,Aug 2022 • Couples,Din Brothers Jewellers shop in Leh,Very good shopping experience! High quality of the goods and very friendly people!! Highly recommended!!
6,Din_Brothers_Jewellers,Marco L,5.0 of 5 bubbles,Aug 2022,Entered for postcards and exit with rings and pashmina,"Nice shop with very nice products. I entered to buy few postcards but I exit with the best rings in town (I know it sounds strange but in India it is very normal!). My wife bought some pashmina stuff of which I am not very expert. Anyway, she looked very satisfied too (and she still is). The owner was extremely gentle in suggesting me a way to ship my luggage to Europe. We had the chance to pay in cash (Euros) and by card. Very nice experience."
7,Din_Brothers_Jewellers,Hima H,5.0 of 5 bubbles,Aug 2022 • Friends,A must visit store,The One-Stop- Shop in Leh….Zubair is such a fabulous person… we felt his shop was a second home. I just went in to pick up a postcard and ended up getting everything into my shopping list.MUST VISIT SHOP IN LEH..I highly highly recommend this store to everyone who visits in Leh
8,Din_Brothers_Jewellers,Rosana S,5.0 of 5 bubbles,Aug 2022 • Family,Not just a quality pashmina store but more,Zoubeir was a very big help in lending us local sim cards as well as selling us quality pashmina for what we think at a reasonabke price walking us through what qualities there existt. A big thanks
9,Din_Brothers_Jewellers,MadJayne69,5.0 of 5 bubbles,Jul 2022 • Friends,Great quality,"The service I received was top notch, I bought some   Gorgeous pashminas as gifts and some really good quality jewellery for myself , I will definitely be visiting again. Jayne"
