,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Hall_of_Fame,Ali Asgar B,5.0 of 5 bubbles,Oct 2022,Diwali Trip,A must visit place in Leh to witness efforts our brave soldiers take for us and our nation to protect from the enemies. you get very good knowledge of the army life and events happened in Leh. Also there is light and sound show in the evening which is free to watch along with hall of fame ticket.
1,Hall_of_Fame,Apolonia70,4.0 of 5 bubbles,Sep 2022,Sobering reminder of the price of freedom,"We visited here just as jets were flying over. A stunning location outside of Leh with mountain views. The military presence here is understandable but the scale is overwhelming. The history of military action, conflict and sacrifice is displayed in graphic detail. respect and thank you to those who serve. "
2,Hall_of_Fame,Vaibhav Rathore,5.0 of 5 bubbles,Oct 2022 • Solo,Abide by the borders....feel more safe,Systematic.....disciplinary display of valor and courage showed by SOLDIERS in different battles Round up on borders to settling the gunsExplanation of soldiers courage to recommendations of many who Martyr....
3,Hall_of_Fame,KarunaShastri,4.0 of 5 bubbles,Oct 2022,Definitely worth a visit,Definitely worth a visit as it gives you an understanding of what our fellow Indians in the Army do to keep us safe.
4,Hall_of_Fame,Pankaj Chopra,5.0 of 5 bubbles,Sep 2022 • Friends,Tribute to the martyrs ,"Very well maintained and carefully done up war memorial which has information both written as well as pictures of war heroes. The light and sound show along with laser is a must visit. The entry ticket to the Hall of Fame appears to be quite high, charging 250/- IR seems steep, maybe authorities can decide on providing a memorabilia or small memento. The south Indian restaurant along the Hall of Fame is a must visit, has authentic south indian food and excellent hospitable staff."
5,Hall_of_Fame,Aimless Vagabonds,4.0 of 5 bubbles,May 2022,"Stories of Ladakh and of the Indian Army, all under one roof!","Its surprising how many themes they have been covered in a little space. You get a taste of Ladakh's history, lifestyle and culture. The best part however are the detailed stories of the various operations by the Indian  Army! The way the soldiers tell the stories gave me goosebumps."
6,Hall_of_Fame,Priyanka M,4.0 of 5 bubbles,Sep 2022,great,"crowded but awesome, it is a good thing that it is crowded though. the demonstration is great as well."
7,Hall_of_Fame,Ruchirz,5.0 of 5 bubbles,Aug 2022,Very nice place and well maintained,Hall of fame is a must visit on a trip to Leh. Its quite information and makes one feel the patriotic vibes. When we visited one of the officer gave a small brief on Kargil War to all the visitors. One must keep 2-3 hrs to visit this place
8,Hall_of_Fame,Hadi1004,4.0 of 5 bubbles,Aug 2022 • Friends,Informational museum. Helpful soldiers.,"For non-locals, you have to pay 500 Indian rupees for entrance fee which also includes the light show there which only starts at 8pm (if I'm not wrong as we visited the museum in the afternoon). And pay another 20 Indian rupees to bring in your mobile phones. Need to pay by card, they don't accept cash. Fortunately our local driver was agreeable to use his card to pay. There are also guides provided who are veterans but unfortunately they don't provide English-speaking tours. Good thing that the informational boards (about the culture and history of ladakh, and past wars with china and Pakistan) and artefacts (e.g. captured items like guns and diaries from the other countries) inside the museum are written in English.We went on a Saturday and there were loads of people especially in one of their main indoor area. Abit worried since none were masked except for us. There is also an outdoor area which isn't much.Also, we have to commend the efforts from the young soldiers who tried to converse and explain the info to us in English even though English is not their strength. Overall an enjoyable and educational visit. "
9,Hall_of_Fame,ROOPshila’Shaggy,5.0 of 5 bubbles,Aug 2022 • Friends,Proud patriotic well-labelled museum honouring our defence personnel.,"Gives one Goosebumps to witness the Defence gallantry! Ticket window closes for like much till 2:30PM , charges per head are 250 ₹. Earlier the same tickets could be used for Zorawar Fort within a week. Not any more . Also remember that too ekting charges are payable only by Card . Yes, an ex-service MA’M can be hired as a guide by a group of five for an extra 500. Another tip is to take the roun from the opposite direction , because every one rushes to the right side room & it becomes too congested there. For mobiles & cameras extra charge are levied. The washroom is clean in the far corner nd of the car parking . Also the Aroma Cafe is a good place to spend your waiting time ."
