,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Zanskar_Arts,Ayush69,4.0 of 5 bubbles,Oct 2021,A recommended place to Shop for Paschmina,Very courteous people - willing to share knowledgeLook for GI marking for Paschmina stuff Nice collection and all price ranges
1,Zanskar_Arts,lokeshwar k,5.0 of 5 bubbles,Jan 2021 • Family,Excellent Shop,"Excellent customer care and products , great quality and range of products ,wide variety of products with quality and friendly staff."
2,Zanskar_Arts,Светлана C,5.0 of 5 bubbles,May 2019 • Solo,Nice,"After coming back home from my holidays in Ladakh I enjoy looking at my purchases. And ones of my favorite are shawls from Zanskar Art. It's a good shop.The sellers were very informative, enthusiastic and charming. They didn't pushed for shopping but provided a lot of information about various kinds of pashmina and other shawls. The prices seems reasonable, they gave a discount as everywhere in Leh. The shop is popular among Indian tourists. It's a pleasurable place and their things bring joy."
3,Zanskar_Arts,ashiq a,4.0 of 5 bubbles,Sep 2018 • Couples,Lovely silver jewellery,"we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
4,Zanskar_Arts,mrinmenon1968,3.0 of 5 bubbles,Jun 2018 • Friends,"Good collection, a little expensive","we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
5,Zanskar_Arts,ashiq a,5.0 of 5 bubbles,May 2018,nice,This shop in Leh main market has a great collection of Pashminas for all budgets. But what I couldn't resist was their collection of silver jewellery. Ended up going back three times and buying on every trip
6,Zanskar_Arts,Moulika M,4.0 of 5 bubbles,Aug 2017 • Solo,Good place to shop in Leh,Thank you for choosing zanskar arts 
7,Zanskar_Arts,ashiq a,3.0 of 5 bubbles,Jul 2017,Overpriced,Thank you for choosing zanskar arts 
8,Zanskar_Arts,rinklejain,5.0 of 5 bubbles,May 2017 • Family,Variety for Shawls,First shop that I went to in Leh market was Zanskar Arts. I did love their collection but found things a little too expensive when compared to others later. The good quality of pashmina shawls/stoles here is worth mentioning!
9,Zanskar_Arts,ashiq a,4.0 of 5 bubbles,May 2017 • Friends,Antiques & shawl,"we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
10,Zanskar_Arts,Kaushik G,,,,"we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
11,Zanskar_Arts,ashiq a,,,,its a nice place.stuff is also good.easy to access since it is in the market only.we purchased kashmiri original dryfruit kesar kawa.
12,Zanskar_Arts,Peregrineri,,,,"we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
13,Zanskar_Arts,ashiq a,,,,"we are glade that you like our store and person ,we hope to see you again here in store.
thank you for selecting Zanskar Arts.

regards 

Team of Zanskar Arts 

ashiqshalimar@gmail.com
"
