,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Leh_Post_Office,Kusum Goyal,4.0 of 5 bubbles,Apr 2019,Serving people at great height,This post office is at the highest point. The weather here is very extreme and its a real tough job for the people working here
1,Leh_Post_Office,viveks3,5.0 of 5 bubbles,Jun 2019 • Family,Tribute to the eyes,"Leh in general is a wonderful place, and the beautiful bazaar with the post office is very quaint. Just walking around the area connects one to the lifestyle of people inhabiting Ladakh. It’s quite cold even in June and to see people sitting on benches and the dogs all curled at their feet is mesmerising. Just a stroll in the area with shops lined up on both sides, the light poles and locals selling vegetables is refreshing."
2,Leh_Post_Office,rads2k,4.0 of 5 bubbles,Aug 2019,Takes you back in time!!!,"I visited this place to send some post cards, it just takes you back in time!!! Get a glimpse and send your loved ones a physical message. In this technology bound world, these small things do make a difference"
3,Leh_Post_Office,shash4333,5.0 of 5 bubbles,Jun 2019 • Solo,Your letters are in safe hands,"All the letters, post cards and the flags I sent to Europe reached their respective destinations safely in 15 days."
4,Leh_Post_Office,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,IP,This is probably one of the post office located at highest levels. I suggest to send a post card to your home from this place
5,Leh_Post_Office,Sightsee737349,5.0 of 5 bubbles,Aug 2018 • Friends,Serving the remotest corners ,The Leh Ho Under Which many SO and BO are there Serves the remotest corners of Ladakh . In winters letters are even sent via Chadar from Leh thus brining joy to the people 
6,Leh_Post_Office,royjay2018,3.0 of 5 bubbles,Jun 2018 • Couples,"Centrally Located, Right In The Middle Of The Leh Main Market","The Leh Post Office is centrally located right in the middle of the Main Market of Leh. One can visit the post office, buy some beautiful postcards of Leh and its surroundings and send them across to his near and dear one, and may be one to himself as well. Leh Post Ofice is the highest located post office in the world."
7,Leh_Post_Office,Lovers_paradise,5.0 of 5 bubbles,Jun 2018 • Couples,High Altitude Post Office,Leh Post Office is located right at the centre of Leh market. It is one of the highest post offices of the world. U can buy a post card and send it to ur home from here for keeping the memories.
8,Leh_Post_Office,SAM_SMARAT,5.0 of 5 bubbles,Jan 2019 • Friends,Good way to communication,Leh post office is situated in main market. I visited leh town in month of July with my brothers. It's highest altitude post office over here. you can buy postcard and post your address. It's Good way to conversion. Good experience for us.
9,Leh_Post_Office,Umang A,3.0 of 5 bubbles,Aug 2018 • Friends,Indian post,"Indian post have an amazing building in the heart if the Leh market. Send a post card to your home address, a cool way to keep memories."
