,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Magnetic_Hill,Apolonia70,3.0 of 5 bubbles,Sep 2022,Optical illusion but fun.,"On route to other attractions, we drove through here and of course, my guide had to demonstrate the illusion of the car self propelling. Not a major thing to experience but all part of the adventure. There is a photospot and cafe nearby. "
1,Magnetic_Hill,Sachin Mahadeshwar,3.0 of 5 bubbles,Sep 2022,Magnetic Hill,"Just a drive through area with a illusion that looks like car is auto reversed. On the way to Sangam point, can stop for photos. Should have better arrangement for public toilets, especially for ladies."
2,Magnetic_Hill,M&M,3.0 of 5 bubbles,Oct 2022 • Friends,Illusion,"Magnet Hill is a gravity hill .Actually the road is a downhill road. Objects and cars on the hill road may appear to roll uphill in defiance of gravity when they are, in fact, rolling downhill. The layout of the area and surrounding slopes create the optical illusion of a hill."
3,Magnetic_Hill,Hadi1004,4.0 of 5 bubbles,Aug 2022 • Friends,"Tried on our tour car; in the end, dressed up in ladakhi traditional wear and took photos in and outdoor.","There is an outline of a box on the road where you can try out on your own vehicle, whereby the vehicle would move on its own without even pressing on the accelerator.There is an eatery there and also a shop which sells indian snacks and tidbits and ladakhi traditional costumes for phototaking. We rented a costume for 200 Indian rupees and actually could even change some parts of it i.e. head wear, necklace etc. Without additional charge. There is an interior decoration within the shop, and we can even do phototaking outside of the shop i.e. at the sandy area. "
4,Magnetic_Hill,Ravsh,3.0 of 5 bubbles,Aug 2022 • Family,Ok Ok,"Just an average place en route Sangam from Leh. Dont think there is anything magnetic. Think its the barely discernible slope. A few eateries in the vicinity and ATV is also available. Since its on the way to Sangam, can stope here for some time. Toilets need to be better."
5,Magnetic_Hill,NayantSavani,5.0 of 5 bubbles,Jul 2022,A phenomenon unravelled,On the main highway leading to Leh a portion of the road and its surrounding areas generate a magnetic force that let an idle car start moving.
6,Magnetic_Hill,puchka,4.0 of 5 bubbles,Jul 2022 • Couples,Defying law of gravity.,The Magnetic Hill is a must stop over to witness how vehicles kept on neutral tend to roll uphill in defiance of gravity.  A great place to take photographs of this chumbak hill as popularly known.
7,Magnetic_Hill,Amit Singh S,5.0 of 5 bubbles,May 2022,This is a natural marvel,"As the name suggest this hill really has Magnetic forces which pull the speeding vehicles towards it, which causes the vehicles to slow down automatically. One can park their vehicles at the painted lines on the road and see the magic of magnet which pull your stopped idle vehicle. It is real natural marvel"
8,Magnetic_Hill,vikramkanodia,3.0 of 5 bubbles,Jun 2022,On the way to Sangam Point,"It seems to me fake!! We do not feel any magnetic power or zero or low gravity while driving in car. Its very busy area, its on the way to the Sangam point where Indus(sindh) river and Zanskar river meet so you have to pass through this place. "
9,Magnetic_Hill,Ravikant Sabnavis,4.0 of 5 bubbles,Jun 2022,Mystery of Magnetic Hill,"As you approach Leh, the Magnetic Hill is a ""must stop"" - both to experience it as well as get a spectacular view of the range to the left & the road ahead. "
