,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Matho_Monastery,Apolonia70,5.0 of 5 bubbles,Sep 2022,Beautiful architecture and welcoming place,"Matho was one of my favourite monasteries to visit.  It had the usual respectful removal of shoes and respect requirements, but the place was welcoming and friendly monks aided me climb up a set of steps that challenged me. The wall murals and artifacts are exquisite. definitely worth a visit to admire and appreciate."
1,Matho_Monastery,Sachin Mahadeshwar,4.0 of 5 bubbles,Sep 2022,Beautiful Monastery,"A very small and beautiful monastery , take your vehicle till the top as its quite a walk. feels divine when you visit same."
2,Matho_Monastery,Harshvardhan Sekhsaria,5.0 of 5 bubbles,Apr 2022 • Couples,Amazing views from the Monastery,Very distantly located monastery and not visited as much by tourists so no crowd at all. It has a great location and the views from this monastery are majestic
3,Matho_Monastery,Tini D,5.0 of 5 bubbles,Aug 2019,Matho monastery,"Beautiful monastery, very old, take a cab going up as it is quitte high on the top of the village. Lovend the painting on the walls, the ancient objects in the museum."
4,Matho_Monastery,rjpriyanka,4.0 of 5 bubbles,Apr 2018 • Friends,Buddha,Another small and beautiful monastrey located jn a small village. The monks are very warm and welcoming here.
5,Matho_Monastery,Umang A,4.0 of 5 bubbles,Apr 2018 • Friends,Buddha,This monastry has a very beautiful and amazing museum which is a good visit. This one is less crowded and good place
6,Matho_Monastery,Lovers_paradise,4.0 of 5 bubbles,Jun 2018 • Couples,Quiet Monastery Surroundings at Matho,"Matho Monastery is renowned for its collection of old thangka paintings, some of which date back to the founding of the monastery. The Monastery stands on a hilltop with a sweeping view of the Thiksey and Shey Gompa's."
7,Matho_Monastery,royjay2018,4.0 of 5 bubbles,Jun 2018 • Couples,"Less Visitors, But Beautiful","Matho Monastery is located about 25 km south-east of Leh. It is located just behind the Thiksey Monastery.As the monastery does not lie just beside the highway, you need to walk a little to reach the monastery."
8,Matho_Monastery,Umang A,3.0 of 5 bubbles,Aug 2018 • Friends,Nice,"This monastery has a small museum with nice collection, the good part is that this place is less crowded and offer great view of village."
9,Matho_Monastery,Gene M,5.0 of 5 bubbles,Oct 2018 • Couples,"Revisiting Matho after 25 years, lovely to see the Monastry in great shape.","Recommend getting a taxi out to Matho for the views, let alone the fabulous religious artifacts inside. "
