,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Panamic_Hot_Sulphur_Springs,Anuradha,4.0 of 5 bubbles,May 2019 • Family,Hot spring in cold desert ! ,"We stayed at Hunder, but decided to pay a visit to Panamik. It’s a very secluded place with hardly any population. But the hot springs were worth the effort! Water was boiling hot, and seeing it coming from underground is very educative for children. Many people don’t visit this place, but if you appreciate Off beat places with less crowd you must visit. Lunch at small kitchen in the compound was simple but awesome. After eating a lot of maggi and momos, felt like having roti, that too Khmiri roti, was a treat in itself, for me, at least !! I had packed chatni with me and enjoyed eating this roti with chatni! No fancy food ! If you enjoy simple pleasures of life, do go, don’t expect anything great. Personally I loved it.  "
1,Panamic_Hot_Sulphur_Springs,Sayantani Chatterjee,1.0 of 5 bubbles,Jul 2018 • Friends,Waste of time & energy,"It was a long drive from Leh to Panamic to visit this Hot Spring only. Though the water is hot; but the maintenance was poor. Moreover, it doesn't give us a feel of natural thing, which we were expecting at an altitude of 11K feet. The water was coming through pipe into an artificially made tub, where people can take a bath. We were prepared with costumes; but we didn't, as the place looked like a normal public bath, without any natural aspect into it"
2,Panamic_Hot_Sulphur_Springs,Lovers_paradise,3.0 of 5 bubbles,Jun 2018 • Couples,Hot Sulphur Spring Near The Siachen Glacier,"Panamik is a village in the Nubra area of the Ladakh around 150 km from Leh and is located very close to the Siachen Glacier, the highest battle-field in the world. The village attracts travellers from allover the world who come to take a dip in the hot sulphur springs. The hot sulphur springs are located at an altitude of approx. 10500 ft above sea level."
3,Panamic_Hot_Sulphur_Springs,royjay2018,4.0 of 5 bubbles,Jun 2018 • Couples,Hot Spring In A Cold Desert,Hot spring in a cold desert is itself a rare phenomenon. It is a must visit place when you are in the Nubra Valley. The Hot Sulphur Spring is located in Panamik village at a distance of about 50 km from Diskit.
4,Panamic_Hot_Sulphur_Springs,Aartichand,2.0 of 5 bubbles,Sep 2018 • Friends,Hot water but not very Clean,It is a long drive to visit specially for the Hot Springs. Yes the water is very hot but the maintenance is poor. It does not give you a clean feeling. Frankly I would avoid it.
5,Panamic_Hot_Sulphur_Springs,GauravChand,2.0 of 5 bubbles,Sep 2018 • Friends,Not much of an attraction,After stating a night in Hunder we decided to spend a night in Sumur too.  We made a short trip to Panamic to see the area and the Hot Sulphur Springs.  It was an extremely hot afternoon and it took about an hour to reach Panamik.  It looked like a government managed place high up on a hill with a good view.  The bath was in another room below and was not something we felt like going to.  All in all not a place to visit.  Maybe one would feel a little different if it was cold outside.
6,Panamic_Hot_Sulphur_Springs,nisasu,4.0 of 5 bubbles,Oct 2018 • Family,Nice view and hot water bath,After some one hour drive from Deksit we reached here. On the way we followed the Siachen river and Ladakh mountain range. The journey was a treat to the eyes.The place is small. After climbing some flight of stairs you will reach the spring. Its kind of a small crack from where hot water flows. There is a neat bathroom and fresh towels are provided for nominal fees.
7,Panamic_Hot_Sulphur_Springs,Vinodkumar G,3.0 of 5 bubbles,Aug 2018 • Friends,Hot water spring,"After a long ride from leh, natural hot water bath gave very good relief to our body and mountains with white sand refreshed our mind.Good place to take rest when ur passing by panamic."
8,Panamic_Hot_Sulphur_Springs,Subodh,1.0 of 5 bubbles,Jun 2018 • Family,Don't waste your time,"If you have seen any hot spring anywhere in the world, please avoid wasting your time at Pamamic. There is a trickle of water with a stink of sulphur. Nothing big or picturesque. "
9,Panamic_Hot_Sulphur_Springs,Sk_mahua,3.0 of 5 bubbles,Jun 2018 • Family,a very ok place,this place is bit far off from Nubra but the journey is the destination. so the journey to this place is fun. There are streams on the way and we had a chance to relive our childhood in those streams.
