,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Samstanling_Monastery,Surjeet,5.0 of 5 bubbles,May 2022 • Family,One with everything,A very peaceful and beautiful visit. the monastery is an artistic beauty. the old architecture and the beautiful view from the monastery was surreal.
1,Samstanling_Monastery,Umang A,4.0 of 5 bubbles,Apr 2018 • Friends,Beautiful,This monastry is located towards Nubra Valley and built beautifully. This remain snow clad for 5-6 months in a year.
2,Samstanling_Monastery,Lovers_paradise,4.0 of 5 bubbles,Jun 2018 • Couples,Sumur's only monastery,"Samstanling Gompa is located in Sumur Village in the Nubra Valley of the Ladakh.The Monastery was founded almost 150 years ago. The place is to be found in the middle of pleasant scenic beauty and is surrounded by traditional hues of gold, red  and white. There are local buses and shared taxis that visit this village on regular basis from all important places in the Ladakh. You can also hire a private taxi to Sumur village. From the village you can either take a taxi or hike for 45 minutes to reach Samstanling Monastery."
3,Samstanling_Monastery,royjay2018,4.0 of 5 bubbles,Jun 2018 • Couples,Scenic Samstanling Gompa,"The picturesque village Sumur in the Nubra Valley region is a charming little gem of Ladakh. Calm and peaceful is what this village is all about and giving it an added beauty is the Samstanling Monastery. Set amidst scenic mountains and greens, Samstanling is a popular monastery which showcases the traditional touch with shades of gold, red and white. This must visit attraction is approximately 120 km from Leh and a 45 minutes trek from Sumur village."
4,Samstanling_Monastery,Rajivglobaltraveller,4.0 of 5 bubbles,Aug 2018 • Friends,Samstanling Monastery,"Samstanling Monastery is in Sumlur village and was founded by Lama Tsultim Nima, 140 years ago. The monastery houses 50 monks and this is the main monastery of the region.On the way and around the monastery the landscape is enchanted with the yellow-red trees, vibrant and colourful prayer flags, berry bushes, golden-grey mountains reaching out to cuddle the pristine blue skyline. The monastery has two assembly, both of which have spectacular murals and paintings of Buddha, Dharma chakra, the four heavenly kings, guardians and lots of other aspects of Buddhism. The guest house in the monastery is the resident of the 7 year old incarnation of Lama Bakula Rinpoche, who is a great visionary."
5,Samstanling_Monastery,Blitzkrieg3,4.0 of 5 bubbles,Aug 2018 • Friends,Amazing,"Set amidst scenic mountains and greens Samstanling is a popular monastery which showcases the traditional touch with shades of gold, red and white. This must visit attraction is approximately 120 kilometres from Leh and a 45 minutes trek from Sumur village. Overall, a great place to visit if you find yourself in Leh Ladakh."
6,Samstanling_Monastery,prashanthi p,5.0 of 5 bubbles,May 2018 • Family,Very Good,"Good place to visit, had a chance to meet local people& they were very good. There services are excellent"
7,Samstanling_Monastery,Kaushik G,4.0 of 5 bubbles,Aug 2017 • Couples,Neat clean well maintained monastery,"We had visited this beautiful monastery located in Sumur village in Nubra Valley during our vacation in Ladakh. The Monastery is neat & clean, very well maintained and very peaceful place. At the entrance to the monastery there are red & green apple trees on both sides of the stairs. Inside the main prayer hall, we saw a very peaceful idol of Lord Buddha and many other small idols beautifully decorated. The paintings of Lord Buddha on the inner walls was colorful and very prominent. The monastery was neat & clean and very well maintained. Sumur sand dunes are located close by and we got amazing picture perfect views of Nubra Valley on our way to this monastery. After visiting this monastery, we had proceeded to visit Hunder sand dunes and we stayed for the night at Hunder."
8,Samstanling_Monastery,Krishnendu M,5.0 of 5 bubbles,Jul 2017 • Couples,"Very nice, quite and beautiful monastery in Nubra Valley...","This beautiful and picturesque monastery is in Sumoor village of Nubra. This is one of the monastery, with very lesser steps. View from the monastery is very nice and charming.Many people stay in Sumoor village in Nubra. Please note distance of the Hunder sand dunes and other main attractions in Deskit is 45 Km and 38 Km respectively."
9,Samstanling_Monastery,amitac14,4.0 of 5 bubbles,May 2017 • Friends,Picturesque,The monastery is very quaint and offers beautiful view of the Nubra valley . It was a short visit for me.
