,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Shey_Monastery,NayantSavani,4.0 of 5 bubbles,Jul 2022,A palace now a monastery,Situated at a height which is tough for visitors to climb it is now a monastery in the village of Shey. Not much can be seen except the worshiping room.
1,Shey_Monastery,Yadlapati,5.0 of 5 bubbles,May 2022,SHEY GOMPA & MONASTRY,"The Shey Monastery or Gompa and the Shey Palace complex are structures located on a hillock in Shey, 15 kilometres to the south of Leh in Ladakh on the Leh-Manali road. Shey was the summer capital of Ladakh in the past. It contains a huge Shakyamuni Buddha statue. It is the second largest Buddha statue in Ladakh.  The view from atop of the hillock is amazing."
2,Shey_Monastery,Oceanblue2013,5.0 of 5 bubbles,Mar 2022 • Family,Beautiful place. On Leh-manali highway,Beautiful view from the place. Visited during the losar festival. got to see the prayer session in progress. Half an hour to 45 min are enough to explore this place
3,Shey_Monastery,Travel Enthusiast,5.0 of 5 bubbles,Aug 2021,Beautiful,View from the top is good. Not much of climb as compared to Thicksey. Worth a visit. Can do a little bit of shopping outside the palace.
4,Shey_Monastery,Mrs Nancy Brown,5.0 of 5 bubbles,Mar 2020 • Friends,Tour Bus Hollywood tour,"Shey the bus driver was the best ever I can't wait to come back to take the tour again he was very funny with the Greatest sense of humor it was my Leap year Birthday Shey added more Joy to my Birthday, And when I return to Caliafonia I will look for shey's BUS to take the Hooywood Tour"
5,Shey_Monastery,Michelle M,5.0 of 5 bubbles,Nov 2019,This is spectacular.,The views! The peace! The silence! We were there on a day of clear blue sky. The buildings are amazing. There are stairs and you are at altitude. 
6,Shey_Monastery,Shuddho G,4.0 of 5 bubbles,May 2019 • Family,Amongst the must do places,"In Leh there are limited but must do places and this is one of them.Be careful as the sun can get a little scorching.The place could have been better maintained,though."
7,Shey_Monastery,P G,3.0 of 5 bubbles,Jul 2019 • Friends,Smaller Monastry,Its on the way to Thiksey and can be avoided. Visit if u have leisure time. Better to visit Rock & Mineral museum nearby in case you are interested in Minerals.
8,Shey_Monastery,Traveller Mehedi,3.0 of 5 bubbles,Sep 2018 • Friends,"Visit for a while, nothing special !",We visited this Shey palace and monastery while returning from Thiksey Gompa. It's an old palace of Ladakh king and inside the palace has a monastery. All are like a ruined place. Can't find anything special about this place.
9,Shey_Monastery,David L,5.0 of 5 bubbles,Aug 2018,You have to go!,"The view is stunning, the age of the place is amazing, the people are fantastic, what else do you need!Well worth the effort to visit, have a nice walk around, check out the view so make sure you take your camera with fully charged batteries. "
0,Shey_Monastery,ArindamC_Kolkata,4.0 of 5 bubbles,May 2019 • Family,Short visit during day trip,"We visited Shey Palace/ Monsatery during a day trip covering Hemis, Thiksey, Shanti Stupa and other attractions around Leh. The view from the top is great. Artifacts are nicely preserved and well guarded. It is worth a short visit. "
1,Shey_Monastery,Anuradha,3.0 of 5 bubbles,May 2019 • Family,Average,"If you have time, you can visit. Otherwise spend more time at Thiksey and Hemis monasteries. Though it provides a good view of the town, with beautiful temples inside. "
2,Shey_Monastery,Nlay,3.0 of 5 bubbles,Jul 2018 • Friends,Close to Leh but palace part in ruins!,"Located 15 kms away from Leh City, Shey Monastery along with the Shey Palace is situated on a hillock in Shey Village. This palace and monastery was built by the king of ladakh in 1655 as summer retreat but the palace is now in ruins and there not much part left. Being on hillock, this place offers scenic view of the outskirts of Leh city. The main attraction of the monastery is the gilded gold statue of a seated Shakyamuni Buddha."
3,Shey_Monastery,knoesenm,4.0 of 5 bubbles,May 2019 • Friends,Excellent ancient wall paintings,The Shey monastery is much smaller than the Thiksey and also doesn’t have as many levels. The wall paintings in the main temple here are quite amazing though and very ancient. You can still see the real gold they used in the paintings. There are great views of the Indus river and beautiful fields. 
4,Shey_Monastery,Aswin Ashok,4.0 of 5 bubbles,Apr 2019,Amazing views ,"Near to Leh city , offers another view of Leh city . Not properly maintained. Opp to this some local shops are there selling Tibetan collectables "
5,Shey_Monastery,Dhyan Chand,5.0 of 5 bubbles,Apr 2019 • Friends,Old capital ,"Shey palace built in 1655, near Shey village, by the king of Ladakh, Deldan Namgyal, also known as Lhachen Palgyigon. It was used as a summer retreat by the kings of Ladakh.Shey was the old capital of the upper Ladakh region. When the Dogras of Jammu invaded Ladakh in 1842."
6,Shey_Monastery,rjpriyanka,4.0 of 5 bubbles,Apr 2018 • Friends,Buddha,Leh you can say Leh is land of byddha as majority od people follow this religion. A small and beautiful one located toeards pangong lake in small village called shey
7,Shey_Monastery,Umang A,4.0 of 5 bubbles,Apr 2018 • Friends,Amazing,This monastry is very beautiful and senic and must visit. This place was summer capital of Leh in old times.
8,Shey_Monastery,Sightsee737349,5.0 of 5 bubbles,Aug 2018 • Friends,Scenic monastery ,Shey Gonpa is near Leh city and is a very beautiful monastery . The Sindhu Darshan Ghats are also near Shey . It’s a very beautiful and a must visit place 
9,Shey_Monastery,SAM_SMARAT,5.0 of 5 bubbles,Jul 2018 • Family,Good view at the top,Shey Gompa Is Situated Near To Leh Town. Shey gompa is 14 Or 15 km Far. I Visited Shey Gompa With My Brothers. It Was Good Experience For us. Inside the monastery one of the good temple of Buddha bhagwan. It's Good Place For Photography. At The Top Of The View Is Very Beautiful. Good Place For Visit. 
0,Shey_Monastery,Umang A,4.0 of 5 bubbles,Aug 2018 • Friends,Budha..,Laddhak is home of Buddhism and accordingly there are many monastries. This one is located in the way to Pangog TSO and offers amazing view.
1,Shey_Monastery,Samarth T,5.0 of 5 bubbles,Jul 2018 • Family,Good views,I visited shey monastery with my cousins. it's a good place but not much that great just ok place. Great view at top of the hill hear. The monastery is very attractive place. Shey monastery was the summer capital of Ladakh in the past. It's good place don't skip this monastery. Thank you ☺️☺️ 
2,Shey_Monastery,Vaibhav_Tailor,5.0 of 5 bubbles,Jul 2018 • Family,Closed World's Heritage site,"First thought before visit... It must be a great place having amazing views like leh royal palace but sad reality,it was closed. Don't know the reason behind it still we managed to see it form outside still is not waste on time we click some of the best clicks there the view form there is just amazing but monastery and palace is not open at 6 o'clock which is disappointing buy still worth the views from there. And yes there some decent restaurants opposite the monastery. Hope mine experience will be helpful to you.."
3,Shey_Monastery,royjay2018,5.0 of 5 bubbles,Jun 2018 • Couples,One of the beautiful Gompa's of Ladakh,"The Shey Gompa is situated on a hillock about 15 km south of Leh. The  monastery is at the top of the hillock and you can also see white structures called ""chorten's"" that are used to store the ashes of the high-profile monks. Its a must visit for any tourist in the Ladakh."
4,Shey_Monastery,Lovers_paradise,5.0 of 5 bubbles,Jun 2018 • Couples,Antique Shey!!,"Located beside the River Indus at a distance of around 15 km from Leh, Shey is one of the ancient palaces of Leh. It used to be the capital of antique Ladakh. The palace is placed on a hill and includes a gold-topped victory Stupa. The name ""Shey"" as translated into Ladakhi means ""mirror"" and it is known as the reflection of the palace. "
5,Shey_Monastery,John_Doe1011,3.0 of 5 bubbles,Jul 2018 • Couples,Monastery lying in ruins,We visited this monastery as part of local Leh sightseeeing tour. The monastery like many other in the region is centuries old but this one is in ruins. The good part is it offers some very good views of the surrounding areas. One can very well skip this place if visiting other monasteries or gompas.
6,Shey_Monastery,ravi0291,3.0 of 5 bubbles,Sep 2018 • Friends,ok ok,"shey palace Also known as Shey Palace or Shey Gompa, the monastery is famous for housing a 3-storeyed huge copper with gilded gold idol of seated Shakyamuni Buddha. The statue is counted as the second largest idol in Ladakh.There was one gompa inside but closed so we headed towards our guest house."
7,Shey_Monastery,Krishnandu Sarkar,5.0 of 5 bubbles,Aug 2018 • Friends,Amazing Views,A nice and calm place to spend aroud few minutes. Offers a breathtaking view from the upstairs. This place comes under local sightseeing of Leh.
8,Shey_Monastery,Angad Singh,5.0 of 5 bubbles,Jul 2018 • Friends,Nice place,Nice place to visit. A historic monastery which is very calm and peaceful. Very amazing views from the Monastery.
9,Shey_Monastery,ghosal_rg,3.0 of 5 bubbles,Sep 2018 • Couples,Shakyamuni,"15km from Leh town. Climb as usual. On the highway. Only rubbles left of the palace. After covering lots of tortuous lanes, you reach the monastery inside, desolate, pay 30 bucks per head, visit gold copper, large, beautiful statue of Shakyamuni , stained thanks and go back to your car."
0,Shey_Monastery,GauravChand,3.0 of 5 bubbles,Sep 2018 • Friends,Monastery and palace in bad shape,We visited Shey Monastery on the way back from Thiksey monastery.  The structure looks in bad shape and looks like it may have been damaged during some bad weather or an earthquake.  There is not much climbing.  There is a Buddha statue.  The palace is also there.  A visit provides some good views.  This attraction can be skipped if visiting other monasteries.
1,Shey_Monastery,Peregrineri,3.0 of 5 bubbles,Sep 2018 • Solo,"Interesting, but not well preserved","I first visited here several years ago, when more of the palace was open. Now only the upper hall with the Buddha statue is open. I have always heard of it referred to as Shey Palace. There was one monk there, collecting the Rs30 admission fee, but I didn't see others. The only other activity there that I could see was a hall with many oil lamps. If you go in there without shoes, your feet will get sticky. There's no sign about shoes there, so maybe they are OK. It's disappointing that the place seems to be getting no restoration work done.It's not accessible, You have to walk up quite a few stairs. You get a great view from up there, though."
2,Shey_Monastery,S K,4.0 of 5 bubbles,Aug 2018,SHEY MONASTERY,"Presently hosts a Big Buddha Statue this is also once a Palace. The Palace is NOT accessible easily. The visitors said it was in bad shape however the Gompa portion is still well maintained with a Big Buddha Statue in it. Across the road in this place is a Holy Pond which hosts big fishes. People feed them after visiting the Shrine, "
3,Shey_Monastery,debasis2k,4.0 of 5 bubbles,Aug 2018 • Couples,A must visit while in Leh,In a routine visit of the sight seeing you will be visiting this place. After the earthquake the monastery is not in a very good shape. An OK place but good for the camera. There is entry fees for the maintenance of the place. 
4,Shey_Monastery,Uday V,1.0 of 5 bubbles,Aug 2018 • Family,Palace with a monastery,Its called Shey palace but it is in ruins. The monastery is in working condition. Thats the best possible thing to see and visit. If hard pressed for time this could be skipped.
5,Shey_Monastery,Rohit J,3.0 of 5 bubbles,May 2018 • Friends,Bike ride to Ladakh,"A must place to visit when you are in Leh. It is situated at Leh Manali highway, 15 kms from Leh. Need to climb the stairs which is tiring if you are facing altitude sickness.There are entry fees for the monastery which are for the mainteance.The view from the top is amazing, so do bring your cameras for a good memory.People do spend 30-45 mins here."
6,Shey_Monastery,Shuchi J,3.0 of 5 bubbles,Aug 2018 • Family,Ok ,"Monasteries are almost same with little difference..u need to walk and climb stairs to reach here,so kindly avoid if having altitude sickness.."
