,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Sindhu_Ghat,Adarsh Venkatesh,5.0 of 5 bubbles,Aug 2021,Good way to spend the day to acclimatize to the altitude,Lovely spot. The water is just a little more than a stream so there is no depth at all. There is place to sit on the banks so one can sit as long as they want with their legs in the cold water of Sindhu. It does get really hot though in summers.
1,Sindhu_Ghat,P G,3.0 of 5 bubbles,Jul 2019 • Friends,A stop on way to Thiksey,You may opt to stop for few minutes on your way from Leh town. This is the Location for Annual festival.
2,Sindhu_Ghat,ssphartyal,3.0 of 5 bubbles,Jun 2019 • Couples,Sindhu festival,The festival was on when we visited with cultural programme and lectures of dignitaries. The place had good ambience
3,Sindhu_Ghat,shashindrak,3.0 of 5 bubbles,Feb 2019 • Solo,Poor maintained spot,This was my 4th Ladakh visit & was at Sindhu Ghat. The River Indus here was frozen but many tourist made it dirty.At many other places river Indus/ Sindhu looks very good.Can be visited along with Shey Palace & Thiksey Monastery.
4,Sindhu_Ghat,Sightsee737349,5.0 of 5 bubbles,Aug 2018 • Friends,Holy Indus River ,Indus or Sindhu is one of the holiest river of Hinduism and Buddhism . It’s believed Hinduism evolved from this region 
5,Sindhu_Ghat,Lovers_paradise,5.0 of 5 bubbles,Jun 2018 • Couples,The Banks Of The River Indus,Sindhu Ghat is the banks of the Indus River in the Ladakh. It is a very peaceful river-bank in the surreal landscape of the Ladakh. Sindhu ghat is quite close to Leh and can be easily combined with a visit to Shey palace and Stok village.
6,Sindhu_Ghat,royjay2018,5.0 of 5 bubbles,Jun 2018 • Couples,For Peace And Serenity,Sindhu Ghat comes on the way from Manali entering to Leh. It is close to the Shey Palace and on the way to the Thiksey Monastery from Leh. There is a beautiful place also called Sindhu Darshan Point (translated as the Indus View Point). A light walk at this place will add more charm. It introduces us to the old grandness of the Indus River. It is a spot to spend some quiet moments and a must visit attraction on any visit to Leh.
7,Sindhu_Ghat,rajeshggn2015,5.0 of 5 bubbles,Oct 2018 • Family,view,there is mixing of two river indus and zanskar river. its very beautifull and color of both river was amazing
8,Sindhu_Ghat,ghosal_rg,1.0 of 5 bubbles,Sep 2018 • Couples,Hoax,"There is a pavilion in the bank of tame Sindhu here, very close to Leh city where politicians pay homage to the mother river flanked by bushes and deliver blah blah to....We found a bevy of Dhoni's and drivers utilising the water in the same spot, as expected."
9,Sindhu_Ghat,kunjathur,3.0 of 5 bubbles,Aug 2018 • Family,sindhu ghat on the banks of Indus river,This is a recently constructed ghat and understand that the Kumbh mela takes place here once in a year. The  building construction area gives an idea that it must be catering to smaller crowd
0,Sindhu_Ghat,Prem P,3.0 of 5 bubbles,Oct 2017 • Family,Good view,View is good but did not find so attractive as it is just the river side and not much to explore. You can skip.
1,Sindhu_Ghat,debasis2k,5.0 of 5 bubbles,Aug 2018 • Couples,Nice photo opp,If you go there in the evening just before the sun set I am sure you will bless me for the beautiful photograph you can shoot with a lovely panaromic view. 
