,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Spituk_Monastery,SandeepSingh1979,5.0 of 5 bubbles,Nov 2022 • Friends,Small and beautiful monastery with scenic beauty,This was the second monastery that I visited in Leh. So obviously I was impressed straight away as you have a great range of view to see flights takeoff and landing.As far as monastery it was small one which you can finish in 15-20 min. You would find the Kali Mata temple inside.The surrounding scenery and I just love the landscaping and the Indus River flowing. One should surely come and visit this place when they are here in Leh
1,Spituk_Monastery,Yadlapati,5.0 of 5 bubbles,May 2022,Must Visit,"Spituk Monastery, also known as Spituk Gompa or Pethup Gompa, is a Buddhist monastery.        8kms from Leh. The word 'Spitok' means exemplary. Today it is the home of 100 monks and an awe inspiring image of Mahakaal, the face of this image is kept covered and is unveiled at the annual festival of Spituk in January. This Monastery's museum has a rich collection of ancient masks, antique arms, other icons and numerous Thangkas."
2,Spituk_Monastery,Harshvardhan Sekhsaria,5.0 of 5 bubbles,May 2022,The monastery is like another but views of the airport are amazing from here,"Airport views is what i would go for and seeing planes take off and land, the monastery is just like another hence didn't excite me that much "
3,Spituk_Monastery,arvind1000,4.0 of 5 bubbles,Oct 2019 • Couples,Probably the nearest significant monastery to Leh,"Spituk Monastery or Gompa is one of the nearest to Leh town,  about 8 km from town on the Leh-Srinagar Road, just beyond the Hall of Fame attraction. It is worth a visit "
4,Spituk_Monastery,reubenranjanfern2017,5.0 of 5 bubbles,Sep 2019,Superb view.,"This place is a very old monastery and very well maintained, Nice place to visit this place and must recommend for others."
5,Spituk_Monastery,drdjash,5.0 of 5 bubbles,Jun 2019 • Couples,Gorgeous views,You have to climb quite a number of steps to reach the monastery. So maybe difficult for some aged people. But once at the top you won't feel like getting down. The view is breathtaking. So even if you are not interested in Buddhism you should go.
6,Spituk_Monastery,vipin k,5.0 of 5 bubbles,Jun 2019 • Family,famous leh monastry,This is a old and famous Monastery in Spituk village in Leh.View of the Leh airport and city is Scenic.. there is a kaali temple also..must visit 
7,Spituk_Monastery,Raghu,4.0 of 5 bubbles,May 2019 • Family,Monastery with nice view of Leh airport and Indus River,The climb to the Monastery is not that hard and once we go to the Monastery we feel very peaceful. Once you step outside of the Monastery the views are gorgeous and you feel very relaxed experiencing the beauty of Ladakh. Visiting on the first day of your tour makes sense as it is very close to the city.
8,Spituk_Monastery,Mr. KV,5.0 of 5 bubbles,May 2019 • Couples,Beautiful Monastery with nice view of River Indus..,Wonderful temple of MA Kali and beautiful monastery.. Felt in another world when i hear chanting of Lamas.. Love to visit this place again..
9,Spituk_Monastery,Ravee,4.0 of 5 bubbles,May 2019 • Friends,one of the Old Monument Monestry,"Park the vehicle outside Taking all the stairs do visit this place, must try butter Tea the best experience ."
