,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Stakna_Monastery,Apolonia70,4.0 of 5 bubbles,Sep 2022,Photogenic monastery,The photo alone of this monastery is enough - we didnt visit the monastery but di stop to take the iconic photos. Would be great to be there at night to take some astrophotography when time of year is right. 
1,Stakna_Monastery,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,Budha,This monastry is located on a small Hill top near the Leh city. The shape of hill is like nose of tiger and hence the name of place.
2,Stakna_Monastery,Umang A,4.0 of 5 bubbles,Aug 2018 • Friends,Tiger,This monastery is located on a small hill which is in shape of tiger nose and name of the place drived from same. View of I Indus river is amazing
3,Stakna_Monastery,OnTheWorldRoadsAgain,5.0 of 5 bubbles,Jul 2018 • Friends,Very photogenic,"This monstary along the Indus river is one of the most photogenic in the valley. Come to the river in the evening for sunset, it's amazing!"
4,Stakna_Monastery,royjay2018,5.0 of 5 bubbles,Jun 2018 • Couples,Stakna Gompa --- A Monastery With Alluring Views,The Stakna Monastery which is located at a distance of around 25 km from the city of Leh. No trip to Ladakh is complete without a visit to this monastery. The word Stakna means Tiger’s nose. The Monastery is located on a small hill which is shaped like a tiger’s nose and hence the name. There are about 30 monks living in the Monastery who follow the  Drugpa Sect.
5,Stakna_Monastery,Lovers_paradise,4.0 of 5 bubbles,Jun 2018 • Couples,Wonderful all-round views,"Perched on a small hilltop across the left bank of the River  Indus and located some 20 km from Leh city, the Stakna Monastery in Ladakh belongs to the Drugpa sect of Buddhism. There is a clear 360 degree view from the ramparts of the monastery complex. Owing to the prismatic location of this pious monastery, it attracts a large number of visitors enjoying Leh Ladakh."
6,Stakna_Monastery,Rahat Sareen,4.0 of 5 bubbles,Jun 2018 • Friends,Nice view of indus river and hills around,This monastery is 40km away from Leh city and on the way to Hemis monastery. It is not much visited by the tourists. One can get a nice view of indus river from here. Can be skipped if short of time
7,Stakna_Monastery,Dr. Anirban Roy Choudhury,4.0 of 5 bubbles,Jun 2018 • Family,Good,This is on the way to leh from Hemis monastery. Good one but bit old and less maintained. TRhe view of Indus from the top is very nice.
8,Stakna_Monastery,mohitrastogi,4.0 of 5 bubbles,Jun 2018 • Family,Beautiful Sight,This monastery is very close to Leh on the way to the Hemis Monastery. It is on a hillock besides meandering Indus River. 
9,Stakna_Monastery,Mayur S,3.0 of 5 bubbles,Jun 2018 • Family,Typical monastery,45km from Leh.  The roof of the monastery offers a striking view of Indus valley and river. The structure is very old and needs repair. 
