,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Stok_Palace_Museum,Anika S,4.0 of 5 bubbles,Aug 2022,A glimpse into the Royal family of Ladakh's History and Lifestyle .Sooth Paintings (more than 400 year old),"Stok Museum is a part of the Stok Palace -the erstwhile residence of the royal family of Ladakh .One has to drive a long way including bit of off-roading and then climb high up to reach this place . Try climbing slowly if you are not properly acclimatised .Else one may experience dizziness and breathlessness .It is a well maintained property . It gives a glimpse of the royal life with their traditional costumes ,  ornate crowns and jewellery , decor, kitchen area, prayer rooms etc . Photos of the members of royal family and several celebrities including Pandit Jawahar Lal Nehru, Smt Indira Gandhi , Jackie Chan adorn the walls . It houses around 30 Thangkas (Sooth Paintings -more than 400 year old) which was the highlight for me. A horn made of human thigh bone was another object which grabbed my attention with mixed feelings about it.Photography and use of mobile phones is prohibited inside the museum.Entry - Locals INR 50.Indian Nationals INR 80."
1,Stok_Palace_Museum,Deepak_01,3.0 of 5 bubbles,Jun 2022,Small palace & museum.,A small palace cum museum with a wide display of rich heritage.Not much to see but worth the visit.The view from the top is great with lots of greenery around.
2,Stok_Palace_Museum,Harshvardhan Sekhsaria,4.0 of 5 bubbles,Apr 2022 • Couples,Well maintained palace,"It’s a place which is still used by the royal family and they have really kept it very well , the museum has some really great Thanka paintings which are very old"
3,Stok_Palace_Museum,VijayItIs,4.0 of 5 bubbles,Jun 2019,Amazing View,Visiting this monument takes a bit of effort as you have to climb up to see it. Once you are up there the view is breathtaking and you can get some of the best sights of Leh. Definitely worth visiting as it gives you a good glimpse of the local culture.
4,Stok_Palace_Museum,Michelle M,5.0 of 5 bubbles,Nov 2019,Oh! The architecture!,There are stairs and you are at altitude.  Be prepared. It is so worth seeing this palace! To learn the history of the royal families of the region and to learn about the architecture is an amazing opportunity. 
5,Stok_Palace_Museum,Global Traveler,5.0 of 5 bubbles,Jun 2019,Most Beautiful Monument in Leh,"Stok Palace Museum has great details of antiques that past and present kings and their family has been using over the years. The King and Queen Dresses, photographs, coins, utensils, arm gear, and weapons. It gives a great insight into the lives of Ladhaki people and their kingdom, The museum is located inside Stolk Palace. It also has an open-air restaurant serving delicious food. Must Visit"
6,Stok_Palace_Museum,becklambert,5.0 of 5 bubbles,Sep 2019,Interesting museum with excellent restaurant,Visited en route to Nimmu from Leh. The Palace is set in a really stunning area. We turned up whilst the Palace was shut. We had an excellent meal in the restaurant sat outside enjoying the view. Food was really tasty and freshly cooked (great for vegetarians). Went in to the Palace when it reopened. Enjoyed the exhibits. It’s just a few rooms but worth it. Then walked up the hill for even more incredible views.
7,Stok_Palace_Museum,jatinlodaya,5.0 of 5 bubbles,Aug 2019,slightly far but worth going,"Stok palace has a significance in the Ladakh history, especially after 1835.  Excellent views from top, beautiful restaurant, small but informative museum.  Visit the nearby seated buddha statue too."
8,Stok_Palace_Museum,rads2k,3.0 of 5 bubbles,Aug 2019,Best for its views,"I visited after coming to know that the family of the King lives here and that they do have a museum. The palace is fine, however controlled by a caretaker. Unless he is available you cannot go inside to see the rooms or the heritage materials. The palace museum had a good display of olden goods and could see some history.The cafe is beautifully placed, though very expensive."
9,Stok_Palace_Museum,Shuddho G,4.0 of 5 bubbles,May 2019 • Family,Must do for history/heritage buffs,Amongst the well maintained palaces in Ladakh. It involves a little climbing up so make sure that you are up to it.The views are every bit worth it.
0,Stok_Palace_Museum,Neharika G,4.0 of 5 bubbles,Jul 2019 • Couples,Kings living palace,One thing that is common in all the places to visit in leh is that all of them have a cafe.The cafe location of this particular palace is amazing. Sit outside and enjoy a cup of coffee with a view of stok village. Besides cafe this palace has a museum that displays antigue goods.
1,Stok_Palace_Museum,Sudhakar J,3.0 of 5 bubbles,Jul 2019 • Couples,Tiring treks,"The old mud palace demonstrates the typical laddakhi architecture. Most of it is now ruins. Going up, you find a monastery first and then the ruins of the palace."
2,Stok_Palace_Museum,Yashoda,3.0 of 5 bubbles,Jun 2019 • Solo,View only from the outside,"This palace was a disappointment after visiting Leh palace. One cannot go inside this palace to view the insides. (since nothing is maintained in here). There was a small temple above the palace, one can take stairs adjacent to the palace and view it. The temple had a big Buddha status made out of copper during that age.I personally felt Leh palace was better."
3,Stok_Palace_Museum,Richard Gould,4.0 of 5 bubbles,May 2019 • Solo,Palace Visit,"This building looks as modern as anything in London or Delhi, and dominates the city of Leh. A tour of it  offers an inisght into how thr Royal Family lived, and wonderful views over the city of Leh"
4,Stok_Palace_Museum,Aswin Ashok,5.0 of 5 bubbles,Apr 2019 • Friends,Another view of Leh ,"Very near to city , it’s an old palace . Not maintained well . Peaceful place . Opp to palace some local shops selling Tibetan things "
