,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Tibetan_Market,Let's Go Sightseeing,5.0 of 5 bubbles,Oct 2019,Junk Jewelry,"Almost the whole of the Leh Market is made up of smaller Tibetan Markets. I walked around these markets with my guide who told me stories of the Tibetans' exile. It's a good place to pick up gifts, specially junk jewelry."
1,Tibetan_Market,knoesenm,4.0 of 5 bubbles,May 2019 • Friends,Only shopping and eating area,"In the other parts of Leh you will find some small shops and restaurants, particularly in the main street, but the Tibetan Market is the main shopping area. Here you will find the banks, the bigger supermarkets and the good restaurants. It’s so pretty at night when the street lights are on. There are many kinds of restaurants to consider, even an American style pizza shop. "
2,Tibetan_Market,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,Shopping...,This is the main shopping place in leh city. You can but handicrafts and dry fruits from here and take home.
3,Tibetan_Market,Lovers_paradise,4.0 of 5 bubbles,Jun 2018 • Couples,Grab Your Deals Here,"There are lots of Tibetan Market complexes in the Leh Main Market. Get into one or more of them, search around for souvenirs and gifts and perhaps more, do a bit of gossip with them and look around. The silver items are mostly genuine and of superior quality. Not to be given a miss for sure."
4,Tibetan_Market,royjay2018,5.0 of 5 bubbles,Jun 2018 • Couples,Tibetan Refugee Market,Its a great place to buy silver and junk jewellery and handicraft items of Ladakh. Souvenir items can as well be bought at very good bargains. The market usually opens around 11 am and remains open till late into the evening. Nice place to go window shopping as well and for killing spare time.
5,Tibetan_Market,Wasif H,3.0 of 5 bubbles,Sep 2018 • Friends,Leh refugee market,You will find many handicrafts items made by the Tibetian Refugee at Leh. Suitable for souvenirs and gift purpose.
6,Tibetan_Market,Samarth T,4.0 of 5 bubbles,Jul 2018 • Family,Tibetan market in leh,Tibetan market is very amazing place to see. so many different type of products are available here and so many sellers. The Tibetan market is situated at Leh main market. Clothes jewelleries statutes and so many different type of products are available here. It's a very amazing place. thank you 😊😊
7,Tibetan_Market,Vaibhav_Tailor,5.0 of 5 bubbles,Jul 2018 • Family,In Love with Tibetan things.....,"There is the tibetan refugee market in which you can buy a lot of things like tibetian prayer flag and some hand craft representing thier culture.i will suggest you to buy tebetan prayer flag,pashmina and some handcraft.so be ready to bargin because there will be very coatly things. Hope these information will be helpful to you...."
8,Tibetan_Market,John_Doe1011,4.0 of 5 bubbles,Jul 2018 • Couples,Flea market of Leh,"This Tibetan market is located at the end of main Leh market. Lots of small stalls selling clothes, souvenirs, artificial jewellery etc. The owners are locals from the Leh region, who are generally very good to talk and interact with. At these stalls they do quote quite a high price to start with but you can haggle to some extent to bring down the prices."
9,Tibetan_Market,Aartichand,3.0 of 5 bubbles,Sep 2018 • Friends,Interesting,"The market in the middle of Leh is a nice place to wonder around for a bit. They sell sweet gift articles at average prices. One can get jewelry, statues, articrafts. One can bargain a bit but not as much as when you go to a Kashmiri store."
0,Tibetan_Market,GauravChand,3.0 of 5 bubbles,Sep 2018 • Friends,Small Tibetian market in Leh market,"This is a small market in the Leh market.  Here you will find curios, clothing, jewellery, knick knacks, religious items, handicrafts, small prayer wheels, prayer flags, Buddha statues.  It all depends on what you are interested in.  They do not pester you to buy anything.  Prices are negotiable.  You will get similar items at other points in the Leh market too."
1,Tibetan_Market,Dalbir_S_Virdi,3.0 of 5 bubbles,Sep 2018 • Couples,Nice small Flea Market with upmarket price tags,"At the end of the main pedestrian street inside Leh market is this small flea market housing several small shops selling local curios, artifacts, clothes, handicrafts and artificial as well as Stone jewelry items. Since mostly Tourists visit this market, the prices are very very high and one needs to bargain hard. In fact its better to visit another small Flea market in a side lane near the middle of the pedestrian road (close to Taxi Stand). Purchase of expensive jewelry items claimed to be made of pure silver etc. is not recommended. Small traditional token / gift items can always be purchased with good bargain."
2,Tibetan_Market,YAYrushme,4.0 of 5 bubbles,Aug 2018 • Solo,"Flea market in leh, bargain hard","Just a cheap flea market in leh, you would need to bargain hard for anything you need to buy here. Lots of shops in the market and some shops have great junk jewelry collection. It may be crowded at certain times of the day."
3,Tibetan_Market,Nlay,3.0 of 5 bubbles,Jul 2018 • Friends,Small market with slightly Higher rates!,"The Tibetan Refugees market is a small market located near the Main Bazaar at Leh. The market is a small one with good collection of Show Pieces, Prayer Flag and other Buddhist religion related items. This place offers lot of stuffs but the prices seems to be on higher side.  You can trying bargaining but still won't be able to get the best price."
4,Tibetan_Market,BALASHOTELREVIEW,5.0 of 5 bubbles,Jul 2018 • Friends,Bala's Tibetan Market visit,"Tibetan Market is situated inside the Main market at Leh and 5 minutes walk from Hotel Ladakh Delight. This market has many small shops maintained by Tibetan refugees. Price is reasonable and Shop keepers are friendly and one can bargain reasonably and buy items of their choice. These shops offer jewelry, Buddha idols, ear wears, keychains,Prayer wheels etc."
