,Tourist Attraction,Name,Rating,Date and criteria,Title,Review
0,Zanskar_the_Virgin_Valley,Eric C,1.0 of 5 bubbles,Aug 2020,"Visit on your own terms, preferably alone.","What an intensely obnoxious title. People live in Zanskar and there's nothing 'virgin' about it, except maybe it's had a lack of domestic indian tourists until recently.Who even created this item as a 'feature' in trip advisor? And why are there reviews?My advice: if you stay in your vehicle you won't see anything but dust. Hire local's who will find you horses to take up up into the remote valleys. The people that live here are amazing and the entire reason to visit is to spend time with them.Trip Advisor: remove this 'attraction', its a place with real people living there."
1,Zanskar_the_Virgin_Valley,sandeep k,4.0 of 5 bubbles,Mar 2019 • Friends,Danger but it will very attractive,This valley is full rounded will mountain and very attractive looking we will enjoy our trip mostly and spend more time there 
2,Zanskar_the_Virgin_Valley,Arunverma,5.0 of 5 bubbles,May 2019 • Couples,Beautiful valley,Visited this beautiful valley with four couples. Road not very good but extremely photogenic. Thoroughly enjoyed
3,Zanskar_the_Virgin_Valley,Martin B,5.0 of 5 bubbles,Aug 2019,Amazing place for adventurers,"The drive from Kargil up the Suru valley and then down the Stod/Doda valley to Padam and the Zanskar is world class.  Glaciers you can almost touch, isolated monasteries and exceptional scenary.  To raft or kayak down the spectacular  Zanskar gorge is on par with the Grand Canyon of the Colarado. "
4,Zanskar_the_Virgin_Valley,Teebaron,5.0 of 5 bubbles,Jun 2019 • Family,Spectacular,"If you stay in Leh you have to visit as much Monasteries as you can, Every Monastery has a spectacular view and its own atmosphere. Sometimes you see to the village or the mountains or an oasis. Very spiritually and good for you mind."
5,Zanskar_the_Virgin_Valley,rjpriyanka,4.0 of 5 bubbles,Apr 2018 • Friends,Treck,This is the third mist famous place after pangong and nubra vally. Specially famous for treccking ... worls famous chaddar treck
6,Zanskar_the_Virgin_Valley,Umang A,3.0 of 5 bubbles,Apr 2018 • Friends,Amazing,This is the third most visited route in leh but not as famous as pangong and nubra. People here mainly come for trekking 
7,Zanskar_the_Virgin_Valley,Umang A,4.0 of 5 bubbles,Aug 2018 • Friends,Great view,People prefer to visit Pangog and Nubra during their visit to Leh but Zanzkar valley is equally amazing and beautiful.
8,Zanskar_the_Virgin_Valley,Moeinuk,5.0 of 5 bubbles,Aug 2018,"If there is Paradise for Road Trips, its here!","We were out on a road trip to Ladhak. I joined a group of 8 in Chandigarh who were driving down from Bangaluru. We went up to Leh via Jammu & Kashmir and came down via Manali. Zanskar valley is out of this world. Great roads maintained by BRO (Border Roads Organisation) in a pristine, virgin valley, that hasn't yet been spoilt by human civilisation. "
9,Zanskar_the_Virgin_Valley,Rajivglobaltraveller,5.0 of 5 bubbles,Aug 2018 • Friends,Zanskar the Virgin Valley,"Zanskar the Virgin Valley is well-known as the 'land of white copper'. This valley is situated in Ladakh and has an elevation ranging from around 3,500 m to 7,000 m above sea level. It is considered to be one of the remotest regions in the world and has remained in veil till 1994. Opened for tourists coming to Ladakh from 1995, this place is situated along two rivers that meet in the plains of Padum Valley.It is one of the coldest regions in Ladakh, and witnesses a temperature of -400 Celsius during winter season. Local inhabitants living here stay very far from one another and take several weeks to travel to each others place."
