,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g297684-d325089-Reviews-Bara_Imambara-Lucknow_Lucknow_District_Uttar_Pradesh.html
1,https://www.tripadvisor.in/Attraction_Review-g297684-d8870471-Reviews-Janeshwar_Mishra_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
2,https://www.tripadvisor.in/Attraction_Review-g297684-d3831406-Reviews-Hazratganj-Lucknow_Lucknow_District_Uttar_Pradesh.html
3,https://www.tripadvisor.in/Attraction_Review-g297684-d555319-Reviews-The_Residency-Lucknow_Lucknow_District_Uttar_Pradesh.html
4,https://www.tripadvisor.in/Attraction_Review-g297684-d2445127-Reviews-La_Martiniere_College-Lucknow_Lucknow_District_Uttar_Pradesh.html
5,https://www.tripadvisor.in/Attraction_Review-g297684-d3705084-Reviews-Rumi_Darwaza-Lucknow_Lucknow_District_Uttar_Pradesh.html
6,https://www.tripadvisor.in/Attraction_Review-g297684-d2469719-Reviews-Chandrika_Devi_Temple-Lucknow_Lucknow_District_Uttar_Pradesh.html
7,https://www.tripadvisor.in/Attraction_Review-g297684-d325084-Reviews-Chowk-Lucknow_Lucknow_District_Uttar_Pradesh.html
8,https://www.tripadvisor.in/Attraction_Review-g297684-d1220175-Reviews-Nawab_Wajid_Ali_Shah_Zoological_Garden-Lucknow_Lucknow_District_Uttar_Pradesh.html
9,https://www.tripadvisor.in/Attraction_Review-g297684-d4591433-Reviews-Ambedkar_Memorial_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
10,https://www.tripadvisor.in/Attraction_Review-g297684-d2442504-Reviews-Mankameshwar_Mandir-Lucknow_Lucknow_District_Uttar_Pradesh.html
11,https://www.tripadvisor.in/Attraction_Review-g297684-d2711412-Reviews-Chhota_Imambara-Lucknow_Lucknow_District_Uttar_Pradesh.html
12,https://www.tripadvisor.in/Attraction_Review-g297684-d12982457-Reviews-Ada_Chikan-Lucknow_Lucknow_District_Uttar_Pradesh.html
13,https://www.tripadvisor.in/Attraction_Review-g297684-d325081-Reviews-Constantia_House-Lucknow_Lucknow_District_Uttar_Pradesh.html
14,https://www.tripadvisor.in/Attraction_Review-g297684-d13559088-Reviews-Gomti_Riverfront_Park-Lucknow_Lucknow_District_Uttar_Pradesh.html
15,https://www.tripadvisor.in/Attraction_Review-g297684-d325082-Reviews-Aminabad-Lucknow_Lucknow_District_Uttar_Pradesh.html
16,https://www.tripadvisor.in/Attraction_Review-g297684-d1204441-Reviews-Chakra_Tirth_Temple-Lucknow_Lucknow_District_Uttar_Pradesh.html
17,https://www.tripadvisor.in/Attraction_Review-g297684-d4088443-Reviews-Moti_Mahal-Lucknow_Lucknow_District_Uttar_Pradesh.html
18,https://www.tripadvisor.in/Attraction_Review-g297684-d2490287-Reviews-St_Joseph_s_Cathedral-Lucknow_Lucknow_District_Uttar_Pradesh.html
19,https://www.tripadvisor.in/Attraction_Review-g297684-d6496395-Reviews-Fun_Republic_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
20,https://www.tripadvisor.in/Attraction_Review-g297684-d2711424-Reviews-Vidhan_Sabha_Bhawan_Council_House-Lucknow_Lucknow_District_Uttar_Pradesh.html
21,https://www.tripadvisor.in/Attraction_Review-g297684-d3207738-Reviews-Husainabad_Clock_Tower-Lucknow_Lucknow_District_Uttar_Pradesh.html
22,https://www.tripadvisor.in/Attraction_Review-g297684-d325085-Reviews-Shah_Najaf_Imambara-Lucknow_Lucknow_District_Uttar_Pradesh.html
23,https://www.tripadvisor.in/Attraction_Review-g297684-d5782303-Reviews-Lucknow_University-Lucknow_Lucknow_District_Uttar_Pradesh.html
24,https://www.tripadvisor.in/Attraction_Review-g297684-d13375973-Reviews-Phoenix_United_Mall-Lucknow_Lucknow_District_Uttar_Pradesh.html
25,https://www.tripadvisor.in/Attraction_Review-g297684-d4088957-Reviews-Ramakrishna_Math-Lucknow_Lucknow_District_Uttar_Pradesh.html
