,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g304554-d311667-Reviews-Gateway_of_India-Mumbai_Maharashtra.html
1,https://www.tripadvisor.in/Attraction_Review-g304554-d321437-Reviews-Marine_Drive-Mumbai_Maharashtra.html
2,https://www.tripadvisor.in/Attraction_Review-g304554-d2704519-Reviews-Bandra_Worli_Sea_Link-Mumbai_Maharashtra.html
3,https://www.tripadvisor.in/Attraction_Review-g304554-d622586-Reviews-Shree_Siddhivinayak-Mumbai_Maharashtra.html
4,https://www.tripadvisor.in/Attraction_Review-g304554-d321412-Reviews-Chhatrapati_Shivaji_Terminus-Mumbai_Maharashtra.html
5,https://www.tripadvisor.in/Attraction_Review-g304554-d4817230-Reviews-KidZania_Mumbai-Mumbai_Maharashtra.html
6,https://www.tripadvisor.in/Attraction_Review-g304554-d311661-Reviews-Colaba-Mumbai_Maharashtra.html
7,https://www.tripadvisor.in/Attraction_Review-g304554-d311664-Reviews-Elephanta_Caves-Mumbai_Maharashtra.html
8,https://www.tripadvisor.in/Attraction_Review-g304554-d3783379-Reviews-Nariman_Point-Mumbai_Maharashtra.html
9,https://www.tripadvisor.in/Attraction_Review-g304554-d311674-Reviews-Mani_Bhavan_Gandhi_Museum-Mumbai_Maharashtra.html
10,https://www.tripadvisor.in/Attraction_Review-g304554-d2514810-Reviews-Global_Vipassana_Pagoda-Mumbai_Maharashtra.html
11,https://www.tripadvisor.in/Attraction_Review-g304554-d321430-Reviews-Essel_World-Mumbai_Maharashtra.html
12,https://www.tripadvisor.in/Attraction_Review-g304554-d1204502-Reviews-Kanheri_Caves-Mumbai_Maharashtra.html
13,https://www.tripadvisor.in/Attraction_Review-g304554-d2638424-Reviews-Mount_Mary_Basilica-Mumbai_Maharashtra.html
14,https://www.tripadvisor.in/Attraction_Review-g304554-d3207759-Reviews-Sri_Sri_Radha_Gopinath_Temple-Mumbai_Maharashtra.html
15,https://www.tripadvisor.in/Attraction_Review-g304554-d2457515-Reviews-Mahalakshmi_Temple-Mumbai_Maharashtra.html
16,https://www.tripadvisor.in/Attraction_Review-g304554-d321448-Reviews-Colaba_Causeway-Mumbai_Maharashtra.html
17,https://www.tripadvisor.in/Attraction_Review-g304554-d324632-Reviews-Sanjay_Gandhi_National_Park-Mumbai_Maharashtra.html
18,https://www.tripadvisor.in/Attraction_Review-g304554-d321424-Reviews-Juhu_Beach-Mumbai_Maharashtra.html
19,https://www.tripadvisor.in/Attraction_Review-g304554-d10071803-Reviews-Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya-Mumbai_Maharashtra.html
20,https://www.tripadvisor.in/Attraction_Review-g304554-d477922-Reviews-Dhobi_Ghat-Mumbai_Maharashtra.html
21,https://www.tripadvisor.in/Attraction_Review-g304554-d311668-Reviews-Haji_Ali_Mosque-Mumbai_Maharashtra.html
