,attraction_urls
0,https://www.tripadvisor.in/Attraction_Review-g679024-d3605858-Reviews-Shree_Mahakaleshwar_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
1,https://www.tripadvisor.in/Attraction_Review-g679024-d3912871-Reviews-Harsiddhi_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
2,https://www.tripadvisor.in/Attraction_Review-g679024-d3267985-Reviews-Kal_Bhairav_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
3,https://www.tripadvisor.in/Attraction_Review-g679024-d4679173-Reviews-Shree_Mahakaleshwar_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
4,https://www.tripadvisor.in/Attraction_Review-g679024-d3733063-Reviews-Sandipani_Ashram-Ujjain_Ujjain_District_Madhya_Pradesh.html
5,https://www.tripadvisor.in/Attraction_Review-g679024-d2661120-Reviews-ISKCON_Ujjain_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
6,https://www.tripadvisor.in/Attraction_Review-g679024-d3202934-Reviews-Gadkalika_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
7,https://www.tripadvisor.in/Attraction_Review-g679024-d3140387-Reviews-Chintaman_Ganesh_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
8,https://www.tripadvisor.in/Attraction_Review-g679024-d3913300-Reviews-Ram_Ghat-Ujjain_Ujjain_District_Madhya_Pradesh.html
9,https://www.tripadvisor.in/Attraction_Review-g679024-d3140374-Reviews-Bade_Ganeshji_Ka_Mandir-Ujjain_Ujjain_District_Madhya_Pradesh.html
10,https://www.tripadvisor.in/Attraction_Review-g679024-d2651082-Reviews-Gopal_Mandir_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
11,https://www.tripadvisor.in/Attraction_Review-g679024-d10240065-Reviews-Ujjain_Simhasth_Kumbh-Ujjain_Ujjain_District_Madhya_Pradesh.html
12,https://www.tripadvisor.in/Attraction_Review-g679024-d3913299-Reviews-Triveni_Ghat_Sri_Saneeshwara_Navagraha_Temple-Ujjain_Ujjain_District_Madhya_Prade.html
13,https://www.tripadvisor.in/Attraction_Review-g679024-d3140381-Reviews-Bhartrihari_Caves-Ujjain_Ujjain_District_Madhya_Pradesh.html
14,https://www.tripadvisor.in/Attraction_Review-g679024-d15186233-Reviews-Vikramaditya_The_Great_Memorial_Statue-Ujjain_Ujjain_District_Madhya_Pradesh.html
15,https://www.tripadvisor.in/Attraction_Review-g679024-d3218073-Reviews-Jantar_Mantar-Ujjain_Ujjain_District_Madhya_Pradesh.html
16,https://www.tripadvisor.in/Attraction_Review-g679024-d3733084-Reviews-Siddhavat-Ujjain_Ujjain_District_Madhya_Pradesh.html
17,https://www.tripadvisor.in/Attraction_Review-g679024-d3705113-Reviews-Patal_Bhairav_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
18,https://www.tripadvisor.in/Attraction_Review-g679024-d10261624-Reviews-Char_Dham_Mandir-Ujjain_Ujjain_District_Madhya_Pradesh.html
19,https://www.tripadvisor.in/Attraction_Review-g679024-d15142987-Reviews-Bharat_Mata_Mandir-Ujjain_Ujjain_District_Madhya_Pradesh.html
20,https://www.tripadvisor.in/Attraction_Review-g679024-d4092734-Reviews-Kalidasa_Academy-Ujjain_Ujjain_District_Madhya_Pradesh.html
21,https://www.tripadvisor.in/Attraction_Review-g679024-d3913294-Reviews-Gomti_Kund-Ujjain_Ujjain_District_Madhya_Pradesh.html
22,https://www.tripadvisor.in/Attraction_Review-g679024-d3705702-Reviews-Ram_Mandir-Ujjain_Ujjain_District_Madhya_Pradesh.html
23,https://www.tripadvisor.in/Attraction_Review-g679024-d3140383-Reviews-Chaubis_Khamba_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
24,https://www.tripadvisor.in/Attraction_Review-g679024-d4092733-Reviews-Vikram_University-Ujjain_Ujjain_District_Madhya_Pradesh.html
25,https://www.tripadvisor.in/Attraction_Review-g679024-d2667860-Reviews-Vikram_Kirti_Mandir_Museum-Ujjain_Ujjain_District_Madhya_Pradesh.html
26,https://www.tripadvisor.in/Attraction_Review-g679024-d9764589-Reviews-Ranmukteshwar_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
27,https://www.tripadvisor.in/Attraction_Review-g679024-d2667870-Reviews-Vikrant_Bhairav_Shrine-Ujjain_Ujjain_District_Madhya_Pradesh.html
28,https://www.tripadvisor.in/Attraction_Review-g679024-d10261585-Reviews-Bhukhi_Mata_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
29,https://www.tripadvisor.in/Attraction_Review-g679024-d9457382-Reviews-Sri_Sri_Radha_Madan_Mohan_Temple-Ujjain_Ujjain_District_Madhya_Pradesh.html
30,https://www.tripadvisor.in/Attraction_Review-g679024-d3279098-Reviews-Kalideh_Palace-Ujjain_Ujjain_District_Madhya_Pradesh.html
