Tourist Attraction,Name,Rating,Date and criteria,Title,Review,Compound Sentiment,Normalised Sentiment
Shree_Mahakaleshwar_Temple,Sudha,5.0 of 5 bubbles,Jan 2023 • Friends,Mesmerising,One of the cleanest templesSystematic and organisedMahakal corridor and plastic free surroundingsWas a pleasant surprise,0.8271,5
Shree_Mahakaleshwar_Temple,uday13867,1.0 of 5 bubbles,Oct 2022 • Family,Underwhelming experience. W,"The vip Darshan should be coordinated. The place may have its historical significance but in terms of Darshan,  it iwas a very poor experience. Felt cheated to watch the shiv linga from second floor.",-0.8095,1
Shree_Mahakaleshwar_Temple,Siddharth Raj dengre,5.0 of 5 bubbles,Oct 2022 • Solo,Amazing Vibe and Great Experience - Jai Shri Mahakaal 🔱,"Amazing Vibe and Great Experience!- Went for Darshan at 8pm and it was really quick - BHASMA AARTI : Its the main highlight of the place and one must pre register for it on the temple’s official website, it starts at 4am and goes on till 6.15am- Dhoti for males and Saree for Females is mandatory if you intend to visit and offer prayers in the Garbh Grah and also for the Bhasm Aarti- The newly inaugurated Mahakal Lok Corridor is mesmerizing and has an amazing vibe (crowd is an issue but you really can’t help it until you are the CM)- The energy of Mahakaal is something different and too powerful, would recommend to meditate there for 5-10mins to feel it",0.9685,5
Shree_Mahakaleshwar_Temple,Ankit Kapoor,5.0 of 5 bubbles,Oct 2022,Mahakaleshwar Temple,"We visited Shree Mahakaleshwar Temple during late evening, thus avoiding the crowd. The temple access is very streamlined. One must also visit the adjacent Mahakal Lok.",-0.34,2
Shree_Mahakaleshwar_Temple,Arun Mani Kanta Gunda,5.0 of 5 bubbles,Sep 2022 • Solo,Basma aarti-goosebumps ,Started from Hyderabad by train reached ujjain and had a early morning basma aarti darshan and also went for normal darshan really awesome and memorable ,0.6997,5
Shree_Mahakaleshwar_Temple,moloybora,5.0 of 5 bubbles,Sep 2022 • Friends,Divine experience of Lord Shiva,This is one of the foremost Shrine of Lord Shiva in India . Many thousands of devotees flock to the Temple every day . The early morning Darshan at 4 AM is a elaborate ritual here one feels the Divine Presence of the Lord Shiva .,0.6249,5
Shree_Mahakaleshwar_Temple,DrValliappan,5.0 of 5 bubbles,Sep 2022 • Friends,Maha Kaleshwar the Celestial form of Shiv Lingam. Basma Aarathi in midnight is special.,"Midnight Pooja wiith Sacred Ash from Burial Grounds earlier and now, Ash made within the temple is the special occasion that takes one to a trance feel. Visiting in other hours is also special, especially when one can get near the Shivallinga and pour water, get to touch the lingam and pray right then and there. It was so thrilling and a the experience is not definable. One should experience it. It was a once in a life time opportunity.",0.9259,5
Shree_Mahakaleshwar_Temple,Kanthi J,5.0 of 5 bubbles,Aug 2022 • Family,Jai mahakal ,Very good safe and good city to visit with family .. Big mahakal temple and many people come and visit this temple ,0.8613,5
Shree_Mahakaleshwar_Temple,dimpoo1971,4.0 of 5 bubbles,Aug 2022,JAI SHREE MAHAKAL,One of the 12 jyotirlingas and less than 1.5 kms from ujjain railway station. You need to be lucky to get a chance to attend BHASHMA AARTI.  Its very crowded during  Shrawan Month. Temple is sacred with lots of positivity which you will feel at MAHAKALESHWAR premises.,0.7964,5
Shree_Mahakaleshwar_Temple,Chalo Travellers,4.0 of 5 bubbles,Jun 2022 • Friends,Mahakaleshwar temple,It's very beautiful place and in temple morning worship of bhasm aarti of mahakal.The temple was not crowded The location is amazing.Mahakal is the place to visit one's in a lifetime.,0.7501,5
Shree_Mahakaleshwar_Temple,Vijay M,5.0 of 5 bubbles,Aug 2022 • Friends,"If planning to visit Indore, it must  visit place. It is 55 kms from Indore where you can visit by air, train and road.",Mahakaleshwar temple in Ujjain. It was a wonderful trip. The positive vibes in the temple which will fill your life with positive energies.,0.9153,5
