Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chennai_Citi_Center,Khunchun D,4.0 of 5 bubbles,Feb 2020 • Couples,A great experience,"I spent 3 weeks in Chennai.I enjoyed every minute.Tasty and cheap food.Excellent cheap shopping especially in T Nagar and Ponzy Bazar.What I did not like is the pollution,cleanliness and hygiene ."
Chennai_Citi_Center,Cosmopolitan332905,5.0 of 5 bubbles,Dec 2019 • Friends,Good to hangout with friends,Best place to hangout with friends and family. Very neat and clean. Food court is available with lot of food options. Big cinema hall inside. Restroom can be maintained well.
Chennai_Citi_Center,Kishore,5.0 of 5 bubbles,Oct 2019 • Family,Best Fun Place,City centre is one of the best place in Chennai and we can get lot of fun in city centre  I enjoyed a lot there.
Chennai_Citi_Center,Arogya Raj,4.0 of 5 bubbles,Feb 2019,Must Visit,"This is one of the 2nd oldest mall in Chennai and best place to hangout with friends and family. Rooftop Dining is marvelous and the view is quite possibly one of the best reasons to come to Citi Center.When you visit here don't miss Kozzmo Goli soda, which quiet famous to refresh yourself."
Chennai_Citi_Center,Sreenu,5.0 of 5 bubbles,Oct 2019 • Friends,Shopping Mall and Movie Theater,Good for shopping but it is very small Mall.Overall Experience is good.It is very near to Marina Beach.
Chennai_Citi_Center,#amosamiyanayek🎧,4.0 of 5 bubbles,Sep 2019 • Friends,👍,the best attarxtive architecture... i think one of the 2nd oldest mall in chennak the best place to hangout with friends and family
Chennai_Citi_Center,dashfaqd,4.0 of 5 bubbles,Aug 2019 • Family,Citi Mall,The citi centre mall is situated on the Dr. Radhakrishna salai in Mylapore. The mall is small compared to other malls in Chennai. There are shops which sells readymade Dresses for both men and women. There is Homecentre store where you can buy household articles and furnitures at reasonable price. There is foodcourt also where you can enjoy meals from  North India fast food also.
Chennai_Citi_Center,Praveenop,3.0 of 5 bubbles,May 2018 • Family,Small Mall but we'll maintained one,The mall is a good looking mall. It has big anchor stores and multiplexes. Has good basement parking.
Chennai_Citi_Center,Pallavan,5.0 of 5 bubbles,Apr 2019 • Family,Shopping,Recently went to chennai citi entre with my family.it was an amazing experience.got everything we wanted after shopping relaxed at rooftop and had our food.awesome and enjoyed totally
Chennai_Citi_Center,nytikjoshi,1.0 of 5 bubbles,Jan 2019 • Family,Soon like Malls in the USA on the way to....,Oth3r than a hand full of brands the other shops have pulled down the shutters thanks to the e-commerce wake physical stores are losing the foothold in customers minds. Visit if you have some spare time before or after seeing the movie in the Inox cinemas on the 4th floor. Another thing that us killing the mallw is the hourly parking ticket just to earn the parking ticket money the malls are dying on the casual shopper who is not going to idle around as it is going to cost him money
Chennai_Citi_Center,Voyager33438276475,5.0 of 5 bubbles,Jan 2019 • Family,Great place to hang out with my family and friends @EA,"It's wonderful day at EA mall especially when you bond go with your friends and family.over crowded,food stalls and branded show rooms are eye catchy ones.  Panipuri to pizza and Starbucks non stop fun with friends."
Chennai_Citi_Center,anil k,4.0 of 5 bubbles,Nov 2018 • Friends,Good for shopping,"Citi Center in Chennai is an exclusive shopping center in the heart of the city.Lifestyle and Landmark, which together occupy more than half of the shopping center. The rest of the mall has designer shoe stores such as Mochi, Titan, Health and Glow, Cookie Man, Foodworld and a few accessory stores. There are many food stalls serving coffee, fresh corn, samosas and other snacks. It's a great place to take a break while shopping. There is also a food court serving various cuisines and a large playground for children. Citi Center is a one-stop shop for shopping, eating and watching a movie, or just spending time with friends. Citi Center is a unique host of flagship outlets of the biggest brands."
Chennai_Citi_Center,Traveloney,4.0 of 5 bubbles,Sep 2017 • Friends,A small mall,This s one of the very first malls in Chennai. Visited here for a movie in INOX theatre. A place to get together with friends.
Chennai_Citi_Center,Ahmad Fathi,3.0 of 5 bubbles,Aug 2018 • Couples,An experience with the local Madras,"Just had a one night trip with my wife to spend at the city centre of Chennai, T. Nagar. It was crowded with people who wants to shop mostly for textiles. Can get good prices if you are walking with a local friend here, If you don't want to take risk just go to Saravana Stores. Local brands like Raymond and Indian Terrain also just along the T. Nagar street with many choices of restaurants to eat, I would prefer to have my lunch there at Nasikanda Pelita which is originated from Malaysia."
Chennai_Citi_Center,ashokkl27,5.0 of 5 bubbles,May 2018,Good weekend spot,"have been visiting this place for shopping , movies over last 10 years. Still remains with same charm over a decade. All major brands , most of the chain of restaurants and Inox is available along with roof top restaurant above. But feel parking is bit tough on the weekends. Rest all good "
Chennai_Citi_Center,vmsatheesh22,4.0 of 5 bubbles,Jul 2018 • Friends,Good,"Chennai Citi centre, our first visit here not a big but enjoy few hours here, friends all like the best from here"
Chennai_Citi_Center,Shivangi S,1.0 of 5 bubbles,Jul 2018 • Family,Terrible,"There is almost nothing in this mall, except an INOX and a McDonalds. There are a few clothing stores, but some of the stores were shut despite it being a weekday evening. The place isn't very crowded, but the mall is very cramped. The food court has two functioning stores other than McDonalds, neither of which seem appetizing. There is a rooftop seating with two food stalls- a soda stall and a biryani stall. While the rooftop view of the ocean is nice, almost everything else in this mall is not."
Chennai_Citi_Center,sharathr23,4.0 of 5 bubbles,Jul 2018 • Family,A small mall with basic shops , A relatively small shopping mall that houses shops catering from clothing items to food items. Good place to spend like an hour but nothing fancy too. Less crowded on weekends. Car park in the basement. 
Chennai_Citi_Center,Rucha121,4.0 of 5 bubbles,Mar 2018,Nice Mall near Gandhi Beach on R.K.Salai,"Located nearby to Gandhi Beach, this is a medium-sized mall with big Brands and INOX multiplex inside. Parking is bit time consuming here. Beautiful decor and maintenance inside the mall. Food court is good and lot of options are available."
Chennai_Citi_Center,Praveenop,3.0 of 5 bubbles,Dec 2017 • Family,Small Mall but has some class,The mall is pretty small.One can cover this mall in half an hour. The place is clean . It used to be one of the best mall in Chennai a decade back inspite its small size.Now bigger and better malls have come and overshadowed this mall.
Chennai_Citi_Center,771karthiks,4.0 of 5 bubbles,Apr 2018 • Family,Decent visit with kids,"City centre has a mix for entertainment including shopping, cinemas, restaurants, and kids play area.  Ground have few toy rides for kids with decent price.  4 th floor has a fun city , the play area for kids with various activities. We need to purchase a fun city card to use inside this facility with cost a minimum. 500 rs, and can be recharged. The food court with few restaurants like mc Donald and KFC are in the same floor.  People can opt to eat here or can have the food in open air on roof top.  Roof top also has a section for playing cricket under nets . Overall a decent experience with kids."
Chennai_Citi_Center,Janani P,3.0 of 5 bubbles,Sep 2017 • Friends,City center,"It's a good place for shopping and have fun with kids during weekends and watch movie with friends, happening place in Chennai"
Chennai_Citi_Center,Shahid L,3.0 of 5 bubbles,Aug 2017 • Family,"Grand from the Outside, Ordinary Inside","You couldn't miss the Citi Centre whilst driving past Radhakrishnan Salai. Grand in stature and ornate in visuals from the outside, the same however doesn't translate inside. Quite a compact mall to describe it positively. A one time visit for freshers in Chennai. It doesn't offer much other apart from the cinemas which fuels the majority of the crowd coming to Citi Centre. There is no Unique Selling Point to this mall (apart from the Cinema) to be coming back to it. Heavily hit by the rise of bigger malls, its premium location will be one of the factors driving the business through this mall."
Chennai_Citi_Center,YashiR25,2.0 of 5 bubbles,Jan 2017 • Friends,For the architecture and proximity to beach,"Again, it is not a mall. But a hub of shops under one roof. Avoid eating anything there; we got food poisoning. The rooftop let you have a view of the sea. Architecture of the building is good.If you happen to be near Marina Beach, then can visit. A big NO for its cinema. The seats are terrible, poorly maintained.The old charm is lost; may be because of bad maintenance."
