Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Charminar,Sudipta Shaheen,3.0 of 5 bubbles,Nov 2022,Crowded Area,The area near Charminar is so crowded that you will not able to move. Avoid going there in Weekends. Be careful with your mobile and money purse.
Charminar,Vipin Tiwari,5.0 of 5 bubbles,Jan 2023,Charminar,"historical monument charminar, visited last month very good place and clean must visit situated in center of hyderabad city"
Charminar,Rahul2604,3.0 of 5 bubbles,Jan 2023 • Solo,Little bit disappointed,"Disappointed, Landmark of Hyderabad still not well maintained,expected something better,also the area surrounding is full of street vendors,not saying that everyone should be removed but at least make a 10-20 m buffer zone surrounding the Charminar,vendors are as close as they can from the monument,not an pleasant experience for tourists when they are here to explore Charminar.The area around the monument is just like any old city area in India eg Old Delhi/Chandani Chowk,congested,crowded but full of life,lively,many legendary restaurants to enjoy,also this area is famous for pearls and pearls jewelry.During Ramazan worth to visit in evening/night if you are a foodie."
Charminar,Saurabh M,4.0 of 5 bubbles,Dec 2022 • Friends,The Grandeur that lines in the heart of Hyderabad......,"Exploring Telangana....... Hyderabad......at Chairminar........Best way to reach is get down at  MGBS metro station and take bus or auto..... Or directly auto from anywhere....An identifying feature of the city, Charminar is the most prominent landmark located right in the heart of Hyderabad. The monument was erected by Quli Qutub Shah to signify the founding of Hyderabad. As is evident from the structure, it was so named as it consists of four minarets. Although it lies right in the centre of the city with traffic and crowds milling all about it, Charminar certainly manages to hold the gaze. It is also famous for the market that sprawls around it and is called 'Laad' or 'Chudi' Bazaar.Since the construction of the monument in 1591, Charminar has been synonymous with the culture of Hyderabad standing tall as a reminder of the glorious days of the past era. It is a massive structure which has four minarets which many believe stand for the first four 'khalifas' (Prophets) of Islam. Towards the north of the monument, there are four gateways known as Char Kaman which have been constructed in the cardinal directions. The structure was intended to serve as a Madrasa or a Mosque. In its present form, Charminar, has been added to the 'tentative list' of UNESCO World Heritage Sites.The structure of Charminar is an exquisite example of Indo-Islamic architecture with Persian influences. The arches and domes of the monument define the influence of Islamic architecture, while the Persian influence is prominent from its minarets. The balconies and the outside walls, embellished with delicate stucco floral ornamentations on the ceiling, showcases the influence of the Hindu style of architecture.At the base of the Charminar is a small temple called as ""Bhagyalakshmi Temple""....The Charminar was built to commemorate the decision and eradication of plague from the city. It is known as Charminar as it is supported by four minarets on four sides which were possibly meant to commemorate the first four caliphs of Islam. The old city of Hyderabad was designed keeping Charminar as the centre of the city. According to some legends, Quli Qutub Shahi saw his beloved wife, Baghmati, at this very site. He built Charminar as a symbol of his eternal love for his wife. There is also a legend that talks about the existence of a secret tunnel under the Charminar that connects it to the Golkonda Fort. It was created as a means of escape for the royal family in the time of emergencies.Charminar is famous for many things but is most known for the lip smacking dishes and great bargain shopping. There is no better place for shopping in Hyderabad than the area surrounding the Charminar. The streets are brimming with people at all times, with the shops displaying attractive and colourful bangles and jewellery. It is popular for bangles, pearls, jewellery, semi-precious stones, silverware, Kalamkari paintings, sarees, silk materials, gold embroidered fabric, lacquer bangles, ittar and the traditional Khara dupatta. This street is filled with people and haggling is part and parcel of this market....."
Charminar,jojo,4.0 of 5 bubbles,Dec 2022,Charming Charminar,"Of much historical importance the monument was crowded when we visited. It was properly maintained but the surrounding areas needed proper control.Being the lanmark of Hydrabad attractd visitors. Area near parking was not properly kept neat and clean.. The area was famous for shopping. especially clothing,, novelties, artificial jewelleries, domestic items etc. Bargaining was must. The people around were very cordial and friendly. Rather congested area more attenton was required.. The evironment of festival making happy especially the kids."
Charminar,Xavier D,4.0 of 5 bubbles,Dec 2022,Charminar,Charminar is symbol of Hyderabad for rest of the country as well as for the world. Unfortunately during my visit it was very highly crowded.
Charminar,vasant agshikar,5.0 of 5 bubbles,Dec 2022 • Couples,Charminar trip,"Best time to visit charminar by 9 am if you wanna enjoy the view without hustle bustle. You can click some pics too and observe the ancient monument. Evening time visit has its own charm as the crowded with full of people and lively market.  One can do local shopping of bangles, pearls and other stuff"
Charminar,Gurutej,3.0 of 5 bubbles,Nov 2022 • Family,Charminar ,"Nothing very special here. To be visited only because it is the landmark of Hyderabad. The parking area is almost non-existent, and the place is fully congested. "
Charminar,Raman G,4.0 of 5 bubbles,Nov 2022 • Couples,A crowded place. To visit only because it is popular ,Went in the afternoon.  We walked in 5 minutes to this place  from Chowmullah Palace. A visit only because it is popular. And has been advertised a lot. The area around is dirty and crowded with hawkers. The latter keep pestering.  The segregated area around it has hawker stalls which is a pain for a tourist. It could have been developed beautifully.  One is allowed to climb up to the first floor. We did not do so.
Charminar,OctOriental,3.0 of 5 bubbles,Nov 2022,A good draw but horribly congested,"Touted as a hallmark of Hyderabad. But it's a risky, unenjoyable and terribly congested place with a million or so hawkers cluttering up the place and rendering it unworthy of your time and effort. The least the administration could have done is clear up the central area at least to afford a good view of the Charminar."
