Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sahakari_Spice_Farm-Ponda_North,Patricia H,5.0 of 5 bubbles,Jan 2023 • Couples,Pleasant informative morning,We visited Spice Farm last week Great experience welcomed with drink Then our guide gave an informative tour of various spices in their natural habitats Light lunch afterwards included in the price
Sahakari_Spice_Farm-Ponda_North,wanda,4.0 of 5 bubbles,Jan 2023 • Couples,"Nice tour, average lunch.","I agree with most of True Indian's review. However, they have improved the meet and greet bit with dancing and singing girls and petals being thrown over you! A nice drink given while we waited for a few more people to turn up. Then 8 of us were taken round by an older lady who was knowledgeable and entertaining. So far so good and it lasted about 45 mins as we were all chatting and asking questions. Lunch was average as described. At least it was fresh and hot. We arrived about 12 and beat the rush. It was very crowded as we were leaving."
Sahakari_Spice_Farm-Ponda_North,TrueIndian,3.0 of 5 bubbles,Nov 2022,Explore other options if possible,"Hours of operation :  9.30 AM to 4.30 PMEntry ticket is Rs 500 per person which includes a compulsory lunch. Since lunch is included most visitors will arrive around that time and so there is a lot of rushLunch has both vegetarian and non vegetarian dishes.You have to queue for lunch as you enter. There are benches to sit under ceiling fans.Food is tasteless and most dishes are cold. There are no bowls {katori} provided and since most dishes have curry everything gets messed up in your plate. I talked to the owner to provide the bowls but he was unresponsive. Sweet rice was the dessert  The fish variety served was full of bones so those who are not regular fish eaters have to be very careful. RO water is free but you can buy mineral water, soft drinks, beer etc from the stalls run by the management.Spices, oils and other things are for sale but the rates are much higher from the market.Toilets are clean. Indian seats also provided in female toilets.Guided tour takes 30 minutes. No indication where the guide will be available so you have to hunt for a guide or a group in the garden and join them. The tour starts from the area behind the wash basins and toilets. There is no one to guide you about the start of the tour. Guides are college students who have some knowledge about plants. They do not have have a pointer/torch so when he/she has to show a small fruit on the tree they throw a stone towards the fruit which may or may not hit the fruit so it is difficult to appreciate small fruits high up on trees. There are shrubs, bushes, creepers, and trees of common spices in the garden, some are grown there and some are planted only for demoThere is a small parking near the ticket window."
Sahakari_Spice_Farm-Ponda_North,natholian,5.0 of 5 bubbles,Nov 2022 • Friends,Brilliant value for money,"We had a lovely tour and then we sat down to a gorgeous lunch. Honestly I don’t know how they can put together the whole package for the entry fee, it’s a complete bargain."
Sahakari_Spice_Farm-Ponda_North,Manish Rasania,2.0 of 5 bubbles,Sep 2022 • Family,Commercial visit,"Entry fee of rupees 500 per person is too high. Though lunch is included in entry fees, it is worth 250 rupees maximally. Lunch is made compulsory, which is not appropriate. Walking Tour of garden with guide takes hardly 30 to 40 minutes. There should be separate charges for those who don't want Lunch _ it should be 100 rupees. Spices, fani, cashews sold there are though organic & may be of good quality; but prices are 1.5 to 2 times. Overall impression is that _ visit is more commercial activity. Should go to ICAR tropical spice plantation visit in stead, which is a government organization _ & entry may be free or at nominal cost; selling price of spices are likely to be lower."
Sahakari_Spice_Farm-Ponda_North,Chandni138,5.0 of 5 bubbles,Feb 2022,"An unusual activity, but worth.","It's a unusual activity to do while in Goa. They explain the cultivation of spices, and show you around an area of the plantation. You can buy spices and essential oils from their shop, which are all very reasonably priced.Lunch is included in the entry ticket price. The food is aromatic and tasty.Definitely worth a visit."
Sahakari_Spice_Farm-Ponda_North,Roy,4.0 of 5 bubbles,Aug 2022 • Friends,Good tour,"Package deal with tour, lunch. Guided tour gives you lots of insights how our day to day spices are grown, usefulness.Goan traditionsl lunch with Feni as welcome drink.Peri peri pspad is the talk of the town.Buy spice at their store."
Sahakari_Spice_Farm-Ponda_North,Avni,5.0 of 5 bubbles,Jul 2022 • Family,Highly recommend,"Really lovely experience. The visit starts with a short tour around a designated portion of the farm, where the guide talks about the different types of plants and spices they have growing there. The guide (ours was Cyril) gave lots of little tips on what to look for when buying spices, as well as pointing out the medicinal properties of the different plants he would show us. You can also have lunch at the farm itself, and the food is really good- very fresh and well made. The highlight of the experience for me was the spices they sold. Their vanilla beans were really really good quality, and the other spices were fantastic also."
Sahakari_Spice_Farm-Ponda_North,Anant T,5.0 of 5 bubbles,Jul 2022 • Family,Excellent,"Sahakari Spice farm was a wonderful experience, starting with a warming welcome drink, followed by an hour long tour through different spice trees and bushes and vines. Followed by a traditional Goan lunch. A very nice experience."
Sahakari_Spice_Farm-Ponda_North,Soumya Nayak,4.0 of 5 bubbles,Jul 2022,Green Green Green,"For those who live in small towns/villages & have greenery around, visit to the spice farm doesn't make sense. For those who live in the cities & don't get to see much greenery, this is a must do. It's also a great place for children to see & learn few things about spices & spice plants. It's a 200-acre privately owned property & we are taken on a 30-min walk where multiple spices have been grown within 1 acre of land. These spices are supplied to factories who produce masala & other food items.The entry fee is INR500 per person which includes lunch & tour guide service. Even if you don't want to have lunch, you still have to pay the full amount. You either choose to complete the tour, then have lunch or the other way round. Tour guides can speak English, Hindi & Konkani. They have good knowledge of the plants.My family & I visited various temples of South Goa in the morning, then headed to Sahakari Spice Farm for lunch at 2:00 pm followed by the spice farm tour. The Farm closes at 4:00 pm. Do carry umbrellas if you are visiting during monsoon, as the farm doesn't provide them."
