Tourist Attraction,Name,Rating,Date and criteria,Title,Review
High_Street_Phoenix,BalkrishnaShroff,5.0 of 5 bubbles,Dec 2022,A great place for everyone !!,High Street Phoenix is a huge place which can satisfy the taste of everyone. There are a lot of shops and restaurants beside a multiplex. The shopping consists many medium Indian and international brands. For high end one can visit adjoining Palladium Mall. Some entertainment activities are always on specially on weekends. An ideal place for families.Worth visiting...
High_Street_Phoenix,Sanjiv P,5.0 of 5 bubbles,Jun 2022 • Family,join the app Nhance for a lot of freebies,"Very close to our home and we keep going back for movies, shopping, dining, hanging out The parking is very expensive but you must join the app Nhance for a lot of freebies"
High_Street_Phoenix,Akshaya_Patil,4.0 of 5 bubbles,Apr 2022,Huge Mall,"Very Huge and well spreaded mall. thus you never feel crowded here. Its well decorated for all special occasions. You need time on your hand to explore it well. I have been visiting it frequently since last 2 years. its tiring at a time as it involves a lot of walking. All good Indian and international brands are available here. I like H&M and Body Shop outlet of this mall. This is not a place for quick or fast shopping. come at leisure and enjoy it well.I have not explored dining options here personally , but u get all options for sure. It is my favorite one."
High_Street_Phoenix,Tanvi Remulkar,4.0 of 5 bubbles,Oct 2019,"Shop , Eat and Enjoy A Bit","It is a place which is really good for shopping it is hub of lot international brands like prada,MK,zara,louis vitton,  armani. You can also go local like fbb and other brands . It consist of lot of food outlets under one shelter like dominos,mcdonalds,mad over donuts,etc.It also gives you lot of options in terms of cuisine.It is really good for foodies.It also has a palladium where yu can enjoy music concerts.A multiplex for movies. amusement items for children. Over all a great place to hang out"
High_Street_Phoenix,khatauv,5.0 of 5 bubbles,Feb 2020,"high street phoenix, lower parel, mumbai","this shopping mall is a must visit. spread over 4 floors and more open space at lower parel, it shares with you a lot many memories of branded items available. PRADA, LOUIS VITTON, ZARA, you name the brand and they have it.Watches, apparels, health food, sun glasses, bakery products,,,,home for all...must must visit when in mumbai.mcdonalds, all stir fry, cream center, TGIF,NUT CRACKER  are some of the plenty FOOD outlets working under one roof. few amusement items for kids , makes it a complete outdoor visit, takes atleast 4 to 5 hours to see the mall"
High_Street_Phoenix,mukul r,5.0 of 5 bubbles,Feb 2020,Awesome place to hang out and shop,"Its in a very nice locality in Mumbai. There are great shops of international brand here like MK, Coach, Armani, Massimo, Charles and Keith, Wacoal ,etc."
High_Street_Phoenix,Habib S,5.0 of 5 bubbles,Feb 2020 • Business,Where all Luxury and Medium Brand ,Like the environment  for all luxury and non luxury shops.. and Restaurants and movies Cenima.. that all to be in one place  
High_Street_Phoenix,Sunil,4.0 of 5 bubbles,Jul 2019 • Friends,Phoenix mall ,The phonics mall is really good and has it's own fan base followers and the mall is well constructed and nice to hangout 
High_Street_Phoenix,Kesha,4.0 of 5 bubbles,Jan 2020 • Family,Nice,It's really a very cute and very nice small can find all kind of brand over there must visit this small ones
High_Street_Phoenix,MNSB,3.0 of 5 bubbles,Dec 2019 • Family,Avrage,"High street pheonix is the biggest mall with shopping, theatre, restaurant and cafes in South Mumbai.All is as usual like other malls but the parking and entry exit are nightmare. So with car it's difficult.For first timer it's good but not second time."
