Tourist Attraction,Name,Rating,Date and criteria,Title,Review
The_Saturday_Night_Market-Arpora_North,Ajay,4.0 of 5 bubbles,Jan 2023,Nice,I guess one cannot expect the verve and delightful chaos of 8 years back. But the market is worth a visit. Best between Christmas and New Years'.
The_Saturday_Night_Market-Arpora_North,sawan005,3.0 of 5 bubbles,Dec 2022 • Couples,Saturday market ,Extremely over priced products.But the live music and food counters were preety good. Parking and traffic was exhausting.
The_Saturday_Night_Market-Arpora_North,Hooray H,5.0 of 5 bubbles,Dec 2019,Shadow of it's former self,"It's still worth visiting but as CEO says it really has downsized by about two thirds- what a shame.It used to be a fun night out- tourists would come from South Goa to attend.We did hear some extraordinary music from Iraq. The drinks are over-priced.Like a lot of things in Goa- there has been a lot of envy of successful businesses so people who can, take advantage & double the rent or they influence the granting of a licence .Goa is a state run by Mafia- see what they did to Club Cubana & Thallassa- shameful.Instead of competing they control. Nasty people."
The_Saturday_Night_Market-Arpora_North,CEO,2.0 of 5 bubbles,Feb 2020 • Friends,Dissapointing,In years gone by this eas a well worth visit...not anymore..drinks are double the cost of any cafe bar food stalls average ..music bands only one. years ago it was 3 times bigger drinks were on par for cost and it was buzzing
The_Saturday_Night_Market-Arpora_North,Dawn G,4.0 of 5 bubbles,Feb 2020,Great Saturday night out,"We had a good night out here looking at the stalls, listening to the music and visiting the food stalls."
The_Saturday_Night_Market-Arpora_North,Joshini T,5.0 of 5 bubbles,Feb 2020,Great flea market on a Saturday Night,"Very good and organised flea market in Arpora. Parking easy available , vibe of the market is great with lots of local eateries and dealers and live music as well, must attend."
The_Saturday_Night_Market-Arpora_North,Rajesh,5.0 of 5 bubbles,Feb 2020 • Family,What a Place!!!!,An awesome place..firstly ample parking.. anytime you go..lots of colourful variety shops..a truly goan place with lively music.. people enjoying..and shopping offcourse..A must visit 
The_Saturday_Night_Market-Arpora_North,eyupmikethetyke,4.0 of 5 bubbles,Feb 2020,Well worth the time to visit on Saturday night but bargain hard!!!!,"We visited Clive’s Saturday night market whilst staying at our nearby hotel (The Park Regis, Arpora) and it proved to be a good shopping experience. Locals told us that it only gets going after dark (7pm onwards) and if walking you may well need a torch, we certainly did.It’s very busy and covers around a quarter of a mile square with every sort of stall selling most things anyone might want. There is a large street food section with food from all over the world as well as many local dishes, whilst we didn’t eat we saw lots of others tucking into take away style dishes.There is a small stage area with music from quite a few different bands throughout the evening and a massive separate scooter/car park area. Top tip is to be very aware of scooters around this area as lots of the riders are tourists who have no “Indian” road sense, you can easily get run over if you’re not paying attention.All the stall holders are happy to haggle and if you are persistent there are some real bargains, I would make sure you have lots of different denomination notes so you can pay the exact price you have negotiated.There is another market up in Anjuna on a Wednesday daytime but this one seemed better maybe because of all the magical lights and general bustle, so happy shopping folks!"
The_Saturday_Night_Market-Arpora_North,shobo,5.0 of 5 bubbles,Feb 2020,Superb!,This a far cry from the crowded Friday night market (which is also fun in its madness).The music is great. Really good bands. The stores are all boutique types. I bought some beautiful outfits. But these are not cheap like Friday night market. But yet really great. Almost every single store was owned by a European designer. No Indians. 
The_Saturday_Night_Market-Arpora_North,Eduard D,5.0 of 5 bubbles,Dec 2019,best night market in India,totally unexpected experience. very crowded but a lot of crafts. very good deals. very good food .nice jewellery.
The_Saturday_Night_Market-Arpora_North,Manisha Bomzan,5.0 of 5 bubbles,Feb 2020 • Couples,Vibrant Saturday Night Market,"It’s amazing to see multi culture all on 1 platform. Good market to buy from. Good food, good music. There’s no question of getting bored because there’s so much to see.Have been going to this market year after year when me and my husband visit Goa. It’s happening and consistent. I thank each one for making it so alive and vibrant 🤩"
The_Saturday_Night_Market-Arpora_North,kat23uk,4.0 of 5 bubbles,Feb 2020 • Couples,A good market to go to ,Worth trying this market out. I got some great bargains but dont go in flip flops. The ground is uneven and there is lots of red soil/sand/dust about 
The_Saturday_Night_Market-Arpora_North,Memoirs-Sachin,4.0 of 5 bubbles,Jan 2020,Worth spending time on a Saturday night !!,"The Saturday Night Market at Arpora is a must visit. There are many shopping options ranging from clothing, accessories, antique or boutique jewelry, handicrafts, etc. The eating options are also good with flavors from all across India  not limited to Goan food. It is close to the gokarting arean  hence we clubbed these 2 places back to back."
The_Saturday_Night_Market-Arpora_North,The Great,5.0 of 5 bubbles,Feb 2020 • Couples,Bazar,Its nice bazar to purchase something but its just opened on Saturday and also at night party is there and good things are there
The_Saturday_Night_Market-Arpora_North,bikingmom,3.0 of 5 bubbles,Jan 2020 • Couples,Was better 7 years ago,"We were in Palolem and drove the 3 hours to come to this market because 7 years ago we were here and remembered how amazing it was. To start there are now 2 night markets and our driver brought us to the other one first, we walked around quickly and realized this was not the one we had been to before. Once we arrived at This one we realized we were at the same place except it was considerably smaller. We talked to a few vendors who explained that most of the foreign vendors have left and now do a bimonthly night market on Fridays. We were disappointed because we had remembered all the unique items we could buy. There are still some of these vendors there and we did buy some unique items, just not as much as we wanted. The food area was great and there was a live band that was decent. Plenty of Indian vendors so a good place to pick up last minute souvenirs, out of the 2 markets this one is more manageable and less crowded."
The_Saturday_Night_Market-Arpora_North,MelMul,5.0 of 5 bubbles,Feb 2020 • Solo,"A spectacle worth visiting, even if you don't intend to make any purchases","This is a very large market selling a lot of the tourist tat you see near or on the beaches, but also a very more unusual items. Expect to spend around 1.5-2 hours here if you want to walk down every lane, more if you want to stop and listen to the (excellent) live music. I visited on my own as a solo female traveller and felt safe. If you can arrange a return taxi do, but there are plenty available outside. My taxi cost 1400 rupees return to the Lemon Tree, my driver waited outside for me. Be careful on the prices. For most items expect to haggle on everything to between 20-50% of the price initially stated. The 'walk away' tactic works well, although I was pursued for a good 5 minutes down one lane by a disappointed trader who kept slashing his prices in the hope of getting a sale.Entry is free. Worth a visit for the spectacle and experience, if nothing else. "
The_Saturday_Night_Market-Arpora_North,Yogesh Bisht,5.0 of 5 bubbles,Dec 2019,"Food, Music and Shopping","Loved hanging out there with friends , great place for nice live music and variety of food options. . One can pic cool handicraft items as well.."
The_Saturday_Night_Market-Arpora_North,Louise R,5.0 of 5 bubbles,Jan 2020,Fantastic Saturday night out,"Visit here each time we go to Goa, great stalls selling everything; clothing, jewellery, blankets etc.  Also street food stalls, biryani and doughnuts are a must and usually a great band to dance to night away! "
The_Saturday_Night_Market-Arpora_North,Sanjay Kumar,4.0 of 5 bubbles,Dec 2019 • Couples,Nice,"Lively place with live music. Lots of stuff to buy, but mostly knick knacks, and clothes. Nice food stalls with variety of foods."
