Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Shri_Hanuman_Mandir,SF Guy,5.0 of 5 bubbles,Sep 2022 • Solo,Must See,This was a great experience to be able to visit this temple because it’s so unique. If you are in Delhi it’s a must see and great experience.
Shri_Hanuman_Mandir,A Choudhury,5.0 of 5 bubbles,Jan 2021 • Friends,Majestic,"Located at a walking distance from Jhandewalan metro station, this imposing statue is 108 feet tall and is the face of Delhi. There is a temple beneath the statue with beautifully decorated interiors."
Shri_Hanuman_Mandir,Debashis T,5.0 of 5 bubbles,Feb 2020,Identity of Delhi,The statue is now the new identity of Delhi in most of the Indian TV Serials. It is in Karolbagh and clearly visible from Metro Train passing by the statue. It is crowded in Tuesday and Saturday.Put your footwares outside before entering. The statue is about 108 ft in height.
Shri_Hanuman_Mandir,Catherine,5.0 of 5 bubbles,Jan 2020,Exotic,Well worth a trip to see this temple .   Make sure you have plenty of small denominations. You will have to take off your shoes on the street outside.   There is a young man there who looks after them for you for a small fee.   You will also be  expected to donate something to each of the priests who show you to their altar.   Take lots of photos.   The statue you see in this photo was not easily visible when I was there because of repairs to the temple.
Shri_Hanuman_Mandir,Raj S,5.0 of 5 bubbles,Oct 2019,Amazing,Beautiful place and Relexing.I was there for about 2 hours reciting Hanuman Chalisa.Always plenty of people around.
Shri_Hanuman_Mandir,Radhika,4.0 of 5 bubbles,Jul 2019 • Family,Nice place.,"This is amazing place, English represent this place with your family members, there is a huge Hanuman ji statue which look awesome and it is a identity of the place."
Shri_Hanuman_Mandir,Rishi Tayal,4.0 of 5 bubbles,Sep 2019 • Family,Lovely place ,One the best place of the Delhi to visit Visiting here is an fabulous experience for me as well as my family members 💞
Shri_Hanuman_Mandir,macedonboy,3.0 of 5 bubbles,Dec 2019,Temple with giant statue of Hanuman,"The Hanuman Temple in Jhandewalan is as the name suggests, a Hindu temple dedicated to the monkey god Hanuman. It’s probably best known for the huge and colourful statue of Hanuman and for the monkey themes that decorated the entrances to the temple. This is the second time I've visited the temple, but sadly, there a lot of scaffolding around the statue which makes me glad that I saw it before the scaffolding went up. Better wait until the renovations are complete."
Shri_Hanuman_Mandir,Gaurav C,5.0 of 5 bubbles,Oct 2019,Imposing,It iss quite an imposing statue of Lord Hanuman.... Quite majestic....you can see huge crowds at the temples beneath the statue especially on a tuesday and saturday...you can see the statue while travelling on the metro as well..
Shri_Hanuman_Mandir,Les Thuilliers,1.0 of 5 bubbles,Oct 2019,Uncomfortable Visit To Hanuman Temple,"I visited the Hanuman Temple as my departing experience of Indian culture.In the Temple I was ""scooped"" up by a devotee who sat me down, tied a string around my wrist & painted on a bindi. He then went on to demand 100 rupees which I paid & he placed in his pocket.I then walked to view the statues on the ground level & another devotee called my upstairs. Upstairs I was placed in front of Goddess Parvati. The devotee recited a prayer, brushed me with peacock feathers & asked me for money for the Goddess. I handed over another 100 rupee. Then asked for money for himself. I only had 500 rupee notes. When I said ""no change,"" he said 500 rupees to which I said no. I was feeling a little uncomfortable & decided to leave at which point another devotee stood in my way.I persisted & made my way out.. Finally I went to retrieve my shoes from the rack. A young man asked for money & stood in front of my shoes. I had 20 rupees in coins which he wasn't interested in & held his arm in the way of me collecting my shoes. By now I was getting rather pi**ed off with the interactions of the past 15 minutes. I called over to a uniformed man who had guided me into the Temple entrance when I arrived. Fortunately he told the young man to allow me to collect my shoes. In my 9 days of travel in northern India this was the first time I felt uncomfortable. I think if you are with a guide or in a group of people you wouldn't be subjected to an experience like this. Not nice particularly in a Temple."
Shri_Hanuman_Mandir,BLaze,5.0 of 5 bubbles,Oct 2019 • Family,Nice ,It is situated brar jhanewallan metro so its very easily reachable if you are a true hanuman fan must visit thr placcr
Shri_Hanuman_Mandir,NorthIndia-privatedrive.com,5.0 of 5 bubbles,Sep 2019 • Solo,Ji Hanuman ,I like Hanuman. everyday Tuesday i pray Hanuman. My favorite God  very big status in my life if anybody go CP to Karol Bagh on the way .
Shri_Hanuman_Mandir,NYCPQ,4.0 of 5 bubbles,Aug 2019,Popular shrine worth a visit for photos,"you can go and visit the inside of this statue that is an active temple.   There is a lot going on in and around.   This place is in a very crowded streets crossing that is dangerous to walk.   Beware of teh surroundings.   Also, you must leave your shoes.  I recommend to leave them to a friend and to visit in two separate times.    Some tourists saw their shoes stolen.      GR"
Shri_Hanuman_Mandir,Nish_Wish,3.0 of 5 bubbles,May 2019 • Family,Accessible and  very unique experience ,It is like a unique experience even if you are not very religious like us. Just the size and experience is very overwhelming. We as a couple went to the place in the evening and it can get Crowded. I am not sure if all foreign tourists would enjoy it as it can get a bit stuffy but there is semblance of faith and belief in this place
Shri_Hanuman_Mandir,Anurag Saurabh,4.0 of 5 bubbles,Aug 2018 • Solo,My visit to this huge temple,This temple has a huge statue of Lord Hanuman. Near the metro railway station. So many statues of all the god and goddess.
Shri_Hanuman_Mandir,Reyan11,5.0 of 5 bubbles,Apr 2019 • Friends,Popular shrine,108 ft gigantic tall idol of God Hanuman. This temple has been shown in many famous Bollywood movies & Hindi TV serials. Long queue of devotees on Tuesdays & Saturdays
Shri_Hanuman_Mandir,shiv_yash_bhukadofagra,5.0 of 5 bubbles,May 2019 • Couples,108 length hanuman ji statue temple,Guys no words for this temple this temple made very beautifully their statue of god was amazing delhi 1st biggest statue of hanumanji how they made dont know but those made this beautifully. In this temple so many things also like other god same. Desings like vaishno devi copy temple.... If you are in delhi or you can't visit this temple so you miss so many things of beauty must visit and pray..... Every day you face here rush but you easly pray..... All facilities available so guys must visit near karol bagh metro station & jhandewalan metro station... The view was waoo so must visit traveller's.... In front of metro line are you in temple and saw metro like super view.....one of the best temple plce ever beautifully hand made things mentioned here.....
