Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dream_World_Water_Park,Harshit,4.0 of 5 bubbles,Oct 2019 • Friends,Okay,This water park don't have so many rides but you'll surely enjoy here.Chages is also very pocket friendly.
Dream_World_Water_Park,nehach86,1.0 of 5 bubbles,Jun 2019 • Family,Terrible,"Dirty and unhygienic for kids.. the washroom was out of water, and due to indoor area, it was crazy hot and humid..Consider it as a last option if planning a waterpark day"
Dream_World_Water_Park,Harshit,5.0 of 5 bubbles,Jul 2018 • Family,Chill out,The place is good for youngster the place is indoor pool with wave speeder if you are planning to visit the place the slids are very excitful so make plan with your friends and family and this place give offer in summer season must visit the place
Dream_World_Water_Park,Parag P,1.0 of 5 bubbles,Jul 2018 • Couples,Worst Water Park....Never Go there...,"I have visited this water park with my fionce, and it was one of the worst experience I have ever had. The rides are broken, water was stinky and it was like they haven't changed or cleaned the water sice 2-3 months...the staff is stupid and so over i dont give a songle rating to this place and we have wasted 1000 rupees on entry and 400 on petrol..."
Dream_World_Water_Park,nitin m,5.0 of 5 bubbles,May 2018 • Family,Wonderful place for kids,My kids enjoyed this place very much. Reached there in evening and took a package so that kids could enjoy to the fullest
Dream_World_Water_Park,infojonny,4.0 of 5 bubbles,Dec 2017 • Friends,Water Park,The water park is very nice place to visit you can have much fun over here is place is much visit in summer
Dream_World_Water_Park,268yusufn,4.0 of 5 bubbles,Sep 2017 • Friends,INDOOR WATER PARK,Dream world water was the first indoor word park in lucknow.This place is really safe and affordable.
Dream_World_Water_Park,Dharmendra S,5.0 of 5 bubbles,Sep 2015 • Solo,Good place for family,We went at this water park one time in 2015 in the month of September. Good place for fun loving people. Affordable water park.
Dream_World_Water_Park,Manvendra77,3.0 of 5 bubbles,Jun 2016 • Friends,Fun Place,"waterpark is best place for spending your summer, i went this waterpark with my friends, if you are in lucknow and want to spend some time with fun and chill must go this water park"
Dream_World_Water_Park,ashish m,5.0 of 5 bubbles,Jun 2016 • Family,Indoor Water Park,Water Park is completely Indoor. best for summer season. kids are safe. They have good Restra for food also.
