Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Butterfly_Beach-Palolem_Canacona_South,Navid Khan,1.0 of 5 bubbles,Dec 2022 • Couples,This is a scam.,"This is a scam. The trek to the beach is long, dirty, unsafe, and you will have to battle insects and mosquitos, bikes and scooters and off-road vehicles while on it. It is about 3 KM from the closest parking for 4 wheelers and 2 KM from the closest for 2 wheelers. The trek is in no way worth the beach. The beach itself is barely a beach, it’s a tiny cove with boulders on either sides, and a very steep slope into the sea. It is littered with plastic, coconut shells, and general waste. It smells like a toilet. There’s nothing about this beach you’d want to make the effort, probably smart to just skip it."
Butterfly_Beach-Palolem_Canacona_South,Vinutha Narayan,5.0 of 5 bubbles,Dec 2022 • Family,Awesome,"Awesome place to hangout n enjoy the sea. Best time to visit would be morning hrs , a boat ride from Palolem  is what we took and luckily spotted dolphins too."
Butterfly_Beach-Palolem_Canacona_South,babushairtel,5.0 of 5 bubbles,Nov 2022 • Friends,Lovely south goa Beach,"The best and one of the best beach of goa if your are swimming ocean lover then you have to definately visit south goa beaches like PALOLEM, patnem,talpona and last but not list polem beach close to go karnataka border and last beach of south goa and if you want good cab service in PALOLEM beach side. pls call pawandeep cab service on 9890841165/9175434697 thanks"
Butterfly_Beach-Palolem_Canacona_South,D_80808,4.0 of 5 bubbles,Nov 2022 • Couples,Pleasant enough beach seen as part of boat trip,"We spent 20 mins here as part of a boat trip from Palolem. Rs 1000 each, which perhaps was the non-Indian tourist price, and six people + a child in the boat. The trip was supposed to last 90 mins but lasted 75. Saw some dolphins in the bay and nice boat ride. No butterflies spotted though."
Butterfly_Beach-Palolem_Canacona_South,suresh k,5.0 of 5 bubbles,Feb 2022 • Couples,Tranquility personified.,"Very small beach. Cute, absolutely no crowd. No dhabas, etc just the you and the nature. Good to spend an hour or so. Peaceful. If you are a bird lover like me you would be lucky to capture a few of them. You would also be lucky to capture few Dolphins on way to this beach. Of course, not a Bollywood fan. Kaho Na Pyar hai song sequence was shot here."
Butterfly_Beach-Palolem_Canacona_South,NewBee,2.0 of 5 bubbles,Nov 2022 • Family,"Butterfly Beach, turtle , lord Ganesh Boulder","You can reach butterfly beach via Palolem beach or Agonda beach..We opt for Palolem as I could see more boats on the beach. You need to be a good negotiator.We got Rs 500 per seat .I didn’t like much about the beach , untidy small beach , not recommended for swimming also.It’s a small beach in between two mountains, which you need to imagine that it looks like butterfly.The boat person will show you some more boulder which look like (from a specific angle ) Lord Ganesh, turtle . If you are lucky, you may experience Dolphin .Best time is early morning say around 7:00 am Total duration of the trip: 1 to 1.5 hrs , including 20 mins of butterfly beach."
Butterfly_Beach-Palolem_Canacona_South,Rabia,1.0 of 5 bubbles,Oct 2022 • Couples,Overhyped and crowded!,It was on a weekday and around 100 people were there on this tiny spot. Not worth it at all! We left the moment we entered. Thumbs down! 👎🏼
Butterfly_Beach-Palolem_Canacona_South,sachin b,4.0 of 5 bubbles,Oct 2022 • Couples,Awesome picture perfect beach..!,"It was absolutely wonderful experience to visit the beautiful place near Agonda beach know as BUTTERFLY BEACH. Since the boat rides were closed,we decided to trek through the leopard valley. You need to park your vehicle at the parking area and then walk through the dense forest for about 2-3 km to reach the small but Beautiful and serene beach. Isolated,secluded beach gives you a perfect location for  photography and videography. But if you are traveling early in the morning keep some stick with you and if you are alone or as a couple keep the small speaker on while heading towards the beach to avoid fear since it's very isolated area covered with the trees and there is no sign boards or indicators,just follow the small but main road to reach there. But once you reach there it gives you an absolutely mesmerizing views. It gets slightly crowded afterwards so head early in the morning. Perfect for the couples. If it's raining then avoid. Always ask the details at your Hotel reception regarding the current status."
Butterfly_Beach-Palolem_Canacona_South,Pratush,2.0 of 5 bubbles,Aug 2022,Loads of Trash. This Place is full of hype!,I guess this beach has got hyped a lot and when it is recommended by every one on the internet it generally loses it's charm very quickly. You will reach this beach after 1.5 hrs of trek if you're a fast pace walker as it's a trek from the jungle sometimes there is a Thar who can drop you from one point to another which can save time he charges INR 300/-PP while he will also not be able to drop you right to the beach or pick you up from starting point of the parking lot. You can totally skip this place and mute yourself with all the recommendations.
Butterfly_Beach-Palolem_Canacona_South,Manish B,5.0 of 5 bubbles,Jun 2022,Unique Beach,A very different beach as compared to the other beaches of Goa. A must-visit place while you are going to goa.
