Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ashtalakshmi_Temple,M B,4.0 of 5 bubbles,Jul 2022,Beautiful temple,"The temple location is beautiful and the weather was so pleasant when I visited the temple, but the temple needs thorough maintenance."
Ashtalakshmi_Temple,ccbtraveller,3.0 of 5 bubbles,Dec 2020,money minded priests,"the temple is located in a very picturesque place, alone the beach.   the layout of different Lakshmi sanctums are kind of one above the other.  never seen such a temple architecture.the priest were just money minded.   they expect a  big tip & till they get it, they are pestering us.  very irritating behavior. due to that, lost the purpose of visit."
Ashtalakshmi_Temple,SREENIVASAREDDY M,5.0 of 5 bubbles,Nov 2020 • Solo,May eight godesses ( Ashta lakshmi's) grace shower!,"As per Hindu mythology Ashtalkshmis are very famous for eight types of prosperity to a human being. They follow as below in a chronological orderAdi Lakshmi.= Overall wealthsDhana Lakshmi.= Money and jewellaryDhanya Lakshmi.= Food grainsGaja Lakshmi.= VehiclesSantana Lakshmi.= ChildrenVeera/Dhairya Lakshmi.= BraveryJaya/Vijaya Lakshmi.= VictoryVidya Lakshmi.= Knowledge and educationThis temple situated at sea shore in three floor building with separate sanctum sanctorums. Along with subject eight deity godesses, few more sub and main deity temples also established within the premises like Lord Ganesh, Lord Murugan etc.Every Hindu must visit religious place in Chennai, Tamilnadu, India"
Ashtalakshmi_Temple,anu_v,5.0 of 5 bubbles,Sep 2019,Grand olden temple,This is a very holy and an olden temple of the deity Mahalaksmi. This temple has a hidden pathway which leads to some of the oldest statues of Mahalaksmi. The statues of deities are still washed and clothed with silk sarees. Anyone who prays for wealth will be granted in this temple.  When we visited this temple it was at nite time 8pm lucky the volunteer running the temple helped us and told us to hurry to see the deepam lit up at the top altar of the temple. 
Ashtalakshmi_Temple,Sud D,5.0 of 5 bubbles,Aug 2019,Lakshmi Temple,This is beautifully laid out temple. It is a modern temple and of recent construction. Still worth a visit. Beautiful.
Ashtalakshmi_Temple,Jayesh Chandra ... P,5.0 of 5 bubbles,Feb 2020,* Lakshmi's,"It is a small temple tucked away beside the Elliots beach.  There is a parking spot beside the temple on a narrow road.  You enter the temple and there are barricades guiding you around the 8 Lakshmi's, eight forms of wealth, namely, offspring, success, prosperity, wealth, courage, bravery, food, and knowledge..  You start with Lakshmi and Vishnu.  Then you go to Santhanalakshmi, Vijayalakshmi, Vidyalakshmi and Gajalakshmi.  The top floor DhanaLakshmi is rumoured to act like a lighthouse. Then Aadilakshmi, Dhaanya lakshmi and Dharyalakshmi.   See the gold plating on the top."
Ashtalakshmi_Temple,KARTHIKb87,5.0 of 5 bubbles,Dec 2019,Ashtalakshmi temple in chennai,Its Ashtalakshmi temple in chennai which is mooted by Kanchi Chandrasekrandra swamigal (Sankaracharya) on lines on Mumbai MahaLakshmi temple. Temple is located in Besant nagar beach seashore. Temple had separate 8 lakshmi  Sannithi's (sanctum santorum) Its must visit temple in Chennai and lot of people throng here on festival days.
Ashtalakshmi_Temple,TravellingSands,4.0 of 5 bubbles,Dec 2019,Temple of Eight Forms of Gooddess Lakshmi,This temple is dedicated to the eight forms of Goddess Lakshmi who is the Goddess of wealth and consort of Lord Mahavishnu. The temple is located on the Southern End of Elliots(Besant Nagar) Beach and is one of the important temples in Chennai.
Ashtalakshmi_Temple,Mrudula,5.0 of 5 bubbles,Aug 2019,Elloit's temple,This beach is located near Elloit's beach in besant nagar. which is a famous temple for it's architecture and the dieties are located at four levels
Ashtalakshmi_Temple,HWPKG,5.0 of 5 bubbles,Jan 2020 • Solo,Excellent experience,You climb about 20-30 steps to see this beautiful temple that is right on the beach in Chennai. We went on New Year's Day so there was a mela happening on the beach. Had really good darshan and a fantastic overall experience. 
Ashtalakshmi_Temple,ArpanPahm,4.0 of 5 bubbles,Dec 2019,Good temple,Ashtalakshmi Temple was very famous and beautiful temple. I am happy with stay. Environment was very peaceful. Good architecture.
Ashtalakshmi_Temple,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2018 • Family,Must visit  temple in Chennai,It is one of the most visited Hindu temple in Chennai. The temple is located in a sea shore in Besant Nagar. When you visit don't miss to visit the beach also. As the beach is not much crowded and peaceful. The temple has Ashta means eight Murthis of Goddess Lakshmi. You can also get the Kumkum. You can also put your money notes at the feet of goddess and collect along with Kumkum along packed in the note. And keep it in wallet or at your puja idol at home. So that you will have abundance. Overall its a great experience except the fish smell from the beach. 
Ashtalakshmi_Temple,Bhalaji N,5.0 of 5 bubbles,Aug 2019,Spiritual at its best!!!,"Everyone will wonder what experience they will have when you walk through a corridor of fishermen huts and reach the temple. Surprise is the word i have for you.Temple will change the entire feeling you had before walking in. You dont feel or even remember when you step inside. The main temple is very good. Queues are long in evenings. Rest of the god temples are few climbs away. This temple visit will be fun for kids too. There is no other such temple in city, i can claim this confidently. Warning - Dont try the beach \ sand in front of the temple. On the soar side you have to walk back through the same corridor forgetting the temple memories"
Ashtalakshmi_Temple,Thiru71,5.0 of 5 bubbles,Oct 2019,Blessings of 8 Lakshmis,"Temple needs renovation with paintings. The Bay of Bengal view from the terrace of the temple is excellent. Enough parking is there for Bus, car and 2 Wheelers. Shoes and Sandal are taken care in front of the temple. During sunny days it is very hot,early morning or evening visit to the temple is opt. Spend enough time and don't rush in while going round each Lakshmi sanadhis. Listen to the Iyer's instruction and poojas are done as per our request perfectly."
Ashtalakshmi_Temple,iamsvs,4.0 of 5 bubbles,Aug 2019,Seaside temple,"This temple is dedicated to Devi in her eight forms.  The temple is setup such that you are guided from one sannidhi to another through a maze of pathways.  Overall the temple is small compared to similar temples, but is fairly old.  THe maintenance is also nice and clean."
Ashtalakshmi_Temple,Natarajan K,4.0 of 5 bubbles,Jul 2019 • Family,Temple at seashore,This Temple is located at Besant nagar beach. Which is a seashore Temple. We have to climb up in stairs to see asta Lakshmi and excellent sea view also.
