Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Qutub_Minar,podrozniczka60,5.0 of 5 bubbles,Jan 2023,The tallest minaret - THIS UNESCO World Heritage Site,After visiting Jami Masjid it is good to compare your impressions with Qutub Minar. The latter is supposed to be the tallest in the world. It was built was built over the ruins of the former citadel. Qutub Minar is built with red sandstone in  the style of Indo-Islamic Afghan architecture.
Qutub_Minar,Riteshdelhi,4.0 of 5 bubbles,Feb 2023 • Family,"Well maintained monument, good experience,  lack of public amenities","The monument is well maintained... with proper information available for visitors. Good for a 1-2   hour visit.Food at parking lot canteen was aweful and expensive. Tried bhelpuri, papdi chat and hakka noodle - all were not good in spite of being very expensive.Downside is amenities: *bathrooms inside premises was locked and not operational. * public toilet was available in parking lot but it is very smelly and not maintained well. What kind of impression will it have on tourist visiting India.   "
Qutub_Minar,David D,5.0 of 5 bubbles,Jan 2023,A complex of buildings from the Delhi Sultanate that included India’s tallest minaret and an iron pillar from earlier ti,"The Qutb Minar complex contains the Qutb Minar itself, a towering minaret that is the highest in India. It was one of the largest minarets in the world when it was first built. The complex also holds the ruins of an even larger minaret that was never completed. But one of the most intriguing aspects of the complex is an ancient iron pillar, created with an alloy that allows it to defy rust. The pillar was created by a king called Chandra, probably Chandragupta Gupta, but this is currently not proven. It is one of the finest pieces of ancient metalworking anywhere on earth."
Qutub_Minar,Tracey W,4.0 of 5 bubbles,Jan 2023,Great parts of Delhi history,Really intersting insight into Islam in india and the formation of the faith. Highly recommended. Woman cover up in respect please.
Qutub_Minar,Michael F,5.0 of 5 bubbles,Jan 2023,Remarkable Monument,This is a must see when in Delhi. Hire a guide to be able to understand the history and architecture of this site. 
Qutub_Minar,zczigler,5.0 of 5 bubbles,Jan 2023,Worth visiting,"The site is very impressive and well worth visiting. We went on a busy sunday afternoon, there were lots of people, but they have a separate ticket counter for foreigners, so we were able to get our tickets within a few minutes. The ticket counters are on the opposite side of the road. If you book online in advance, then you don't have to queue for tickets of course. If you take the metro then you need to walk a little to the site, or hire a riksha. Please note, that they will make you throw your cigarettes in the dustbin, as cigarettes are not permitted within the compound, so accept the loss or make your own arrangements for safekeeping (we asked one of the stall operators outside and got the pack back after exiting the compound). All in all we spent an enjoyable two hours among the ruins, even with the sunday afternoon traffic."
Qutub_Minar,Ambassador435631,5.0 of 5 bubbles,Dec 2022,Beautiful place,"This is a beautiful monument, and you learn so much about Indian history as well. Easily can spend few hours here."
Qutub_Minar,Bhavin Modha,4.0 of 5 bubbles,Jan 2023 • Family,"Visit in the evening, lightings with structure make it even better","Visit this place in the evening time, post 5 pm. Structure with lightings add the extra beauty to its structure. Little far from Delhi, but it's open till 8."
Qutub_Minar,zracoon,5.0 of 5 bubbles,Jan 2023,more than just the tower - India's Roman Forum,"This is way more than just the tower.  It has ruins all around, though much of it is still intact.  It reminded me of an Indian version of the Roman forum in Rome.  Maybe my favorite spot in Delhi."
Qutub_Minar,Bizanand,5.0 of 5 bubbles,Jan 2023 • Friends,Qutub Minar,"A historical monument which speaks about the Mughal invasion followed by the construction of architectural marvels, tombs and gardens"
Qutub_Minar,Anand Sethi,5.0 of 5 bubbles,Dec 2022,Excellent Architectural Marvel of India,Must visit. Beautiful site. Night views from surrounding restaurants and bar add the charm to the place. Must visit at night and take pics. Best place to take pics is from Dramz restro and bar. The rooftop bar gives the best view of the place. Must visit at night and enjoy the sky bar at Dramz overlooking the Qutub Minar….
Qutub_Minar,Praveen Mishra,5.0 of 5 bubbles,Dec 2022 • Family,Delhi Tour,Really one of the.best heritage sites of Delhi. It's better to book tickets online to avoid queue at ticket windows
Qutub_Minar,morena99,5.0 of 5 bubbles,Jan 2023 • Couples,Amazing place to visit!,"To us the best place to visit 🙌🏼 while in New Delhi! We did all of the major tourist attractions, this place is spectacular! Worthy it! not crowded when we visit which it was a busy week!"
