Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Museum_of,melssie,4.0 of 5 bubbles,Jan 2023 • Family,Really worth a visit,We took our kids to the museum of goa..it was such a good experience..the art work is so good..our daughter was very excited to see the different forms of art.also the kids studio is a good idea.we also thought it's definitely worth a visit.only suggestion would be organize the parking a bit.
Museum_of,Chanpreet A,5.0 of 5 bubbles,Dec 2022,Superb Display and Great activities for kids,Do check out the kids art studio for craft and VR experience. The scultputres on display can be better appreciated after watching the documentary on Mr. Kerkar
Museum_of,Elvis C,5.0 of 5 bubbles,May 2022 • Family,Art 🎭,"Time well spent if your interested in art. It's slightly offbeat location means that it has to find special place in your itinerary.No restaurants in a 15min radius, though it has a cafe in case you're hypoglycemic like me.They have a spot on the ground floor for souvenirs and another in case one wants to paint one of their miniature pieces. Semi air-conditioned, well kept and clean overall.They have workshops ever so often. "
Museum_of,SD,5.0 of 5 bubbles,Jul 2022 • Family,Enjoyable and knowledgeable 1 hour museum trip,"- Excellent museum and likeable to all people incl. infrequent museum visitors.- It shows a short documentary film about the museum's artist/owner background.- Museum houses good paintings, art work (shell and worn out Tyre based).- Got kids section for hands on painting of the souvenirs (it is chargeable)- Entry ticket is 200 Rs. / person but worth it.- Souvenirs cost is little high but worth having it.This museum visit will not disappoint and it is worth visiting even for the non-art people."
Museum_of,abhijit s,1.0 of 5 bubbles,Dec 2021,Waste of time,Nothing here really and an expensive entry ..just pieces of modern art that too very few on display ..avoildable 
Museum_of,Sophie,5.0 of 5 bubbles,Feb 2022 • Friends,An unforgettable must-do in Goa!,"To come across MOG was truly an unforgettable experience. We spent the afternoon looking through amazing contemporary art across 3 floors and a rooftop, sipped on chai in their sculpture park while checking out some local artists working there, and taking home beautiful souvenirs and art pieces (yes, they have art for sale made by local artists!) Couldn't recommend it more highly. Subodh Kerkar & his team are doing an outstanding job with MOG!"
Museum_of,wandererlust,5.0 of 5 bubbles,Oct 2021 • Family,The history of Goa,"This is one place that has to be a must visit when you are traveling to North Goa. Located in the industrial area at Pilerne, the museum is a very unique place with beautiful paintings and murals that showcase the beauty that Goa is. Founded by Subodh Kerkar, this is a must visit for all fans of art and culture. And do watch the short documentary they have in the theatre as well. Very inspiring words from the master himself. "
Museum_of,Anita,5.0 of 5 bubbles,Aug 2021,Don't miss the MOG,"I came away from this museum with a new understanding of Goa, especially its connection with the sea.  It's a historical and aesthetic experience. "
Museum_of,ashishdeora123,4.0 of 5 bubbles,Mar 2020,nice,"nice museum The Museum, founded by Goan artist, Subodh Kerkar, in 2015 it has history of goa and contemporary art"
Museum_of,Dr.Shyam,5.0 of 5 bubbles,Jul 2019,A WORLD CLASS CONTEMPORARY ART MUSEUM IN GOA,"The best part of our trip to Goa last monsoon was our visit to this wonderful museum located in an industrial zone near Saligao.This is a private museum conceptualized by Mr.SUBODH KERKAR,a physician turned Historian.We  need to start our visit with a 15 minute video regarding the History of Goa.All the Paintings ,sculptures and photographs depict the history of Goa.....It was surprising to note that Chillies and Maize were brought by Portuguese from South America to India.It was great to see lot of paintings and sculptures regarding Fish,the staple diet of Goan people.It was interesting to note that the concept of Motorcycle Taxis was started in Goa.A Tribute was paid to Mahatma Gandhiji,Father of our Nation.we also get to see a collection of nice oil paintings depicting the occupation of early goans.Goa's Ark stood out among all the sculptures.We were told that Art Exhibitions are conducted here throughout the year.You have a  small Coffee shop also.At the end,we can purchase some souvenirs from the Souvenir shop.we bought two fridge magnets( including one Red chilli magnet) and a small book about the Museum.we were pleasantly surprised when we had a chance to meet Dr,SUBODH KERKAR,the brain behind this beautiful museum....on the whole,a must visit destination when you visit Goa."
