Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Sarath_City_Capital_Mall,SPillai,4.0 of 5 bubbles,Jan 2023,A modern mall for expensive shopping,A wide variety of shops - can spend one full day. Most of the prominent brands available. Food options are not of the widwst variety.
Sarath_City_Capital_Mall,Konganapally Laasya,5.0 of 5 bubbles,Jul 2022,My experience of Sarath city mall,Sarath city mall is the best none of the malls have this kind of facilities I just happen to like the atmosphere and everything At first I stepped into this mall I saw Starbucks me and my cousin started to ask our parents weather we can go and they said yes after that me and my cousins mothers want to go shopping while my uncle took me and my cousins to the gaming zone and first we went to pp karting and it was fun then my uncle took us to tridone and it was fun to later my father join us then we went to the food court and the food was delicious 😋 So my experience was great but I couldn’t see more of that mall hopefully you explore each and every corner of that mall Thank you
Sarath_City_Capital_Mall,Cilaveni A,1.0 of 5 bubbles,Apr 2022 • Friends,worest security,worest Helpdesk support no one answered the call when i tried reaching to 040-68218333.i lost my Helmet and security is so careless and they don't even try to look into cameras. worest experience & careless security. if you people don't answer the call why you gave that number to me? make sure to treat customers in a good way.
Sarath_City_Capital_Mall,PKB,5.0 of 5 bubbles,Jan 2022 • Friends,Best Mall in Hyderabad,Always love to come back this mall in weekend. Great atmosphere. Many options. One of the huge Mall I ever seen. Try  Food court over there. Superb 👌
Sarath_City_Capital_Mall,Adithya,5.0 of 5 bubbles,Feb 2021 • Friends,Excellence,"Excellent Items very good,may this should  continue  very good explanation about anything well  👍👍 good"
Sarath_City_Capital_Mall,beyondtravel,4.0 of 5 bubbles,Aug 2020 • Couples,Back in business,"The lockdown seems to have halted bustling city for almost 4 months, but it was great to be back at sarath city mall. Most of shops are open however the crowd is mostly on weekends. With amb cinemas still not functional, it may take some time to get back to new normal. Most of food court restro are back to normal with limited option"
Sarath_City_Capital_Mall,PKB,5.0 of 5 bubbles,Feb 2020,Lovely Place,"It was great experience with family in Sarat City Mall, i love kids zone..everything separate. AMB Movie awesome. My kid enjoyed a lot"
Sarath_City_Capital_Mall,Arunkumar,5.0 of 5 bubbles,Feb 2020 • Friends,Good place for shopping and movies,"India's largest capital mall with Wide variety of outlets .I love the screen in this mall(Amb cinema's). Many more things to do apart from shopping,and food court there is also funzone for kids..."
Sarath_City_Capital_Mall,beyondtravel,4.0 of 5 bubbles,Jan 2020 • Family,Towards being best,"A best in making, one of the biggest mall in region, with ample parking, 2 vivid food court, name it have it shopping options. Only issue is lack of signages and support at mall"
Sarath_City_Capital_Mall,Lavanya S,3.0 of 5 bubbles,Dec 2019,Good experience terrible staff,"I took my kids to Sarath City Mall after hearing great things about it. This review is largely about our experience in the 4th floor gaming area. I am writing this review so that parents are cautious to look out themselves for their kids safety and to make management aware of how poorly trained the staff is. I work in customer service and it really baffled me why anyone would be paid money for such poor performance at work. This is what happened.We reached the 4th floor gaming area at around 2 pm on a weekday. It was not crowded at all except for a large group of college kids in some college t shirts. I assumed they were there on some kind of college sponsored visit and didn't think much. The games asked for a card and I couldn't see where I could swipe my debit card. I looked around for staff but only saw the aforementioned college group chatting and playing some of the games. For the water ride, there wasn't even any staff managing it. I told my kids to stay and went walking around to see who could help us. I was shocked to find out that these 'college kids in uniform' were the staff!!To me they had appeared like other customers. Two girls were sitting on some rides and even when we went and stood near them for our turn they did not get off. I asked one of them why aren't they helping us. I also asked to speak to a manager. The manager just apologized. After I expressed my disappointment and told him I would write a review was when a staff member came to help my kids. See second picture.In an age when customer staff is competing with each other to win customers, I found this attitude shocking. Why aren't these kids trained? What are they getting paid for? Except this experience, we really enjoyed the food in the food court and the exceptional service in all the other stores we went to. There is a good bouncy house too on the lower or first level that my kids liked. Advice to families: Go for the rides and watch out yourself for your kids safety. Ask questions. Ensure your kids are safely buckled in. Don't expect to get any help from staff."
Sarath_City_Capital_Mall,chandrasekhar g,4.0 of 5 bubbles,Dec 2019,Awesome Mall in Hyderabad,"One of the biggest mall in hyderabad.Recently visited for shopping.Every time its full of crowd and on weekends huge crowd.Movies,shopping,restraunts,ice cream shops, spar market all available at one place.Free parking."
Sarath_City_Capital_Mall,JYach,2.0 of 5 bubbles,Dec 2019 • Solo,Miserable!,"I am so sorry ..Usually my reviews are upbeat and pleasantHere is a rare exception...- poor welcome- poorer still security engagement- shabby smelly male bathrooms- poor internal signage to navigate a complicated and confusing mall- so many vacancies- in my view, a mall in search of a strategic letting plan!Sadly, a shadow of what it could be!"
Sarath_City_Capital_Mall,Dil,5.0 of 5 bubbles,Dec 2019 • Family,SARATH CITY CAPITAL MALL,"The only mall in Hyderabad that's designed from a user's point of view. No parking hassles, no ticket meters with people who's only job is to push a button. Escalators going up and down are not spread out on the opposite sides of a floor. Well segmented shopping areas and the best of all? Two food courts. One at the top floor and one at the ground floor. Everything is super convenient. Easily the best mall in Hyderabad."
