Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kukrail_Forest_Reserve,rajat agrawal,1.0 of 5 bubbles,Nov 2019 • Family,Kukrail empty reserve!,Kukrail reserve once the pride of lucknow has become victim of government apathy .the park is so poorly managed .hardly u see any crocodiles.totally avoidable.
Kukrail_Forest_Reserve,Harsh V,4.0 of 5 bubbles,Jan 2019 • Family,Good place,If you are planning to visit the place keep in mind that you are going to see only and only crocodile there is no other for few time the place look interesting after that you will fell some boring so visit for not more than 1 hour
Kukrail_Forest_Reserve,592abck,4.0 of 5 bubbles,Mar 2018 • Family,Nice green place,Nice green place near the city. One can spend 2-3 hours with loved ones. Nothing to eat here though.
Kukrail_Forest_Reserve,Amit M,3.0 of 5 bubbles,Apr 2018 • Solo,A place for Picnic,This is my third visit to Kukrail Forest Reserve but reviewing for the first time. The place is lush green with lots of vegetation and is a place for Picnic with friends and family on weekend. Lots of crocodile there. The city is very crowded so gets some relax in the lap of nature.
Kukrail_Forest_Reserve,vinybhu,3.0 of 5 bubbles,Sep 2017 • Friends,Good For Weekend,It's good park. You can visit with friends and family. Its small park and you can spend one to two hours there. You can get glimpse of crocodiles. Good for some natural photography.
Kukrail_Forest_Reserve,ajaypritu56,4.0 of 5 bubbles,Jun 2018 • Friends,Good place to see medicinal plants and crocodile hatchery.,I visited many times with my family to see different kinds of medicinal plants which are very useful for our life. My children are eager to see different sizes of crocodiles (from 10 days to 1 or 2 years). Big crocodiles are living in separate and big ponds. Good place to enjoy 3-4 hours with family and friends.
Kukrail_Forest_Reserve,Manish Pande,5.0 of 5 bubbles,Jun 2018 • Family,for alligator lovers,"a nice place covered with  small patch of forest in the concrete modern city, where you can see alligators and crocodiles from close quarters"
Kukrail_Forest_Reserve,Pradeep Ambat,3.0 of 5 bubbles,Apr 2018 • Family,A day in the forest reserve ,Situated in d outskirts of lucknow we visited the Kukrail forest reserve on 30 April. The day was overcast making it an ideal day for outdoor visits. Nothing much to see except for the baby Gharials and Crocodiles seen at a distance. But if u want to spend a peacefull time with small kids this reserve forest is good. A little bit more effort in maintainance will improve its desirability a long way.
Kukrail_Forest_Reserve,TheWorldNut,1.0 of 5 bubbles,Mar 2018 • Family,Utterly disappointing,Most of the cages are empty and there is hardly anything to see. We just kept roaming through largely unkept premises only to see the baby alligators. Make better use of your time and go to the zoo instead.
Kukrail_Forest_Reserve,Anika S,4.0 of 5 bubbles,Jan 2018 • Family,Worth seeing the gharial breeding and crocodiles,"Situated about 9 km from Lucknow ,this is a place worth visiting for families with kids.Timing 8 am to 5 pm.The walk from parking till the breeding centre is also full of various flora and fauna.One can see the various stages of the life cycle of a gharial( including the newly born,the hatchlings,yearlings and adults) a member of the crocodilian family. There is a section for rescued gharials which are brought in from various villages or other locations.The gharials are bred and freed in the rivers after they grow big.There were about 500 gharials and 11 crocodiles when we went.There is a museum also but it was under renovation in January.It's a good family picnic spot as well."
Kukrail_Forest_Reserve,Priyanka C,3.0 of 5 bubbles,Aug 2017 • Family,grossly mismanaged,"The three stars are for the baby alligators which are bred here and you can see them just on the periphery of the park. Don't waste your time going inside. The whole park is falling apart. No amenities, no maintenance of the rusted cages or the fences. Overgrown weeds and grass. Avoid !!!"
Kukrail_Forest_Reserve,Anupam S,4.0 of 5 bubbles,Nov 2017 • Friends,Nature in natural form,"This is the place which you should visit when you are not in a hurry. Lots of vegetation. Entrance is like you are entering in a jungle. Though it is a crocodile breeding centre but also known as picnic spot. Most of the time it is crowded with families or school kids. It's also favourite place for loving couples. But apart of these hassles you can find a peaceful place for you where you can have interaction with nature. I've few such great memories in my records. For a tourist it is just a crocodile breeding centre, for kis & families a picnic spot, for loving couples a meeting place and for nature lovers a natural place. For others it will seen as not maintained place but for nature lovers it is a place where few spots is available where nature is kept as it is and not much disturbed."
Kukrail_Forest_Reserve,PALLAVI S,4.0 of 5 bubbles,Sep 2017 • Business,nature lover,"If you have good taste for nature love this is the right place for you, its a crocodile reproduction center, you can have a close understanding of the reproduction system of this animal."
Kukrail_Forest_Reserve,Aishihm,5.0 of 5 bubbles,Aug 2017 • Family,A great place to hang out especially with kids.,It is one of the best places to hang out at the same time have a good learning curve for the young ones. To me a must visit a place where the kids can learn a lot while the elders can hang out and breath easy out from the busy life of a cosmopolitan.
Kukrail_Forest_Reserve,Aarav K,5.0 of 5 bubbles,Sep 2017 • Family,Kukrail,A fantastic place to celebrate picnic with family or friends. Here crocodiles are a speciality here. There are more than 50 crocodiles. Kukrail Forest is a special place for kids.
Kukrail_Forest_Reserve,sun_abhay,3.0 of 5 bubbles,Apr 2017 • Family,Crocodile sanctuary,"A park with largest crocodile sanctuary, a good place for family visits , not very good in terms of maintenance and cleanliness.  "
Kukrail_Forest_Reserve,Dryogendranath M,5.0 of 5 bubbles,Feb 2017,Visit ti Kukrail Forest Reserve,This is a picnic spot worth seeing by people of all the ages. People go far watching Crocodiles and scenic beauty. 
Kukrail_Forest_Reserve,Vipul556,4.0 of 5 bubbles,Mar 2017 • Friends,Nice picnic spot ,The place lies ahead of Indrinagar and is quite a big forest reserve in Lucknow city.. Good for picnic and some family time with the kids
Kukrail_Forest_Reserve,authorneelesh,5.0 of 5 bubbles,Feb 2017 • Couples,so many of them.,"A gharial and crocodile breeding center, You can see them in all shapes and sizes , from the just born lizard like babies to the huge and menacing full grown ones.It is also a very pleasant walk from the parking to the breeding center.The tree shaded walk gives the feel of being in a forest.Lawns are well maintained and used as picnic spots by locals. There is a canteen inside but did not look too inviting and hence we did not sample it. The loos are clean . A really worth going place."
Kukrail_Forest_Reserve,pinaki50,3.0 of 5 bubbles,Aug 2016 • Friends,More of a crocodile reserve,On the outskirts of the city ( actually with the spreading populace this place is now almost touching a colony called Shivpuri) is located this large expanse of greenery & it's natural beauty n solitude soothes the nerves after the boisterous city clamour. The authorities here are doing commendable work in the conservation of the smallish indian crocodile called ghariyals. This place is also a popular picnic spot. Worth a visit if time permits.
Kukrail_Forest_Reserve,Samiur_Rehman,3.0 of 5 bubbles,Sep 2016 • Couples,Theme Park with a good concept but need finish,"The theme of the crocodile park is very good and informative and the size of park is quite large and having a good vegetation cover.Lot of renovation activities were going on because of which the park looked incomplete and missing some key facilities.Area where breeding of alligators is done,was quite interesting,with all sizes of alligators around.Missed to see crocodiles as they are confined to a small pond at a lower elevation.Area where turtles are kept is also not developed properly and some of the holding ponds were empty.This could be a good place for a must visit once all construction/renovation activities are completed."
Kukrail_Forest_Reserve,Durgesh S,5.0 of 5 bubbles,Oct 2016 • Friends,Lungs of Lucknow,Full of greenery. Lots of birds. If you will come here you can feel the fresh and cold air anytime. Morning access is preferable. 
Kukrail_Forest_Reserve,Vidharva,3.0 of 5 bubbles,Sep 2016,Nothing much to see,"Its just a park good for kids and picnic , there are not much crocs there as you might expect. Definitely worth a visit if you are planning a long stay. Avoid if you are planning a short stay as it is not worth it. The place is well maintained in patches and not all of the place is well maintained. A visit like 3pm - 5pm should be better avoid during afternoon as it is pretty hot."
Kukrail_Forest_Reserve,SONAL2089,3.0 of 5 bubbles,Mar 2016 • Family,Family picnics,"The place is like a large forest, with parks and gardens to sit, play, relax and enjoy the green lush surroundings with family or friends."
Kukrail_Forest_Reserve,Vijaypsingh81,3.0 of 5 bubbles,Jul 2016 • Family,Good place in But need proper maintenance.,"The place is really good, but it requires proper maintenance. Though this is nice attraction, out of the city. One can visit this place with family or friends."
Kukrail_Forest_Reserve,Pranav M,5.0 of 5 bubbles,Dec 2015 • Family,Natural beauty,"Its little far from main city , but its nice places , when i went there was some problem in roads, work was on progress but i think now it is ok .. its nice place to visit . you can see many corocodile & others also . also you can spend a peaceful time here ."
Kukrail_Forest_Reserve,shyams174,2.0 of 5 bubbles,Jul 2016 • Family,poorly maintained as picnic spot,"it seems that Kukrail picinic spot is most neglected area, very poorly maintained, as par as visitors are considered. no basic amenities  in the park, except to have a look at crocodiles, the situation is horrible in park. My advice for not to go with family, if want to time pass with friends it's ok"
Kukrail_Forest_Reserve,khadds,2.0 of 5 bubbles,Mar 2016 • Family,good only for showing crocodiles to kids,"A big let down. Average type of picnic spot for school children. Good for love birds, but dont think much privacy is available. Like most govt properties its soul less. Only good thing is baby alligators/ crocodiles which you can show to your children. Disappointing visit. Avoidable ."
Kukrail_Forest_Reserve,Manvendra77,4.0 of 5 bubbles,Dec 2015 • Friends,Nice,"nice place, i went to this park many times with friends and sometime alone, nice and peaceful place, you also enjoy this park with girlfriend or boyfriend."
Kukrail_Forest_Reserve,Shalu2016,5.0 of 5 bubbles,Sep 2015 • Family,If you love crocodiles,"Its an awesome reserve where many crocodiles , alligators, gariyals and camons live .its a place where you can see a huge river predator .Kukrail is a place for enjoyment, and having a  family picnic"
