Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Ambreshwar_Shiva_Temple,Rushabh Acharya,5.0 of 5 bubbles,Mar 2020 • Solo,Lovely Lord Shiva Temple,Had an opportunity this year before Lockdown to visit Ambarnath Shiva temple. An amazing marvelous structureIf you get opportunity do visit and watch our ancient marvelous Temple having amazing architecture and Lord Shiva's Darshan 
Ambreshwar_Shiva_Temple,Anisha N,5.0 of 5 bubbles,Feb 2019 • Family,Holy,It is a prachin very old shiva temple located in the heart of ambernath. The is very crowded on a Monday mornings and Mahashivratri.
Ambreshwar_Shiva_Temple,Anisha N,5.0 of 5 bubbles,Aug 2018 • Solo,Prachin,Its a century old prachin temple got the heritage status.. Its shiva temple accesible from ambernath station east by auto.. avoid visiting on Monday or shivratri as it is too crowded to get good darshan.
Ambreshwar_Shiva_Temple,kashyap g,5.0 of 5 bubbles,Jul 2018 • Family,Spiritual visit,"No words can describe the feeling of being there, when i heard that there's a lord shivas temple which is  thousand years old i had to visit,it is in ambernath city, sadly government havent done a proper job road is in pathetic condition, nothing has been done to make this temple a major religious place which can be done easily, must must go if you are a devotee of lord shiva.... Har Har mahadev."
Ambreshwar_Shiva_Temple,BantakalDotCom,5.0 of 5 bubbles,Apr 2018 • Family,Day Trip in Mumbai 11th-century Hindu temple,"Built-in 1060 AD temple also called as Ambreshwar Shiva Temple, and known locally as Puratana Shivalaya.Temple is beautifully carved in stone. Unusually, garbhagriha ( innermost sanctum) is below ground, reached by around 20 steps down which makes this temple unique.If you are in Mumbai and if you like ancient temples, stone artwork, this place is must visit. Just take any train from  Mumbai CST or from Dadar to Ambernath. From Ambernath Eastside, you can walk straight 2.3km to the temple or there are sharing tuk-tuk to temple. You can ask any local as ""Shiv Mandir"". On Monday early in the morning and evening, it will be bit crowded. Other days almost empty. Once in a year, on Shivaratri festival, it will be super crowded! There is no entry fee."
Ambreshwar_Shiva_Temple,bolkar,5.0 of 5 bubbles,Dec 2017 • Couples,"Wonderful divine gem in midst of a dusty old town near Ulsan Nagar, Mumbai !","Ambernath, also called as Ambereshwar temple located very near o Thane district and near Ullas Nagar, Maharastra ! Amazing, beautiful small temple will take your breath away ! We drove through dusty, bumpy high traffic road and suddenly we could see this place, so beautiful even from far away !  I have been planning  to visit this place for the last 10-12 years but some how Could not come ! At last I was fortunate to see this gem ! This temple was built in 10th century ! Beautifully carved in stone, looked like stone had blackish brown/red tinge ! Some stories about this temple that it was built by Pandavas overnight when they are in exile ! The temple was not completely finished before they had to move ! The main sanctum was few steps below the ground  where there is a Shivling ! This is one of the only still functional ancient temples still has daily Pooja’s and rituals are done ! This gem is worth many trips !, I would love to visit this place again ! Hope this place is preserved for our future generations to see !  The premises of the temple is kept very clean !"
Ambreshwar_Shiva_Temple,Dhyan Chand,5.0 of 5 bubbles,Dec 2017 • Solo,Ancint temple with double shivling,It's a 11th century Shiva temple. People says temple built by Pandva'a with in one day. A beautiful temple having good architecture need to care by government. During shivratri hudge mass came for praying.
Ambreshwar_Shiva_Temple,shek2005,4.0 of 5 bubbles,Jul 2017 • Friends,Shiva temple.,Ambreshwar Shiva Temple in Ambernath was a good visit by me and friends and is very scenic place.. peaceful temple.
Ambreshwar_Shiva_Temple,Sudha B,5.0 of 5 bubbles,Aug 2017 • Family,Ambreshwar Shiva Temple,It was a lively spiritual experience the architecture and carving is worth a visit. Distance from Andheri east is about 50 kms  Very peaceful environment at the temple. Would recommend the place for people with a spiritual bend with love for heritage temple
Ambreshwar_Shiva_Temple,thatzamit,4.0 of 5 bubbles,Jun 2016 • Friends,Holy,A very holy place to visit. Good time to visit is during festivals as decorations are very good here.
