Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Quest_Mall,DG Pulak,4.0 of 5 bubbles,Aug 2022 • Solo,Major brands are here ....,"Situated right on the main road near Park Circus. One of the biggest shopping malls over at Kolkata, West Bengal. As per my opinion this place is a nice shopping arcade where you can find large brands showcasing their products. Fantastic place to visit if you are at Kolkata..."
Quest_Mall,Indradeep R,5.0 of 5 bubbles,Jan 2021 • Couples,High street Retail ,"Every large city has a High street Retail to boast off and this mall is Kolkata’s answer to the likes of UB City , Bengaluru or Palladium , Mumbai. The security measures in place to maintain overall hygiene and safety protocols during Covid are in place. I found the security taking special care to disperse crowd gathering together in a group with a smile and politeness. The mall boasts of brands like Michael Korea, Coach, Gucci etc. Some of the items are way beyond affordability of common folks but that doesn’t stops you from checking out isn’t it ? Pls go and browse across the stores to give yourself a happy kick of Retail therapy. Importantly there are enough food outlets where you can afford to eat so it’s a good day outing in the right temperature in the city of joy too. Go and enjoy ! "
Quest_Mall,Mohammad Jobayed Hosen,5.0 of 5 bubbles,Feb 2021 • Family,Quest Mall,The mall is a place of super convenience in Kolkata. You find a large pool of brands in one roof with neat and clean and spacious environment. Food court on top floor is another attraction of the mall. A combination of eastern and western cuisine has made it unique. Sufficient number of toilets/restrooms are there with proper cleanliness and hygiene. A great place for family shopping!
Quest_Mall,NafeeTA,4.0 of 5 bubbles,Jan 2020,This place never stops to amaze!,"Undoubtedly the must visit shopping destination in Kolkata. The variety available always keeps updating, and no visit is complete without a visit to Spencer's and a movie watch."
Quest_Mall,A K,5.0 of 5 bubbles,Feb 2020 • Couples,Luxury Mall,Great mall. Now has Ferragamo for another 2 weeks. But the Indian designers at Loft have brought their leftovers...it appears... their clothes are full and drab. Would benefit from getting clothes from high end Indian designers in Loft
Quest_Mall,waheed nawaz,5.0 of 5 bubbles,Jan 2020 • Couples,Kolkata holiday,A must visit.. great shopping..loved the happy hour for me n romantic lunch for the wife..good food..n u can always take a nap at the movies..
Quest_Mall,Xaina,5.0 of 5 bubbles,Dec 2019,Great Movie theater,"This mall has all the big brands under one roof, INOX and great food court. I have been to the movies twice. The food over there is bit overpriced. The food court offers various choices ranging from Burger king to KFC."
Quest_Mall,solanki sinha,5.0 of 5 bubbles,Nov 2019,excelent,The best part in shoping mall is you get a reasonable and fixed rate. i recently visited Quest mall in kolkata . Its like the biggest mall i have ever seen .You have everything in that mall. Its very easy to shop in that mall. Shoping in malls is like a easiest way. You have everything around you and no need to go to different place to purchase differentproducts.
Quest_Mall,Johann R,5.0 of 5 bubbles,Dec 2019,"Everything You'd Want, Not Need!","Want a watch that costs an arm and a leg? Or a Fountain Pen? The Quest Mall is for you. And better still, if you visit in December, as we did, most of the International Brand stores offer some amazing deals. We got a 2 for 2 deal on the world's favourite pair ( that's my opinion!) of Jeans. Spend time here and you'd discover the best of Bishra Bangla - hope I spelled that right - and Fab India, which is a shop we always visit when in India. of course all the most luxurious international brands are represented here.We didn't spend much time here, because we knew what we wanted and where to find them at Quest, but I'd imagine you could make a day's outing here should your purse be able to handle the stress!Special shout out to the William Penn shop. It's not anywhere you can buy a good old fashion Fountain Pen, or a Quill Pen, or things that people tend to want, as opposed to need!"
Quest_Mall,Milita,5.0 of 5 bubbles,Dec 2019 • Friends,It's a mall,A very European like luxury mall. If you want to shop fancy brands and chill it's a perfect place for it.
Quest_Mall,Farhan,5.0 of 5 bubbles,Jan 2019,Very luxury place to visit,Recommended for visit with friends and family....and mst importantly the water flow at the ground was awesome.
