Tourist Attraction,Name,Rating,Date and criteria,Title,Review
City_Centre_Mall,Manishrajb77,5.0 of 5 bubbles,Oct 2022,Raj,"In City Centre mall you will get all types of services i.e. Restro, Pub, Pizza Hut, KFC, & lot of other things"
City_Centre_Mall,akghosal,4.0 of 5 bubbles,Apr 2022,One of the best shopping centres/malls in the Kolkata area,"One of the best shopping centres/malls I've visited in the Kolkata area and a place I've visited many times throughout the years whenever I've travelled to Kolkata. Has a relatively good selection of shops (even though a few have shut before and during the pandemic), most of the indoor mall and even the outside corridors are relatively clean and well-maintained (definitely puts New Market in Central Kolkata to shame in my opinion) and covid checks and regulations are followed for the most part. My only issue with this place is that the main food court (think it was called Hangouts) is no longer present anymore, having been replaced by a Burger King and a cafe, which is a real shame in my opinion as that was a place I loved to visit and eat whenever I went with my relatives here and its closure means that there are fewer eating options now, but apart from that, I still love visiting this area and with the new metro line now open, travelling there should be more convenient than before, especially when the full line to Howrah opens."
City_Centre_Mall,Natalie1204,5.0 of 5 bubbles,Jan 2022 • Family,Lots of open space and things to do,"Love that there’s so much to do at this mall. Great restaurants and stand alone pop ups, street food, good shopping options, movie theatre etc. Probably my favourite thing about this mall though is all the open space."
City_Centre_Mall,Sanjib.M,1.0 of 5 bubbles,Oct 2021,Customers getting harassed by Mall Security persons.,"Though this is a nice place to hangout with many Shopping options, but recently I have witnessed some chaos and harassments which was created by the securities of the mall, What ever the reasons are I do not know but the behavior of security persons towards the visitors is simply not tolerable.  They are even manhandling.  Though it happened with another person, But me as a customer of this place feeling very much dishonored by seeing this happening. Commonly there were two to three security persons  involved with this. I request Mall higher authority to intervene in this."
City_Centre_Mall,Indradeep R,4.0 of 5 bubbles,Feb 2021,Exactly city centre,"The location of the mall caught my attention. Its just below the City centre metro station and thus navigating from this place is quite easy. While this review is with regards to the mall, however I cannot stop mentioning something which caught my attention about 100 metres from the mall and which you might want to explore. There is a house which I covered which amazingly landscaped from the streets to the entire boundary wall as well the outer house walls and balcony with flowers. It just cheered me up and of course the pleasure to the eyes to the heart which is inexplicable. The mall is quite large but from the metro side it can be a bit claustrophobic. I almost got lost trying to find the entrance to the CCD though it can be easily accessed from the outside as well. There are enough Retail shop and food outlets to spend time and to shop your hearts content, I have given 4 rating for the location though I was not quite excited with the architecture of the place as I found it confusing"
City_Centre_Mall,mukul r,4.0 of 5 bubbles,Jan 2020,good  time,had a great time shopping here. Also ate at pizza at with friends. It was winters . The place was well decorated
City_Centre_Mall,Kushal360,4.0 of 5 bubbles,Sep 2019,Nice place to hang out,"This time, we visited for lunch. But the restaurant we had opted for was closed for lunch. So we had to visit another restaurant there.The place has many shops for different kinds, good eateries and movie theatre. There is a lot of open space which I like about City Centre 1. The location is good as well."
City_Centre_Mall,Fff,4.0 of 5 bubbles,Sep 2018 • Family,Good place,It is a very good to place for weekend with a family and specially the children enjoying the games and the ice cream
City_Centre_Mall,Animesh Patra,4.0 of 5 bubbles,Jul 2019 • Family,Good one for time pass,"Good one for time pass with your friends and family, huge car parking place (bit costly) . Variety of stores , restaurants welcomes you. Perfect place for hangout."
City_Centre_Mall,Nilanjan,4.0 of 5 bubbles,Jun 2019 • Couples,Evergreen City Centre - never felt out of place ,"A very distinctive mall in the age of tall air conditioned monsters! This is where you feel free and open, spend your day or evening - it is always the same! Haven’t seen another mall like this anywhere in the world! "
City_Centre_Mall,Tapas,5.0 of 5 bubbles,Jan 2019,City Centre. Time for Fun with Family,City center is a great place for people who like to buy great quality products. The Starbucks here is absolutely fantastic. An excellent place for visitors who can combine their shopping activity with eating out here. There are outstanding delicious food options available with and friendly service.
City_Centre_Mall,Ravindra V,5.0 of 5 bubbles,Mar 2019 • Family,Open mall,"One of very few open malls we have in India. There are lot of shops and the mall is divided into multiple blocks. Good number of food options as well. Will be lively if you go during night time. Like most of the malls in Kolkata, this one also closes at 9 PM. "
City_Centre_Mall,Soumyajit Saha,4.0 of 5 bubbles,Jan 2019 • Solo,City Centre Saltlake,City Centre Saltlake is the first city centre of Kolkata. It has many shops and one multiplex to watch movies. People from all in and around Kolkata visits this place to hangout.
City_Centre_Mall,Angshuman B,4.0 of 5 bubbles,Feb 2019,Range of offers,This mall provides range of offers than many other shopping malls in Kolkata. The positive part is that it is located in a place where there is no traffic jam. Plus the parking fees out here in the mall is also ver less @ Rs 20 per hour
City_Centre_Mall,Tarun B,4.0 of 5 bubbles,Dec 2018 • Couples,Nice place for few hours,"older of the 2 city centre malls..Good place for a hangout.Movies, shopping options, eateries...mostly its there.Wish we had a food court..Parking space ok."
City_Centre_Mall,jrenuvictor,1.0 of 5 bubbles,Feb 2019 • Family,Not wheelchair-accessible at all! ,"We visited this mall on 3rd February 2019 and were ashamed in front of our friends from the US because they had a child on a wheelchair and this huge mall was not wheelchair-accessible! Right from the step leading to the mall from the road to the step leading to the lift section and also steps leading to the grass lawn to the steps to each of the shops on the ground floor , everywhere there were steps . NO Ramps!! I couldn't believe this was a happening place in a metropolitan city as Kolkata and was inaccessible in 2019!! Please do something about it, City Centre Mall SaltLake Kolkata management Board ASAP!! "
City_Centre_Mall,GlobalCitizen,4.0 of 5 bubbles,Jan 2019 • Solo,Good Mall,"I won't say it has all the branded showrooms here as stated by some reviewers. But it has a good mix of shops. So you will find most of the things that you need, if you can explore each section of the mall properly. I found the layout a bit confusing.It has several restaurants but I couldn't find a food court. Don't know if there is one."
City_Centre_Mall,shovanosneha,4.0 of 5 bubbles,Sep 2018 • Friends,Best mall in salt lake,"City center is most popular shopping destination in saltlake. Flagship stores like shoppers stop, wills life style, inox multiplex etc are there."
City_Centre_Mall,Sudipta Shaheen,4.0 of 5 bubbles,Oct 2018 • Friends,Big Mall,This is one of the biggest mall in Kolkata. All of the branded showrooms are here. Lot of food joints are also there.
City_Centre_Mall,stantp1916,4.0 of 5 bubbles,Dec 2018 • Family,I love the openness of the mall,"The best thing about this mall is that it’s not the customary enclosed and centrally air conned structure. As if lots of classy shops are put together to form a coalition, a mall. We enjoyed light shopping and food at tea junction."
City_Centre_Mall,Georgio Valentino Rayala,4.0 of 5 bubbles,Aug 2018 • Friends,One of The Earliest Malls in Kolkata,"I visited City Center to buy a Laptop sleeve and I found a nice one in Shoppers Stop. After that I met a friend and we went to Hang out food court to have Lunch. Next we explored the mall till 4 pm and had Chai at the Chai Junction. It is a nice mall for couples, friends as well as families to hang out as there are various areas and restaurants catering to every type of visitor. There is a gaming area near the food court for children. There is also a Kund area which is nice to sit in the evening time."
