Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Hyderabad_International_Convention_Center,SPillai,4.0 of 5 bubbles,Jan 2023,A huge facility for holding conferences,A big convention centre with all the multi-media facilities. Adjacent Novotel hotel offers good boarding and lodging options.
Hyderabad_International_Convention_Center,Ritu jha,5.0 of 5 bubbles,Dec 2022 • Friends,Stay experience,Thank you for making my stay wonderful I would like to thanks Ms. Sweety who was a helping hand always.
Hyderabad_International_Convention_Center,DipuKV,5.0 of 5 bubbles,Nov 2022,Massive,HICC is a massive complex which is nicely built and well maintained. The approach road is scenic as well.
Hyderabad_International_Convention_Center,Talent P,4.0 of 5 bubbles,Feb 2020,state-of-the-art convention facility,"State-of-the art IT infrastructure, design, technology, telecommunications and AV equipment with a spacious pre-function foyer area and an In-house 5-star banqueting serviceIt is connected to Novotel international business hotel "
Hyderabad_International_Convention_Center,DrValliappan,5.0 of 5 bubbles,Feb 2020 • Business,Best Convention Facility in India,"Compared to Pragati Maidan, New Delhi or CODISSIA Trade Fair Complex, Coimbatore or Convention Centre, Chennai which are pioneering facilities in the country, HICC stands out as the best with all amenities and a 5-Star Hotel (Novatel) built in."
Hyderabad_International_Convention_Center,PKB,5.0 of 5 bubbles,Dec 2019,One of the best Convention,"No dowt, this is one of the largest and best. many global tourist come for events. I participated. very well arrangement. Attached with Novotel "
Hyderabad_International_Convention_Center,diptendubt,5.0 of 5 bubbles,Oct 2019,The best part of modernity,"Located north to the Hitech City, HICC at Novotel hotel is the best place for the International conference like 50 Union world Lung Health conference"
Hyderabad_International_Convention_Center,Venuprasath,5.0 of 5 bubbles,Feb 2020,Sarvsri Catering for the Marriage function,We were their to service our client for their house wedding and the facilities and support given by the convention center and also the security services made us comfortable.  Well lit and spacious halls.  Including the security gate personal were helpful in making the event a great success.
Hyderabad_International_Convention_Center,Honey shah,5.0 of 5 bubbles,Jan 2020 • Business,"Shaswat,Karthik ,Aditya Gopal, Sudheer, saqib, Vamsi,teethi","A perfect package!Amazing hospitality, very helpful and prompt staff, very approachable... amazing g property, tasty food, ... always been a pleasant stay ,fun filled and memorable..thank you team HICC"
Hyderabad_International_Convention_Center,moogul818,5.0 of 5 bubbles,Dec 2019,Wonderful Convention Centre,"Hyderabad International Convention Centre (HICC) is a purpose-built, state-of-the-art convention facility, the first of its kind in South Asia. It features a pillar less internal hall measuring 6,480 square meters that can be partitioned into six smaller halls. It boasts of a state-of-the art IT infrastructure, design, technology, telecommunications and AV equipment. HICC is connected (and managed by) Novotel Hyderabad Convention Centre, an international business hotel."
Hyderabad_International_Convention_Center,mustafa zakir,5.0 of 5 bubbles,Jan 2020,I visit HICC regularly for entinding the exibtions and events over there.,Each time I was amazed by there organizing of the event and everything they do the makes the event and expo there one of the best events.
Hyderabad_International_Convention_Center,Stay282088,5.0 of 5 bubbles,Jun 2019,"Meetings, Exhibitions & Conferences",This is a great place for organising various exhibitions with state of the art facilities. Mostly all the events are organised in 2 Big Halls.
Hyderabad_International_Convention_Center,Praveen,5.0 of 5 bubbles,Nov 2019 • Business,Superb convention center,It's been pleasant and wonderful experience to be part of my team meeting in this hotel. Has great infrastructure and good environment
Hyderabad_International_Convention_Center,Ravi P,5.0 of 5 bubbles,Nov 2019,HITECH POULTRY EXHIBITION 2019,"Visited HITECH international convention center for Poultry India show 2019 edition, had business meeting with several international  visitors, ending up with good business tieups with African visitors "
Hyderabad_International_Convention_Center,Vikas Singh,5.0 of 5 bubbles,Oct 2019,Ample parking space,The best thing about the venue is ample parking space. The halls are well spaced out so that you do not feel claustrophobic. Many popular events like the Petex and Comic con are organized here.
Hyderabad_International_Convention_Center,Amashnee S,5.0 of 5 bubbles,Nov 2019 • Business,Excellent Venue,Attended a conference that was held at the International  convention center held in 29October-02 November 2019. The venue is large and adequately accommodated multiple sessions concurrently. Technically there were no interruptions and all talks proceeded well.
Hyderabad_International_Convention_Center,sree143in,4.0 of 5 bubbles,Sep 2019,Good Palce,"Hitex is a very large function hall like, we can arrange big meetings, wedding functions, political meetings and many more."
Hyderabad_International_Convention_Center,Lakshmi Narayanan,5.0 of 5 bubbles,Sep 2019 • Business,Hospitality,I stayed in Novatel Convention center on 13 and 14th Sep for a business trip.Mr. Sudheer who was in front desk was very friendly and highly professional. I wish Novatel management take note of this feedback and encourage such young employees with recognition and motivation.ThanksLakshmi Narayanan
Hyderabad_International_Convention_Center,NAZEER SHAIK,5.0 of 5 bubbles,Aug 2019,Landmark for every visit,Hyderabad is the main place for IT People. this place is the shortcut for all it peoples traveling for Kukatpally side
Hyderabad_International_Convention_Center,jainms,5.0 of 5 bubbles,Jun 2019,Hitex,"Most of the goverment, corporate exhibitions, meetings, conventions are held here. Located opposite Shilparamam."
Hyderabad_International_Convention_Center,Gaurav G,3.0 of 5 bubbles,Mar 2019,It's a good exhibition center,"I went there for a start up exhibition thinking it would be big but the rooms are not that big. I have been to a lot of exhibitions and the room sizes are in no comparison to this. It's okay for a small exhibition, don't expect a very big exhibition if they are not using other rooms as well."
Hyderabad_International_Convention_Center,Ratna Kamalakar V,4.0 of 5 bubbles,Oct 2018,Good for conventions,It has huge halls and ample parking space. A decent place to conduct events with large gatherings. I don't think there are any options for food unless it is part of the event.
Hyderabad_International_Convention_Center,Damian9712,5.0 of 5 bubbles,Jul 2019 • Business,In a word “Fantastic” !!!!!!,"This is my first trip to india and like most people you may have a few doubts about the food , service and standards.Well this hotel would get 11 outta 10 if I could , the place is spotless and clean , rooms are spacious with well stocked minibars and modern air con systems, but the staff make it even better  ! Had the barbecue buffet tonight , food was top standard , Huthasini and Ajay looked after my every need ,really friendly and they made sure I tried all the additional dishes that were available, a big thank you to you both ! To sum up , if your thinking of staying in hyderabad area , do yourself a favour and book this place !"
Hyderabad_International_Convention_Center,beyondtravel,4.0 of 5 bubbles,Jul 2019 • Couples,Hitex Hyderabad,"A landmark of future at Hyderabad,  a gigantic convention centre,  know for exhibition and conference.  Also a pleasant place for morning walk along lakeside. "
Hyderabad_International_Convention_Center,TravelbuggIndia,3.0 of 5 bubbles,Jun 2019 • Friends,Convention Centre,Hyderabad International Convention center which is also known as Hitex center is a prominent place where exhibitions and shows are held.
