Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Mangaldas_Market,AkarJP,3.0 of 5 bubbles,Oct 2022 • Family,Different from nearby shop or mall shopping,"Overcrowded place, large variety, for better purchase one should have prior knowledge about quality and prices."
Mangaldas_Market,Amol M,5.0 of 5 bubbles,Sep 2022 • Couples,Wholesale garment shopping,There is no place to park around here so just take a cab. The market has well organised lanes with clear marking of shops. Easy to navigate. It's sheltered to protect from sun and rains. Very large variety of ladies garments. The prices are very reasonable and the product quality if for you to judge. It's a wholesale market not to be missed in downtown mumbai. 
Mangaldas_Market,Dipika shah,5.0 of 5 bubbles,Dec 2019 • Family,Market for garments,Mangaldas market is too big for garments..here we get varieties of clothes like cotton silk tussar khadi etc etc n many more
Mangaldas_Market,Sunil,3.0 of 5 bubbles,Jul 2019 • Friends,Wholesale market ,The market is crowded and it's good for clothing and you get varieties of clothes for moderate price and worth it
Mangaldas_Market,Vikash,4.0 of 5 bubbles,Nov 2019,wholesale market in Mumbai,"If you are looking for wholesale market in mumbai for clothes, be it ready made or raw piece of cloth mangaldas market is a good option to explore. You get variety of options here with good rates. You can get this materials in low cost as compared to locally available shops near you. They have no parking space."
Mangaldas_Market,Ashraf4916,3.0 of 5 bubbles,Nov 2019 • Family,Good variety but poor ambience ,"It is a nice place to buy ladies dresses, suiting and shirting. The place is very congested, hot and humid. The shop owners have been encroaching upon the walkable area thus affecting their own business negatively. The traders union should act upon it for making the market more accessible and easy for shopping. "
Mangaldas_Market,Abdul Rahman,4.0 of 5 bubbles,Nov 2019 • Business,Good Deal,For retail ladies shoping nice 0rice can be ideal for boutique Shop entrepreneurs . Ideally located location with multiple choice for buyers.
Mangaldas_Market,MaryKP,4.0 of 5 bubbles,Oct 2019 • Business,Best place for cloth,We brought silk golden cloth for knky a few £s per metre from a wholesale. They had a sign saying no negoatiation as they charge the same for both tourist and locals.Other places were charging £8 per metre 
Mangaldas_Market,kalex15,4.0 of 5 bubbles,Feb 2019 • Couples,For Cloth!,"Big cloth market, mostly wholesale. Wide variety of fabrics. This place is at walkable distance from Crawford Market / Mahatma Phule Mandai. "
Mangaldas_Market,Sharun S,3.0 of 5 bubbles,Jan 2019 • Solo,The Textile Destination,Mangaldas Market is in South Mumbai. It is one of the oldest markets. It consists of small lanes inside a compound. The main business here is textile fabrics. Its quite a busy place.
Mangaldas_Market,nicolas s,5.0 of 5 bubbles,Jan 2019 • Couples,excellent for fabrics,"we love fabrics so we spent a long time. a lot of choice and many sellers. worth sitting, having a display, move on and then come back. ended up buying quite a bit, a very nice afternoon"
Mangaldas_Market,naveen k,4.0 of 5 bubbles,Jan 2019 • Couples,Good place to visit,There is a good variety of dress materials. Rates are to be negotiated. Few shops are there which have fixed rates.
Mangaldas_Market,Imtiaz-waheeda,4.0 of 5 bubbles,Jan 2019 • Family,Fabric heaven,If you looking for fabrics ... This market certainly has it all ... From just fabrics to outfits for ladies and gents... Prices are fixed so no bargaining .... 
Mangaldas_Market,foodie_uncle,4.0 of 5 bubbles,Nov 2018 • Solo,Best for buying clothes,This place is famous for clothes in Mumbai. The place is full of great shops selling unstiched clothes. All the new designs and variety of clothings are available at a very reasonable price.Must visit place for your wardrobe needs.
Mangaldas_Market,panchaldhawal,5.0 of 5 bubbles,Dec 2018 • Family,Shopping,One of the best market to get latest fashionable clothes.The pricing is also very very reasonable.Must try for all.
Mangaldas_Market,sushila hariharan,5.0 of 5 bubbles,Nov 2018,Shopaholics Ahoy!!,"If you are old world (like me) and a shopaholic (like me), then most large cities offer the unique experience of a BAZAAR. And Mangaldas market in Mumbai is a shopper's delight. With a vast array of food items such as dry fruits, mukhwas (aftermint)and the likes the CRAWFORD market in Mumbai is a must go-to. The products sold are fresh and the pricing is very competitive. "
Mangaldas_Market,Trp,4.0 of 5 bubbles,Sep 2018 • Friends,Nice market,It offers a very good range of clothing and electrical lights in many other things. We could not see the whole market but were happy with the shops that we could manage. Pricing is very good. Very crowded place. Avoid going with small children. It could be very hot with all the crowd.
Mangaldas_Market,Explorer,4.0 of 5 bubbles,Jun 2018 • Friends,Best place to buy clothing,"In this market u can find large variety of dress materials starting from 100 and so on.. Kurtis, sarees n many more can b found in this place.. it is one of the oldest market.. one can buy clothing in large quantity from here for any occasions. This place is best for marriage shopping."
Mangaldas_Market,Avica M,4.0 of 5 bubbles,Feb 2018 • Friends,An understated market- A hidden gem,"This market has so much to offer.Excellent prices - Awesome goods: saris, Punjabi lengths, blouses, dupattas etc .You are bound to get a bargain.You can the overruns from Westside stores there.It is the local Gujarati merchant’s cloth market .Nice experience Just across the road from Crawford market"
Mangaldas_Market,David D,4.0 of 5 bubbles,Mar 2018 • Couples,"Vibrant, colourful textile market","Monday 5th March and we were in the area visiting Crawford Market and we discovered this indoor market.There were aisles of shops and stalls filled with a vast array of clothing and fabrics in every colour of the rainbow.There was a real vibrance about the market, worth a visit to experience the hustle and bustle and the colourful displays."
Mangaldas_Market,kapurash,4.0 of 5 bubbles,Apr 2017 • Friends,Busy market in town,"This is a good old marketplace situated in town area of the Mumbai.Great place shopping for textiles- good variety and reasonable clothing and dress material are available in Mangaldas market. Many other shops selling everyday provisions, articles and gift items as well"
Mangaldas_Market,Anil K,4.0 of 5 bubbles,Feb 2018 • Friends,Must go market in town side.,"This market has lods and lods of good stuff to buy, for men, women ,and kids. You can see small little shops with variety of artifacts and jewellery. There are many good book store also. "
Mangaldas_Market,VikasSawant,4.0 of 5 bubbles,Jan 2018 • Family,Amazing shopping experience at Mangaldas Market,"I went to Mangaldas market without any specific shopping list and came out with pretty dresses for my daughter. You get good Kurthis, dress materials , chaniya chollis, plazzos, sarees, shirt/trouser material and much more. The options are plenty and I believe the rates are reasonable. Only challenge is you get tired in the maze of shops and options available - but i believe its worth the effort."
Mangaldas_Market,Nandakumaran1963,4.0 of 5 bubbles,Jul 2017 • Family,All purchase needs under one roof,"One can purchase items from mixed nuts, fruits, gifts up to clothing under one roof. As for clothing, the prices are much lower compared to most textile shops around Mumbai. For those looking for larger sizes from 2XL to 4XL, this may come in handy.Buyers desecration is important to determine the quality needed. Important tips, buyers are advised to check on the stitches well, signs of stains as there are all kept under bulk storage."
Mangaldas_Market,Vishalkumar P,5.0 of 5 bubbles,May 2017 • Family,The Women's Shopping Heaven,"Mangaldas Market near the Crawford Market is a women's delight for shopping. It offers all kinds of readymade fabrics, unstitched cloth materials, mix match apparels, etc. You go in with imagination and come back with dreams of clothes."
Mangaldas_Market,Rahul T,4.0 of 5 bubbles,Mar 2017 • Solo,A pleasant visit to oldest clothing trading market,This place is exactly opposite famous crawford market. The strcuture is british style. The moment you enter you find line of textile merchants vouching for you to buy from them. Good place to find endless variety of clothes at very reasonable prices. A perfect place for you to purchase some office wear suitings if you like getting it stitched.
Mangaldas_Market,Manisha T,4.0 of 5 bubbles,Oct 2016 • Solo,Shopping,This market of south mumbai is worth shopping  for both men and women. It has huge variety of  clothes  and  designer stuff.since it is a wholesale market so rates are very  reasonable. Must visitmarket. Mangaldas rocks!
Mangaldas_Market,Jasmina S,5.0 of 5 bubbles,Dec 2016 • Solo,Good & reasonable clothes market.,"As in south Mumbai ,this is very good market for clothes varieties.where you'll get sarry, ready-madeDresses, Bedsheets , material for clothes, suiting,Shirting for men ,This is wholesale market, where prices are reasonable.As there shops are not well decoratedLike big showrooms.but worth going there & shop Good stuff at good prices.Bargain is not required, but some times you can offered.There are lots of shop's in small narrow path, butGood place to shop & makes personal experience."
Mangaldas_Market,Aartichand,3.0 of 5 bubbles,Nov 2015 • Friends,Textile Market,This market is a wholesale textile market near crawford market. It is full of small shops with all kinds of fabric. They also do sell to smaller buyers though you may not get huge discounts. However the variety available is remarkable. Provide enough time to look around.
Mangaldas_Market,Dean N,4.0 of 5 bubbles,Sep 2016 • Couples,Worth visiting ,"We had a real surprise visiting the Mangaldas Market. So beautiful fabrics at a reasonable and affordable price. At a walking distance from  the Chhatrapati ShivajiTerminus, we headed north towards the municipal market also known as Crawford Market. The area to visit is huge and you must absolutely have a full day visit to discover this fantastic place. Mangaldas Market is a fabric market inside a bigger and huge area where you will encounter all kind of other markets : Jewelry, Electronics,  Sundry goods,house ware goods , artificial flowers. Everything can be bought  at wholesale price. "
Mangaldas_Market,SureshKIP,3.0 of 5 bubbles,Sep 2016 • Couples,Big textile market,A very big congested textile market situated at a km distance from crawford market. It has a vast variety of clothes available at wholesale rate.
Mangaldas_Market,Sandhya L,5.0 of 5 bubbles,Sep 2016,Awesome shopping experience,I went to Mangaldas market and was amazed by the variety of shops. The market housed  lot of cloth shops with new fashion. The prices are also not very expensive. It is a great shopping experience. 
Mangaldas_Market,Rajesh S,5.0 of 5 bubbles,Sep 2016 • Couples,Wholesale Shopping paradise,Market is biggest in Mumbai comprising of wholesalers in textiles and garments from all  over India. And also from Asian countries . Parking vehicles is a problem. It is not a mall neither air conditioned .but value for money.
Mangaldas_Market,thatzamit,4.0 of 5 bubbles,Mar 2016 • Solo,Go shopping,Thai place is shopping paradise and wholesale market of clothes. One can buy good quality clothes here at very reasonable prices.
Mangaldas_Market,Y0G_wanderer,4.0 of 5 bubbles,Aug 2016 • Friends,Fabric hub,This is most amazing place if you want to look at the varieties of fabric whether in retail or wholesale. This place has it all. The stores tiny n crimpy but the worth of each would run into more than a million rupees. Be it diwali or eid or any other festival season. Its all filled up. The variety that you get here would be difficult to find in your regular markets. Worth giving it a try and then u ll get attracted to it.
Mangaldas_Market,Jasmina S,4.0 of 5 bubbles,Jul 2016 • Family,Wholesale clothes market ,"It's big wholesale market for male & female clothes,with latest fashion,reasonable price,every things in materials as well ready-made also.For men best materials for shirting & suiting.It's a crowded place , narrow spaces, adjust with that.Nice shopping "
Mangaldas_Market,GauravChand,4.0 of 5 bubbles,Nov 2015 • Solo,"Anything with cloth, they have it","Mangaldas Market is located in Lohar Chawl near Crawford market.  Anything to do with cloth is their business.  You can get material for sarees, sofas, curtains, bed covers, shirts, pants, etc.  Their prices are much lower than the big fancy stores which carry the same items.  The market is quite crowded but has a great selection."
Mangaldas_Market,all_travel_now,4.0 of 5 bubbles,Jun 2016 • Couples,No shortage of Material,"So you want to choose some material or a Sari - Mangaldas Market is certainly the place. Lots and lots of  stalls selling either material, Saris, Table clothes, bed covers. Your not going to find a better selection.  Sellers are friendly and happy to show their range of choice. Its a bustling hive of activity not to be missed."
Mangaldas_Market,Lifesrichtapestry,4.0 of 5 bubbles,May 2016,Fabulous fabrics! ,"I LOVED the glorious fabrics and the atmosphere of this market.For anyone remotely interested in fashion, design, colour, art or culture this market is a must visit. "
Mangaldas_Market,Jigar Adhiya,5.0 of 5 bubbles,May 2016 • Business,Garment God,Mangaldas market goes way back when there was rule of Britishers human today mangaldas market is considered to be one of the best buying used for any type of garments there are many stores at mangaldas market which provides readymade clothes & garments to Bollywood & many Hospitals of Mumbai
Mangaldas_Market,AamirSK,4.0 of 5 bubbles,Mar 2016 • Couples,Material market ,This place offers the most vast selection of materials be it for shirts trousers or suits With different types of fabrics available. Uve got to look for the right shop and a honest helpful shopkeeper who will give u the proper advice And also recommend a tailor for stitching
Mangaldas_Market,gitanjali m,4.0 of 5 bubbles,Dec 2015 • Solo,Wholesale cloth market,"You really need to look for the entrance to this market as you might cross it thinking its a by-lane. Several crammed shops next to each other require a lot of patience as the variety is humongous. The sourcing of the cloth is usually from gujarat and you need to carefully look at the fabric/ dress material. Had an unfortunate experience of finding a hole next to an embroidered portion in a cloth piece after purchasing it, The stuff gets repetitive from shop to shop with minimal variation in colour or design. Need half a day or more here."
