Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Golconda_Fort,Vipin Tiwari,5.0 of 5 bubbles,Jan 2023,Golconda Fort,"visited this place last month with my friend ..very good and cleanly historical place must visit once , near to hyderabad take bus from anywhere in hyderabad to reach destination"
Golconda_Fort,Amit Bansal,5.0 of 5 bubbles,Jan 2023,Must visit place,"Challenge yourself to climb at the top. Great place to spend time.Prices for guide is too much, 750 & 1000 is too much"
Golconda_Fort,Saurabh M,4.0 of 5 bubbles,Dec 2022 • Friends,Historical Golkonda fort.....“Only those who risk going too far can possibly find out how far they can go.”,"Exploring Telangana........Hyderabad..... At the famous Golkonda fort......How to reach can take a auto or ola directly there....... Golconda Fort Hyderabad is an outstanding example of brilliant engineering and magical architecture. Located at a distance of 11km from the city, it is the most famous of all Hyderabad tourist places. The name of the fort has been derived from the Telugu words ""Golla"" and ""Konda"" which together means 'Shepherd's Hill'.An impressive structure, which once, would have bewitched every onlooker, stands majestically even today. Golconda Fort is sure to impress you with not only with that highly advanced techniques were used back then and sturdy structure, but also with an outstanding view of the surrounding city.Founded in the approximately 12th Century by the Kakatiya Kings, this massive Golconda Fort with eight gates and 87 bastions was later built by Qutub Shahi Kings.The name Golconda Fort has a legend behind it. As per the story, a shepherd boy was once walking on this hill when he had come across a God idol. The news about the shepherd boy and his findings reached the then ruler of Kakatiya Dynasty. The King then decided to built a fort on the hill, which then came to be known as Golconda (Shepherd’s Hill) Fort.However, almost 200 years later, the fort came under Bahamani rulers. Later Qutub Shahi Kings took the fort under their control and extended it further. The fort was fortified and expanded during the reign of Bahamani rulers and Qutub Shahi Dynasty. Later in 1687, this fort came under the rule of Mughal emperor Aurangzeb. It was then the fort was left unattended.At present, the Golconda Fort constitutes a complex layout of palaces, temple mosques and pavilion, all of which unfortunately are in ruins now.Architecture of Golconda FortWith perimeters of around 11 kilometers, the fort has 15 to 18 foot high walls. It has huge gates that have pointed iron spikes on them. This protected the fort from Elephants damaging the fort as well as enemy attacks. Golconda fort presents a mesmerizing architecture which will astonish you at each and every step. This fort has been built on a granite rock with a height of 12 meters. Huge rampart around the golconda fort was built, a glimpse of which can still be seen.The system of acoustics in the Fort is something which attracts each and every visitor. The sound of clapping at the entrance can be heard at the ‘Bala Hissar' which is the highest point and almost a kilometre away. This system was apparently used for communication purposes, especially to alert royal in case of any attack.Other attractive features of the Fort include water supply system which does leave many marvelling at the advancement of the technical and scientific knowledge while constructing this fort. Another popular aspect is the 'Rahban' cannon.Ramdas’ prison is one of the popular spots inside the fort. According to legend, Ramdas who was a revenue collector in Abdul Hasan Shah's court was imprisoned. During his imprisonment, he carved Hindu deities on the wall of his cell. One can see many carvings of Hindu Lord Hanuman on the wall, which are now smeared with holy vermillion. A holy lamp or two (diyas) is also kept lit in front of the carvings."
Golconda_Fort,Nazura Javed,3.0 of 5 bubbles,Dec 2022,Golconda Fort - Climbing for History,"The place is in ruins , needs better maintenance  and amenities like toilets. The approach road is through crowded narrow roads. Reaching the top of the fort requires a bit of stamina for one has to climb up steps and it can be a little hard for those not used to it. Also the day we went the place was pretty crowded.The good thing is that one does get a feel of history (especially if one is somewhat aware of Deccan India history) and also a great view of the city once you reach the top of the fort."
Golconda_Fort,Ruzan Desai,5.0 of 5 bubbles,Dec 2022,"History, Hike and Panaramic Views",The Golconda fort is a great place for spending half a day. It is recommended to take the government approved guides( INR 750) to understand the true essence of the place. The guides are helpful with showing the stellar architectural nuances of whispering walls and echo points. It is worth climbing to the top of the fort. It is about 400 steps each way. The city view is excellent from there- panoramic in every sense of the word. There is a stall on the top with basic water and chocolates which provides adequate replenishments.
Golconda_Fort,jojo,4.0 of 5 bubbles,Dec 2022,Scenic Background with Historical Memories.,We visited the fort in the noon time. Ticket was Rs 25 per adult. It was almost crowded. But it was properly maintained. The fort was very beautiful and has historical importance. Having a majestic look spread over with memories of the past. Excited crowds being busy with photographs and the excellent scenic background.Guides were available.
Golconda_Fort,Andrew D,4.0 of 5 bubbles,Dec 2022 • Solo,Lovely view from the top,"Compared with other forts in India, Golconda is not particularly different but it does have a good view of the surrounding areas from the top. That being said, I would still recommend a visit to the Golconda Fort for a taste of how lives must have been during the nizam's times."
Golconda_Fort,vasant agshikar,5.0 of 5 bubbles,Dec 2022 • Couples,Golconda fort visit,I visited the fort and took a guide who provided me good enough about the fort. It is advisable you negotiate with the guide .the fort is well maintained and one can enjoy the view from various levels of the fort. The view from the top most point of the is awesome. The 700 step well is an uphill tasks if your having health issues like heart BP etc kindly avoid taking the stairs. The architectural is amazing and the science behind construction is also an interesting subject to study to know how advance we were then. It would take you 2 hrs to cover the entire area with enough rest and photography.
Golconda_Fort,TANISHK REDDY,5.0 of 5 bubbles,Oct 2022 • Family,Golconda lo Gola,Golconda is one of the iconic sites in Telengana state. I visited on a cool day and the views of Hyderabad hitech City was very good. It's a must visit place for all ages.
Golconda_Fort,Raman G,4.0 of 5 bubbles,Nov 2022 • Couples,Can make a visit,"We visited the fort as part of our holiday to Hyderabad.  It is part of your sightseeing itinerary.  Managed by Archaeology Survey of India. We did not take a guide. ( as compared, for Agra fort you surely need a guide). It is mainly a walk in the grounds and a abt 300 step walk to the highest point in the fort open for tourists. As Senior Citizens,  we did  walk to the top. It is tiring. Did it at a slow pace. The main attraction is the view from the top."
Golconda_Fort,OctOriental,4.0 of 5 bubbles,Nov 2022,A feel of history,"Straightaway you get a feel of history of an old fort. It looks good as well, spanning a great distance from left to right. But do beware, there are several spots where the guards warn you not to venture into as some stone structures have loosened up and could collapse. Some people disregard the warnings. Well...The fort has toilets. Climbing a few steps does afford good views. But you could go all the way up. Guides are there everywhere and could try to inveigle you by authoritatively directing you away from your chosen path as if it's not the way to go. It's easy to shake them off. Just ignore. But if you have a lot of time to spend there and are interested in history, apocryphal or not, maybe a guide could be helpful. But at the entrance there's a stone with brief history inscribed on it. Do read it to get some first hand history."
Golconda_Fort,madhavi2022,5.0 of 5 bubbles,Nov 2022,Awesome Golconda,read up before you go - guides are scalpers. Reach early to dodge the heat and crowds! Mask up as poor social distancing
Golconda_Fort,Chandra J,5.0 of 5 bubbles,Oct 2022 • Friends,Great views.  Take a guide for maximum  enjoyment ,Easy trek up hillside unless you have problems navigating stairs.  Great views of the city and of the whole area.  Helpful with a guide so you know what you're looking at
