Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Jaigarh_Fort,David D,5.0 of 5 bubbles,Jan 2023,A large fort that dominates the skyline of Amer.,"Jaigarh Fort looms over Amer Fort and would have provided a last line of defence. The fortress is sprawling and has gardens and museums within. It also has a large cannon, the Jaivana Cannon, that is one of the larger movable cannons in the world. It also has great views overlooking Amer, which is very impressive. The only detraction to this wonderful place is that people insist on driving their cars inside the fort, which takes away from the experience somewhat."
Jaigarh_Fort,tarun9369,4.0 of 5 bubbles,Dec 2022 • Family,Majestic Jaigarh Fort,"Jaigarh fort is in Jaipur ...near to Amer fort...it's like a defender fort for the amer ...it's approx 15 minutes drive from amer and situated on hilltop...the ticket for Indian adult is rs 150 ....u can take your vehicle inside the fort....it is recommended to take the vehicle inside , chargeable rs 100/ car...This fort houses the biggest cannon ...Jaivan...u can see the jal mahal from different locations of the fort...There are many things inside the fort...with beautiful picture spots...u can also see the majestic Amer fort from many sides of this fort...there is armory museum, canon factory museum, handicraft emporium, restaurant, etc etc...one section of the fort is like a maze...u can take ur vehicle to different spots in the fort....everyone will enjoy this fort...it takes approx 3 hours to visit this fort...nahargarh fort is approx 10minutes drive from jaigarh fort...Do visit if in Jaipur"
Jaigarh_Fort,singhasam,5.0 of 5 bubbles,Nov 2022,"Mighty cannon, stunning views.","A WEALTH of attractions lie in wait for any visitor who makes the effort to clamber about in this hillside fort overlooking Jaipur.It formed part of the city's defences and was built in 1726 to protect the Amber Fort and its palaces complex below.Top of the the list of things to see has to be the colossal 1720 Jaivana Cannon which, at 50 tons, is claimed to be the biggest in the world.This artillery beast swallowed 50kg cannonballs for fun and when it was test fired using 100kg of gunpowder it fired a cannonball 22kms. No wonder people didn't attack the fort!A museum area inside includes some of the cannonballs together with collections of weapons and other artefacts such as shields, helmets and arrows.For me the views stole the show, dizzying panoramas down to the Amber Fort below and across to more fortifications on the hillside opposite.I also loved the views down on the other side of the fort towards more fortifications waiting for restoration. No one was allowed down there because of the threat of collapse and the risk posed by snakes but you could see the network of defences created all those years ago.Jaigarh can be combined with a visit to the nearby Nahargarh Fort and provides a very useful guide to how defences operated when viewed below from the Amber Fort. Fascinating visit."
Jaigarh_Fort,Anand D Nanavati,4.0 of 5 bubbles,Nov 2021,Biggest cannon in the world,Very nice fort.  4 wheeler can go upto the top of the fort.  Beautiful view from top and large cannon on top of the fort.  We had a nice time on top of the fort.   Combine with Nahargarh
Jaigarh_Fort,satish7113,3.0 of 5 bubbles,Apr 2022,Jaigarh Fort,"The best thing to see in Jaigarh Fort is the Jaigarh Cannon. It is said to be the biggest cannon in the World, that can through cannons at a distance of 35 Km. It uses 100kg of gunpowder to fire a cannon. It needs the power of 4 elephants to turn the cannon."
Jaigarh_Fort,Himanshu B,1.0 of 5 bubbles,Mar 2022 • Friends,⚠️ cartel of guide and shops,Guide will not bargain on its fee because he will loot you by praising so much about shops product and will drag you into shop without completing tour. Product are fake and higly priced.  Don't come under their false claims and promises about quality and return policies.There is only canon otherwise it's average.
Jaigarh_Fort,ajay,5.0 of 5 bubbles,Mar 2022,Rajput Fort,Fort with the largest cannon in the world. The fort is a great example of preserved forts of the Rajput kingdom. The fort was constructed as an military fort for the protection of Amber palace. The museum inside the fort is interesting and also the shop by the Rajasthan government is good to buy stuff. The water storage tanks with the history of gold being stored are also very interesting.Taking Guide recommended.
Jaigarh_Fort,Lamberaj,3.0 of 5 bubbles,Jan 2022,Beautiful place covered with thugs called guides,The place is beautiful with a huge awe inspiring history but the guides are thugs. They give false stories and lead you to their internal shop of artefacts and manipulate you into buying. My strong suggestions dont buy from there. Go to only RTDC shops and buy as they loot you.
Jaigarh_Fort,ShyamKasturi,5.0 of 5 bubbles,Dec 2021,Very spacious fort that needs time to explore,"It is very spacious and large fort and needs considerable amount of energy, time and patience to roam around. Guides are available with fixed rates. It will take at-least 2-3hrs for checking out all major parts of the fort. Better not to go in a hurry schedule like 1hr or 1hr30min. in hand if you want to explore completely."
Jaigarh_Fort,Shravan B,4.0 of 5 bubbles,Nov 2021,Visit to see the huge sprawling courtyards and world's largest cannon,"This fort has the world's largest cannon and the fort is one huge massive structure like a maze There is a lot of walking and it is recommended to club this fort along with Nahargarh fortIf you are not interested in seeing the coutyards and the inner structure of the fort ,can just visit the largest cannon which is near the entrance of the fort"
