Tourist Attraction,Name,Rating,Date and criteria,Title,Review
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,niluanu,4.0 of 5 bubbles,Feb 2022,Nice Temple,"ISKCON Temple in Chennai is conveniently located just off the East Coast Road. A large and aesthetically pleasing temple, the place is clean and well maintained. Car parking is available. There is a food court which opens at 11am and a shop where one can buy books and souvenirs. Prasadam is given out free. You do need to climb quite a few steps in order to reach the main temple hall."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Venkataraman R,5.0 of 5 bubbles,Feb 2021 • Family,Architecturally pleasing ISKCON temple,"Like other ISKCON temples, this Chennai ISKCON temple also architecturally marvellous and well maintained. Radha Krishna and other idols are well decorated and pleasing to the eyes. Temple is also very huge with lots of parking space and separate vegetarian restaurant inside the premises.Highly recommend for visit."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Kiran Kumar,3.0 of 5 bubbles,Nov 2019,Hare rama hare krishna,Iskcon temple is known for its works and heritage. IT is very famous in Bangalore. Good that they have another one on Chennai.
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Deadman17,5.0 of 5 bubbles,Jan 2020,Divine Place,"The Iskon Temple is a great monument, not just for the intricate carvings but for the divine atmosphere it has. One can enter and feel one's inner self becoming calm. A good place to meditate and relax and forget all your worries. The carvings are extremely well done and the whole place lights up at night giving a different dimension to the temple."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Mrudula,5.0 of 5 bubbles,Aug 2019,Lord Krishna,This is one of the biggest ISKCON temple in chennai and located in 1.5 acres..Lord Krishna prayers are on everyday and it's a peaceful place to visit
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Gosthala,5.0 of 5 bubbles,Dec 2019,A simple yet beautiful temple,"The ISKCON temple in Chennai is located in the ECR in the outskirts. Though the temple is located far from the city, it has not failed to gain the attention of the people. It is not only seen as a spiritual place but also a place to be admired for its interiors and the deities. One cannot deny that the beautiful idols of the Gods and the Goddesses do not let us keep our eyes off admiring them. There are different arathis performed at regular intervals. Bhajans and dances gear up the place with more spirit. Prasadham is offered every day at the temple. The temple is maintained well with neat and tidy premises. There are stalls to buy souvenir and divine items. canteens/restaurants are available within the premises."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,SjChennai,4.0 of 5 bubbles,Nov 2019,Good Place to visit in ECR,"During special days, huge crowd is expected. Every one hr arthis are given to lord Krishna with devotional songs and small dance movements. location of the temple is away from pollution, residential buildings."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Samy,5.0 of 5 bubbles,Nov 2019 • Friends,Awesome place,"I loved to go this place because it gives you very nice experience, temple is very nice you loved it."
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,LostMySelfTraveling,5.0 of 5 bubbles,Dec 2018 • Couples,We started visiting this temple even before the construction completed,"We had been visiting the ISKCON temple even before completion of the temple. But every  experience was great. Can't forget. There were Bhajans, meditations held. Since this temple is also in ECR, while going to the temple and coming back from the temple were amazing. We enjoyed the ECR Road peaceful long rides along the sea shore parallel to the road. This is the best road in Chennai. Inside the temple they made us sing and dance. We enjoyed the Bhajans. There were many special festivals, personality development classes held here. We enjoyed many activities. Food was moderately spicy But very tasty. I wonder the food must have got the taste because of the mass mediations and Bhajans. We could buy some books too. "
ISKCON_Chennai_Sri_Sri_Radha_Krishna_Temple-Chennai_Madras_Chennai_District_Tamil.ht,Manoj G,5.0 of 5 bubbles,May 2019,ISKCON always good,when in a city and near to ISKCON temple it is imperative to visit it.Temple environment filled me with positive energy and had pleasant soul filling time inside permises.
