Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Saravana_Stores,AJUY,5.0 of 5 bubbles,Mar 2022 • Solo,Pretty Organized,Nicely organized as entry won't collide with exit. Chairs are beautifully put for customers to sit. Incredible collections are there.
Saravana_Stores,NihaPruthvi555,5.0 of 5 bubbles,Jan 2020 • Couples,Go to place for shopping in Tamilnadu,One of the oldest and Trusted places to shop is Sarvana stores . I love that it have so many brances now and is very easy to Access.
Saravana_Stores,Explore13639,4.0 of 5 bubbles,Dec 2019,Shopping Indian style,"Some really good value items, particularly clothes. Was followed by a crowd of staff and other shoppers.  Unusual to feel being a curiosity!  Plenty of staff on hand to assist"
Saravana_Stores,Muguncjb,5.0 of 5 bubbles,May 2019,for all home needs,"Visited this Saravana Stores branch once few months back. Saravana stores has several branches from the same family group but under different ownership. This particular store is located on a narrow Purasawalkam High road but buses run through the road and stop in front of the stores on one direction. Saravana stores is different from malls. Here one can buy each and every items for home needs at affordable or even cheap prices. In a mall as the shops are run by different owners or branded companies, one may not get all home needs or may not get at affordable price. This is where Saravana stores differs and pulls the crowd. All their stores are multistoryed up to 7-9 levels with each level offering different products."
Saravana_Stores,ST_INDIA,4.0 of 5 bubbles,Sep 2019 • Friends,Big store,This is a very big store where you get all sorts of things of daily needs and that too also at a very nominal price. The store bus very famous in Chennai and parking also not a problem here.
Saravana_Stores,sathish,4.0 of 5 bubbles,Jun 2019 • Family,Saravana stores - affordable price shop all daily needs,"Saravana stores is one of the best and affordable price shop in Chennai for all type of needs. We can buy all types of products such as household, kitchen, etc. here at very cheaper rate. There are many branches around Chennai. Some of the familier braches are at tnagar, PADI, chrompet, etc. "
Saravana_Stores,kugen_kugendran,5.0 of 5 bubbles,Jul 2019 • Family,One stop shopping experience,"July/August is one of the best sales season attracts the crowd. However, staff were so helpful to be with you throughout shopping to help. This department store offers almost anything that you need at fixed prices without having to bargain with street traders. Go when the shops open to avoid excessive crowds."
Saravana_Stores,Ruwan E,5.0 of 5 bubbles,Jul 2019 • Solo,Best place for shopping ,This is one of the best places in the city of chennai to shop for all yout family members. Clothes/ baby items/  house hold items/ stationnaries/ food and movies are available at tbis place. Sarees are cheap and you cqn have a wide range of choices starting from 150 Inr.  Atleast you have to spend 2hr here to get the best out of this. Iwill take about 45 minites to the airport during peak times.
Saravana_Stores,Ahamed,5.0 of 5 bubbles,May 2019 • Solo,Budget friendly,I went there to purchase AC and a mattress. I found them very cheap there and highly satisfied with the quality of the product. They even offered free home delivery as well.
Saravana_Stores,Jivi_Jebaraj,4.0 of 5 bubbles,Nov 2018 • Solo,Price is not that cheap as before,Those the prices were very competitive but now due to overheads and other expansion prices are not that cheap. But it is easy to get most of the stuff under one roof. Buy vegetables in the morning to avoid rush. The canteen is very cheap. 
