Tourist Attraction,Name,Rating,Date and criteria,Title,Review
National_Gandhi_Museum,Michaela B,3.0 of 5 bubbles,Aug 2022 • Couples,"Free and informative, but missing something in terms of customer appreciation ","Free entry and plenty of staff around to guide you around the exhibits. We found the acoustics within the building (and mask wearing guide), difficult to hear and understand clearly. An inspirational and amazing man.... interesting exhibits with interactivity BUT for us, being able to travel around at our own pace with a QR code for an audio guide would have given us more satisfaction and the museum a higher score."
National_Gandhi_Museum,SAROJ8585,5.0 of 5 bubbles,Jan 2020 • Family,A JOURNEY TO GANDHIS LIFE,"National Gandhi museum contains huge picture gallaries depicting Gandhis life,work and ideals in photographs ,artworks,paintings and his relics.It also contains a well maintain specialized library having nearly 40000 books,magazines,his correspondence,books on world peace and religions"
National_Gandhi_Museum,Janet B,5.0 of 5 bubbles,Mar 2020,Very moving experience,Could have spent all day here. The museum is very informative as is the whole memorial site.  When you follow the final footsteps Mahatma Gandhi took hed on his last journey it is very moving. The atmospher is very respectful and really toucned me.
National_Gandhi_Museum,MamaT23,5.0 of 5 bubbles,Mar 2020 • Solo,A walk through his life,A very informative Walkthrough Museum of his entire world. Step by step of his life in  chronological order. Bit shocking seeing his blood stained shawl which he wore  while he was assassinated.
National_Gandhi_Museum,eandeMelbourne,5.0 of 5 bubbles,Jan 2020,Gandhi Museum,Very comprehensive museum on the life of Gandhi.  Lots of photos and written information. Gives a real feel for the person.
National_Gandhi_Museum,Hadassa,5.0 of 5 bubbles,Dec 2019,"So INSTRUCTIVE, Interesting and calm","From our plural visits to museums in India and beyond, our interest was concerning the kind of public undertaking that museums cultivate, has grown, further Indian museums have splended series but fail to actively bind with their communer. The dweller Council of learning Museum in India & a knob of other museums have merged this approach, lately, however, we have yearned for museums across the country to follow suit, wsorth it!"
National_Gandhi_Museum,Tarique S,5.0 of 5 bubbles,Jan 2020,GLIMPSES OF THE LIFE OF A GREAT SOUL,"Gandhi, a man who is revered all over the world for his philosophy of 'Ahimsa' or 'Non Violence'. Man, who taught the world that no matter how tough the battle is, it can still be won by love. He took up no arms, still defeated his opponents. Lived simplest life with some of the greatest philosophical thinking. Man, who eradicated untouchability from our society and left an indelible mark in the history of mankind. Such was Mahatma Gandhi and this humble Museum has tried its best to bring forth some of the glimpses of his life.The Museum is built on two floors, the ground and the first floor. As you enter the main building, you find a larger than life size bust of Mahatma Gandhi to your left and an exhibition hall to your right, where presently the photographs of Gandhi’s Life in South Africa has been put on show.There is Library on the ground floor which has around 40,000 books in English and other Indian languages, like Urdu, Hindi, Tamil, and Guajarati etc. The collection of this Library have been divided into two sections, viz. ‘Gandhiana (including freedom movement) and ‘General’. The ‘Gandhiana’ section includes books, journals and documents by Gandhiji, on Gandhiji, his philosophy, ideology and those on the history of the Indian Freedom Movement from 1857 to 1947. The ‘General’ section includes books, journals and documents on subjects other than those covered under the ‘Gandhiana’. No membership fee is required for consulting books. The access to library is free for all.As you climb the stairs to reach the first floor you will come across an abstract by Nobel Laureate, great writer and a poet, Rabindranath Tagore, which he wrote on Gandhiji. On the first floor lies the ‘Charkha Museum’. Charkha or ‘Spinning wheel’, became a symbol of freedom movement and also played a pivotal role in ‘Swaraj’ movement. It represented a desire to achieve self-dependency, self-responsibility, self-respect and self-realisation.‘Commemorative Gallery’ on the first floor exhibits many of the belongings of Gandhiji and in ‘Martyrdom Museum’, the blood stained cloth of Gandhiji has been displayed. It was the same cloths that Gandhiji was wearing when he was assassinated by Nathuram Godse.There are few things in the museum which are indeed amazing and adds extra charm to it. Like the recreated heartbeats of Gandhiji which can be seen in the form of ECG and can also be heard on headphone. One can listen to the original voice of Gandhiji on a handset of telephone. The “Walking Stick” of Gandhiji is also on display. It is the same “walking Stick” which Gandhiji used during the great “Dandi March” in 1930. Two teeth of Gandhiji extracted by Dr Barretto at Nagpur has also been kept on display at this museum.This museum doesn’t just displays objects but also teaches the much needed philosophy for the present time. I would definitely recommend this museum to people of age groups.Important Infos:1. Free Parking is available inside the main campus of the Museum.2. The Museum and the Library are open from Tuesday to Sunday between 10 am to 5:30 pm.3. There is a small souvenir shop in the main building where you can purchase show pieces and books as well.4. A Tea/Coffee stall is also available near the Parking bay.5. Photography is allowed inside the main building.6. Public Convenience is also available inside the main building."
National_Gandhi_Museum,macedonboy,5.0 of 5 bubbles,Dec 2019,Museum dedicated to the great Gandhi,"The National Gandhi Museum and Library as the name suggests is both a museum and a library, the former dedicated to the great father of the nation of India, the latter mostly a library, but with an emphasis on Gandhi.The museum chronicles the life and times of Gandhi through exhibits, photographs and paintings. If you want to know about the achievements of the great many, this museum is one of the best places to do that."
National_Gandhi_Museum,Sunil,4.0 of 5 bubbles,Jun 2019 • Family,Gandhi museum ,The great place to witness the Gandhi history. The place is well maintained by Delhi authorities and quite informative 
National_Gandhi_Museum,Ellemay 🍹🐠🐳,4.0 of 5 bubbles,Dec 2019,Interesting.,"The National Gandhi Museum showcases the life of Mahatma Gandhi. It has a large collection of original books, journals, photographs, materials & papers connected to Gandhi. It's a fascinating journey into the life of a very special person before the assassination in January 1948."
National_Gandhi_Museum,Mavis57,5.0 of 5 bubbles,Nov 2019,A moving tribute to Gandhi's life,"Well worth a visit - there is a lot to read and take in inside the house, so give yourself plenty of time. The calm greenery of the gardens helps to alleviate the solemnity of the story."
National_Gandhi_Museum,Arne Birkeland,4.0 of 5 bubbles,Oct 2019,Informative and interesting,A good place to visit to become more informed about Gandhi. Especially the doll expo of different parts of his life were interesting and informative for kids
National_Gandhi_Museum,Orchid Z,4.0 of 5 bubbles,Oct 2019,Ghandi Smirti - where Mahatma Gandhi was assassinated,"This is the house where Mahatma Gandhi lived just before he was assassinated in the garden just behind the house.  Ghandi lived, taught and peacefully fought for India's independence from the British.  He is known by many as the ""Father of India""."
National_Gandhi_Museum,Kris M,5.0 of 5 bubbles,Sep 2019 • Couples,My new hero,"This is a must in Delhi to understand what an amazing man Gandhi was and what he did for India and South Africa.the power of peaceful and non participation to achieve many thi gs for the poor. You also understand his philosophy of life, which is deeply rooted in Indian culture. Spend time here."
National_Gandhi_Museum,JustC28,4.0 of 5 bubbles,Jun 2019 • Couples,Informative and sobering,"Awesome place to visit. Very well presented and hugely informative. Set aside a good amount of time as there is plenty to read about and take in. Great place to prove that peaceful protest can be effective and intolerance and violence doesn't have to be precursor to change. Free to visit, you don't need a guide."
National_Gandhi_Museum,Wendy w,3.0 of 5 bubbles,May 2019 • Friends,A national Museum,This house is quite small for large bus loads of people to go through. Situated in a quiet neighbourhood I actually feel sorry for the people living around here to have so many bus loads of people invading their street. Mahatma Gandhi is very well respected by Indians hence this museum showing different photos & memorabilia of his life. Because of the amount of people climbing up 3 levels of this house combined with extreme heat I didn’t really enjoy this museum.
National_Gandhi_Museum,Gala2812,4.0 of 5 bubbles,Mar 2019 • Friends,The good learning experience,"Nice museum in the quite governmental quarters. The area is well-maintained and neat. The museum tells about Mahatma Ghandi, his life and beliefs. There's an intercative part on the second floor that would be a fun place to go, especially for kids. It shows Ghandi's ideas in a simple but impressive manner as well as gives introduction to the cultural background. On the first floor there's a hall to watch a movie about his life. The house is pretty big but Ghandi was said to occupy just one room and you can see his everyday life was very simple. The garden around includes some nice landscapes and the spot where he was shot during the public meditation by one of his former friends. And yes, he's got to say the words of forgiveness to the shooter. I would say its a great place to visit in Delhi to get closer to the modern history India and life of one of the most outstanding humanists of the world."
National_Gandhi_Museum,Bruce & Angela H,5.0 of 5 bubbles,Apr 2019 • Friends,In the Style of Gandhi Himself,This museum is free to go through and very simple in it's presentation which I liked. Lots of dedications by world leaders and a mountain of photos and chronological descriptions of his life and struggles. I learned a lot and am glad we took the time to visit. You don't need a guide for this.
