Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Dera_Amer_Wilderness_Camp-Amer,andrewcW6133OZ,5.0 of 5 bubbles,Nov 2022 • Couples,A thoroughly memorable experience: very highly recommended!,An outstanding and natural experience with elephants. Anirudh was a lovely host at this beautiful elephant sanctuary. He took us on a walk with Laxmi (a 49yr old female elephant) and we fed her bananas and sugar cane.
Dera_Amer_Wilderness_Camp-Amer,Jerry Y,5.0 of 5 bubbles,May 2022 • Family,Beautiful creatures ,Great experience up close and personal with the elephants. Very friendly service and very friendly animals! A little of a rough road getting there but we'll worth it! 
Dera_Amer_Wilderness_Camp-Amer,Anita M,4.0 of 5 bubbles,Feb 2020,Good value and good use of time in Japipur!,"My family visited Dera Amer in March 2019 to have an elephant experience in India. The site is in what seems like a very dry, somewhat remote location. I think it would be hard to find without a driver. When we arrived the elephants were friendly, relaxed and seemed well cared for. The staff led by Bharat Singh were all friendly  and the post-walk lunch was one of the best during our two weeks in India!  Our girls got to watch wild peacocks hovering around the outdoor tandoori oven. We learned about how difficult it is for elephants to bear the weight of passengers (Amer Fort) and how the family at Dera Amer were trying to help the elephants. We did not spend the night or have dinner, but we did get to paint one of the elephant's trunks which was a lot of fun! The paint was washed off afterwards. Our teenage girls enjoyed this nice afternoon. Good value and good use of time in Japipur!"
Dera_Amer_Wilderness_Camp-Amer,DOUG and NIKI,5.0 of 5 bubbles,Mar 2020,A night worth of being on The Bachelor,"You are welcomed by 3 of the most beautiful and kind elephants!  They are amazing.  During our stay we fed them, bathed them, and had breakfast with them.  We've stayed in Glamping tents all around the world and these are top notch!  We can't direct you to our video review on YouTube but, we are DOUGandNIKI and I think you can figure out how to find us.  It's worth seeing...the whole thing is amazing!"
Dera_Amer_Wilderness_Camp-Amer,DougOnTheRoad67,5.0 of 5 bubbles,Jan 2020,An oasis of safety and kindness,"There were 7 of us on a six week journey through India and this was a highlight for us.  Talking with the family and staff who take care of the three elephants currently living there, we realized that all of them are heartfelt stewards of the land, the elephants and all the natural surroundings.  Off the beaten track, this is an oasis not to be missed!"
Dera_Amer_Wilderness_Camp-Amer,Kristine English,5.0 of 5 bubbles,Feb 2020,Owners are simply wonderfully kind,I'll never forget walking onto the compound just to be greeted by an elephant. And then spending the afternoon walking trails with her. The owner and his nephew truly know how special it all is.
Dera_Amer_Wilderness_Camp-Amer,Gill P,5.0 of 5 bubbles,Mar 2020,"Amazing elephants, wonderful lunch!","We visited this remarkable place during a Golden Triangle Tour in early March. We were greeted at the gates by the owners nephew and a most beautiful elephant. We fed her bananas, which she loved and were offered a refreshing drink before taking a walk with them through the scrubland, We took the shorter walk offered as it was quite hot. During our walk we learned about Dera Amer and the animals that live there.After our walk we gave her some alfalfa which she obviously loves, then we were taken to a shaded dining area for a most delicious lunch, where home grown veggies were used in the dishes. There were just the two of us there and we felt thoroughly pampered by the staff and enjoyed the wonderful spread that had been laid on for us. We were able to spend more time with the beautiful elephants in their shady area before we left and it was an experience I will never forget. All the animals look well fed and very contented and this place is a credit to the owners."
Dera_Amer_Wilderness_Camp-Amer,feelaird,5.0 of 5 bubbles,Feb 2020 • Friends,Clamping Indian style ,Loved glamping overnight in the beautiful tents and spending quality time with the rescue elephants as they strolled around. There is no riding elephants which is terrific as it causes these peaceful giants great issues with their backs. The drinks at sunset were wonderful followed by dinner and a camp fire to sit around. Lovely after some hectic weeks in India. Only stay 1 night as there is not a lot to do apart from read and relax.....
Dera_Amer_Wilderness_Camp-Amer,mimnev,5.0 of 5 bubbles,Feb 2020 • Couples,"A magical, unmissable experience","I’ve been in two minds about writing this - my first ever review on TripAdvisor.  I would like to jealously guard this amazing place to ensure we can get in on our inevitable return to Rajasthan but sometimes a place is so special you have to share it and this is such a place.  We stayed for two nights at Dera Amer and whilst you can visit for a day (it’s a short distance outside of Jaipur) I really recommend that you stay at least one night in their beautifully appointed and luxurious tented camps. The levels of service and attention to detail are unparalleled.  We were greeted by Ripudaman who looked after us for the duration of our stay and made sure our every wish was catered for. He took us on a tour of the local area and gave us a real understanding of life and the history of the rural hamlet.  We were assigned our own personal elephant - the beautiful Rangmala - for the duration of our stay.  She joined us every morning for breakfast and we took her for walks, bathed and  fed her.  We felt very bonded to her by the end of our stay and were so sad to say goodbye.  All the elephants are very well looked after and obviously happy, having been rescued from a life of hard work as tourist attractions in Jaipur - they are the lucky ones! We were the only people staying in our camp with four amazing staff looking after us -  this is something they try to ensure for all guests so the experience is very personalised.  The food was delicious - honestly the best we’ve had in India to date.  Locally grown on the owners farm, organic, beautifully prepared and lots to choose from.  The whole enterprise is very ecological - no plastic to be found anywhere.  Our stay at Dera Amer has been the highlight of our trip.  We are already planning a return visit with our children.  If you like elephants and you have the chance to go and stay - grab it!  You can thank me later."
Dera_Amer_Wilderness_Camp-Amer,HuntleyNewYork,4.0 of 5 bubbles,Jan 2020 • Solo,Another world just a short distance from Jaipur,"I don’t understand some of the reviews here. The elephants are clearly well cared for, friendly, gentle, and always eager for a snack. And there are no elephant rides, a compassionate responsible decision. The only one who rides is the elephant care giver as you take a walk through the property, so the elephant can gently be guided to walk with you. It’s an arid place, with native plants I’d never seen before, many peacocks that do a fantastic job of hiding in the scrub, and even a few camels, dogs & cows. If you’re an animal lover it’s impossible not to enjoy the encounters you’ll find here. "
Dera_Amer_Wilderness_Camp-Amer,Matthew D.,5.0 of 5 bubbles,Jan 2020,Food for your Animal-Loving Soul!!,"We felt utterly transported to another place the moment we arrived to Dera Amer and immediately fed the elephants we encountered with 4 bananas.Then off on a leisurely stroll with Bharat through the winding pathways of the surrounding grounds along with a conversation about how his family and the staff care for the elephants, their age and different histories, and an overview of the other animals they're taking care of - like stray dogs and camels.After spending two days in Jaipur seeing these animals in the streets and/or for rides in varied degrees of suffering, it made myself and my wife quite happy to see them cared for in such a holistic way.When the walk ended, we sat in a type of veranda overlooking the entire property and drank incredibly good coffee, tea, and some cookies on the house.  Exceeded our expectations and my gosh we could've stayed there forever.  Worth the cost and we'll definitely come back the next time we're in Jaipur!"
Dera_Amer_Wilderness_Camp-Amer,Mildred2011,5.0 of 5 bubbles,Jan 2020 • Couples,Excellent work in a peaceful setting ,Went for lunch and a visit to this wonderful elephant sanctuary - a very short drive from Jaipur but a world away from the bustleOn arrival the welcome is warm and relaxed coffee on the terrace overlooking the nature reserve while the owner explains how he has taken part of a former farm back to nature. The elephants are all rescued from prior commercial / domestic useA short walk with an elephant leads to lunch in a secluded part of the reserve. Some of the best vegetarian dishes we have had supplied from their own organic gardenAbsolutely a must if you are in Jaipur 
Dera_Amer_Wilderness_Camp-Amer,udaijit s,5.0 of 5 bubbles,Jan 2020 • Family,Don’t waste your precious time in Dera Amer,"Thank you very much for your review,so heartening! We are really glad you understood our concept and appreciated it.Guides and drives dislike us because we take their shopping time away and am going to take this opportunity to fully rely the last reviewer from the shock of which we have just recovered.The food may not be to a guests liking though we always ask if the guests want any thing special prepared,the wilderness may not excite a guest because it is an arid region but we have managed to heavy foliage back,the organic farm or the hamlet may not be intresting for guests though we do use all our resources keep it going but to call our elephants SAD we will never understand-they are happiest and most pampered of all the animals we have adopted at our farm!Guests see elephants all over the city and presume that our elephants also go to the city for work obviously seconded by the ruthless guides-Our elephants namely Laxmi,Rangmala and Anarkali have the most peaceful existence at our camp and the photographs are posted on our website for any guest to recognise them,even in the Summers when we closed most of the months these family members remain with us-ours is not a profit making organisation nor is it a NGO but just a concept to sustain our pets,the wilderness,organic farming and the local school as well as provide employment to the local tribals!

      "
Dera_Amer_Wilderness_Camp-Amer,fleur_bis,5.0 of 5 bubbles,Jan 2020 • Friends,Lovely green place in Jaipur,"Thank you very much for your review,so heartening! We are really glad you understood our concept and appreciated it.Guides and drives dislike us because we take their shopping time away and am going to take this opportunity to fully rely the last reviewer from the shock of which we have just recovered.The food may not be to a guests liking though we always ask if the guests want any thing special prepared,the wilderness may not excite a guest because it is an arid region but we have managed to heavy foliage back,the organic farm or the hamlet may not be intresting for guests though we do use all our resources keep it going but to call our elephants SAD we will never understand-they are happiest and most pampered of all the animals we have adopted at our farm!Guests see elephants all over the city and presume that our elephants also go to the city for work obviously seconded by the ruthless guides-Our elephants namely Laxmi,Rangmala and Anarkali have the most peaceful existence at our camp and the photographs are posted on our website for any guest to recognise them,even in the Summers when we closed most of the months these family members remain with us-ours is not a profit making organisation nor is it a NGO but just a concept to sustain our pets,the wilderness,organic farming and the local school as well as provide employment to the local tribals!

      "
Dera_Amer_Wilderness_Camp-Amer,udaijit s,5.0 of 5 bubbles,Jan 2020 • Friends,"No riding, no painting, just hangin’ with a big ol’ elephant ","This place is a joyless tourist trap.  Unless you have small children who really want to feed a banana to a sad looking elephant, don’t waste your time or money here. The walk with the glib, arrogant guide is tedious, you’ll learn nothing from your stroll past the adjacent hamlet, and the meal is lousy. We felt stuck and couldn't wait to get out of there."
Dera_Amer_Wilderness_Camp-Amer,Camillide,5.0 of 5 bubbles,Nov 2019 • Couples,"Get to meet the elephants, even as a day tour",We are very sorry you did not have a good experience at our camp though as per other reviewers you can understand that almost all have really appreciated the experience. 
Dera_Amer_Wilderness_Camp-Amer,wslagsvol,5.0 of 5 bubbles,Oct 2019,An unmissable experience ,We are very sorry you did not have a good experience at our camp though as per other reviewers you can understand that almost all have really appreciated the experience. 
Dera_Amer_Wilderness_Camp-Amer,Elena traveller,5.0 of 5 bubbles,Oct 2019 • Couples,Best stay in Jaipur!,"They took me in the gamping with a jeep, as soon as I entered I met Grandmala, one of the three elephants and after feeding with her we went for a walk in the forest. I also met one of the six dromedaries: Jimmi, very nice! Then they offered me an excellent aperitif in front of the fire followed by a buffet dinner, excellent service and impeccable quality of the food. Surely one of the most beautiful experiences of my trip in India!"
Dera_Amer_Wilderness_Camp-Amer,919annabelh,5.0 of 5 bubbles,Oct 2019,An amazing experience ,"We absolutely loved our experience with this camp.  We arrived in the afternoon and were introduced to our elephant and her two sisters, fed them some bananas, and went for a nice walk with her and her mahout.  These are captive born elephants rescued to the camp and their mahouts are like a parent to them.  There is no riding or painting, just a nice walk with a big ol’ elephant.  After, we had a great dinner by the fire and watched the sunset while listening to the elephants settle in for the night.  We did not stay the evening but their glamping set up looks great.  The staff is great, very accommodating, friendly, and knowledgeable.  "
Dera_Amer_Wilderness_Camp-Amer,H W,5.0 of 5 bubbles,,A Peaceful Haven for these Gentle Giants,"Found out about ""Dera Amer"" on a web search.  Contacted them for a daily visit, did not stay at the tented camp.  In case they don't reply immediately, remember to insist.                     We were picked up from our hotel in Jaipur on time, taken to Dera Amer.  Greeted by the staff and had our first interaction with our elephant, Rangmala!  We fed Rangmala some fruits and gave her a quick bath.  Mahout was the only one riding her and we had a walk within the estate, accompanied by Anirudh.  Who was answering all our questions, while given us the grand tour.It was an amazing experience altogether!  Elephants were well taken care of.  No drawing, no riding.  Interaction was welcome by all means.  The premises were well preserved, the service was beautiful (from elephants, to personnel and location and lunch).  Felt so connected with the elephant and nature.  A tranquil get away from the city.We also had a look at the tents, and it worths spending the night (please note the rate is high).Bharat, such a gentleman, said goodbye on our exit.  Driver transferred us back to our hotel.  Totally recommended!"
Dera_Amer_Wilderness_Camp-Amer,JohnandAl,,,,We went to this wonderful elephant sanctuary yesterday and had an amazing time. The 3 rescued elephants are so well looked after it was fantastic to spend time with them and then walk with one and her keeper.The lunch afterwards was delicious and there was lots of wildlife to sit and observe while eating.This is so worth a visit and not far out of Jaipur.
Dera_Amer_Wilderness_Camp-Amer,beadfreak,,,,"We booked two nights here and we were glad we did as I feel we would have missed out on the total relaxation if we spent only one night. If you are not nature lovers or outdoor people one night however would be sufficient. From the moment we arrived we were looked after and waited on hand and foot. The tents are beautifully appointed with piping hot water. Each camp area comes with what I can only describe as your private 'tent butler'! There are only two camp areas with four tents in each however if one tent is booked they will not let out the rest so you have total privacy. Although a bit on the pricey side this place is worth it. All drinks and food and snacks are included in the price including alcohol. Beautiful chilled wine was served at our camp area when we arrived. Dinner starts with sundowner drinks, then a fire pit and then onto dinner either at your private camp area or another location. The buffet dinner was excellent with the best naan fresh and hot from the tandoor sandlots of choice. They also offered 'western food' if we wanted it but we declined.The animals were great entertainment for the kids who could go and visit the elephants any time they wished. Elephant came the first breakfast time and had a good bath (be careful of the side spray when she shoots it out of her trunk!). Camel cart ride is short but entertaining and we enjoyed the jeep tour of the area. It is cold at night so come prepared with a jumper/shawl/jacket. The hot water bottles placed in our bed when we got back from dinner were very welcome!!"
,,,,,"Dera Amer Safari is a 1 hour drive from Jaipur city. Our driver took us down some dirt roads to then arrive at Dera Amer. We were greeted by the nephew of the owner (forgot his name) who was very welcoming.  We then met one of the 3 elephants 🐘 they have on their reserve and we were allowed to feed her. We then went on a 20 minute walk with her and it was awesome! After the walk, we were seated by a camp fire and enjoyed a drink then a full buffet dinner. There was another couple with us and we had a great night with them. This 180 acre property is sustainable, by making their own vegetables and they have the animals best interests at heart. Apart from the 3 elephants they had 6 camels, some friendly dogs and at night some leopards! We thoroughly enjoyed our time here."
,,,,,"I went here with a textile group from the UK, it is worth the beautiful experience to see how they are happy and well looked after. The lunch was delicious. The only complaint I have is the Kingfisher beer was a total ripoff at INR600 per bottle."
