Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chhatrapati_Shivaji_Terminus,Curiosity789848,5.0 of 5 bubbles,Jan 2023,Much more than I expected,"This place is historical, on Indian railways, when it was built lots of information who when and how the place got built. The terminus is still functioning they have government offices. Architecture is european Indian and Moghul. If you like history you will enjoy the visit. I did hire a guide which is available when you purchase your entrance ticket"
Chhatrapati_Shivaji_Terminus,Andrew D,5.0 of 5 bubbles,Dec 2022 • Solo,India's Little Europe,"If you have time to visit only one place in Mumbai, make sure it is this one. The viewing platform just outside the train station offers 360-degree ground-level view of the surrounding gothic architectures. For a moment, I thought I was in Europe!"
Chhatrapati_Shivaji_Terminus,Apolonia70,4.0 of 5 bubbles,Oct 2022,Imposing architecture.,You cant help but notice this building thanks to its imposing architecture and location. I think I drove past it at least twice a day during my stay so I had plenty of photo opportunities. Mumbai has a lot of interesting buildings and architectural styles - hope these survive as developers change the city. 
Chhatrapati_Shivaji_Terminus,Vispi B,4.0 of 5 bubbles,Oct 2022,a world heritage structure,"always busy, with people rushing to either a train, or coming out  to attend their daily work. chances are one can meet long lost friends here"
Chhatrapati_Shivaji_Terminus,shakmed,5.0 of 5 bubbles,Oct 2022,A mix of History and Latest Construction.,"While platform No. 1 side has British era Historical look, platform 18 side is all new with partly drive in type of platform, escalators and lifts. If go by road, I always prefer to choose Platform 18 side entrance."
Chhatrapati_Shivaji_Terminus,mausumee,3.0 of 5 bubbles,Dec 2021,Railway Station in Mumbai.,Huge station where trains from all parts of India converge to leave. Taxi stand is just outside the station. Buses are also available from about 200 meters from outside the station. The famous Crawford market is also not far off.
Chhatrapati_Shivaji_Terminus,ankur kandoi,4.0 of 5 bubbles,Sep 2022,cst station,beautifully designed.. it looks even better during the night..you can visit this place if you are staying nearby...
Chhatrapati_Shivaji_Terminus,Esmeralda,1.0 of 5 bubbles,Sep 2022 • Couples,Grand building in disrepair,"Inside here, wifi strength is very poor. Filth everywhere in this old grand terminus. A sad sight to see."
Chhatrapati_Shivaji_Terminus,amaru2018,4.0 of 5 bubbles,Jan 2022,Beautiful structure,"It is a beautiful structure to see, especially at night when there are many lights and colours on the building. Had an amazing vada pav opposite it."
Chhatrapati_Shivaji_Terminus,Noha S,4.0 of 5 bubbles,Jul 2021,Best experience specially in this Pandemic Travel to Chhatrapati Shivaj Terminus,"Chhatrapati Shivaji Terminus, I know this place when it used called as Victory Terminus (VT) But now it sounds good and now it called CST."
Chhatrapati_Shivaji_Terminus,sohail shaikh,3.0 of 5 bubbles,Aug 2021,my personal experience in CST station.,CST station is one of the oldest railway platform in India established in British rule. During the early period it was name as Victoria station later it was changed. I have a good experience in this platform because I have to travel daily . most important thing here is food I would recommend all of you that avoid buying foods or snacks from railway services except water which you can buy.
