Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Tomb_of_St_Francis_Xavier-Old,Baskar,4.0 of 5 bubbles,Aug 2022,Nice Basilica,We had taken the help of a guide. He explained how St. Francis Xavier's body is kept. Saw Baby Jesus and St. Ignatius. 
Tomb_of_St_Francis_Xavier-Old,David,4.0 of 5 bubbles,Jul 2022 • Couples,Beautiful church,"Beautiful church with nice staff. Photos are not allowed on the inside sadly. If you go past it, definitely worth a visit. The staff is knowledgeable of the churches history "
Tomb_of_St_Francis_Xavier-Old,Biju Nilgiris,4.0 of 5 bubbles,Feb 2020,Good one,Good architecture and it's an old churh from portughese era. It's easily accessible from Main road. Good to visit as part of south goa trip.
Tomb_of_St_Francis_Xavier-Old,Travelingmonkie,3.0 of 5 bubbles,Feb 2020 • Friends,Bom Jesus cathedral,"Apart from the interesting history, the cathedral is about the only tourist stop worth visiting in Old Goa. We paid 5 rupees to have a look at surrealistic art and some photography. I wish there were captions to the paintings as well as some explanation. It was crowded with many school children going there on a picnic. Entrance to the cathedral is free. "
Tomb_of_St_Francis_Xavier-Old,Gregg P,3.0 of 5 bubbles,Jan 2020,Disappointing,We travelled for over an hour to see this and quite frankly thought it a complete waste of money. Beware the guides who rip you off for a 10 minute fly by.
Tomb_of_St_Francis_Xavier-Old,Prem Kumar,5.0 of 5 bubbles,Feb 2019,Bom Jesus Church Nachinola,The church chapel is pretty big and it can accommodate more than 500 people for the mass. The interiors are really well architecture by the Portuguese who built this church.
Tomb_of_St_Francis_Xavier-Old,Udayan Banerjee,5.0 of 5 bubbles,Oct 2019,A Must see place in Goa!,I can safely say that our trip to Goa would have been incomplete without a visit to the Basilica of Bom Jesus and the tomb of St. Francis - it was wonderful to experience the peace and upliftment that we experienced during our visit as well as learning about the history of Goa!
Tomb_of_St_Francis_Xavier-Old,Vikram Malhotra,5.0 of 5 bubbles,Sep 2019,A must visit in Goa..,"No trip to Goa is complete without visiting the ""Basilica of the Bom Jesus"" or ""St. Xavier's Church"". The Church looks beautiful from the outside always, and has managed to stay peaceful and quiet in the Church. Doing a guide helps with some historical facts. Its a 10 mins tour inside, Guide is useful, though not mandatory. The tomb of St Xavier can be seen in the church. It is brought down every 10 years, with the next one being in 2024."
Tomb_of_St_Francis_Xavier-Old,Vikul Gupta,5.0 of 5 bubbles,Sep 2019 • Family,Must visit place in old goa,It's really very nice and very great historic place. We hire a guide and he told us too much about the history of this tomb. Must visit place if you are in Goa. 
Tomb_of_St_Francis_Xavier-Old,Jitecious,5.0 of 5 bubbles,Sep 2019 • Solo,Architecture & Stories Filled,"A beautiful Church with lot of things to know from ancient times, Tomb of St Xavier something unusual for all the visitors to this church, architecture of the church is very beautiful and monument as well. Must visit for peace and knowledge."
Tomb_of_St_Francis_Xavier-Old,Jacqueline d,5.0 of 5 bubbles,May 2019,Timings to visit,Best time to visit is between 3 pm to 5 pm as in the morning it's cowded with tourist. Restaurants around the area are not up to the mark and very expnsive.
Tomb_of_St_Francis_Xavier-Old,Eksteen,5.0 of 5 bubbles,Sep 2019,A Spiritual Experience,Great to see the place where this famous man served in real life. You get to know all the important information on notice boards inside and outside. Decorations inside are beautiful and well maintained. It is also unusual to see the body of this saint from a distance! A must see!
Tomb_of_St_Francis_Xavier-Old,meenakshimuthusamy,5.0 of 5 bubbles,Jul 2019,Very beautiful place,The place is very good and have a nice look over all.Nice to have a visit and nice to know what the place is.
Tomb_of_St_Francis_Xavier-Old,Jyoti goel,5.0 of 5 bubbles,Jul 2019 • Family,A must visit,We visited the church on our trip .The church has a beautiful history and it gives you peace . I would recommend everyone to pay a tribute in the church if you are in goa
Tomb_of_St_Francis_Xavier-Old,Dobanjare,4.0 of 5 bubbles,Jun 2019,Good place to see,This place is huge and you will see a lot of people here. Taking pictures over here is allowed but they ask you not to take selfie and pictures of others visitors. You can see this place in Old goa along with many other churches.
Tomb_of_St_Francis_Xavier-Old,700morgan,5.0 of 5 bubbles,Apr 2019 • Couples,Must see,Calm peace tranquility reverence zen. Whatever your inner restful reflective state you won’t be disappointed.
Tomb_of_St_Francis_Xavier-Old,Rashid Isa Rishi AlHeddi,5.0 of 5 bubbles,Mar 2019 • Friends,Church in Old Goa,"In this holy place tests the mortsl remains of St. Francis Xavier revered by people worldwide.It’s a lovely old building and its important to know that you must buy candles well outside the premises as the shop in the building does not sell candles only Catholic books, crosses , pictures etc.Very peaceful place and yet used for Church services regularly and Newly weds regularly visit to seek Blessings.Lots of old artifacts also displayed in adjoining rooms.A must see place for visitors to Goa of all faiths."
Tomb_of_St_Francis_Xavier-Old,jim m,5.0 of 5 bubbles,Mar 2019 • Couples,worth a long stop,"This is a very unusual place and much bigger than you think.  We did not have enough time.  It is free but there are rules - you can take photos but there are lots of signs saying no selfies - no photos of people.  It is a place of history and religious importance. It has relics and the body of St Francis Xavier but it has much more.  It is being restored and so is different than some of the TripAdvisor photographs. Inside is a strange mix of art and sculpture that range from the very bloody crucifixion, relics, intricate stone work and nativity scenes that look like they are from a garden centre.  Worth going to the toilet - or rather following the signs to them as they lead to a shady courtyard with seating that gives a nice break.  Many sellers on the streets outside trying to sell postcards etc but the second you go through the gate they leave you alone."
Tomb_of_St_Francis_Xavier-Old,joannacharris,3.0 of 5 bubbles,Mar 2019 • Couples,worth a quick stop,we couldnt see much as a service was taking ace so we couldnt go inbut what we saw was nice and the architecture outside was interesting 
Tomb_of_St_Francis_Xavier-Old,manoj k,5.0 of 5 bubbles,Feb 2019 • Couples,The body of Francis Xavier are kept here,The body of Francis Xavier are kept here. people come here to see the body and pray for their  well and future wishes. 
Tomb_of_St_Francis_Xavier-Old,CoolTravelFreak,5.0 of 5 bubbles,Aug 2018 • Couples,Historical Value,"This is a place where the remains of St. Francis Xavier are kept in a coffin ,, worth a visit for every tourist .. be sure to be there "
Tomb_of_St_Francis_Xavier-Old,Ged P,4.0 of 5 bubbles,Feb 2019 • Couples,A little piece of history,Ex student of the Sorbonne in Paris and founder of the Jesuit church. Whilst you can't really see the mummified body in its crystal coffin above head height it is certainly worth visiting when you take a tour of the Bom Jesus edifice.It was interesting to see a large number of pilgrims taking comfort by touching the photographs of his mummified body in the antechamber on the left.
Tomb_of_St_Francis_Xavier-Old,Mercy’s Local Food Adventure,5.0 of 5 bubbles,Feb 2019 • Family,Holy Pius Groundsm Blessed to be Visiting and Praying at this Sacred Grounds,"To me, this was a Holy Pius Grounds.Am Blessed to be Visiting and Praying at this Sacred Grounds. The incorrupt body of St Francis Xavier was a visit worth the trip...So serene,, so sacred and hol. Would recommend this to every visitor to Goa, a MUST SEE church, especially when we were flying in from another country.... ..... God bles"
Tomb_of_St_Francis_Xavier-Old,Suvarghya,4.0 of 5 bubbles,Jan 2019 • Family,Historical place,"This is a historical place with an ancient mummy kept inside the church, a popular place for tourists. "
Tomb_of_St_Francis_Xavier-Old,Tarushi Thakur,5.0 of 5 bubbles,Feb 2018 • Family,Quiet and serene place,Everyone visiting Goa must take a break from the beaches and come to this place. I still remember the calmness and purity of this church.
Tomb_of_St_Francis_Xavier-Old,KevanEastYorkshire,4.0 of 5 bubbles,Dec 2018 • Couples,Worth seeing,Its an old portugese basilica with the tomb inside. Its not really 'indian' but from  an historical perspective has significance. Lots of local Christain Indians visit and make the atmosphere. Enjoyed a walk around. No entry fee.
Tomb_of_St_Francis_Xavier-Old,anewmoon,4.0 of 5 bubbles,Nov 2018 • Solo,Peace and Beautiful Church!!!,"Peaceful and Beautiful Church on my trip to Goa, the remains of St. Francis Xavier is preserved in a tomb and people have access to it, there is a museum and entry fee is Rs.10. Must watch"
Tomb_of_St_Francis_Xavier-Old,Amit P,5.0 of 5 bubbles,Dec 2017 • Family,Goa Trip,Nice to See Amazing Experience.  Very Quite & Clean Place. Very big area. Must visit when you visit to Goa.
Tomb_of_St_Francis_Xavier-Old,Jaimala W,4.0 of 5 bubbles,Nov 2018,Visit if you like historic sites,"This church is located in Old Goa.It has two parts, the old church and then there's the new one on the other side of the road. This church has St. Francis Xavier's body."
Tomb_of_St_Francis_Xavier-Old,Weedsatdenstone,3.0 of 5 bubbles,Oct 2018 • Couples,Quaint...,"A need to be seen item in old Goa. An old faded church with faded items… it will not dazzle you, but it will give an insight into the Portuguese enclave of Goa"
Tomb_of_St_Francis_Xavier-Old,Indian Ghummakad,4.0 of 5 bubbles,Oct 2018 • Friends,"Historic Site ""Tomb of St Xavier""",Church is Historic and Made in 1605. Coffin of St Xavier is kept inside in Casket. 400 Yrs ago St Xavier Passed away but his Coffin kept safe and as per information every 10 Years time they open this box of Coffin. There will be big event during these time.  It is worth visiting place if you are in Goa don't miss the chance to be there. Thanks & Regards Anil Thakur 
Tomb_of_St_Francis_Xavier-Old,GenuineFeedback74,4.0 of 5 bubbles,Oct 2018 • Family,Must visit heritage site ,"This church is located in Old Goa. While it might seem like just another church , what sets this church apart from other churches is that St. Francis Xavier's body lies here in a casket after St. Francis passed away his body was not cremated but kept in the casket. Each year his body is shrinking. The saying goes that the world will end the day his body shrinks completely You must visit this church if you are in Goa "
