Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Muthoni K,5.0 of 5 bubbles,Jan 2023 • Solo,Breathtaking.State of the art history preservation...,"This has to be one of the most fulfilling museum I have ever gone to.I loved it the art , the currency, the fabric ,the woman appreciation section, the religious bit , the sculptures I can go on and on .One needs like a 5 hours there .I learnt alot and I appreciate Indian culture and the work done to preserve the history. This should be a must visit if in mumbai ."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Angela C,5.0 of 5 bubbles,Nov 2022,Gorgeous Museum,"Wonderful museum filled with gorgeous art and learned so much about the history of India. Really enjoyed the coin collection, but also enjoyed the architecture of the museum as well. Just a heads up - the building does not have air con in case you were looking for a respite from the Mumbai heat."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Bati P,4.0 of 5 bubbles,Jan 2023,Super museum,"I would give it one more star, but it allowed school groups. A field trip is only as good as a student learns from it. They were the worst bunch of kids and I had to ask to throw them out of the room as they were loud and obnoxious. The paintings and the display were absolutely amazing!"
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,mallikajamy,5.0 of 5 bubbles,Jan 2023 • Family,A memorable day at the museum ,"Art has the power to transform to  illuminate, to educate, to inspire and motivate.A family day out at the Museum, my last visit was when I was in school and the same with my husband. Taking our kids to the museum made us feel like kids again, except we both were running in different directions with two kids. We started with the Children museum to build that excitement to ignite their interest in other sections later. Very well described as to which animal/bird is getting extinct, already extinct etc. I learned a lot in this part of the museum. Next was the main lobby and then upstairs. The paintings, old Mumbai pictures. Skipped a few with kids not interested. The textile section was worth the visit. It's a spiral step that takes you to the higher floor. Very well displayed and described. Then the coins and jewellery and a new addition the Indian independence struggle keeping in mind the Woman of India. My elder son enjoyed the Mummy section while i entertained the younger one in the museum shop. Very well managed with security taking care of art and kids getting lost. Infant rooms are available and very clean.The washroom was clean but it depends on the walk in for the day, it was stinking a bit.Overall it was a wonderful day and a memorable one."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Tushita,5.0 of 5 bubbles,Oct 2022,Take some time to explore history,"Formerly known as the Prince of Wales Museum, it is one of the largest museums in India and is dedicated to showcasing the history of India, its art and culture. Its collection includes sculptures, paintings, manuscripts, and other artifacts from ancient India to the present day."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,rlcran,5.0 of 5 bubbles,Dec 2022,"Nice introduction to India, beautiful surroundings","We loved this museum!  The grounds and building are beautiful, same Indo-Sacracenic architectural design by George Wittet, it's celebrating it's centenary.  It has an overview of history of India and cultural customs, art, textiles and natural history.  A nice introduction to India that isn't overwhelming.  We spent four hours and saw everything."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Kaushik_wanderlust,5.0 of 5 bubbles,Dec 2022 • Family,Positive surprise!!,"Extremely well maintained and tourist friendly. Good exhibits with educational information and signages. Enjoyed the sculptures, natural history, coins sections. "
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Tom G,5.0 of 5 bubbles,Sep 2022,"Mumbai Heritage District Walking Tour, Impressive Museum","Our expert guide from Greaves Travel led us on a walking Tour through the Art Precinct of Mumbai’s British Heritage District. We visited Churchgate and Zero Point, site of St. Thomas Cathedral Church, at one corner of an ancient fort and where historically distances along all major roads were measured from. The Kala Ghoda (Black Horse) subdistrict is a crescent shaped sub-precinct that has developed into a prominent cultural center in Mumbai. The heritage structures are in Victorian Neo-Gothic, Indo Saracenic, Renaissance Revival and Edwardian Neo Classical styles.We enjoyed the Chhatrapati Shivaji Maharaj Vastu Sangrahalaya, formerly the Prince of Wales Museum. Considered one of the most significant museums in India, it is spread over three acres and includes more than 50,000 ancient artworks, sculptures and artifacts in its galleries. The museum is divided into three sections: art, archaeology and natural history. Browse through sculptures, bronzes, excavated artefacts from the Harappan sites, Indian miniature paintings, European paintings, porcelain and ivories from China and Japan. We enjoyed a small but impressive collection of the Progressive Artists Group, which flourished around Indian independence after World War II."
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,SmitaB,4.0 of 5 bubbles,Jul 2022,Nice small museum,"Visiting the Chhatrapati Shivaji Maharaj Museum in Mumbai was a fun two-hour experience. It's not a big museum, not comparable to the MET (NY) or the V&A (London), not even the Indian Museum in Kolkata, all of which have way more Indian artefacts than this one does. But it was still an interesting experience and a good place to take children. And to hang out on a Sunday afternoon, which is what I did. The museum is open from 10 AM to 6 PM daily. Tickets cost INR 100 for Indian citizens, and an additional INR 100 If you want to take pictures even if it's through a phone camera. The museum has a main gallery and an extension gallery, the latter holding the more interesting exhibits, in my view. It can get hot and sweaty in the afternoon because most of the museums did not have AC. The best part about the museum is not so much the space itself but rather the events and exhibitions it frequently holds. So, be sure to subscribe to its Instagram and Twitter pages if you want to be culturally invigorated from time to time :)"
Chhatrapati_Shivaji_Maharaj_Vastu_Sangrahalaya,Yukti_Suri,4.0 of 5 bubbles,Jul 2022 • Solo,Everyone should visit,Beautiful building. Some nice collections. A large part of the building is undergoing renovations. So the visit to the museum should become even nicer post the work is finished. Worth the visit
