Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Shaheed_Smarak,pilgrim_gsa,3.0 of 5 bubbles,Feb 2020,Obelisk for those Indians Killed in 1857,On the banks of Gomti is located this Obelisk for Indians killed in uprising of 1857 .A white Obelisk set amidst a garden near the Residency .No entrance ticket .Good photo back drop.
Shaheed_Smarak,Tanvi,4.0 of 5 bubbles,Dec 2019 • Family,Located near gomati river,It is built to pay tribute to martyes who losed their life for freedom of our country . It was well maintained and good .
Shaheed_Smarak,Yogesh P,3.0 of 5 bubbles,Dec 2019,Very near to Gimti river,This place was located very near to Gomti river.  Place was built to remember brave soldiers. Well developed and well maintained.
Shaheed_Smarak,niya27,4.0 of 5 bubbles,May 2019 • Solo,On the bank of Gomti river,It is a minar which is erected in remembrance to martyrs died during Indian independence. The view of Gomti river is awesome from here. The park surrounding this attraction is also nice. 
Shaheed_Smarak,kushBans,3.0 of 5 bubbles,Jan 2019 • Friends,PAtriotic !!,this place is not very crowded or dense. Can give a visit anytime. Not so good neither so bad. Give it a try !
Shaheed_Smarak,Amit M,3.0 of 5 bubbles,Apr 2018 • Solo,War Memorial,The Shaheed Smarak was built to pay tribute to martyrs of first war of Independence. Made up of white marbal. Mainly visited by locals for a evening stroll and international tourists for history. Devoted 15 mins there.
Shaheed_Smarak,Rohit T,4.0 of 5 bubbles,Jul 2018 • Family,Icon of Lucknow,"Located on the banks of River Gomti, this is a landmark tourist destination, facing Residency. The white tower pays true homage to the martyrs"
Shaheed_Smarak,Aarav K,4.0 of 5 bubbles,Nov 2017 • Family,Shaheed,"Shaheed smarak is a memorial place, located in bank of gomti nagar lucknow. Here is a pillar made of white marbal. Really this is very beautiful. Must visit."
Shaheed_Smarak,Rajani B,3.0 of 5 bubbles,Oct 2017 • Friends,Memorial for the martyrs of First War of Independence,This memorial was erected to pay tribute to the martyrs of India's first war of Independence.  The memorial is made in marble and has beautiful architecture.  It's surrounded by garden on three sides and there is river Gomti flowing on the fourth side. Place is rich in scenic beauty and is rejuvenating.
Shaheed_Smarak,YatriForever,4.0 of 5 bubbles,Apr 2017 • Friends,Nice Stupa in memory of Matyrs,"This is a tall, well built stupa Memorial to salute those who laid thier lives for the freedom of the nation. Since we were staying in Riverbank Colony, it was easy to walk up here. The upkeep of the park is not at its best and the Gomti was dirty, some sort of dredging was going on. If you happen to be in this area of Lucknow or visiting the Planetarium, its worth a quick visit here. This is not exactly a tourist attraction. "
Shaheed_Smarak,Hemant K,3.0 of 5 bubbles,Jul 2017 • Couples,Quiet serene place on bank of river Gomti,"It is a small clean park on the banks of river Gomti with a pillar honouring the martyrs. Therefore the name is Shaheed Smark, A good place to just sit, relax and admire the Gomti river. Boating is also available. It is easily accessible and is in the middle of the city."
Shaheed_Smarak,msadiqsalman,4.0 of 5 bubbles,Apr 2017 • Family,A Place best for Solitude lovers,"Its a well maintained park, easily accessible and visited by couples and families.It has an option for boating in the Gomti river !! A nice experience and there is almost no waiting period. "
Shaheed_Smarak,sid_ups,4.0 of 5 bubbles,Apr 2017 • Friends,Tribte for Great Indian Soldiers,This is situated on the bank of Gomti River and is a white marble pillar stands in the middle of the Garden.
Shaheed_Smarak,P N M,4.0 of 5 bubbles,Dec 2016 • Family,Nice,"It has good picnic spot . Shaheed Smarak is situated at the bank of Gomati river ,so that Boating facilities are there with your family. You can enjoy there with full of fun"
Shaheed_Smarak,AsisBandyopadhyay,5.0 of 5 bubbles,Oct 2016 • Family,A quiet place to pay homage to the martyrs,"Located on the bank of Gomti, it is a tall tower with clean cemented space where one can take a stroll and pay respect to the martyrs. The stairs from the road are quite a few so reaching close to the tower involves little physical effort."
Shaheed_Smarak,Alok N,4.0 of 5 bubbles,Feb 2017 • Couples,WHITE MARBLE-IMPRESSIVE,It is one of the modern day creations but impressive and the views are nice with the Gomti river flowing below it. Not many people visit it as it is not part of the Guided tour. 
Shaheed_Smarak,Dharmendra S,5.0 of 5 bubbles,Jul 2016 • Solo,Must see,"This shaheed smarak located at Ring road Sitapur bypass at the Gomti river bank in memory of freedom fighters involved in Kakori kand. Must see,. Nice place"
Shaheed_Smarak,Manish B,4.0 of 5 bubbles,Jun 2016 • Family,Dedicated to martyrs,The place is dedicated to brave indian solders who gave away their life for the country. Beautiful white marble memorial in middle of the park. Good place to visit and spend some time in relax.
Shaheed_Smarak,Arpitgupta25,4.0 of 5 bubbles,Mar 2016 • Friends,Memorial only visit,It is near gomti river and only war memorial and in evening there are some crowds otherwise it is empty...
Shaheed_Smarak,Atif M,3.0 of 5 bubbles,May 2016 • Family,its war memorial,"near gomti river, war memorial. not much to be seen, still crowded by locals. around nice place to sit and relax"
Shaheed_Smarak,nidhi2099,2.0 of 5 bubbles,Apr 2016 • Family,Terrible!,"Absolutely nothing to offer as of now! I guess they are planning to develop the area as a green belt but all I could see right now was debris and dirt. May be in an year or so, it will improve. For now, please don't waste your time in visiting this place."
Shaheed_Smarak,sumantra_travel,4.0 of 5 bubbles,Sep 2015,"Shaheed Smarak, Lucknow, 19 Sep'15","19 September, 2015.As we neared the British Residency on our two-day tour ofLucknow, our auto-rickshaw driver pointed us to the Shaheed Smarak, a monument erected in honour of the martyrs of the FirstWar of Indian Independence of 1857. The memorial is located on the banks of the riverGomti, and is constructed in a small park on the banks of the river.We had gone there in the hot afternoon, where the cool shade of the trees complemented a cool breeze across a clean stretch of the Gomti river, which flows past the place.There is a tall white monument in the main part of the park, andanother monument to the right (as one faces the tall mainmonument), in honour of the great freedom fighter, Shaheed BhagatSingh, with a bust of the freedom fighter displayed on it."
Shaheed_Smarak,manoj k,3.0 of 5 bubbles,Jul 2015 • Couples,leisure time visit,one can go to the place to enjoy the place to have some relaxing time. Paddle boat ride can be  enjoyed over here.
Shaheed_Smarak,chetan1586,3.0 of 5 bubbles,Nov 2015 • Family,Symbol of Tribute to martyrs,Shaheed Smarak is built on the banks of river gomti & is a symbol of tribute to the martyrs who laid their lives.This place is a little mismanaged & the surroundings are not properly kept
Shaheed_Smarak,Pallavi S,3.0 of 5 bubbles,Nov 2015 • Family,Valndalized and dirty,"You would expect more care to be taken of the martyr's memorial. There is no lighting, the place is unkempt, dirty and littered with garbage. Wish someone would take cognizance and do something to make it clean and presentable again. "
Shaheed_Smarak,HBHB59,5.0 of 5 bubbles,Oct 2015 • Business,A great monuments for those who laid lives for the country,A white monument created in early 1960s on the banks of river Gomti. The place gives a great view of the city across the river including the bridges. Quite nice place to visit around sunset. With four elephants in white on the ground of the base the whole place is very elegant.
Shaheed_Smarak,SKBhatiya,3.0 of 5 bubbles,Oct 2015 • Friends,Just another building,"Used to give me the shivers when it was made 20 yeas ago, now its just another landmark. Its activity for a couple of hours"
Shaheed_Smarak,sangeetasrivastava,3.0 of 5 bubbles,Oct 2014,Place for Evening stroll,"Built on the banks of river Gomti, it is a tribute to the heroes of India’s First War of Independence. Lush green gardens, boating in the river and natural greenery are its major attractions."
Shaheed_Smarak,ApurbaRoy,4.0 of 5 bubbles,Aug 2015 • Family,place,A historic place in city of Nawabs- Lucknow near the bank of river Gomti. A good place to see specially for those who has inclination to know about Indian History- specially during British period
Shaheed_Smarak,Ruchi_Ahuja87,5.0 of 5 bubbles,Oct 2014 • Solo,Nice place to relax!,"This is a memorial built in the memory of unknown soldiers who laid their lives during the freedom struggle. It is only a structure and does not require much time to see per say. However area around has been well created. There are big steps where one can sit back and relax. Also this place is right by the banks of the Gomti river, hence the views are nice and this also makes the weather pleasant always. You can also go further down for boating on the Gomti river"
