Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Gurudwara_Sis_Ganj_Sahib,priZon,5.0 of 5 bubbles,Feb 2022 • Friends,Serene,Built 1783Situated amid hustle bustle of chandni chowk &  old delhi. Pious n serene. Must visit if nearby. First visited 1995Next feb 2013
Gurudwara_Sis_Ganj_Sahib,A Choudhury,5.0 of 5 bubbles,Jan 2021 • Solo,Divine and Peaceful,"This is a must visit place if you are in Chandni Chowk area. Located very near to the Red Fort, the place is well maintained and beautiful. Once inside, you will feel inner peace and calmness."
Gurudwara_Sis_Ganj_Sahib,SAROJ8585,4.0 of 5 bubbles,Jan 2020 • Family,THE HOLY GURUDWARA,Gurudwara sisganj sahib is one of the nine historical gurudwaras in Delhi.It is situated in Chandni chowk in old Delhi.It was built at the spot where Guru Tegbahadur was beheaded by mughal emperor Aurangzeb.This gurudwara is built in sikh architecture.
Gurudwara_Sis_Ganj_Sahib,PhilthetravellerXI,4.0 of 5 bubbles,Feb 2020,Beautiful Sikh Temple,"This lovely temple is in the midst of Old Delhi and a historic site, the martyrdom of the ninth Sikh Guru (dating back to 1675). It gives one some exposure to the Sikh religion and for me as a westerner was a great experience. A very nice old building (built in 1783), you enter in bare feet and wash your feet prior entry, the music, the reverence of the interior, the colours and the music and chants are quite amazing. It is indeed a special place. It is worth reading about the Temple before your visit (we sadly had not done that but have since done so and relived the visit reviewing the many photos taken). We now know a lot more about the history and philosophy behind the Sikh religion and way of life. It is also important to visit the kitchens and see where the huge amounts of fresh food are prepared – vegetables and breads, to feed the poor. A very worthwhile visit and a unique insight into a major part of Indian culture."
Gurudwara_Sis_Ganj_Sahib,Reetika Khanijou,5.0 of 5 bubbles,Mar 2020 • Family,A spiritual venue amidst the chaos of Chandni Chowk,"Before coming here, it is best to learn of the history behind it. Because after you do, and when you arrive..everything seems surreal. Sacrifices made calls upon faith."
Gurudwara_Sis_Ganj_Sahib,good-living-montreal,5.0 of 5 bubbles,Feb 2020,A practicing Sikh temple - immerse yourself with spiritual experience!,"Right in the bustling and busy Chandni Chowk market, this temple is an active Sikh worship place. Take off your shoes, deposit them in the storage room in the basement and go up to the 1st floor where you are greeted by chanting and music and prayers."
Gurudwara_Sis_Ganj_Sahib,Love to Travel,4.0 of 5 bubbles,Feb 2020,Sikh temple,"It's nice that anyone can enter as long as you cover your head. Sit crossed legged on the floor making sure not to display the soles of you feet toward the front and enjoy the chanting.Afterwards visit the kitchens where people of the community, and you if you wish, prepare food for whoever wants to come and enjoy it. The the food is donated as is the time of the people preparing it."
Gurudwara_Sis_Ganj_Sahib,RakeshPratapSingh,5.0 of 5 bubbles,Dec 2019,Salute,"A serene Gurudwara...an oasis of peace in the midst of maddening & chaotic Chandni Chowk area of Old Delhi. This place of worship is the site where the great Guru Tegh Bahadur, the Ninth Sikh Guru was martyred,,,,Wahe Guru"
Gurudwara_Sis_Ganj_Sahib,Vijay Hazari,5.0 of 5 bubbles,Dec 2019,Beautiful gurudwara on the busy roads Chandni Chowk,"Gurdwara Sis Ganj Sahib is one of the nine historical Gurdwaras in Delhi. Situated in Chandni Chowk in Old Delhi. This is the place where the ninth Sikh Guru was beheaded on the orders of the Mughal emperor Aurangzeb for refusing to convert to Islam. Historical Monument built to commemorate the extreme sacrifice by Ninth Sikh Guru.Located in main market road which is very crowded and busy place, expectedly inside the Gurdwara is very peaceful. Inside of this holy Gurudwara a very beautiful sanctum. Divine place for inner peace, best to visit early morning. We had visited there 6 am in the morning. If you are in Chandni chowk, then this Gurdwara is a must visit place. If you are in this Gurdwara, then Langar is a must have at this place.If you are in this Gurdwara, then one must sit and listen to music of Gurbani which is very soothing.If you are in this Gurdwara, then its recommended few minutes of meditation for inner peace. Gurdwara is near to Chandni Chowk Metro station. "
Gurudwara_Sis_Ganj_Sahib,theartisans,5.0 of 5 bubbles,Dec 2019 • Friends,Amazing selflessness ,"Gurudwara supported by the local Sikh community. Feeds over 10k people per day (over 30k on weekends) , no matter class, social standing or religion. Open 24/7, 365The temple is well attended and in honour of the 9th Sikh Guru that was beheaded on this site.Amazing cultural experience. We hVe a lot to learn... "
Gurudwara_Sis_Ganj_Sahib,Harshit,4.0 of 5 bubbles,Nov 2019 • Friends,Devotional,This gurudwara is situated near chandni chowk. People can accomodate here at a very low price. Food served is delicious.
Gurudwara_Sis_Ganj_Sahib,Annie,4.0 of 5 bubbles,Oct 2019 • Family,Guru ke dwar ,A gurdwara in the middle of Chandni Chowk.Most spiritual place to visit when you are in need of peice.I have visited this place only once.
Gurudwara_Sis_Ganj_Sahib,792Carol_H,5.0 of 5 bubbles,May 2019,Wonderful,"We have never been into a Sikh temple and found it very interesting. We actually visited the temple as part of a food tour. We had to remove shoes, wear something on our heads, wash our hands, walk through water to wash our feet and sit down on the floor and listen to I guess what you could call either prayers or meditation. We walked around the temple through the kitchen and a dining hall, where the temple feeds roughly 20,000 people for lunch and dinner every day. Anyone can eat there rich, poor and even tourists if they wish. It was quite interesting listening to our guide explain about the Sikh religion.Gurdwara Sis Ganj Sahib is one of the nine historical Gurdwaras in Delhi. It was first constructed in 1783 by Baghel Singh Dhaliwal to commemorate the martyrdom site of the ninth Sikh Guru, Guru Tegh Bahadur. It marks the site where the ninth Sikh Guru was beheaded on the orders of the Mughal emperor Aurangzeb on 11 November 1675 for refusing to convert to Islam.Very intetesting and a must do."
Gurudwara_Sis_Ganj_Sahib,Sushen K,5.0 of 5 bubbles,Sep 2019,Spiritual place to visit,It is a best spiritual place to visit in Chandni Chownk . here you will get know about the Sikh religion 
Gurudwara_Sis_Ganj_Sahib,drarunkumar24,4.0 of 5 bubbles,Aug 2019,Tranquility,"Chandni Chowk is one of the busiest markets in Delhi, it is historical and has many worthwhile sights around. After experiencing all that there is on offer you want a few moments of quiet and reflection go to this beautiful 18th Century Gurudwara situated in the heart of Chandni Chowk to pause,reflect and regain your equanimity."
Gurudwara_Sis_Ganj_Sahib,Anurag Saurabh,4.0 of 5 bubbles,Apr 2019 • Family,My visit to this holy place,"I was a regular visitor and Chandani Chowk and this place is in the middle of that locality. In the midst of a very crowded and busy place, you will find something very peaceful. Inside of this holy Gurudwara a very beautiful sanctum. Food is getting offered to everybody all day. Love this place."
Gurudwara_Sis_Ganj_Sahib,Daniel Westfield,4.0 of 5 bubbles,May 2019 • Friends,Amazing Holy Visit !,"Visiting this temple was Truly a magical. We were in new Delhi and Decided to have a Walk at this Place. But Believe Me this Place is More than Awesome. This was probably one of the most impacting experiences we had in our whole trip in North India. As with all Gurudwaras, this Holy and Historical place of Worship Welcomes people of all Faiths, so much so, that at times you are not sure that it is even Sikh temple due to so many tourists from South India. It's a huge Sikh temple, famous for their volunteer activity to feed large number of people a day for free. Difficult to explain this experience, we were awed by it, the size of the ""kitchen"", with all volunteers preparing food, and all volunteers distributing food for a roomful of New Delhi folks. If you're so inclined, you can help with the Food Preparation. Amazing experience. I would love to visit Again."
Gurudwara_Sis_Ganj_Sahib,Sandeep S,5.0 of 5 bubbles,May 2019 • Family,Awesome,"Divine Place, we had visited there 4am in the morning, even that time there were lot of people. Its a historical Gurudwara."
Gurudwara_Sis_Ganj_Sahib,Edin Krnic,4.0 of 5 bubbles,Jun 2019 • Solo,Peaceful ,"This is really nice, scary and peaceful temple. Really recommend to all tourists to visit this beautiful templé "
Gurudwara_Sis_Ganj_Sahib,Amar singh rawat,5.0 of 5 bubbles,Jan 2019 • Friends,Must visit place,Must visit place. Situated in chandni chowk.Spend some time inside gurudwara.. U find the calmness within.. Peace... Take lunch sitting on the floor.. Served with dedicated self support staff.
Gurudwara_Sis_Ganj_Sahib,A R Kohli,5.0 of 5 bubbles,Apr 2019 • Friends,A beautiful and Historical Gurudwara,This is the Historical Monument built to commemorate the extreme sacrifice by Ninth Guru Satguru Tegh Bahadur.  You will experience peace and tranquility and enjoy Langar also.Governor Amolak Rattan Kohli 
Gurudwara_Sis_Ganj_Sahib,andria,5.0 of 5 bubbles,May 2019,peaceful ,"We visited Gurudwara Sis Ganj as part of our tour on a weekday morning. Although the temple was pretty packed, everyone was kind with us and even tried to explained us stuff. We also visited their kitchen and helped to make some rotis which was a great experience. Overall it is a great place to get educated about the Sikh religion but also experience their philanthropy."
Gurudwara_Sis_Ganj_Sahib,Reyan11,5.0 of 5 bubbles,Apr 2019 • Friends,Historical & Sacred Place,Constructed to commemorate 9th Sikh guru. Food provided free to needy ones. Peaceful place to visit.
Gurudwara_Sis_Ganj_Sahib,Jack S,5.0 of 5 bubbles,May 2019 • Friends,Great place to see in the capital ,"A nice place to visit, however we did not receive much information about the Gurdwara (thanks to our poor tour guide) so this made the visit less enjoyable. However with the suitable guiding, much more enjoyment from our visit could have been obtained. Nonetheless stunning to see!"
Gurudwara_Sis_Ganj_Sahib,Sightsee814346,5.0 of 5 bubbles,Apr 2019,Place where we can find peace of mind,"It is a great belief, that one can find peace of mind visiting this holy place. I have experienced the same. I visit here once a week as my routine. It has great story of sacrifice"
Gurudwara_Sis_Ganj_Sahib,SRIKAKOLAPU,5.0 of 5 bubbles,Mar 2019 • Friends,Cultural experience,Nice place to go here and they serve poor for free everyday with food.Clean and calm inside.Parking is available and shoe racks are present here as well
Gurudwara_Sis_Ganj_Sahib,Dalbir_S_Virdi,5.0 of 5 bubbles,Mar 2019 • Couples,Holy Place of Shri Guru Tegh Bahadur's Martyrdom,"Gurudwara Shri Sheesh Ganj Sahib is one of the oldest Historical Gurudwaras (Sikh Temple) in old Delhi's Chandni Chowk Area. 9th Guru of Sikhs, Shri Guru Tegh Bahadur Ji was beheaded here in the Chowk (Middle of the Market area) by Mughal Emperor Auranghzeb as the Guru refused to accept Islam. This sacrifise saved thousands of Kashmiri Pandits who were being forced to change their releigion from Hinduism to Islam. Its a multi Story Gurudwara with the main hall on the first floor. There is a Guest House (Sarai) and Langar Sewa available next to the Gurudwara Sahib."
Gurudwara_Sis_Ganj_Sahib,Jaspreet Singh,5.0 of 5 bubbles,Dec 2018 • Friends,waheguru,whenever i visit delhi i never forget to put my attendance over there.  its so peaceful and spiritual place with peace of mind.  a bit rushy road but its always peaceful
Gurudwara_Sis_Ganj_Sahib,nokidsvacation,5.0 of 5 bubbles,Feb 2019 • Family,Fantastic,I ate at the temple.  Also got to go to community kitchen and roll rotis with my kids. A tourist for foreigners explained in English a little about Sikhism.  Mesmorizing.  
Gurudwara_Sis_Ganj_Sahib,Hitesh,5.0 of 5 bubbles,Dec 2018 • Friends,Peace... Like all other Gurudwaras...,We came here after visiting Jama Masjid and totally loved the experience. Place has some kind of serenity inside which does gives you peace of mind. The prasada which you get in Gurudwara too is very tasty.
