Tourist Attraction,Name,Rating,Date and criteria,Title,Review
B_M_Birla_Auditorium,ShaktiRathore1982,4.0 of 5 bubbles,Apr 2019,To attend a seminar,It has a great auditorium where seminars and plays are held regularly. The experience in the auditorium is great when you hear a speaker speaks and audience claps.
B_M_Birla_Auditorium,arun sharma,5.0 of 5 bubbles,Jun 2019 • Family,Enjoyed cultural program ,Birla auditorium is a place in Jaipur where one can enjoy cultural events. Today we have enjoyed event organised by Busker 
B_M_Birla_Auditorium,rjpriyanka,3.0 of 5 bubbles,Feb 2019 • Couples,Audi,This auditorium is located at statue circle and part of birla instutute of research. A nice audi with good facilities.
B_M_Birla_Auditorium,Umang A,3.0 of 5 bubbles,Sep 2018 • Couples,Nice,"This is part of Birla institute of science research and located at statue circle. It has an nice park, Audi and planetarium."
B_M_Birla_Auditorium,Rajeev M,4.0 of 5 bubbles,Dec 2018,Okay to Visit,Had a program in the auditorium. The external area is good. The lawns are nice to walk on. Very clean and tidy. 
B_M_Birla_Auditorium,Pierre M,5.0 of 5 bubbles,Aug 2018 • Solo,Interesting for Family,"The auditorium is a must do for all pupils, or adult wishing to know more about our solar system .The movie takes place in a “space observatory” room . It explains the history of March . I also learned that India launched a rocket, that successfully landed on the red planet ."
B_M_Birla_Auditorium,AKParsurampuria,2.0 of 5 bubbles,Aug 2018 • Solo,Not that good,The video quality was poor. Even the 3D animations of solar system and rocket launches weren't upto the mark. The audio content was kiddish. Didn't like it at all.
B_M_Birla_Auditorium,SameekshakSACHIN,5.0 of 5 bubbles,Jun 2018 • Family,"Sameeksha By Sachin - Nice Planetarium, Beautiful Campus","I visited the Birla Planetarium with my family. It is the part of the Birla Institute of Scientic Research, situated at statue circle. Parking is available in the campus on chargeable basis. There is a cafeteria also in the campus. There are different show time for hindi  and english shows. show timings are displayed on their website also. Duration of the show is 45 minutes. Planetarium is closed on Monday. Show was really good and informative. It is a nice place to be there specially for children. Recommended to visit."
B_M_Birla_Auditorium,Sweta P,4.0 of 5 bubbles,Feb 2018 • Friends,Great one,"The Auditorium is really nice, curved one and everything is in arranged order to avoid mess up or traffic, nice one."
B_M_Birla_Auditorium,devs224,5.0 of 5 bubbles,Jan 2018 • Friends,Very nice story,Very nice story I have seen at BM birla auditorium.It's looks like a universe in a round shape hall.Like it
