Tourist Attraction,Name,Rating,Date and criteria,Title,Review
The_Carpet_Cellar,Manvijai Singh,5.0 of 5 bubbles,Jan 2023 • Couples,Amazing experience and collection of carpets and kilims,"Very happy with the experience. Beautiful collection of carpets, and the owner (Mudita Chandra) was extremely helpful and informative on the Kilim we bought."
The_Carpet_Cellar,Saro C,5.0 of 5 bubbles,Dec 2022 • Solo,The best,The most beautiful carpets and what fabulous service. I also got a lovely scarf. I can’t recommend more.
The_Carpet_Cellar,Helen,5.0 of 5 bubbles,Dec 2022 • Couples,Best place for carpets,I visited the Carpet Cellar on a trip to Delhi earlier this year.  It is amazing.  They have the most extensive collection of carpets I’ve ever seen and the quality is fantastic.  It is a family run business.  I received exceptional service from Dhruv and Mudita. I’ve been to Delhi a few times and seen a lot of carpets.  Nowhere has compared in quality or personal service. This is the place to go.
The_Carpet_Cellar,Raj in Californ... X,5.0 of 5 bubbles,Dec 2022,exellent.,high quality carpets for reasonable prices.good service.prompt.good inventory.good selection--
The_Carpet_Cellar,Manisha A,5.0 of 5 bubbles,Jul 2022 • Business,Best selection and service for carpets in Delhi,"We have bought high quality carpets in Mumbai and Delhi from different vendors on many occasions.  None of them can compare with the selection that Carpet Cellar has.  My husband and I visited multiple stores to find a variety of carpets for our home and found Carpet Cellar’s collection to be the most comprehensive. We had the pleasure of dealing with one of the owners, Mudita. She was incredibly professional, resourceful and responsive in all dealings. You don’t have to worry that you’ll be taken advantage of or that she’ll play games with you. We needed the carpets shipped to us in California and the shipment reached us in great condition and well within the promised timeframe. I would unhesitatingly recommend Carpet Cellars and Mudita. One quick tip - their store is located in a residential area, towards the back of a home right on the main road. It can be a little tricky to find - but so very well worth the tiny extra effort."
The_Carpet_Cellar,Storyteller293132,5.0 of 5 bubbles,Mar 2022 • Couples,High quality and beautifully designed carpets!,This is my second time purchasing carpets from here. The carpets are all very high quality and beautifully made. The designs are unique and beautiful. Highly recommend a visit!
The_Carpet_Cellar,Jai_Khanna,5.0 of 5 bubbles,Aug 2022 • Solo,Amazing,"One of most staggering and comprehensive collection of carpets I have ever seen. Be it contemporary, traditional or antiques - they have it all. The owner Dhruv Chandra has an amazing knowledge of carpets and I feel one full day isn’t enough to check the collection and final selection task is so difficult. It’s a must visit store for any carpet lover and don’t forget to have an awesome kawah while experiencing the magic"
The_Carpet_Cellar,Aruna K,5.0 of 5 bubbles,Oct 2022 • Friends,A magic carpet ride !! A whole new world ....,"The favorite part of my visit to carpet cellar was that despite being a very top quality ,high end carpet showroom , they cater to all price range , with equal interest and enthusiasm. They are well prepared to show you what you have asked for. They are not pushy to show you what you are not interested in . Carpet Cellar selection is the best worldwide . Every carpet tells a story!  And in interesting one !It's a must to visit if you are looking for a fine rug.Service  is outstanding , hospitality even better !I love the wide range  of carpets and other products like pashmina shawls  and rustic antique pieces .We wish them the best and a wonderful festive season 2022.Regards  Aruna"
The_Carpet_Cellar,deepika,5.0 of 5 bubbles,Sep 2022 • Business,The Carpet Cellar,"We have been buying carpets from the Carpet Cellar for the last decade. We recently moved to our new home and needed a large carpet and went to carpet cellar to look at their collection. Mudita, the owner, showed us a wide variety of carpets both traditional & contemporary. Their collection is unmatched. She helped us select a carpet keeping in mind our furniture and living room layout. We soon found a carpet which would go perfectly in our living room. The international shipping by carpet cellar was seamless and we received our carpet in less than 10 days. If you are in the market to buy a carpet, look no further, the Carpet Cellar is a one stop shop for both traditional or contemporary carpets."
The_Carpet_Cellar,Yuvi Tripathi,5.0 of 5 bubbles,Apr 2022,Aesthetics  Carpets,They enhance the aesthetics of the interiors and of every space where they are used. I loved your all collections.
The_Carpet_Cellar,Neha G.,5.0 of 5 bubbles,Aug 2022 • Couples,Wonderful experience and carpet!,"We visited several carpet stores before chancing upon the carpet cellar in Sultanpur. One of the owners was at the store and showed us a huge collection in our size preference! Other stores we had visited had very few option in 9x6 size that we wanted. Unfortunately, we couldn’t find what I wanted (a tribal style rug) at that location. So, they suggested we visit their other location at Anand Lok, where they had already curated a set for us to view. We, once again, met with one of the store owners. Their collection is just so beautiful! We had a hard time choosing because we ended up liking several a lot! We ultimately chose something we just love! I highly, highly recommend the carpet cellar if you’re looking for an area rug. They have an extensive collection and knowledgeable staff."
The_Carpet_Cellar,Karan Puri,5.0 of 5 bubbles,Aug 2022 • Couples,Just wonderful!,"Visiting the Carpet Cellar is an educational experience. The range of carpets is extensive and varied with something for every type of home and budget. The owners (the Chandra family) are very knowledgeable about their pieces, extremely helpful and generous with their time to help you make an informed choice. This is the place to go no matter what your needs. Just perfect. Thank you!"
The_Carpet_Cellar,R Bawa,5.0 of 5 bubbles,Aug 2022 • Family,Exceptional experience,"Outstanding selection of carpets, exceptional service (and kehwa) and very knowledgeable and personable engagement with the Chandra family!"
The_Carpet_Cellar,Fauzia Jaffri,5.0 of 5 bubbles,Dec 2019 • Solo,Recent Visit,I visited Carpet cellar on my last trip to India and had the pleasure of being helped my Mr. Hasan. It is a great place to find area rugs to fit all your need. They have a vast selection of one of a kind rugs. I found the staff there to be extremely helpful and knowledgeable about latest trends.
The_Carpet_Cellar,DG4,5.0 of 5 bubbles,Jun 2019 • Business,Best place in the world to buy a quality lifetime carpet,"Recently went to India where I decided to invest in some more quality carpets.  I love hard wood floors but there is nothing more beautiful then a hard wood floor with a stunning carpet.We bought carpets 9 years ago when we were in India for 4 months.  We bought a few from carpet cellar and some from other places.  As time as gone on we have grown to love the carpet cellar carpets more and more and regretted not having bought more.   This trip I decided - it’s time - and well prices are still remarkable for the quality.  These are carpets that truly last your life.  They were so patient with me .... spent hours looking and thinking about our home and our taste.  In the end,  after narrowing it ..... landed on many! My husband was thrilled when they arrived.  Nicely shipped and arrived very quickly.  They are stunning and surprise us how much more we love them then we even thought.Only regret- not getting them years earlier!"
The_Carpet_Cellar,Padytr,5.0 of 5 bubbles,Jul 2019 • Couples,Truly the mecca for carpets in Delhi,"The Carpet Cellar is truly an amazing place for carpets of all kinds, old & new, antique and modern pieces. Large, extra large & small. From carpets that can cost you an arm & a leg to more affordable pieces. Carpets, dhuries, kilims - you can find everything here. And, what is more, you can be sure you won’t be taken for a ‘ride’ here as you may be in many of the other ‘carpet showrooms’ in the city, especially those in the large hotels. Sheel Chandra, the patriarch of the ‘Chandra family’ had a passion for carpets and built an amazing g collection from all over the world and later decided to make his passion his business. He has passed on this passion to his sons, Pawan & Nishant, and you are likely to meet one of them in the showroom. Engage them in conversation, and you can spend hours looking at carpets and learning about them - and you will definitely leave with a few gems you discover!The Carpet Cellar has two showrooms in Delhi, one in Anand Lok which is the main showroom, and the other on the Mehrauli-Gurgaon Road, just next to the Sultanpu metro station and above the Ishatvam (a well known handicrafts showroom) store. I visited the latter, had been there earlier too, and this is a huge warehouse with thousands of carpets of all kinds and sizes.  But do not be fazed, just talk to the manager or Nishant, if he is there, tell him what you are looking for, and soon his staff will be pulling out dozens, and dozens for your viewing!! All the while, Nishant (or the manager) will be telling you all about the carpets, the origin, old or new, antique or modern - and I will be surprised if you do not end up buying - more than what you had planned, and walking away with a large satisfied smile!! Do visit. Here are pics of a few kilims I viewed. "
The_Carpet_Cellar,Smm,5.0 of 5 bubbles,Jun 2019,Met with such positive kindness,"People feel welcome at this treasure house, even if you are there just to look at beautiful carpets. Theres always a story, always a history, that this wonderful owner will tell you, about his carpets. Worth a visit to see , touch and feel these amazing works of art. Enjoyed my time there and got myself an amazing antique."
The_Carpet_Cellar,Nalis,5.0 of 5 bubbles,Jun 2019 • Solo,"A gem, even online","I have known the Carpet Cellar for years, and whenever I get a chance I love stopping by to see some of their wonderful carpets and learn about the history and making. This is a collection like no other, and it shows! But since I live far away, I also love following their social media accounts and get that glimpse of carpet beauty on my timeline!"
The_Carpet_Cellar,Deba,5.0 of 5 bubbles,Feb 2019 • Solo,Gorgeous carpets and brilliant service.,"Came across this fantastic shop quite by chance. They have an incredible selection of carpets and kilims, including antique and modern. It's a family run business and this reflects in the amazing service you get. I will certainly be returning on my next visit."
The_Carpet_Cellar,Paoshanti,5.0 of 5 bubbles,Dec 2018 • Solo,A treasure for carpets lovers ✨,"I visited the Carpet Cellar on a trip to Delhi & purchased 2 beautiful carpets.The place is like a secret atelier situated in South Delhi at Anand Lok block.Amazing customer service & explanations,professional staff & the lady owner (I don’t remember the name) is such a lovely person with a true passion for her job.It is a Family legacy as her uncle was a collector of carpets from all over the world!I bought a beautiful Tibetan Meditation Rug & a Sarpalasi Afghani carpet.The collection of carpets there is one of the best I ever seen in my entire life.Really a special place.I will be back ! Thank you Carpet Cellar💫"
The_Carpet_Cellar,Rakesh Singh,5.0 of 5 bubbles,Sep 2018,"Personalized service, very attentive management and superb collection",Easy to access and reach. Ample space to see carpets and compare. The management and staff are very attentive and keen to help the buyers with options. Collection is also very good and comparison are easy to do because of ample space.
The_Carpet_Cellar,John Y,5.0 of 5 bubbles,May 2018 • Solo,"Beautiful Carpets, People you can Trust","This one of the best carpets shops I now visit to buy all my quality rugs.  Despite living in Dubai where there is a wide selection available, I know I can trust these guys to provide great quality and super value.  They had a wide selection of carpets made from high-quality wools and silks.   Its not often you can find a carpet manufacturer who offers such super quality value with a high level of trust.  The last visit I purchased another two carpets and the team expertly wrapped them for me to carry home care of Emirates.  Thank you Pranav for carrying on in your Father's tradition and honouring his memory!"
The_Carpet_Cellar,mickylawro,5.0 of 5 bubbles,Apr 2018 • Business,Great Carpet collection and no pressure ,This low key carpet shop is not your typical Indian carpet store. They’re friendly staff allow you to look at the collection stress free without being pressured into buying. I purchased a beautiful piece inspired by a Persian print. Very happy with my purchase.
The_Carpet_Cellar,Paula S,5.0 of 5 bubbles,Mar 2018 • Solo,Aladdin’s cave,"I can’t remember how I heard of Carpet Cellar, but I have been a loyal client of theirs whenever I visit Delhi. The owner describes it so aptly as Aladdin’s Cave, when describing their outlet in Ananda Lok. There is a stunning selection of carpets and Kilims, old and new, where one can spend hours learning about the history of the carpet. My favorite section is the shawls and stoles. There’s a vast range of colour and print and I can never buy just one. I am always well greeted and served by their very professional team. A highly recommend visit when in Delhi. "
