Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kapaleeshwarar_Temple,jillg232,1.0 of 5 bubbles,Jan 2023 • Business,Watch out for rip unpleasant “guides”,"This was a last stop after a busy week on a business trip. So we popped in but straight away a “helpful” man advised us to put our shoes in a safe area to be paid for to keep them safe.  He then followed us and insisted on telling us things about the Temple.  He correctly named which hotel we were staying in ( I suspect he had seen our driver!) but I was by the end a bit concerned. He was acting as if he was a staff member but it was obvious he was not.  He then wanted money for blessings and our family names.  Realistically I could see that this money was really for him, which I didn’t mind.  So I gave him some cash.  He supposedly went into the temple to hand over the cash. I just can’t see that he did but I didn’t expect him to. But then he carried on and insisted on more money at the end. When I refused he became angry and abusive.  It was pretty unpleasant.  Sad to say it’s a beautiful place but just don’t engage with anyone."
Kapaleeshwarar_Temple,ravi s,5.0 of 5 bubbles,Jan-23,A working 8th century temple in the middle of modern Chennai,"A gem in the middle of the city. Look past the congestion and typical Indian craziness to notice the inscriptions that date back at least a thousand years, and read some of the historical plaques dating this place to the 8th century. This is a working temple, and has been for all these centuries!"
Kapaleeshwarar_Temple,Krishnan R,5.0 of 5 bubbles,Jan-23,A place you must visit before you leave Chennai,"Every trip we take to Chennai, we always visit this temple. Very beautiful from the inside and out. Architecture is very historical. Lots of space and shrines and even in the inside-most shrine for Lord Shiva, they even implemented an A/C, something many temples in Kerala are lacking. Plus, no strict rules like Kerala has on taking your shirt off in certain parts or putting anything in a cloak room. Only one little pet peeve is that there are stray cats & dogs around the place. Overall, a must visit if you come to Chennai. Don't leave Chennai without doing this."
Kapaleeshwarar_Temple,Andrew D,5.0 of 5 bubbles,Dec 2022 • Solo,Chennai's Icon,"A must visit temple you should never leave Chennai without. It is an icon and the tall, decorated gopuram is absolutely impressive!"
Kapaleeshwarar_Temple,Phaneendra K,5.0 of 5 bubbles,Dec 2022 • Friends,Must visit temple in Chennai Kapaleeshwarar,Very high energies and you can meditate in this temple. Inside the shrine you have to sit and experience the Peace and your wishes will come true.
Kapaleeshwarar_Temple,Marry Joy,5.0 of 5 bubbles,Oct 2022 • Family,Large rooms,The room itself so nice and high ambiance strongly suggested for cuples and family so amazing breakfast
Kapaleeshwarar_Temple,Rajesh Padmanabhan,5.0 of 5 bubbles,Sep 2022 • Couples,Divine Energy,"Divine feeling filled with emotions, fulfilment and thankfulness. Relatedness and feeling of purity comes when in front of the gods and an energy booster. 🙏🏽🙏🏽"
Kapaleeshwarar_Temple,Cyrus,4.0 of 5 bubbles,Jul-22,A must visit place who worships Lord Siva,"Good place to visit. A must visit place for an orthodox person (more specifically who worships Lord Siva ).Temple is in center of the city (	Mylapore Chennai ) and having car parking with reasonable cost."
Kapaleeshwarar_Temple,Alexander Litvinov,1.0 of 5 bubbles,Jun 2022 • Friends,Discriminatory rules,This temple is terrible and should be avoided.  Temple rules are discriminatory on religious grounds.  Only Hindus are allowed in the temple.  A shame!
Kapaleeshwarar_Temple,Shankar B,5.0 of 5 bubbles,Sep 2021 • Family,Excellent place for worship with family clubbed with shopping around. Plenty of eatables available around the temple.,Excellent temple in Chennai with all deities and facilities are great.you cannot see such type of temples with surrounding areas with shops and establishments. Not to be missed.
Kapaleeshwarar_Temple,niluanu,4.0 of 5 bubbles,Feb-22,Worth Visiting,"Kapaleeshwarar Temple is one the most famous Hindu temples in Chennai. Located in Mylapore, this is an ancient temple dedicated to Lord Shiva., The temple has several shrines and open from 5am till 12 noon and again from 4pm till 9pm. It is worth visiting both for the religious significance as well as the architectural beauty. Parking space for cars is limited  and entry to the temple is free"
Kapaleeshwarar_Temple,Ajith sarma,5.0 of 5 bubbles,Dec 2021 • Family,For calmness of mind,"A big Saiva temple.At the centre of the city, with main deities if ammal looking west and kaapaleeswar looking north.There are other deities, of Vinayagar , singaravelan and Subramanian.Very vast space to have calmness for mind"
Kapaleeshwarar_Temple,Sanath Kumar,5.0 of 5 bubbles,Dec 2020 • Solo,Good place. Great temple ,"Superb place to visit, with all the basic hygiene in place .. must visit All the spiritual feelings that once can get are found in this temple "
Kapaleeshwarar_Temple,Mr. Kumar,5.0 of 5 bubbles,Mar 2021 • Solo,Historical temple ,Great place to visit and evening time it's always very crowded but it feels very good to visit regularly there. Must visit place 😊😊
Kapaleeshwarar_Temple,Shivayogi,5.0 of 5 bubbles,Feb-21,Family visit,"We have visited Kapaleeshwar Temple at Mylapore, Chennai twice in the month of Feb 2021, after a gap of almost 20 years. We visited morning around 7-30 AM, which is very appropriate. This is an ancient temple and Icon of Chennai, we had very good Darshan of Swamy and Amman. Very nice, and satisfied visit after a long gap. Unlike other temples, priests behave very decent and doesn't expect anything from devotees.The area outside the temple i.e around is very crowded with lot of shops hence the cleanliness to be increased.ShivayogiBangalore"
Kapaleeshwarar_Temple,JohnBenso786,5.0 of 5 bubbles,Dec-20,Traditional temple,"Must visit the temple in Chennai, an icon for Chennai. visit it if you get a chance ""om Namah Shivaya"""
Kapaleeshwarar_Temple,Preeti C,5.0 of 5 bubbles,Dec-20,Architecture and sculptures are worth visiting,"This is an ancient temple and I visited in the evening around 5 pm , temple closes from 1-4pm so plan your visit accordingly. The pooja ceremony is worth watching as is the beautiful architecture. This place is very popular for photography and shootings though clicking the idols is not allowed.I also like that there were no touts here.No head covering is needed ."
Kapaleeshwarar_Temple,PradhanG,5.0 of 5 bubbles,Nov 2020 • Family,Good visit,Very nice and clean area around the temple. Good social distancing maintained inside the temple. Very safe.
Kapaleeshwarar_Temple,sudhakarn,5.0 of 5 bubbles,Sep-20,oldest temple,after lockdown i wisit this temple i was happy and all the relive in this situvation  ..thank u onces
Kapaleeshwarar_Temple,Mohan S,5.0 of 5 bubbles,Dec-19,Traditional place,This is one of the famous temples in Chennai. Holiest Hindu temple .everytime while we visiting it gives so divine and peaceful.
Kapaleeshwarar_Temple,anu_v,5.0 of 5 bubbles,Sep-19,Holy temple,This is one of the most holiest hindu temples in the world. My relative recommended this temple for us to pray and win blessings. The priest offered us advice and told us to visit it when we are free. 
Kapaleeshwarar_Temple,saurabh a,5.0 of 5 bubbles,Feb 2020 • Solo,peace all around,"First time I visited in 2003 then frequently in 2019 and 2020 , this temple does not need review, it's like you feel going there again and again. Go there to feel it"
Kapaleeshwarar_Temple,eamesescape,5.0 of 5 bubbles,Dec-19,Kapaleeswarar Temple one of the most beautiful temples in Chennai.,"A Morning at Kapaleeswarar Temple Mylapore, ChennaiKapaleeshwarar temple, Mylapore is undoubtedly one of the most beautiful temples in Chennai.Dedicated to lord Shiva, this temple has magnificent gopurams and a tank in the west. Shakti worshipped Shiva in the form of a peacock (mayil in Tamil) hence the name Mylapore. The temple was built around 7th century. October to January: This time is considered as the best months to visit Kapaleeshwarar temple. The weather is pleasant and comfortable to explore Chennai."
Kapaleeshwarar_Temple,Ananth 727499,5.0 of 5 bubbles,Jan 2020 • Solo,One of the padal petra sthalam in chennai,"This temple is in the heart of the Mylapore area.. it has a wide temple tank .There are flower shops in the entrance of the temple main entrance. Free shoe stand is also provided for the devotees.When you enter you could have Darshan of Lord vinayaga. Main deity Kalaleeswarar is seen facing west and hence this temple is considered to be "" Sarva dosha Nivarana sthalam""..Ambal sannithi is very vibrational and you could find a chillness when you are inside the sannithi ..Do visit this temple.."
Kapaleeshwarar_Temple,Sud D,5.0 of 5 bubbles,Aug 2019 • Couples,Heavenly ,"This one of the oldest temples in Chennai and very historic. Beautiful architecture. If you have never been to a Hindu temple before, this one might be one you want to visit when you are in Chennai. "
Kapaleeshwarar_Temple,pksubramanian,5.0 of 5 bubbles,Jan-20,A must visit,This is a very ancient temple in Mylapore. One should visit this place for the architecture alone. The chief deity is Siva although there are temples for minor gods and goddesses. Sometimes non-Hindus are not allowed!
Kapaleeshwarar_Temple,Drone Destinations & Holidays (DDH),5.0 of 5 bubbles,Feb 2020 • Solo,Kapaleeshwar temple ,This temple is situating in most cultural activities happening area of Mylapore in Chennai city. This Siva temple is one of the most devotee gathering temple in Chennai. 
Kapaleeshwarar_Temple,Mansi Reddy,5.0 of 5 bubbles,Jan 2020 • Friends,Blissful vibrations ,Mylapore in Chennai is known for its temples and South Indian food. The very famous landmark in this neighborhood is the Kapaleeshwarar Koil. The temple stands tall and can be seen at a distance. The vibrations are very good and calm at this place. 
