Tourist Attraction,Name,Rating,Date and criteria,Title,Review
Kapaleeshwarar_Temple,TSinParis,3.0 of 5 bubbles,Jan 2023 • Couples,The Temple to Visit in Chennai - But Only Part of It,"There is not much to visit in Chennai.  This temple is one thing to visit but be aware that you (as a western looking person) cannot enter the inside.   Only people who look Indian, whether they are real Hindus or not.   I find it very strange that people are barred from a place of worship based on how they look.   We encountered this unfortunately throughout TamilNadu."
Kapaleeshwarar_Temple,jillg232,1.0 of 5 bubbles,Jan 2023 • Business,Watch out for rip unpleasant “guides”,"This was a last stop after a busy week on a business trip. So we popped in but straight away a “helpful” man advised us to put our shoes in a safe area to be paid for to keep them safe.  He then followed us and insisted on telling us things about the Temple.  He correctly named which hotel we were staying in ( I suspect he had seen our driver!) but I was by the end a bit concerned. He was acting as if he was a staff member but it was obvious he was not.  He then wanted money for blessings and our family names.  Realistically I could see that this money was really for him, which I didn’t mind.  So I gave him some cash.  He supposedly went into the temple to hand over the cash. I just can’t see that he did but I didn’t expect him to. But then he carried on and insisted on more money at the end. When I refused he became angry and abusive.  It was pretty unpleasant.  Sad to say it’s a beautiful place but just don’t engage with anyone."
Kapaleeshwarar_Temple,ravi s,5.0 of 5 bubbles,Jan 2023,A working 8th century temple in the middle of modern Chennai,"A gem in the middle of the city. Look past the congestion and typical Indian craziness to notice the inscriptions that date back at least a thousand years, and read some of the historical plaques dating this place to the 8th century. This is a working temple, and has been for all these centuries!"
Kapaleeshwarar_Temple,Krishnan R,5.0 of 5 bubbles,Jan 2023,A place you must visit before you leave Chennai,"Every trip we take to Chennai, we always visit this temple. Very beautiful from the inside and out. Architecture is very historical. Lots of space and shrines and even in the inside-most shrine for Lord Shiva, they even implemented an A/C, something many temples in Kerala are lacking. Plus, no strict rules like Kerala has on taking your shirt off in certain parts or putting anything in a cloak room. Only one little pet peeve is that there are stray cats & dogs around the place. Overall, a must visit if you come to Chennai. Don't leave Chennai without doing this."
Kapaleeshwarar_Temple,Andrew D,5.0 of 5 bubbles,Dec 2022 • Solo,Chennai's Icon,"A must visit temple you should never leave Chennai without. It is an icon and the tall, decorated gopuram is absolutely impressive!"
Kapaleeshwarar_Temple,Phaneendra K,5.0 of 5 bubbles,Dec 2022 • Friends,Must visit temple in Chennai Kapaleeshwarar,Very high energies and you can meditate in this temple. Inside the shrine you have to sit and experience the Peace and your wishes will come true.
Kapaleeshwarar_Temple,Marry Joy,5.0 of 5 bubbles,Oct 2022 • Family,Large rooms,The room itself so nice and high ambiance strongly suggested for cuples and family so amazing breakfast
Kapaleeshwarar_Temple,Rajesh Padmanabhan,5.0 of 5 bubbles,Sep 2022 • Couples,Divine Energy,"Divine feeling filled with emotions, fulfilment and thankfulness. Relatedness and feeling of purity comes when in front of the gods and an energy booster. 🙏🏽🙏🏽"
Kapaleeshwarar_Temple,Cyrus,4.0 of 5 bubbles,Jul 2022,A must visit place who worships Lord Siva,Good place to visit. A must visit place for an orthodox person (more specifically who worships Lord Siva ).Temple is in center of the city (	Mylapore Chennai ) and having car parking with reasonable cost.
Kapaleeshwarar_Temple,Alexander Litvinov,1.0 of 5 bubbles,Jun 2022 • Friends,Discriminatory rules,This temple is terrible and should be avoided.  Temple rules are discriminatory on religious grounds.  Only Hindus are allowed in the temple.  A shame!
Kapaleeshwarar_Temple,Shankar B,5.0 of 5 bubbles,Sep 2021 • Family,Excellent place for worship with family clubbed with shopping around. Plenty of eatables available around the temple.,Excellent temple in Chennai with all deities and facilities are great.you cannot see such type of temples with surrounding areas with shops and establishments. Not to be missed.
Kapaleeshwarar_Temple,niluanu,4.0 of 5 bubbles,Feb 2022,Worth Visiting,"Kapaleeshwarar Temple is one the most famous Hindu temples in Chennai. Located in Mylapore, this is an ancient temple dedicated to Lord Shiva., The temple has several shrines and open from 5am till 12 noon and again from 4pm till 9pm. It is worth visiting both for the religious significance as well as the architectural beauty. Parking space for cars is limited  and entry to the temple is free"
